Straat,Coordinaten
Abdijlaan,"[51.26573743300786, 4.701654716536741]"
Acacialaan,"[51.27512493762694, 4.671475600974705]"
Achterste Hoeven,"[51.25716194821755, 4.702515421985684]"
Achterstraat,"[51.25948965222754, 4.6300442549392375]"
Akker,"[51.27236699835412, 4.633821724402139]"
Alfons Butsstraat,"[51.268942550000006, 4.6392910999999994]"
Amazonelaan,"[51.263926850000004, 4.64750385]"
Andreas Vesaliuslaan,"[51.2767472, 4.6419242999999994]"
Antwerpsedreef,"[51.26573755, 4.661186649999999]"
Azalealaan,"[51.25371340425851, 4.639599242686751]"
Baron de Borrekenslaan,"[51.25028250888193, 4.623841489815773]"
Baron de Caterslaan,"[51.26079883217871, 4.637273608156007]"
Begijnenstraat,"[51.26594661044177, 4.638543489951648]"
Berkemei,"[51.24509675, 4.655484899999999]"
Berkenlaan,"[51.23977512462559, 4.652885439953762]"
Bessenlaan,"[51.27316595019236, 4.666664777709835]"
Bethaniënlei,"[51.27794800932009, 4.625994691494533]"
Beukenlaan,"[51.271805229192374, 4.6586628709288]"
Beverdreef,"[51.254260099999996, 4.62382815]"
Biekorfstraat,"[51.26843736438586, 4.717264140776246]"
Bieshoeve,"[51.27706955519605, 4.712315038583713]"
Binnenweg,"[51.26252449746265, 4.641567300415135]"
Blokskenserf,"[""FOUT, geen straat gevonden""]"
Boerenkrijglaan,"[51.26183180420127, 4.699964914649976]"
Boogstraat,"[51.27134429503828, 4.710153481881372]"
Boordeken,"[51.2369376, 4.6389068]"
Boshuisweg,"[51.24355282085551, 4.6762450251724115]"
Boskant,"[51.259217522875645, 4.649063770937475]"
Boslaan,"[51.27028938554234, 4.66913075521361]"
Boterbloemlaan,"[51.25313406818416, 4.638291152357684]"
Brakenberg,"[51.244224957574716, 4.650159777415712]"
Brakenstraat,"[""FOUT, geen straat gevonden""]"
Brakkebos,"[51.23655196561661, 4.64824772318693]"
Bremlaan,"[51.2714799773768, 4.704336207703961]"
Broekstraat,"[51.271595030442725, 4.7189267845364]"
Cyriel Buysselaan,"[51.275334440167676, 4.708101284577875]"
D'Eike,"[51.243771400848296, 4.641108678406564]"
Dageraadstraat,"[51.23584162918754, 4.648197024921279]"
De Beemdekens,"[51.261829566733425, 4.7144339738372425]"
De Bergen,"[51.239973649999996, 4.63947345]"
De Blokskens,"[51.238992094843816, 4.650523664942204]"
De Bruelen,"[51.268921500000005, 4.715514450000001]"
De Hulsten,"[51.27669963721146, 4.685462568346256]"
De Knod,"[51.27509280139199, 4.627258199548776]"
De Maey,"[51.26283067642154, 4.720705352513233]"
De Pier,"[51.241256665317344, 4.640417875607879]"
De Reiger,"[51.26559963920556, 4.705877874142603]"
De Roerdomp,"[51.2646165, 4.71005205]"
De Schaaf,"[51.28194965109255, 4.7199888361322895]"
De Ster,"[51.272983524810115, 4.717668134915789]"
De Wagenmaker,"[51.26883952017164, 4.716888945492491]"
De Wervenlaan,"[51.25468382246462, 4.6127031790994835]"
De Wissel,"[51.272465350000004, 4.71502665]"
Den Haan,"[51.24626145229627, 4.703644717299379]"
Dennenlaan,"[51.25400837843588, 4.6249745624756295]"
Diamantstraat,"[51.275445052109724, 4.72225388745899]"
Distellaan,"[51.26905061017451, 4.65096659800542]"
Doelen,"[51.27271157215017, 4.711469332824333]"
Donker Woud,"[51.2523574, 4.6292156]"
Doornlaan,"[51.27113716914303, 4.649800604742969]"
Dorp,"[51.26815041724676, 4.712621322336586]"
Draverslaan,"[51.26186290778573, 4.645023696388243]"
Drengel,"[51.25731465, 4.71070435]"
Driehoeksdreef,"[51.2439325616779, 4.6172356139507915]"
Driesheide,"[51.241019949999995, 4.63906025]"
Duifstraat,"[51.27854204150377, 4.715694473060517]"
Eekhoornlaan,"[51.27645783742958, 4.713176987736161]"
Eikenlaan,"[51.25167696566092, 4.619384927949162]"
Einhoven,"[51.253560336160646, 4.726583082116667]"
Einhovensebaan,"[51.247123246532695, 4.721932309369119]"
Eksterdreef,"[""FOUT, straat in foute gemeente gevonden""]"
Elzenlaan,"[51.262002591454994, 4.639067778765597]"
Emiel Vermeulenstraat,"[51.27496782258284, 4.6378032673862535]"
Epicialaan,"[51.272099564060895, 4.663151366680657]"
Erica,"[51.25941465065605, 4.644168513558536]"
Ernest Claeslaan,"[51.26361234588278, 4.654733011943923]"
Esdoornlaan,"[51.27546712236047, 4.664233960779656]"
Essendreef,"[51.27221959551446, 4.667621785579698]"
Fazantendreef,"[51.24794235, 4.61674245]"
Felix Timmermanslaan,"[51.26423795740451, 4.6538072986591725]"
Felix Wyterslaan,"[51.25576106289483, 4.611004151211648]"
Flikkersteert,"[51.23230653737849, 4.6419300357888655]"
Frans Hensbergenstraat,"[51.27066773101959, 4.637031542178909]"
Frans Janssenslaan,"[51.26939569339017, 4.6466814504117195]"
Frans Van Looverenlaan,"[51.268045003763596, 4.644632720473748]"
Gagelaars,"[51.26233755, 4.63693345]"
Gagelhoflaan,"[51.26416308321225, 4.673209146869798]"
Geheuvelte,"[51.22198571551715, 4.641874752159252]"
Geleg,"[51.276648113262304, 4.67716999903253]"
Gestelbos,"[51.27850240407225, 4.719872800075949]"
Gestelsebaan,"[51.258588504599125, 4.6386224369682765]"
Goudbloemlaan,"[51.25322757134541, 4.6366968788730825]"
Goudveld,"[51.265160839818236, 4.676399690084283]"
