Straat,Coordinaten
3 Sluizenweg,"[50.832537889849306, 5.099584819346104]"
Achter de Kapel,"[50.83407010826635, 5.103660562629911]"
Aen Den Hoorn,"[50.8323057791303, 5.10560821106236]"
Asbroekstraat,"[50.807872399999994, 5.105301900000001]"
Attenhovenstraat,"[50.782469014237066, 5.097548800364101]"
Beekstraat,"[50.83246173942594, 5.101757038487328]"
Begijnhofstraat,"[50.833015643521, 5.101211684273168]"
Bergstraat,"[""FOUT, geen straat gevonden""]"
Bethaniastraat,"[50.83018112497106, 5.102240794708237]"
Bogaerdenstraat,"[50.835068449999994, 5.10278725]"
Boomgaardstraat,"[50.869463986784154, 5.09834839473836]"
Bosstraat,"[50.84084341037155, 5.081290821910322]"
Bosveldweg,"[""FOUT, straat in foute gemeente gevonden""]"
Bredestraat,"[50.84876156554071, 5.121149391948496]"
Broekstraat,"[50.803977928770045, 5.09062415142658]"
Bronstraat,"[50.82262573028656, 5.131372071080308]"
Budingenweg,"[50.84063235749845, 5.107074567907903]"
Bungebroek,"[""FOUT, geen straat gevonden""]"
Bungenveld,"[50.862991300000004, 5.08797315]"
De Pen,"[50.80939968691672, 5.084099116364665]"
De Weermuur,"[50.83568979347721, 5.106072287882774]"
Dennebosstraat,"[50.873813026624354, 5.0649459404320725]"
Diesterpoort,"[50.83607613960701, 5.10658327452591]"
Donkersteeg,"[50.81796306922994, 5.102327797622886]"
Dormaalstraat,"[50.8040199784487, 5.108761353581821]"
Dorpsstraat,"[50.803475750000004, 5.1057967]"
Dr. R. Lowetstraat,"[50.833743377694326, 5.102201723758432]"
Drieslaan,"[50.82773117343829, 5.121505476309146]"
Drinkwater,"[50.822960479486625, 5.1145344629153335]"
Dungelstraat,"[50.81029506702452, 5.109980460419086]"
Durasweg,"[50.85528881672018, 5.127341490231001]"
Elstraat,"[50.81675833476597, 5.110500113518392]"
Galgenberg,"[50.79732028399185, 5.074426556478035]"
Ganzenkooi,"[50.81156731822776, 5.099013930805732]"
Getestraat,"[50.84983376780542, 5.078539337018273]"
Grazenseweg,"[50.866426118090935, 5.115256262915193]"
Groenplaats,"[50.83346254265935, 5.102500018963489]"
Groenstraat,"[50.868441022653, 5.091413240422543]"
Grote Markt,"[50.833531949999994, 5.10373335]"
Grote Steenweg,"[50.806010799999996, 5.0871914]"
Hallestraat,"[50.824016079603034, 5.1365795615224865]"
Halstraat,"[50.88149068500007, 5.0754439805467975]"
Heerbaan,"[50.8650101813097, 5.073227536775828]"
Heerweg,"[50.788359814809894, 5.0969023639635145]"
Hekstraat,"[50.86684587696286, 5.0972211337365785]"
Hildelbergstraat,"[50.80755029872854, 5.0932360096129194]"
Hof ten Rhode,"[50.86187185, 5.1213084]"
Hogenstraat,"[50.88292655089675, 5.066941714613362]"
Hondsveld,"[50.78541007662894, 5.10896717388918]"
Houtstraat,"[50.811372290288006, 5.117955888480118]"
Hulsbergstraat,"[50.87368505, 5.0764312]"
Jan van Heelustraat,"[50.818970213370065, 5.0872498929497185]"
Jodenstraat,"[50.86796145369361, 5.06663843582544]"
Jonas Vlayen pad,"[""FOUT, geen straat gevonden""]"
Kalemanstraat,"[50.8083885633944, 5.143917496212357]"
Kanonstraat,"[50.83335645288366, 5.105223623191419]"
Kapelstraat,"[50.833956454079484, 5.10294131243447]"
Keienbergstraat,"[50.853420725035825, 5.117792047784071]"
Kerkhofstraat,"[50.8088094, 5.1138418]"
Kerkstraat,"[50.809510421537276, 5.1012866385269415]"
Kersenlaarlaan,"[50.80656137559238, 5.124300617424186]"
Ketelstraat,"[50.88127607160661, 5.061027094894715]"
Kleine Veldweg,"[""FOUT, geen straat gevonden""]"
Klipstraat,"[50.858314000959915, 5.113403870281067]"
Kloosterstraat,"[50.83173136838175, 5.104179788937165]"
Klottenbergstraat,"[50.86898400155179, 5.057090129877309]"
Koepoortstraat,"[50.82429656742969, 5.096323089877433]"
Kouterberg,"[50.80133864531882, 5.128597855645218]"
Kruisveldstraat,"[50.83260153264941, 5.092596545472587]"
Kwaadmenskenssteeg,"[""FOUT, geen straat gevonden""]"
Kwadeplas,"[50.81235883434388, 5.126796923810772]"
Leenhaagstraat,"[50.86824609991579, 5.072795539814424]"
Leeuwerstraat,"[50.855151, 5.108867500000001]"
Leeuwerweg,"[50.83630269071845, 5.098020710691401]"
Lewastraat,"[50.83084565885216, 5.114935677953286]"
Lindeweg,"[50.85135976684495, 5.131508474588675]"
Linnebeekstraat,"[50.873948699236486, 5.071104705569958]"
Linterseweg,"[50.863852682924154, 5.096035894536986]"
Louis Claeslaan,"[50.820657499999996, 5.1243035]"
Meerschenweg,"[50.79656546206475, 5.108140544625028]"
Melkweg,"[50.846924972095685, 5.100221550809664]"
Merelnest,"[""FOUT, straat in foute gemeente gevonden""]"
Moesbeekstraat,"[50.83167565, 5.078507999999999]"
Molenstraat,"[50.85868205740508, 5.098030526417407]"
Molenveldstraat,"[50.82809603125706, 5.108779749222763]"
Muggenberg,"[50.84825239994887, 5.136581416723596]"
Neerlandensestraat,"[50.804304878857444, 5.096349652213391]"
Nieuwe Neerlandensestraat,"[50.80632199795353, 5.098365038973208]"
Nieuwstraat,"[50.82912851657444, 5.106119710435496]"
Orsmaalstraat,"[50.800867689206726, 5.099491941800837]"
Ossenwegstraat,"[50.84612843746874, 5.129008269697347]"
Oude Getesteeg,"[50.8101577937855, 5.0877991254067565]"
Oude Kassei,"[50.835233306231906, 5.092260384022682]"
Paardenbrugstraat,"[50.83319099491216, 5.100430550097763]"
Panisbornestraat,"[50.865502932954314, 5.057929383682316]"
Passtraat,"[50.81444904416296, 5.104445148876191]"
Pastorijstraat,"[50.864515299999994, 5.1036660000000005]"
Pelsbergstraat,"[50.853058338603944, 5.115684449703634]"
Pijpaardeveld,"[""FOUT, geen straat gevonden""]"
Pijpstraat,"[50.85378641787451, 5.126763994429815]"
Pijpveldsteeg,"[""FOUT, geen straat gevonden""]"
Pottekaasstraat,"[50.85840097032883, 5.127346647776179]"
Predikherenstraat,"[50.8329345912231, 5.101925644349113]"
Prins Leopoldplaats,"[50.8337743870121, 5.101617298181656]"
Prof. E. Vlieberghstraat,"[50.83518443583013, 5.102900952977217]"
Prof. R. Verdeyenstraat,"[50.8361863, 5.103292649999999]"
