Straat,Coordinaten
Assestraat,"[51.27999646892845, 3.1754660211678254]"
Begijnhof,"[51.28808789181126, 3.066683800006669]"
Beverlenksweg,"[51.24588979048735, 3.1001504049671174]"
Biezenstraat,"[""51.226125866763155"", ""3.160716011183029""]"
Blankenbergse Dijk Noord,"[51.273185181255954, 3.1520518061652054]"
Blankenbergse Dijk Zuid,"[51.24817006184539, 3.1822725538685135]"
Blankenbergse Steenweg,"[51.28526610694053, 3.164404755999622]"
Blauwetorenstraat,"[51.253030856018206, 3.1885952132396045]"
Bommelstraat,"[51.279374939728605, 3.1019110170534034]"
Bontepoortstraat,"[51.27222768409068, 3.190175013851187]"
Brouwerijstraat,"[51.25422995192542, 3.1590635818546366]"
Brugse Steenweg,"[51.24862271528449, 3.132041531403737]"
Consciencestraat,"[""FOUT, geen straat gevonden""]"
Copsweg,"[51.27851116055772, 3.140280002479103]"
Doelhofstraat,"[51.27370395045772, 3.0983087213355014]"
Domein,"[51.288631811942864, 3.0692292223473827]"
Dorpweg,"[51.23505185, 3.15135665]"
Draaiboomstraat,"[51.26082345887253, 3.1500879274740767]"
Driftweg,"[51.288532026778135, 3.065577993342301]"
Duinenstraat,"[51.2885099268223, 3.088759538832994]"
Dullemolenstraat,"[51.267650940757385, 3.1771918609404692]"
Frans Liebaertweg,"[51.26328575, 3.1527509]"
Groenestraat,"[""51.27179288301385"", ""3.171635666851226""]"
Heerweg,"[51.254962500000005, 3.15217205]"
Hoeksam,"[51.27189607420424, 3.100574586556662]"
Kapellestraat,"[51.237892710914, 3.107309515120887]"
Kerkebilk,"[51.2350048, 3.1107118]"
Kerkhofstraat,"[51.23432995370301, 3.1147252347135397]"
Kerkstraat,"[51.26524554954272, 3.155028301406993]"
Kleiputstraat,"[51.25681491120241, 3.1842704478510604]"
Klinkestraat,"[51.24936810302521, 3.1622660972353867]"
Korte Straat,"[51.27597884454327, 3.1521507285519803]"
Langedorpweg,"[51.226081185448486, 3.100574299618479]"
Leeglandstraat,"[51.25726442018556, 3.186856778366363]"
Leembergstraat,"[51.25706235, 3.18562725]"
Leeuwenstraat,"[51.260717913184024, 3.1164791783000445]"
Lettenburgstraat,"[51.25594986706641, 3.1852415753743495]"
Lindenhof,"[51.26367025, 3.15370165]"
Linzestraat,"[""FOUT, geen straat gevonden""]"
Lisseweegse Steenweg,"[51.28480447549184, 3.170717614848758]"
Loweg,"[51.238257759860325, 3.1260821130690037]"
Mareweg,"[51.2326225671246, 3.1416574953463323]"
Meetkerkestraat,"[51.26321811193599, 3.1573004162019354]"
Moerdreve,"[51.22559977435821, 3.1638853839139824]"
Moerstraat,"[""51.222778500000004"", ""3.1364839""]"
Molenwal,"[51.26670616594237, 3.158685815415694]"
Molenweg,"[51.23118425, 3.15742155]"
Nieuwe Steenweg,"[51.25615493188069, 3.1192503720244305]"
Nivekerke,"[51.28797483872998, 3.0687702739683655]"
Oostendse Steenweg,"[51.24841643704105, 3.1320248929224053]"
Oosternieuwweg Noord,"[51.24516444341894, 3.107948326458932]"
Oosternieuwweg Zuid,"[51.23226715084599, 3.118080579249689]"
Oude Lisseweegse Steenweg,"[51.28426730283085, 3.167287968521448]"
Oude Molenweg,"[51.23890682622946, 3.151150320312451]"
Oude Weg,"[51.219182984043385, 3.11299962839429]"
Pastoriestraat,"[51.2365063016096, 3.110604602179919]"
Polderwind,"[51.26267680275328, 3.183311158627529]"
Prins Leopoldstraat,"[51.26790752379687, 3.0951274226755623]"
Schoeringstraat,"[51.27008495, 3.13257735]"
Smisjestraat,"[51.268812921362084, 3.102359281404859]"
Speistraat,"[51.226821589049685, 3.172911885050894]"
Statiesteenweg,"[51.2642683, 3.1833659499999998]"
Vaartstraat,"[51.27365050592742, 3.1297606589527365]"
Vaartwegel,"[51.23442887817388, 3.152250445820195]"
Vagevuurstraat,"[51.25860412032885, 3.187145394870457]"
Verloren Hooistraat,"[""FOUT, straat in foute gemeente gevonden""]"
Vital Troghstraat,"[51.26450128998354, 3.1543928980431697]"
Voetweg,"[51.23130537901533, 3.0892599724554892]"
Weimanstraat,"[51.254852015028405, 3.1821912119100064]"
Wenduinestraat,"[51.28619393879575, 3.068195095275862]"
Westernieuwweg Noord,"[51.23862175, 3.10012155]"
Westernieuwweg Zuid,"[51.22301040711385, 3.1136628745351627]"
Zakstraat,"[51.235817563772336, 3.110497898772573]"
