Straat,Coordinaten
Aertstraat,"[50.93463879712203, 3.4579157836483336]"
Anglo,"[50.91938655, 3.4449201]"
Azalealaan,"[50.91741450245139, 3.446509921971288]"
Bauterstraat,"[50.93662564535845, 3.495160390123173]"
Beekstraat,"[50.92619178383604, 3.4557845392493607]"
Begonialaan,"[50.91478125028045, 3.449886348914311]"
Berkenlaan,"[50.90920812351004, 3.4591286441202467]"
Beukenlaan,"[50.907743249999996, 3.4611178999999996]"
Biestweg,"[50.95518785, 3.4893367]"
Biezenstraat,"[50.911565799534124, 3.445133664932833]"
Bilkhage,"[""50.92439641689422"", ""3.447281135210174""]"
Binnenaert,"[50.93421143139864, 3.459177837001583]"
Bisdonkstraat,"[50.95098879423326, 3.523841694484861]"
Biststraat,"[50.97200281169857, 3.5022760867855234]"
Blauwdreef,"[50.91338753768025, 3.477187910991657]"
Boelakendreef,"[50.92022292517616, 3.4369155964237383]"
Boerenzwaluw,"[50.92560617209098, 3.4529813144624173]"
Bokstraat,"[50.955539098210814, 3.51043155100431]"
Boonewaterhof,"[50.94999137668584, 3.49505004890848]"
Boswegel,"[50.926433283441916, 3.4753689751628727]"
Braembulck,"[50.953340897888616, 3.489030558369692]"
Brandstraat,"[50.94965047457971, 3.5043390478292897]"
Bremstraat,"[50.927767254929776, 3.4501857939852347]"
Brouwershoek,"[50.938157530873355, 3.463475490935244]"
Brugstraat,"[50.9647246, 3.47880595]"
Brullenstraat,"[50.96800338872505, 3.4905329520571735]"
Bunderstraat,"[50.939465680574166, 3.509531723722354]"
Centrumstraat,"[50.93075123935302, 3.4710627035656745]"
D'Hoyestraat,"[50.956048278480296, 3.4712629414957]"
De Dreve,"[50.93902382416457, 3.467165258211701]"
De Schachelaar,"[50.95419873745654, 3.4968341417315996]"
Dennenstraat,"[50.91175944771231, 3.4412108072495826]"
Dijsselstraat,"[50.97431084464148, 3.4957067756373434]"
Domein Waalmeers,"[""FOUT, geen straat gevonden""]"
Donkerstraat,"[50.956652184004014, 3.4946962011336695]"
Doornstraat,"[50.92294113261536, 3.444676041719544]"
Dorpsstraat,"[50.95535378825291, 3.4936420218437094]"
Drapstraat,"[50.93621905182426, 3.4650451135253517]"
Dries,"[""FOUT, geen straat gevonden""]"
Drogenboomstraat,"[50.9024612039985, 3.436591952552934]"
Eikenhaagstraat,"[50.92211182263538, 3.467992829991481]"
Eikenlaan,"[""FOUT, geen straat gevonden""]"
Eikstraat,"[50.95690494660176, 3.5072699456366836]"
Ellegemstraat,"[50.91748955, 3.4406081000000004]"
Elzenlaan,"[50.91090596777054, 3.455765279737718]"
Fazantstraat,"[50.92045215021834, 3.453065013198299]"
Fonteinstraat,"[50.94419513159316, 3.4655595351635373]"
Gaston Martensplein,"[50.92263306674728, 3.4429123062484517]"
Gaverbeekstraat,"[50.90839922430965, 3.4211225748417173]"
Gaverweg,"[50.9600557171548, 3.498635363368694]"
Georges Dheedenestraat,"[""FOUT, geen straat gevonden""]"
Georges Jozef Imschootplein,"[50.95913885, 3.487744646454793]"
Gerststraat,"[50.91410980201749, 3.44064352791442]"
Gildestraat,"[50.9598363, 3.48507915]"
Gottemstraat,"[50.95668557027741, 3.4767926595520913]"
Graevestraat,"[50.936672428824764, 3.4654076432388314]"
Grammenestraat,"[50.9788193405786, 3.478576196883408]"
Groeneweg,"[50.94566445693486, 3.4919763573322125]"
Grote Steenweg,"[50.93785681445982, 3.4677858400140256]"
Guldepark,"[50.96446353417849, 3.4937826792472118]"
Haarzakstraat,"[50.9527529389472, 3.493640196153142]"
Hamstraat,"[50.939984670178774, 3.4534307571324017]"
Haverstraat,"[50.91489812148499, 3.4391219972520464]"
Heidestraat,"[50.91124038327069, 3.4699865395315896]"
Heirweg,"[50.939114118574665, 3.4654563624891854]"
Herdersstraat,"[""FOUT, geen straat gevonden""]"
Heremietlos,"[50.96081322511697, 3.4926414428323214]"
Hoenderdreef,"[50.91043367684767, 3.436226194226834]"
Hoevestraat,"[50.958027309193994, 3.483421993266106]"
Hof ter Weeden,"[""FOUT, geen straat gevonden""]"
Hooistraat,"[""FOUT, geen straat gevonden""]"
Houtstraat,"[50.924341798462514, 3.4677801482204655]"
Jagersstraat,"[""FOUT, geen straat gevonden""]"
Kapellestraat,"[50.91552859217634, 3.4487584965977436]"
Karperstraat,"[50.95905183646077, 3.484520951214915]"
Karreweg,"[50.90598468427343, 3.468120389697348]"
Kastanjelaan,"[50.920376376443144, 3.4468405440992016]"
Kasteelstraat,"[50.94692193349451, 3.46888793719592]"
Kerenstraat,"[50.96887594722181, 3.48959510179516]"
Kerkstraat,"[50.939276329605946, 3.4574109279866514]"
Kerkweglos,"[50.95338897545312, 3.486659469327224]"
Kerselarenlaan,"[50.908824499194964, 3.4541316707530596]"
Kievitstraat,"[50.92116445, 3.45615285]"
Kleinaert,"[50.93334481002105, 3.459214359332169]"
