Straat,Coordinaten
't Klein Eeckhout,"[50.94151128747243, 4.064977231989761]"
't Maegelijnplein,"[""FOUT, geen straat gevonden""]"
't Spieken,"[50.955686968032914, 4.065904256089988]"
't Vestjen,"[50.92432288716738, 4.002118995399142]"
1 Meistraat,"[50.94191621545964, 4.044434072133392]"
Aartstraat,"[50.978395000000006, 4.0627645]"
Abbeelstraat,"[50.9447548, 4.023592236482907]"
Abdijstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Abrahamsweg,"[50.946913479142395, 4.097265591826813]"
Acaciastraat,"[50.932008249999996, 4.04059165]"
Achterbremt,"[50.91902475280894, 3.987733041377426]"
Achtermaal,"[50.9330632, 4.0025545000000005]"
Achterstraat,"[50.94579700775379, 4.125468800504259]"
Achterweg,"[50.945372, 4.0737069]"
Achtzaligheden,"[50.951146449999996, 4.0970868]"
Affligemdreef,"[50.93447064390402, 4.090682097071624]"
Afspanningsstraat,"[50.935639800000004, 4.025105]"
Ajuinenstraat,"[50.95238833163059, 4.056936385109159]"
Albert Liénartstraat,"[50.94160729074003, 4.039171539868595]"
Albrechtlaan,"[50.9325, 4.05698]"
Aldegondisstraat,"[50.97551578966552, 4.038126646202683]"
Alfons De Cockstraat,"[50.97590965603232, 4.0666306426651975]"
Alfons Van de Maelestraat,"[50.91795683616045, 4.043360167066458]"
Alfred Keldersstraat,"[50.938901363235445, 4.035252227514792]"
Alfred Nichelsstraat,"[50.934870517645486, 4.0451717824720195]"
Alverenbergbaan,"[50.96373996057582, 4.039141618903981]"
Anjersstraat,"[50.968095830497994, 4.03520366190264]"
Ankerstraat,"[50.92007285757257, 4.005634161734863]"
Anna Snelstraat,"[50.93676385639202, 4.044156049950007]"
Ansmeerweg,"[50.98336732128929, 4.0387466637245755]"
Apostelstraat,"[50.9413165521095, 4.05454861115712]"
Appelstraat,"[50.94186802706084, 4.052548430507576]"
Arbeidstraat,"[50.93660425183161, 4.030860323689838]"
Arenalaan,"[""FOUT, geen straat gevonden""]"
Arendstraat,"[50.950498727199204, 4.057274576680514]"
Arendsveld,"[50.94830891486255, 4.054941779255195]"
Asserenbosweg,"[50.93709584953786, 4.095965197417189]"
Asserendries,"[50.943671233533, 4.023190890425003]"
Asterstraat,"[50.91647599755681, 4.054118788738218]"
August Marcelstraat,"[50.93138637183356, 4.033802780879276]"
Autosnelweg Oostende-Brussel,"[""FOUT, geen straat gevonden""]"
Autostradelaan,"[50.911332642167885, 4.049835763914332]"
Avaanstraat,"[50.9171448, 4.0600266000000005]"
Avondelsbaan,"[50.91521745, 4.0709126]"
Avouéstraat,"[50.95037799501498, 4.089212392328]"
Baaikensveldweg,"[50.95712878326061, 4.088703180546476]"
Baardegem-Dorp,"[50.954660369445726, 4.141996301470218]"
Baatmeers,"[50.96901286489511, 4.078983670241296]"
Babbelaarstraat,"[50.98040434207494, 4.03698785332795]"
Baron Romain Moyersoen Park,"[50.93651126832472, 4.056182109041573]"
Baron de Meerstraat,"[50.94747196088701, 4.095664921593643]"
Bauwensplein,"[50.94269407033016, 4.03665454370488]"
Bedrijvigheidstraat,"[50.9407068, 4.02454505]"
Beekkant,"[50.96502306476043, 4.064332367031103]"
Beekpad,"[50.9618677803676, 4.0361225940629915]"
Beekstraat,"[50.94266183266707, 4.072935896421174]"
Beekveldstraat,"[50.935267996463196, 4.0317701194422835]"
Beekweeweg,"[50.9622856711886, 4.062873001706371]"
Beekweg,"[50.99169868600878, 4.044467473351037]"
Begijnhof,"[50.93613718255689, 4.0439986502356335]"
Bergekouter,"[50.93707540308197, 4.064815045276776]"
Bergemeersenstraat,"[50.9377509, 4.0517526]"
Berggouw,"[50.95136355367021, 4.10924789167682]"
Bergsken,"[50.94675664146675, 4.09843656422826]"
Bergstraat,"[50.912321131275604, 3.9906250793042184]"
Bergweg,"[50.915851653142795, 3.98934932818927]"
Berkenlaan,"[50.98671911765453, 4.058611690870667]"
Berlindisweg,"[50.94911158221183, 4.0984320173351145]"
Bert Van Hoorickstraat,"[50.93965474587976, 4.031843300377632]"
Bertha De Dekenlaan,"[50.919195693277224, 4.073904126291574]"
Beugemstraat,"[50.95194244418276, 4.094277825846485]"
Beukendreef,"[50.9350014, 4.0639584]"
Beukenlaan,"[50.91393891418606, 4.0279776840040515]"
Beukennotenbosstraat,"[50.953554999999994, 4.10565085]"
Bevenhoutenweg,"[50.94894560868625, 4.113046983182313]"
Bevrijdingsstraat,"[50.946943196763996, 4.046527313738635]"
Biekorfstraat,"[50.9459974, 4.0228614]"
Biesebroekweg,"[""FOUT, geen straat gevonden""]"
Bieseweide,"[50.95021686264068, 4.137779553364347]"
Bieststraat,"[50.96835349147279, 4.038210447778156]"
Binnenstraat,"[50.9502156, 4.0556379]"
Bisschopweg,"[50.940939067856675, 4.1391359282097975]"
Blauwenbergstraat,"[50.93129153254341, 3.9977384599606256]"
Bleekveld,"[50.93747855556167, 4.049282493476473]"
Blektestraat,"[50.958214450150585, 4.023524454138143]"
Bloemenveldstraat,"[50.95374491185672, 4.084127453007875]"
Blokveldstraat,"[50.955620062581396, 4.145884012118154]"
Boekhoutweg,"[50.91637216930101, 4.088889280628572]"
Boekveldbaan,"[50.958940409816435, 4.098198538223132]"
Boekweitstraat,"[50.957283314120104, 4.067070029652884]"
Bolleweg,"[50.94387616925267, 4.047281112134007]"
Boomgaardstraat,"[50.952585660579224, 4.046409822840157]"
Boonhofstraat,"[50.917299390356376, 4.067237670552125]"
Borluutstraat,"[50.94305321657193, 4.043056872837014]"
Borreput,"[50.9366469, 4.0752382]"
Bosselingen,"[50.96687539173728, 4.041719030541203]"
