Straat,Coordinaten
Acacialaan,"[""51.11197588691345"", ""4.3792017191071375""]"
Adriaan Sanderslei,"[""51.12894331461565"", ""4.399299866154681""]"
Ahornelaan,"[""51.141124441176494"", ""4.376436140742927""]"
Antoon van Brabantstraat,"[""51.13430436033376"", ""4.389127512500241""]"
Antwerpsesteenweg,"[""51.1424505"", ""4.3774056""]"
Arkel,"[""51.14286977305271"", ""4.392973118928734""]"
August De Boecklaan,"[""51.11086955"", ""4.36298825""]"
August Vermeylenlaan,"[""51.12758520314054"", ""4.3847908624665495""]"
Azalealaan,"[""51.14083180788062"", ""4.37535610965443""]"
Baron van Ertbornstraat,"[""51.142291996185676"", ""4.394905653844061""]"
Barones Ludwina de Borrekenslaan,"[""51.13963338806158"", ""4.387133026388608""]"
Bekersveld,"[""51.1185411"", ""4.3932883""]"
Berkenlaan,"[""51.112567323568676"", ""4.376887347069817""]"
Beukenhoflaan,"[""51.13590759239682"", ""4.380464349890055""]"
Bist,"[""51.1243769148207"", ""4.371730158213346""]"
Boomsesteenweg,"[""51.12501441519869"", ""4.374181232445223""]"
Buerstedelei,"[""51.139963774972266"", ""4.374424528960245""]"
Camiel Paulusstraat,"[""51.13340015"", ""4.3814429""]"
Carillolei,"[""51.13096597540303"", ""4.382568816645131""]"
Cederlaan,"[""51.1138879752616"", ""4.378791988937087""]"
Cleydaellaan,"[""51.14205994085518"", ""4.373397901464137""]"
Constant Permekelaan,"[""51.13944746441596"", ""4.383896790139472""]"
De Cranelei,"[""51.1364105"", ""4.3779928""]"
Dennenlaan,"[""51.113310885900134"", ""4.378769498833366""]"
Dijkstraat,"[""51.1439871"", ""4.3955597""]"
Dokter Cuypersstraat,"[""51.1325999"", ""4.3887342""]"
Drie Bunder,"[""51.141822082178024"", ""4.386007764269912""]"
Edgard Tinellaan,"[""51.1119989"", ""4.366293450000001""]"
Eglantierlaan,"[""51.11561220093727"", ""4.37370544045774""]"
Eikenlaan,"[""51.1147671"", ""4.3761411""]"
Emiel Hoetlaan,"[""51.130767672714065"", ""4.38769356591129""]"
Emiel Hullebroecklaan,"[""51.11267789761856"", ""4.3653624819501236""]"
Ernest Claeslaan,"[""51.13182828183133"", ""4.3906192396068375""]"
Felix Timmermanslaan,"[""51.13019110428646"", ""4.393636824646146""]"
Filip De Pillecynlaan,"[""51.129522303683984"", ""4.392022726682181""]"
Frederik Sheidlaan,"[""51.133061054761214"", ""4.380733133584933""]"
Frits Van den Berghelaan,"[""51.13689230979061"", ""4.3903128487993195""]"
Gebr. vander Elstlaan,"[""51.1398757"", ""4.37624755""]"
Groenenhoek,"[""51.14823387429939"", ""4.361688162835726""]"
Groeningenlei,"[""51.13751335"", ""4.4017646500000005""]"
Guido Gezellestraat,"[""51.1384189"", ""4.378556""]"
Gustaaf De Smetlaan,"[""51.13688591035396"", ""4.389990466297288""]"
Halfstraat,"[""51.113495328717846"", ""4.38249119794767""]"
Heiveld,"[""51.14226176353903"", ""4.388706728754803""]"
Helenboslaan,"[""51.1378701285326"", ""4.384679119585518""]"
Helststraat,"[""51.1403704"", ""4.3697361""]"
Hendrik Consciencelaan,"[""51.1299447"", ""4.391637305522266""]"
Hendrik de Braekeleerlaan,"[""51.14004563722962"", ""4.382023508666312""]"
Hoevelei,"[""51.13501255828433"", ""4.38725351578943""]"
Hof-te-Briezlaan,"[""FOUT""]"
Industrieweg,"[""51.12997498298472"", ""4.370845649143319""]"
Ingberthoeveweg,"[""51.14893761706833"", ""4.397614381955088""]"
Jacob Smitslaan,"[""51.13901648677949"", ""4.382072329057299""]"
James Ensorlaan,"[""51.14070273726011"", ""4.3803439940063384""]"
Jan Blockxlaan,"[""51.11300243391471"", ""4.369400630401494""]"
