Straat,Coordinaten
Aardbeienstraat,"[""50.9820922"", ""3.194539""]"
Abrikozenstraat,"[""50.9811846"", ""3.1930924""]"
Alidor Lamotestraat,"[""51.0030906"", ""3.2137668""]"
Ardooisestraat,"[""50.9962895"", ""3.2089687""]"
Autvijverstraat,"[""50.9671643"", ""3.2209226""]"
Azaleastraat,"[""50.9789838"", ""3.1921671""]"
Bavinkhovebosstraat,"[""50.956472"", ""3.2128923""]"
Begoniastraat,"[""50.9777086"", ""3.1934452""]"
Bergdoornstraat,"[""50.9799477"", ""3.2255651""]"
Berlingmolenstraat,"[""50.9831"", ""3.20186""]"
Bessenstraat,"[""50.9801908"", ""3.1920419""]"
Beukenstraat,"[""50.9691815"", ""3.2303041""]"
Beverensestraat,"[""50.9775633"", ""3.1841979""]"
Biekorfstraat,"[""50.9895"", ""3.20363""]"
Blekerijstraat,"[""50.9745948"", ""3.2014485""]"
Bloemgatstraat,"[""50.9468587"", ""3.2280471""]"
Boerderijstraat,"[""50.9605212"", ""3.1656141""]"
Boncquetstraat,"[""50.986109"", ""3.20168""]"
Bosstraat,"[""50.9603903"", ""3.2182971""]"
Boterstraat,"[""50.9593358"", ""3.1657537""]"
Braambessenstraat,"[""51.0023347"", ""3.206371""]"
Brabantstraat,"[""50.9834429"", ""3.1810838""]"
Bremstraat,"[""51.0021374"", ""3.2032116""]"
Brugsebaan,"[""50.9809377"", ""3.2406442""]"
Brugstraat,"[""50.9768535"", ""3.1995035""]"
Bruinbergstraat,"[""50.945492"", ""3.211544""]"
Burgerleenstraat,"[""50.9978929"", ""3.1809194""]"
Capucijnestraat,"[""51.0110455"", ""3.1908591""]"
Cardijnlaan,"[""50.9751872"", ""3.1955459""]"
Cauwestraat,"[""50.9845748"", ""3.2016804""]"
Cijnsmolenstraat,"[""50.9595048"", ""3.2044322""]"
Cloetbergstraat,"[""50.9604282"", ""3.1949923""]"
Consciencestraat,"[""51.00289"", ""3.2047047""]"
Dennenstraat,"[""50.9628525"", ""3.2398888""]"
Diepestraat,"[""50.9894284"", ""3.2212846""]"
Diksmuidse Boterweg,"[""51.0048674"", ""3.1914668""]"
Distelstraat,"[""51.00308"", ""3.203625""]"
Doelstokstraat,"[""50.9747977"", ""3.2090061""]"
Dorpsplein,"[""51.0019773"", ""3.2095329""]"
Drogenbroodstraat,"[""51.0144689"", ""3.2132581""]"
Druivenstraat,"[""50.9818631"", ""3.1933465""]"
Duivelstraatje,"[""50.9793975"", ""3.1839264""]"
Eekhoutstraat,"[""50.9781491"", ""3.2012566""]"
Egemsestraat,"[""51.0032327"", ""3.2119927""]"
Eikstraat,"[""50.9627541"", ""3.2408664""]"
Elf-Julistraat,"[""50.9892197"", ""3.2017834""]"
Elslanderstraat,"[""50.991489"", ""3.196034""]"
Elstapstraat,"[""50.9577385"", ""3.1773723""]"
Engelendreef,"[""50.9769497"", ""3.1891226""]"
Fabriekstraat,"[""50.9896733"", ""3.1996702""]"
Frambozenstraat,"[""50.982041"", ""3.1932674""]"
Gangske,"[""50.9776181"", ""3.1981293""]"
Gapaardstraat,"[""50.965471"", ""3.172662""]"
Gemeentehuisstraat,"[""51.0027144"", ""3.2103432""]"
Gezellestraat,"[""51.003292"", ""3.2060552""]"
Groenboomgaardstraat,"[""50.9784717"", ""3.2038121""]"
Groenestraat,"[""50.9724342"", ""3.2255128""]"
Hazestraat,"[""50.9757097"", ""3.2373""]"
Hellestraat,"[""50.9794168"", ""3.1905143""]"
Hemelstraat,"[""50.9771112"", ""3.1971489""]"
Hoflandstraat,"[""50.9805349"", ""3.1956855""]"
Hogeschuurstraat,"[""50.9799952"", ""3.2155804""]"
Holdestraat,"[""51.0035592"", ""3.1989852""]"
Hondsklinkstraat,"[""51.0140432"", ""3.1889081""]"
Hoog-Wielkestraat,"[""51.0037944"", ""3.1793846""]"
Hoogakkerstraat,"[""51.0080008"", ""3.1854894""]"
Hoogbeverenstraat,"[""50.9849443"", ""3.172934""]"
Hooistraat,"[""50.9683076"", ""3.1669054""]"
Izegemsestraat,"[""50.950571"", ""3.200653""]"
Jasmijnenstraat,"[""50.9781216"", ""3.1934352""]"
Jostraat,"[""51.0209369"", ""3.2102803""]"
Kaaistraat,"[""50.9781747"", ""3.2026489""]"
Kachtemsestraat,"[""50.9450889"", ""3.2039805""]"
Kanariestraat,"[""50.9575305"", ""3.1704862""]"
Kapellestraat,"[""51.0184249"", ""3.2199485""]"
Kasteelstraat,"[""50.9649372"", ""3.2377979""]"
Klaverstraat,"[""51.0022849"", ""3.2072795""]"
Kleine Boterweg,"[""50.9765689"", ""3.2275285""]"
Kloosterstraat,"[""51.0020118"", ""3.2104888""]"
Knijffelingstraat,"[""51.0006902"", ""3.2044934""]"
Knollingstraat,"[""50.9581306"", ""3.1764032""]"
Koning Albertstraat,"[""50.9779487"", ""3.1950549""]"
Koornbloemstraat,"[""51.0024118"", ""3.2078174""]"
Kortekeerstraat,"[""50.9853439"", ""3.1726135""]"
Kortestraat,"[""50.9821586"", ""3.2007064""]"
Kortrijksestraat,"[""50.9776181"", ""3.1981293""]"
Krommestraat,"[""50.9596694"", ""3.1708192""]"
Kwadestraat,"[""51.0189211"", ""3.2061237""]"
Laagstraat,"[""51.0064124"", ""3.2100865""]"
Lampernissestraat,"[""50.9920461"", ""3.2006474""]"
