Straat,Coordinaten
Aandenberg,"[""50.883753150000004"", ""4.2730326000000005""]"
Adèle De Hertoghlaan,"[""50.89515335545177"", ""4.245841842809231""]"
Akkervoor,"[""50.89099255"", ""4.279983550000001""]"
Albert Temmermanstraat,"[""50.87561379555381"", ""4.290926946943295""]"
Albrecht Rodenbachsteegje,"[""50.91150768063984"", ""4.198050720431251""]"
Aloïs De Deckerstraat,"[""50.88736598154477"", ""4.274651231173948""]"
Ammanstede,"[""50.898793678213416"", ""4.23189119067034""]"
Anjelierenlaan,"[""50.9057105"", ""4.223250817647054""]"
Arsenaalstraat,"[""50.909146315488734"", ""4.199761265392426""]"
Asbeekstraat,"[""50.90703240900316"", ""4.169447539563074""]"
Asphaltcosite,"[""50.90815574763704"", ""4.20853692489948""]"
Assesteenweg,"[""50.9193219"", ""4.238323100000001""]"
Assestraat,"[""50.914135747788215"", ""4.164768346045146""]"
Baandaal,"[""50.91874275"", ""4.153107950000001""]"
Baaskouter,"[""50.91866488072822"", ""4.198674021361568""]"
Bakkerkesbaan,"[""50.92382659502696"", ""4.1832164451192355""]"
Baron J. Greindllaan,"[""50.88573920867743"", ""4.274088590389159""]"
Beekstraat,"[""50.90640467761607"", ""4.168851391720768""]"
Begoniastraat,"[""50.9135960038001"", ""4.203107349916708""]"
Belvédèresteegje,"[""50.90715299998359"", ""4.20514501643651""]"
Beneden Vrijlegem,"[""50.929711380159546"", ""4.215322020075898""]"
Benedenstraat,"[""50.90045407620178"", ""4.2282741424249854""]"
Bergestraat,"[""50.89800251679011"", ""4.216808924955015""]"
Bergveld,"[""50.903074"", ""4.2129636""]"
Berkstraat,"[""50.895829199999994"", ""4.2451408""]"
Beukenlaan,"[""50.914869983003754"", ""4.193943527903522""]"
Bladerenkwartier,"[""50.93584978709969"", ""4.188503829029462""]"
Bloemistenstraat,"[""50.89827965607697"", ""4.279584440584769""]"
Bloklaan,"[""50.90933215194902"", ""4.19594262962359""]"
Boekfos,"[""50.90777566624649"", ""4.201084837723847""]"
Bollebeekstraat,"[""50.9189574585154"", ""4.239784705551898""]"
Boonlochten,"[""50.9035431774728"", ""4.198195095253399""]"
Borrevaal,"[""50.91018258612002"", ""4.205958452677979""]"
Bosveld,"[""50.93323708301955"", ""4.206102173883988""]"
Boterberg,"[""50.88906806282854"", ""4.23197461382813""]"
Boven Vrijlegem,"[""50.9322198"", ""4.20820915""]"
Breker,"[""50.89513002932705"", ""4.243979240385753""]"
Bremt,"[""50.914158"", ""4.20491185""]"
Bremveld,"[""50.89334712262132"", ""4.245054806161553""]"
Breughelpark,"[""50.8844220530737"", ""4.270473144758021""]"
Broekeweg,"[""50.91091356854584"", ""4.19232126812669""]"
Broekooi,"[""50.89598637047213"", ""4.256578745054884""]"
Broekstraat,"[""50.90992153928794"", ""4.2378569324298665""]"
Bronstraat,"[""50.884511019843245"", ""4.266134697017065""]"
Brugstraat,"[""50.91165139887897"", ""4.205590422800775""]"
Brusselsesteenweg,"[""50.905413914381576"", ""4.209247448522873""]"
Buda,"[""50.9205303"", ""4.1774065""]"
Cesar Van Malderenstraat,"[""50.8826173"", ""4.27431385""]"
Ceuppensrij,"[""50.930954566368676"", ""4.214311344835951""]"
Cyriel Crappestraat,"[""50.88325151096822"", ""4.240796679873884""]"
D' Hoevestraat,"[""50.891119419343894"", ""4.281347563768832""]"
De Breukeleer,"[""50.8934800564991"", ""4.239611992416499""]"
Den Ham,"[""50.8885823291304"", ""4.278334354830622""]"
Den Hul,"[""50.9056281"", ""4.1974598499999995""]"
Dendermondestraat,"[""50.88824174914308"", ""4.265981880445311""]"
Dendermondsesteenweg,"[""50.92513613742041"", ""4.1823176542690375""]"
Diepestraat,"[""50.89832033023764"", ""4.243378530878574""]"
Doel,"[""50.88936062521126"", ""4.257306022249783""]"
Dokkenstraat,"[""50.898071103331894"", ""4.146605460828637""]"
Domberg,"[""50.904190685170306"", ""4.258753681650271""]"
Domentseweg,"[""FOUT, geen straat gevonden""]"
Doren,"[""50.92440305"", ""4.21904045""]"
Dorp,"[""50.9307813"", ""4.2268992""]"
Dorpsstraat,"[""50.90011655"", ""4.2807976""]"
Dorpveld,"[""50.92097235"", ""4.1550139999999995""]"
Drie Koningenlaan,"[""50.8838131"", ""4.27419305""]"
Driehuizen,"[""50.90437902103502"", ""4.249253274703681""]"
Driepikkel,"[""50.891092561603024"", ""4.2730138207649295""]"
Driest,"[""50.91948598388095"", ""4.154591528190054""]"
Edingsesteenweg,"[""50.900610099999994"", ""4.1827461""]"
Eekhout,"[""50.90568984980249"", ""4.15417824601789""]"
Eikstraat,"[""50.895733360160534"", ""4.244950494201012""]"
Elfjulistraat,"[""50.90014728809941"", ""4.215117404198817""]"
Elshout,"[""50.90352310825286"", ""4.161567891945794""]"
Enodeweg,"[""50.901789322901585"", ""4.183629850331805""]"
Essenestraat,"[""50.88657914845078"", ""4.154975703098446""]"
Fort,"[""50.926670001670544"", ""4.201322118507269""]"
Fossestraat,"[""50.902306501577264"", ""4.198349056629653""]"
Frans Schachtstraat,"[""50.8798067"", ""4.27893585""]"
Frans Thirrystraat,"[""50.88703445"", ""4.2714876""]"
Frans Timmermansstraat,"[""50.88765789341741"", ""4.275679110944831""]"
François Jacobslaan,"[""50.87657965"", ""4.28893035""]"
Galgenberg,"[""50.888540286452596"", ""4.27322666867417""]"
Ganzenbos,"[""50.91462593204555"", ""4.247215623748163""]"
Ganzeweg,"[""50.929223379084895"", ""4.212165844038799""]"
Gasthuisstraat,"[""50.911855333879956"", ""4.201157886962123""]"
Geertskouter,"[""50.9027918550128"", ""4.167090865853892""]"
Gemeentelos,"[""50.887778299999994"", ""4.2325053""]"
Gemeenteplein,"[""50.9099919"", ""4.2015465""]"
Gentsesteenweg,"[""50.91931924886476"", ""4.157940566064549""]"
Gildehof,"[""50.91185195"", ""4.194345650000001""]"
Godfried Kurthstraat,"[""50.91414485"", ""4.19224105""]"
Goede Luchtwijk,"[""50.8931689"", ""4.26223135""]"
Goedtsberge,"[""50.88378769901712"", ""4.265251595293487""]"
Grobbe,"[""50.902395865587856"", ""4.199448194292853""]"
Groeningekouter,"[""50.899917629118974"", ""4.217414826060078""]"
Groenstraat,"[""50.9207551"", ""4.169839""]"
