Straat,Coordinaten
Abdijstraat,"[""50.74711082319561"", ""3.40986334751003""]"
Achterdriesstraat,"[""50.78379842306126"", ""3.4258473427726095""]"
Achterhoek,"[""50.79335255"", ""3.4836989""]"
Albert Decockstraat,"[""50.78204984065686"", ""3.437687956950427""]"
Amelbergastraat,"[""50.74700421411214"", ""3.4072155075434623""]"
Assegem,"[""50.77953515"", ""3.4338188499999998""]"
Baarmstraat,"[""50.804542043890265"", ""3.50038024476001""]"
Beekstraat,"[""50.768542642371926"", ""3.447777563900688""]"
Beiaarddreef,"[""50.75921681625627"", ""3.431705509179618""]"
Bettestraat,"[""50.784185842785924"", ""3.434492127528377""]"
Bevrijdingslaan,"[""50.78257195"", ""3.4485297""]"
Binnenweg,"[""50.7756951"", ""3.4412429500000004""]"
Blauwe-Poortstraat,"[""50.79136389296872"", ""3.472278371558862""]"
Bleekveld,"[""50.77403628870251"", ""3.439629644179157""]"
Bosstraat,"[""50.7851589039031"", ""3.443568883021634""]"
Bossuitstraat,"[""50.7474735"", ""3.4057019""]"
Bouvriestraat,"[""50.74834062387651"", ""3.4043325628378787""]"
Bruggesteenweg,"[""50.79862226783881"", ""3.5004220943080067""]"
Brugstraat,"[""50.797044138399826"", ""3.5018187177491664""]"
Burchthof,"[""50.77767491068441"", ""3.4492224734353267""]"
Daniël Vermandereplein,"[""50.77450942509564"", ""3.4476952642739054""]"
De Ronde,"[""50.772437427579334"", ""3.4474351497772373""]"
Doorniksesteenweg,"[""50.76523032247639"", ""3.4410993277425104""]"
Doornstraat,"[""50.77003787230522"", ""3.4399249168958197""]"
Dorrestraat,"[""50.74902194972214"", ""3.408848627950819""]"
Drieputtenstraat,"[""50.77649469500538"", ""3.4298298101996667""]"
Driesstraat,"[""50.782163200738985"", ""3.433512484798337""]"
Etienne Balcaenstraat,"[""50.758015335055866"", ""3.444312646632507""]"
Ettenheimstraat,"[""50.7759869"", ""3.43618635""]"
Gabriel Herpoelstraat,"[""50.77773266823659"", ""3.443682003431704""]"
Ganzenhofstraat,"[""50.78034294438019"", ""3.4439291863536043""]"
Gemeenteplein,"[""50.775598"", ""3.4442049""]"
Gentweg,"[""50.75590482144574"", ""3.4273563081029854""]"
Harent,"[""50.77099892569774"", ""3.4543296115271414""]"
Heestertstraat,"[""50.762633050000005"", ""3.42279055""]"
Heye,"[""50.802783176669145"", ""3.513332277268002""]"
Hoogstraat,"[""50.77648048378172"", ""3.4395002182442824""]"
Hoogveld,"[""50.777631300094086"", ""3.4342726521698226""]"
Hulstraat,"[""50.78478703995127"", ""3.4674317772487018""]"
Huttegemstraat,"[""50.76971356009027"", ""3.4429597615424026""]"
Kaaistraat,"[""50.79544688368473"", ""3.50247805632664""]"
Kapellekouter,"[""50.778636664685294"", ""3.460640082166954""]"
Kapellestraat,"[""50.79561715"", ""3.49742945""]"
Kaphoekstraat,"[""50.789553763462784"", ""3.4506413532530105""]"
Kareelovenstraat,"[""50.77606140852117"", ""3.453801795675749""]"
Kasteelstraat,"[""50.77620241955078"", ""3.4484974124465815""]"
Kerkhofstraat,"[""50.77953446376053"", ""3.445424001261269""]"
Kerkstraat,"[""50.77563810934946"", ""3.4462973176984""]"
Ketserweg,"[""50.752969897111655"", ""3.409543059566978""]"
Kloosterhof,"[""FOUT, geen straat gevonden""]"
Knobbelstraat,"[""50.7900798"", ""3.4425694""]"
Knokstraat,"[""50.780524650000004"", ""3.4379904000000003""]"
