Straat,Coordinaten
't Hof,"[""51.12843674442832"", ""3.3615559005876565""]"
Aardappelstraat,"[""51.13869069527964"", ""3.3524313655674516""]"
Akkerstraat,"[""51.16096695508999"", ""3.316994887386471""]"
Albrecht Rodenbachstraat,"[""51.12902795219262"", ""3.3324753184520737""]"
Alice Nahonstraat,"[""51.12872747376925"", ""3.3310832324678303""]"
Amaat Dumonstraat,"[""51.17019913528043"", ""3.3416144770479765""]"
Anjelierenstraat,"[""51.12511948413538"", ""3.325558432115851""]"
Antwerpse Heirweg,"[""51.17378865913704"", ""3.394963647861489""]"
Audenaerdemolen,"[""51.14287459003672"", ""3.3657172778916364""]"
Azaleastraat,"[""51.127878482585075"", ""3.3260421293699616""]"
Bargelaan,"[""51.13791981286964"", ""3.341615069235593""]"
Beekstraat,"[""51.16477634029032"", ""3.2925720064825""]"
Beelkens,"[""51.1113125"", ""3.34585345""]"
Beernemstraat,"[""51.164045319896395"", ""3.339784401591532""]"
Berendonkstraat,"[""51.15453579882845"", ""3.3426862072890486""]"
Berenheemstraat,"[""51.1412977128231"", ""3.3429830961936444""]"
Bergstraat,"[""51.181367261425336"", ""3.327813894621716""]"
Berkenstraat,"[""51.12435736918104"", ""3.322014160977853""]"
Beukendreef,"[""51.1268492"", ""3.3229234500000002""]"
Beverhoutsveldstraat,"[""51.17737373618855"", ""3.3032731301916276""]"
Biestmeers,"[""51.17142196138436"", ""3.325846645223645""]"
Biezemoerstraat,"[""51.142415439017135"", ""3.338982051902818""]"
Binnenweg,"[""51.127161708193114"", ""3.3357982406949267""]"
Blind Ezelstraat,"[""51.13840392829997"", ""3.3895271219219936""]"
Bloemendalestraat,"[""51.13942430855632"", ""3.332094401924594""]"
Blommeke,"[""51.1271802"", ""3.299384""]"
Boereweg,"[""51.157098709030464"", ""3.318017214020349""]"
Boldersstraat,"[""51.1321134"", ""3.3691955""]"
Bootsdreef,"[""51.17405940828931"", ""3.291749290208431""]"
Bosstraat,"[""51.1483527"", ""3.36211925""]"
Broekstraat,"[""51.156568153618174"", ""3.3365421754174456""]"
Brouwersstraat,"[""51.13683625"", ""3.3364103""]"
Bruggestraat,"[""51.187938349999996"", ""3.2871334""]"
Bruinbergstraat,"[""51.1606928971584"", ""3.39688914805803""]"
Bulscampveld,"[""51.12041942431959"", ""3.290859987467276""]"
Burgemeester Claeysstraat,"[""51.136256012563905"", ""3.3292597753527398""]"
C. Marichalstraat,"[""51.140448197299094"", ""3.333725016718618""]"
Cipressenstraat,"[""51.125537089345436"", ""3.3204179566264704""]"
Citroenstraat,"[""51.132492458385805"", ""3.369608497337554""]"
Dalstraat,"[""51.173262699999995"", ""3.3271836""]"
Damsestraat,"[""51.13790618406142"", ""3.3404343620369685""]"
Danegemstraat,"[""51.181600064010176"", ""3.3617316426667583""]"
De Lange Stukken,"[""51.164986269775014"", ""3.339292146555027""]"
De Leegte,"[""51.17191133089054"", ""3.3310907667439196""]"
De Wissel,"[""51.130821350000005"", ""3.31924465""]"
Den Akker,"[""51.167220747194364"", ""3.3294776382300935""]"
Den Dis,"[""51.16573421429756"", ""3.3349065509091966""]"
Den Duine,"[""51.12780815"", ""3.3180835500000003""]"
Den Overzet,"[""51.143227270260695"", ""3.294865020032771""]"
Dennenstraat,"[""51.12462630321824"", ""3.323483953599882""]"
Dikkeboomstraat,"[""51.16841972692388"", ""3.3280565807353812""]"
Diksmuidse Boterweg,"[""51.141111800000004"", ""3.3395158499999997""]"
Drie Koningen,"[""51.12699895816229"", ""3.280321021002286""]"
