Straat,Coordinaten
Aanbeeldstraat,"[""51.31741867989949"", ""4.847527777938638""]"
Abdijstraat,"[""51.315521608386284"", ""4.858288966851297""]"
Absheide,"[""51.324056124210244"", ""4.82153830672049""]"
Akkerdries,"[""51.3219871028328"", ""4.84781977835858""]"
Akkerschootstraat,"[""51.304301273103924"", ""4.852523914689931""]"
Albertstraat,"[""51.3220506"", ""4.8560081""]"
Ambachtstraat,"[""51.30118885718381"", ""4.833781120240082""]"
Anjerstraat,"[""51.32490259915703"", ""4.866099409920675""]"
Antwerpseweg,"[""51.30172435"", ""4.7796608""]"
Asterstraat,"[""51.31997555329976"", ""4.8686354758782775""]"
Avondrood,"[""51.306947119727774"", ""4.8522420994954265""]"
Bareelstraat,"[""51.3070347"", ""4.8320908""]"
Beekakkersstraat,"[""51.32399835"", ""4.8414626499999995""]"
Beemdenstraat,"[""51.29729701798136"", ""4.831017114963046""]"
Beersedijk,"[""51.3081929"", ""4.7769824""]"
Berenlaan,"[""51.30584703197865"", ""4.857394616347979""]"
Bergmolen,"[""51.291977700000004"", ""4.77795265""]"
Beukenlaan,"[""51.319036360812945"", ""4.868699643320365""]"
Biehal,"[""51.33006338304709"", ""4.852958585155802""]"
Biezenstraat,"[""51.30630460130176"", ""4.836796900321754""]"
Bisschopslaan,"[""51.3142768038547"", ""4.856213054452538""]"
Blakheide,"[""51.3356244"", ""4.8002487""]"
Bloemenstraat,"[""51.29805302079994"", ""4.78270651330515""]"
Blokjesstraat,"[""51.315102534548586"", ""4.86306954254995""]"
Boogstraat,"[""51.30056728389891"", ""4.7823149834361125""]"
Bosduifstraat,"[""51.313318928375566"", ""4.7789632588521735""]"
Boterbloemstraat,"[""51.3200948"", ""4.867982""]"
Boudewijnstraat,"[""51.32137672548734"", ""4.853974246467421""]"
Bremstraat,"[""51.3141685367461"", ""4.8663103943831345""]"
Brugstraat,"[""51.31518065"", ""4.84633295""]"
Busselen,"[""51.3247063"", ""4.855994""]"
Dageraadlaan,"[""51.3093008"", ""4.8491829""]"
Daliastraat,"[""51.32174500146149"", ""4.865927250617333""]"
Deken Verhulststraat,"[""51.29605145"", ""4.77971925""]"
Dennenlaan,"[""51.302746970808315"", ""4.8445172288973115""]"
Dijkstraat,"[""51.32904938843732"", ""4.8713333725375465""]"
Don Boscostraat,"[""51.32212040511317"", ""4.859528563306962""]"
Dorpstraat,"[""51.29776065"", ""4.7783242""]"
Dr. Paul Janssenstraat,"[""51.323774653021665"", ""4.873805979918939""]"
Draaiboom,"[""51.2912003"", ""4.778149900000001""]"
Driesplein,"[""51.313182147895624"", ""4.860003847826375""]"
Duivenhoek,"[""51.32761834272605"", ""4.824820438414016""]"
Edward Woutersstraat,"[""51.32385735"", ""4.87258965""]"
Eekhoornstraat,"[""51.317128350000004"", ""4.7905912""]"
Eendenstraat,"[""51.31621088986562"", ""4.788697560098011""]"
Egelspoelstraat,"[""51.31186341757491"", ""4.850666049697576""]"
Eikenstraat,"[""51.31836183659823"", ""4.865889336268719""]"
