Straat,Coordinaten
's Hertogenbos,"[""50.72396009559959"", ""4.274390583769569""]"
't Heiken,"[""50.740585411904966"", ""4.328813307075915""]"
't Smis,"[""50.770960579259054"", ""4.268388361105037""]"
't Veld,"[""50.745219583012904"", ""4.331047967290619""]"
A. Vaucampslaan,"[""50.75206539649835"", ""4.262463542008115""]"
Acacialaan,"[""50.74829415"", ""4.346697813916239""]"
Albert Deneyerplein,"[""FOUT, geen straat gevonden""]"
Albert Denystraat,"[""50.76966177570108"", ""4.2876693658648115""]"
Alsembergsesteenweg,"[""50.779051586640485"", ""4.325485395528394""]"
Alsembergsteenweg,"[""50.750746504191376"", ""4.333545999293689""]"
Alsembloemlaan,"[""50.746009"", ""4.3233770499999995""]"
Alverdries,"[""50.72904535097399"", ""4.29324060340739""]"
Ansberg,"[""50.7516448"", ""4.28043525""]"
Ast,"[""50.75438252630873"", ""4.2987635281807375""]"
Banmolendreef,"[""FOUT, geen straat gevonden""]"
Batenborg,"[""50.74775687897027"", ""4.280804995900313""]"
Bedevaartweg,"[""50.757056612308745"", ""4.319455293411058""]"
Beemd,"[""50.739816727918154"", ""4.333620549630475""]"
Beerselsestraat,"[""50.74897902452489"", ""4.262439282008083""]"
Begijnbosstraat,"[""50.743651568289636"", ""4.309139531209407""]"
Begijnenbosweg,"[""50.739874229969324"", ""4.311151104944705""]"
Beling,"[""50.73124653393963"", ""4.297348939738236""]"
Bergensesteenweg,"[""50.77647697955413"", ""4.269903011283844""]"
Berkenlaan,"[""50.748545583812266"", ""4.328342790394879""]"
Beukenbosstraat,"[""50.752114899999995"", ""4.33316065""]"
Beukenlaan,"[""50.735534226848955"", ""4.288633656452934""]"
Beukenlandschap,"[""50.7664322717868"", ""4.303131286962981""]"
Beukenplein,"[""50.755133068922994"", ""4.348754811437903""]"
Beukenstraat,"[""50.76972319617354"", ""4.3228907013776015""]"
Beverstraat,"[""50.76375302815467"", ""4.278920095669613""]"
Biezeweide,"[""50.77658626520814"", ""4.312320651310943""]"
Blarenveld,"[""50.76413713804284"", ""4.302526784728016""]"
Blijkveld,"[""50.76458809151518"", ""4.279299328911247""]"
Bloemendal,"[""50.759595552462365"", ""4.336015871567712""]"
Bloemenerf,"[""50.7558350680473"", ""4.354027672371982""]"
Bloemhofstraat,"[""50.764363849999995"", ""4.31017905""]"
Blokbos,"[""50.7621847"", ""4.2805659""]"
Blutsdelle,"[""50.74936182774113"", ""4.327632789364734""]"
