Straat,Coordinaten
Akrenbos,"[""50.7283027"", ""3.9120399""]"
Akrenbos domein,"[""50.72573499346939"", ""3.9021109915793124""]"
Bloemendael,"[""50.72753909653486"", ""3.9196381378323775""]"
Bosstraat,"[""50.72659345940797"", ""3.933327535620126""]"
Broeck,"[""50.710337501444045"", ""3.9190306229324454""]"
Burght,"[""50.7146524"", ""3.9358125""]"
Calvaire,"[""50.71682656827748"", ""3.935807574349455""]"
Commijn,"[""50.7033607"", ""3.9310628""]"
Eeckhout,"[""50.7204049"", ""3.9372393""]"
Freest,"[""50.71441757404876"", ""3.9393543872152574""]"
Ghesuele,"[""50.70417192386785"", ""3.9586975751011937""]"
Kamstraat,"[""50.7172908"", ""3.9490135""]"
Kerkhove,"[""50.7118196"", ""3.9324948""]"
Muydt,"[""50.697532"", ""3.9292945""]"
Plaats,"[""50.716892708840845"", ""3.939446480549032""]"
Pontembeek,"[""50.71189243205376"", ""3.9415629147794546""]"
Poreel,"[""50.71788102054879"", ""3.938789350959089""]"
Puydt,"[""50.70824814820591"", ""3.9716829223848937""]"
Romont,"[""50.69345614381196"", ""3.940515686147849""]"
Rue Manhove,"[""FOUT, geen straat gevonden""]"
Ter Eecke,"[""50.7182626"", ""3.93681255""]"
Torrezeel,"[""50.70533591976345"", ""3.943737061762027""]"
