Straat,Coordinaten
Abdijweg,"[""51.17153876490431"", ""4.5426041507957455""]"
Acacialaan,"[""51.16248153453239"", ""4.483597537921676""]"
Alexander Franckstraat,"[""51.15837515"", ""4.5053654000000005""]"
Alexianenweg,"[""51.15990477690715"", ""4.506796461536534""]"
Anemonenlaan,"[""51.17857630624856"", ""4.518284450744903""]"
Appelkantstraat,"[""51.1584"", ""4.48677""]"
Arckenhovelaan,"[""51.16427366752168"", ""4.5119244597731285""]"
Asberglaan,"[""51.1625032"", ""4.5046145""]"
Azalealaan,"[""51.180661806427096"", ""4.517010700141767""]"
Baron Carolylaan,"[""FOUT, geen straat gevonden""]"
Baroniestraat,"[""51.17333225"", ""4.5295865""]"
Beemdweg,"[""51.1725995790037"", ""4.535741440353989""]"
Begonialaan,"[""51.17978483894103"", ""4.5201079822505426""]"
Berderenmolensteeg,"[""FOUT, geen straat gevonden""]"
Bergstraat,"[""51.13962783151831"", ""4.510960765796696""]"
Berkenlaan,"[""51.177054644995955"", ""4.524601059263108""]"
Bert Bibberpad,"[""51.17287462479338"", ""4.502114797616627""]"
Berthoutstraat,"[""51.17294907351483"", ""4.525958306831177""]"
Bessemstraat,"[""51.16582292916541"", ""4.480870109910016""]"
Binnensteenweg,"[""51.1663373"", ""4.494771050000001""]"
Bistweg,"[""51.15895131130544"", ""4.493106498690525""]"
Bloemenhof,"[""51.163198052678226"", ""4.5370447677817065""]"
Boechoutveldweg,"[""51.17259716473001"", ""4.519317860996249""]"
Boningrode,"[""51.170594589485965"", ""4.511769207343871""]"
Boomkensstraat,"[""51.1757882"", ""4.525251900000001""]"
Boomklever,"[""51.17217185"", ""4.501463749999999""]"
Borsbeeksesteenweg,"[""51.16873084474417"", ""4.492455789415944""]"
Boshoek,"[""51.1310675"", ""4.530512""]"
Breemlaan,"[""51.16372249822982"", ""4.51520564941649""]"
Broechemsesteenweg,"[""51.1728729"", ""4.5439107""]"
Broederlozestraat,"[""51.184138853613945"", ""4.53833554934537""]"
Bulletje en Boonestaakpad,"[""FOUT, geen straat gevonden""]"
Cijnshofweg,"[""51.16975638448399"", ""4.561389549642644""]"
Dahlialaan,"[""51.18000615106086"", ""4.518597596257673""]"
De Lochtlaan,"[""51.16370277842343"", ""4.513417823965576""]"
Den Drijhoek,"[""51.16434825"", ""4.506004750000001""]"
Den Heuvelt,"[""51.16127769546562"", ""4.48770884999849""]"
Den Rijger,"[""51.17662907978603"", ""4.520358400391005""]"
Dielmanlaan,"[""51.16289014966841"", ""4.510324376782069""]"
Doornstraat,"[""51.15604856978155"", ""4.488039672147739""]"
Dorpsplaats,"[""51.17551075329445"", ""4.523732865945863""]"
Dr. Theo Tutsstraat,"[""51.1617864"", ""4.494298""]"
Drie-aardenlaan,"[""51.16307047887071"", ""4.5088276080462295""]"
Eekstraat,"[""51.17844383443467"", ""4.535441032283317""]"
Eggelstraat,"[""51.18498111329358"", ""4.50961745337494""]"
Eggerseelstraat,"[""51.1620129496813"", ""4.518374665795886""]"
Eikhof,"[""51.176512134393704"", ""4.5254873998734455""]"
Eksterstraat,"[""51.1697496289154"", ""4.503091617886208""]"
Elfbunderweg,"[""51.15769950000001"", ""4.49393025""]"
Emiel Vanderstraetenlei,"[""FOUT, geen straat gevonden""]"
Eugeen De Ridderstraat,"[""51.15914577342275"", ""4.488961903261318""]"
Frans Segersstraat,"[""51.16438248986073"", ""4.493331715825401""]"
Frans Van der Muerenstraat,"[""51.16888460475169"", ""4.499606153226967""]"
Fruithoflaan,"[""51.159094281513376"", ""4.485025768855698""]"
Galgenstuk,"[""51.15356928796052"", ""4.523242605217359""]"
George Van Raemdoncklaan,"[""51.162599650000004"", ""4.4982211""]"
Gillegomstraat,"[""51.166371049999995"", ""4.49694725""]"
Grensstraat,"[""51.155294628523"", ""4.483714254506847""]"
Groene Stap,"[""51.15650481919763"", ""4.489868048433958""]"
Groenenbroek,"[""51.18421320857222"", ""4.5425082716918785""]"
Groeningelei,"[""51.15790921398545"", ""4.486133508993585""]"
Groenstraat,"[""51.1679399"", ""4.5072546""]"
Grotehoeveweg,"[""51.16775423336864"", ""4.558793130793467""]"
Guido Gezellestraat,"[""51.168096807387045"", ""4.498931988939919""]"
Heerbaan,"[""51.16286032143785"", ""4.507300026453013""]"
Hellebinnenweg,"[""51.16532286615211"", ""4.514856035768886""]"
Hellestraat,"[""51.165655975888775"", ""4.515063167590366""]"
Herentalsebaan,"[""51.1820231"", ""4.5512919499999995""]"
Het Veld,"[""51.164335200000004"", ""4.50738045""]"
Heuvelstraat,"[""51.1612243"", ""4.4899489""]"
Hof van Boechout,"[""51.15240863405452"", ""4.491526278340292""]"
Holleweg,"[""51.1544142362009"", ""4.488486675445408""]"
Hondstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Hovesesteenweg,"[""51.15732674043258"", ""4.487261433764027""]"
Hugo Verrieststraat,"[""51.169739256642636"", ""4.4994419195394375""]"
IJzerlei,"[""51.16365401905527"", ""4.49144711909545""]"
Irislaan,"[""51.18008555"", ""4.5175227499999995""]"
Jacques Corstienslei,"[""51.16426211837063"", ""4.491176433846922""]"
Jan Cockxplein,"[""FOUT, geen straat gevonden""]"
Jan Frans Willemsstraat,"[""51.1592824"", ""4.4962691""]"
Janssenlei,"[""51.16237295779452"", ""4.499150551134515""]"
Jef Van Hoofplein,"[""51.15886215"", ""4.4916662""]"
Jennevallaan,"[""51.156072820760244"", ""4.511447312421008""]"
Joseph Van Hellemontlei,"[""51.173272350000005"", ""4.522145399999999""]"
Julia Schuytenlei,"[""51.16296105235824"", ""4.491077884132314""]"
Kapelleveldstraat,"[""51.1578929062912"", ""4.5079867800416356""]"
Kardinaal Sterckxstraat,"[""51.1667051"", ""4.498451""]"
Kerkweg,"[""51.17496684749808"", ""4.524436580632729""]"
Kievitstraat,"[""51.170539111091784"", ""4.5012380767119975""]"
Koekoekstraat,"[""51.17004385339939"", ""4.503693059912258""]"
Koeveldstraat,"[""51.182391172467135"", ""4.5074633668429085""]"
Konijnenbergstraat,"[""51.15711751211822"", ""4.4916944592242825""]"
Koolmeesstraat,"[""51.17161807804746"", ""4.501720563904673""]"
Kwakkelstraat,"[""51.173105786496116"", ""4.493435539008391""]"
Lange Kroonstraat,"[""51.16412293725129"", ""4.4868720746970725""]"
Langsweg,"[""51.14878296766926"", ""4.522706586343662""]"
Lauwerijkstraat,"[""51.145176498443384"", ""4.515941509476267""]"
Lazerijstraat,"[""51.18373261652855"", ""4.511606433365801""]"
Leeuwerikstraat,"[""51.171449368412105"", ""4.50599027412533""]"
Lijsterstraat,"[""51.1707118"", ""4.5041268""]"
Lindelei,"[""51.17216721591688"", ""4.519449013314677""]"
Lintacker,"[""51.15686384126664"", ""4.496347977922846""]"
Lispersteenweg,"[""51.1594054"", ""4.5109178""]"
Marcel De Ridderstraat,"[""51.17616091349565"", ""4.531753851534347""]"
Mastenweg,"[""51.15208149360876"", ""4.50895507688534""]"
Melkkuipstraat,"[""51.15522323325913"", ""4.5049401693095215""]"
Merelstraat,"[""51.1720292712999"", ""4.505658224076857""]"
Millegemweg,"[""51.17747164830858"", ""4.527969007396266""]"
Molenlei,"[""51.1626337"", ""4.4930791""]"
Mussenhoevelaan,"[""51.1670371"", ""4.5032664""]"
Mussenplein,"[""FOUT, geen straat gevonden""]"
Nachtegaalstraat,"[""51.16900215"", ""4.5066896""]"
Nekkershole,"[""FOUT, geen straat gevonden""]"
Nieuweweg,"[""51.16153322996442"", ""4.536334431969789""]"
Nijverheidsstraat,"[""51.16759675"", ""4.4888745""]"
O.-L.-Vrouweplein,"[""FOUT, geen straat gevonden""]"
Olieslagerijstraat,"[""51.17899865673956"", ""4.50314676446768""]"
Oude Steenweg,"[""51.1676863"", ""4.4810793""]"
Oudebaan,"[""51.17013817940329"", ""4.488029079371474""]"
Pastoor Henrottestraat,"[""51.17661835399296"", ""4.523813639867803""]"
Pastoorsleike,"[""51.15936068632541"", ""4.493085581757713""]"
Piet Pienterpad,"[""FOUT, geen straat gevonden""]"
Pietingbaan,"[""51.17771487733382"", ""4.524912799135763""]"
Pimpelmeesstraat,"[""51.17116265"", ""4.502800199999999""]"
Pooiegemweg,"[""51.154518234334084"", ""4.513618398392709""]"
Provinciesteenweg,"[""51.16302145"", ""4.50305325""]"
Ranstsesteenweg,"[""51.169807332927924"", ""4.563992308035163""]"
Reigersmolenstraat,"[""51.17377931862426"", ""4.524013626847409""]"
Rode Leeuwplein,"[""51.16570101321653"", ""4.493778069220222""]"
Rollebeekpad,"[""FOUT, geen straat gevonden""]"
Roodborststraat,"[""51.1688728"", ""4.5030259""]"
Ropstocklei,"[""51.1573347"", ""4.4876128""]"
Rozenlaan,"[""51.1791681"", ""4.5199748""]"
Schaliehoevelaan,"[""51.1639741"", ""4.5073625""]"
Schalieweg,"[""51.1586151"", ""4.5059646""]"
Schransstraat,"[""51.166372"", ""4.497196""]"
Selbstraat,"[""51.1646338"", ""4.4970777""]"
Sint-Bavoplein,"[""51.1591721"", ""4.4915196""]"
Sint-Bernardsstraat,"[""51.1746961"", ""4.5454111""]"
Sint-Gabriëlstraat,"[""51.1631436"", ""4.4880015""]"
Smalleweg,"[""51.1645697"", ""4.4956237""]"
Smederijstraat,"[""51.1511489"", ""4.5223241""]"
Smeendijk,"[""51.165502"", ""4.5288998""]"
Smishoek,"[""51.1756091"", ""4.5231349""]"
Sneppenbosweg,"[""51.1699629"", ""4.5127733""]"
Sombekestraat,"[""51.1721008"", ""4.4922036""]"
Spechtstraat,"[""51.1717413"", ""4.5031984""]"
Speelhofweg,"[""51.1755194"", ""4.5260102""]"
Spokenhofstraat,"[""51.176595"", ""4.4878361""]"
Spoorweglei,"[""51.1626423"", ""4.4958242""]"
Sportveldlaan,"[""51.1598435"", ""4.4850781""]"
Stoofstraat,"[""51.1534782"", ""4.524126""]"
Ten Halve,"[""51.1659416"", ""4.5015284""]"
Terbankstraat,"[""51.1573363"", ""4.516186""]"
Termikkelaan,"[""51.1639399"", ""4.5102068""]"
