Straat,Coordinaten
A. Van Langhendoncklaan,"[""50.9955729"", ""4.5342118""]"
Aambeeldstraat,"[""50.9937146"", ""4.5423257""]"
Aarschotsebaan,"[""50.9743408"", ""4.5534618""]"
Anderveldstraat,"[""50.971496"", ""4.5960377""]"
Anjerweg,"[""50.9767454"", ""4.541122""]"
Aststraat,"[""50.9819918"", ""4.5732396""]"
Audenhovenlaan,"[""50.981814"", ""4.5697955""]"
Azalealaan,"[""50.9783004"", ""4.5421137""]"
Barelweg,"[""50.9848828"", ""4.535596""]"
Begonialaan,"[""50.9781456"", ""4.5430728""]"
Bergstraat,"[""50.9862804"", ""4.5673003""]"
Beringstraat,"[""50.9722517"", ""4.5668733""]"
Berkenlaan,"[""50.9968549"", ""4.5320224""]"
Bieststraat,"[""50.9801258"", ""4.5293327""]"
Blokstraat,"[""50.9785956"", ""4.5407469""]"
Boomblokweg,"[""50.9768482"", ""4.5503956""]"
Borreveldweg,"[""50.9659087"", ""4.6035103""]"
Bosbeekweg,"[""50.9836709"", ""4.5215106""]"
Bosveld,"[""50.9747438"", ""4.5363333""]"
Bovylaan,"[""50.9966498"", ""4.5510895""]"
Bredepleinstraat,"[""50.9787425"", ""4.567306""]"
Broekstraat,"[""50.9845922"", ""4.5856901""]"
Brouwersstraat,"[""50.981932"", ""4.572775""]"
Burggraaf G. Terlindenlaan,"[""50.979704"", ""4.5277346""]"
Caetersbosweg,"[""50.9717519"", ""4.5350193""]"
Consciencelaan,"[""50.9814115"", ""4.5175528""]"
Dalialaan,"[""50.9803683"", ""4.5428286""]"
Dennenweg,"[""50.9780627"", ""4.5615915""]"
Dijkstraat,"[""50.9781067"", ""4.5647432""]"
Donk,"[""50.9932197"", ""4.5610011""]"
Dorpplaats,"[""50.9807219"", ""4.5723834""]"
Dorpsstraat,"[""50.9803734"", ""4.573698""]"
Dreef,"[""50.9786085"", ""4.5905007""]"
Eekhoornhof,"[""50.9830323"", ""4.5203352702471085""]"
Erasmuslaan,"[""50.9813285"", ""4.5248845""]"
Eugène De Roplein,"[""50.9628633"", ""4.6058293""]"
Eyselaarstraat,"[""50.9682159"", ""4.5981617""]"
F. Timmermansstraat,"[""50.9933974"", ""4.5475888""]"
Fabrieksweg,"[""50.9661417"", ""4.6037238""]"
Familielaan,"[""50.9766874"", ""4.5750286""]"
Geelsveldweg,"[""50.9714331"", ""4.586575""]"
Genninckstraat,"[""50.9749821"", ""4.5890185""]"
Goorstraat,"[""50.9909727"", ""4.5300101""]"
Goorweg,"[""50.9852121"", ""4.5199366""]"
Gottendijsdreef,"[""50.9778079"", ""4.5342064""]"
Groenstraat,"[""50.9644371"", ""4.6008451""]"
Grootveldweg,"[""50.9819811"", ""4.5644564""]"
Guido Gezellestraat,"[""50.9897425"", ""4.548017""]"
Haagbeukweg,"[""50.9848219"", ""4.5241992""]"
Hamerstraat,"[""50.9925574"", ""4.5449104""]"
Hanswijkstraat,"[""50.9817656"", ""4.570394""]"
Hazelaarweg,"[""50.9844495"", ""4.5272379""]"
Heesterweg,"[""50.9846275"", ""4.5288105""]"
Heideweg,"[""50.9841718"", ""4.5261219""]"
Heihoekweg,"[""50.9941555"", ""4.534602""]"
Heikestraat,"[""50.978962"", ""4.5656371""]"
Heldenplein,"[""FOUT, geen straat gevonden""]"
Herman De Coninckstraat,"[""50.9970595"", ""4.5385658""]"
Hertogin van Brabantplein,"[""50.97897395"", ""4.559824927818555""]"
Heverbaan,"[""50.9867044"", ""4.5635615""]"
Heverplein,"[""50.9924855"", ""4.5552491""]"
Heverveldweg,"[""50.9933201"", ""4.5444439""]"
Hillemaweg,"[""50.9956035"", ""4.5507626""]"
Hoekstraat,"[""50.9929802"", ""4.5363906""]"
Hollestraat,"[""50.9769082"", ""4.5845037""]"
Hoogstraat,"[""50.9930402"", ""4.5543911""]"
Ida Vermeulenstraat,"[""50.9843281"", ""4.5529469""]"
Industrieweg,"[""50.9634026"", ""4.5807033""]"
Irislaan,"[""50.9743322"", ""4.5465709""]"
Jaak Lemmensstraat,"[""50.9969272"", ""4.5459066""]"
Jasmijnlaan,"[""50.974559"", ""4.541879""]"
Jef Denijnstraat,"[""50.9961124"", ""4.5479731""]"
Jupiterweg,"[""FOUT, geen straat gevonden""]"
Kallebeekstraat,"[""50.9786552"", ""4.5571843""]"
Kantoorstraat,"[""50.9797019"", ""4.5612818""]"
Kapitein A.Tobbackstraat,"[""FOUT, geen straat gevonden""]"
Karabiniersstraat,"[""FOUT, geen straat gevonden""]"
Kasteeldreef,"[""50.9781437"", ""4.5263737""]"
Kerkweg,"[""50.9817754"", ""4.5685372""]"
Kleinveldweg,"[""50.9977979"", ""4.5490265""]"
Koevoetstraat,"[""50.9951216"", ""4.5413684""]"
Koningslaak,"[""50.9795577"", ""4.5770323""]"
Korenweg,"[""50.9825469"", ""4.5636093""]"
Korte Bruul,"[""50.9802386"", ""4.574457""]"
Kouter,"[""50.9932758"", ""4.5396165""]"
Kriekelarenveld,"[""50.981924"", ""4.5292061""]"
Krokuslaan,"[""50.9763655"", ""4.545314""]"
Kromme Elleboog,"[""50.9849558"", ""4.5319234""]"
Kroonprinses Elisabethstraat,"[""50.979203"", ""4.5594675""]"
Kruisveldweg,"[""50.973588"", ""4.5701449""]"
Kwaenijkstraat,"[""50.9935226"", ""4.5379468""]"
Kwijtveldstraat,"[""50.9779618"", ""4.5803729""]"
L. Van Beethovenlaan,"[""50.9802776"", ""4.5272697""]"
Laarstraat,"[""50.9667631"", ""4.5758024""]"
Laekestraat,"[""50.9686746"", ""4.601846""]"
Lange Bruul,"[""50.9843376"", ""4.5756405""]"
Langedonckstraat,"[""50.9652352"", ""4.5670974""]"
Langestraat,"[""50.9645355"", ""4.5628864""]"
Lelielaan,"[""50.9754778"", ""4.5422313""]"
Leuvensesteenweg,"[""50.9944929"", ""4.5321693""]"
Lijsterstraat,"[""50.971245"", ""4.5836969""]"
Lindenlaan,"[""50.9974488"", ""4.535377""]"
Lisdoddeweg,"[""50.9852713"", ""4.5320251""]"
Lobroeken,"[""50.9881481"", ""4.5397736""]"
Loobeekstraat,"[""50.968626"", ""4.5824285""]"
Looikesstraat,"[""FOUT, geen straat gevonden""]"
Lotuslaan,"[""50.975624"", ""4.5467269""]"
Lotusplein,"[""50.977709950000005"", ""4.545031664420824""]"
Maenrot,"[""50.9705498"", ""4.5609493""]"
Marsweg,"[""50.9768055"", ""4.5776813""]"
Mechelsebaan,"[""50.9855928"", ""4.5652668""]"
Meerbeekhof,"[""50.964681150000004"", ""4.601928165050189""]"
Meerbemdweg,"[""FOUT, geen straat gevonden""]"
Mercatorlaan,"[""50.982564"", ""4.5182835""]"
Mezenlaan,"[""50.9799002"", ""4.5381939""]"
Mimosalaan,"[""50.973863"", ""4.545294""]"
Molenbeekstraat,"[""50.9867925"", ""4.5743319""]"
Molenheidebaan,"[""50.9913051"", ""4.5274025""]"
Molenstraat,"[""50.9902963"", ""4.5278491""]"
Mouterij,"[""50.98075"", ""4.5741203""]"
Muizenseweg,"[""50.9982156"", ""4.5391979""]"
Nachtegaalstraat,"[""50.9717291"", ""4.5819693""]"
Narcislaan,"[""50.9756368"", ""4.5446143""]"
Neerhofstraat,"[""50.9829776"", ""4.5612486""]"
Nieuwe weg,"[""50.9820186"", ""4.5736867""]"
Nonnenveld,"[""50.985401"", ""4.556208""]"
O.L.Vrouweweg,"[""50.9935479"", ""4.5522064""]"
Olmenlaan,"[""50.9967054"", ""4.5348661""]"
Oudestraat,"[""FOUT, straat in foute gemeente gevonden""]"
Pachthofstraat,"[""50.9822822"", ""4.5553054""]"
Paepestraat,"[""50.9660568"", ""4.5978142""]"
Passerstraat,"[""50.9927816"", ""4.5434869""]"
Pastoor Ceulemansstraat,"[""50.9837084"", ""4.5343253""]"
Pastoor Stuycklaan,"[""50.983516"", ""4.5276447""]"
Pastorijstraat,"[""50.981924"", ""4.571431""]"
Pater Damiaanstraat,"[""50.99551256683234"", ""4.547089929503793""]"
Patrijzenweg,"[""50.9808739222302"", ""4.535535265892431""]"
Perelarenlaan,"[""FOUT, geen straat gevonden""]"
Peter Benoitstraat,"[""50.99740542064557"", ""4.547990500986878""]"
Pleinstraat,"[""50.961734485160825"", ""4.60530871490477""]"
Pontstraat,"[""50.9755787"", ""4.5616645""]"
Postweg,"[""50.994684892769065"", ""4.552979684645567""]"
Provinciesteenweg,"[""50.966699658091684"", ""4.612076546232132""]"
Puttekensweg,"[""50.9784017"", ""4.5785035""]"
Ravesteinstraat,"[""50.99873785"", ""4.547235049999999""]"
Rijkenhoekstraat,"[""50.978378841980046"", ""4.549918744034871""]"
Rijmenamsebaan,"[""50.99069081724626"", ""4.5793138621874165""]"
Robensvenweg,"[""50.96791722638237"", ""4.558559979065591""]"
Rodenbachstraat,"[""50.99517735"", ""4.54696085""]"
Rosvenweg,"[""50.99233759253789"", ""4.539983594137917""]"
Rozenlaan,"[""50.97599709730946"", ""4.54602173525727""]"
Rubenslaan,"[""50.98200045"", ""4.5204105000000006""]"
Salvialaan,"[""50.97224899359773"", ""4.544972750100476""]"
Sas,"[""50.973952002640715"", ""4.5602452369815785""]"
Schippersbos,"[""50.9763375"", ""4.5613492""]"
Schoolstraat,"[""50.97441764796515"", ""4.5666429665197334""]"
Schoubroekstraat,"[""50.987954807217235"", ""4.566275680707722""]"
Schrans,"[""50.96843831492499"", ""4.574448404977817""]"
Sijsjeslaan,"[""50.980605478208574"", ""4.534786036620359""]"
Sint Adriaanweg,"[""50.98260623491453"", ""4.575005787162076""]"
Sint-Antoniusstraat,"[""50.99274610981865"", ""4.55225904918674""]"
Slagveldweg,"[""50.99310880021231"", ""4.546278918364966""]"
Smisstraat,"[""50.993813277444914"", ""4.542020270383898""]"
Sportveldweg,"[""50.98191208392007"", ""4.566110185935065""]"
Stationsstraat,"[""50.99499296081542"", ""4.535195865640385""]"
Stationsweg,"[""50.998338149999995"", ""4.5379741""]"
Stijn Streuvelslaan,"[""50.981041482409864"", ""4.52309707205256""]"
Strandweg,"[""50.98469979361357"", ""4.519636424416277""]"
Trianonlaan,"[""50.99458049535364"", ""4.5318301391237625""]"
Tulpenlaan,"[""50.97957975"", ""4.54187775""]"
Uranusweg,"[""50.97524345250752"", ""4.577940198920489""]"
Vaartdijk,"[""50.98292818020297"", ""4.546122469651279""]"
Vaartstraat,"[""50.98836723763967"", ""4.533748369938111""]"
Venneweg,"[""50.98280283701172"", ""4.536149604125793""]"
Venstraat,"[""50.983085698112184"", ""4.532833334360461""]"
Venuslaan,"[""50.97549748200418"", ""4.578205660118756""]"
Vinkenlaan,"[""50.97996445"", ""4.536906999999999""]"
Voetbalweg,"[""50.987346696727"", ""4.577937272948249""]"
Vogelzangwijk,"[""50.97127241844829"", ""4.581384956635942""]"
Vondelingenstraat,"[""50.96547755475776"", ""4.600512345478838""]"
Vorstweg,"[""50.9708899447372"", ""4.577888386045821""]"
Vosweg,"[""50.97717082943304"", ""4.56821879465313""]"
Waterbosstraat,"[""50.971221819198526"", ""4.555383003681103""]"
Weerstandsstraat,"[""50.98697897100209"", ""4.57380480834307""]"
Wespelaarsebaan,"[""50.965599663494054"", ""4.604096007491481""]"
