Straat,Coordinaten
't Hoogste,"[""51.0783721"", ""4.2254908""]"
Absveldstraat,"[""51.093310092322724"", ""4.233217830521492""]"
Achterweidestraat,"[""51.096288948019215"", ""4.230458233616274""]"
Albertstraat,"[""51.09680278830895"", ""4.243332487079175""]"
Allemanshofstraat,"[""51.096365296471994"", ""4.234152607507602""]"
Anemonenlaan,"[""51.08380388630643"", ""4.2141676381909265""]"
Appeldijkstraat,"[""51.093128710958204"", ""4.195899624633587""]"
Aspergestraat,"[""51.10454561390119"", ""4.265902858461402""]"
Bareldreef,"[""51.08703766191321"", ""4.228622589998195""]"
Barelstraat,"[""51.08743985127517"", ""4.2332355630569145""]"
Barelveldweg,"[""51.0905442"", ""4.2279475""]"
Beekje,"[""51.09674565220461"", ""4.2785639280256245""]"
Beerdonkstraat,"[""51.079787831584184"", ""4.200252938300977""]"
Benedenstraat,"[""51.07941061159804"", ""4.1971121610358635""]"
Berkenlaan,"[""51.08921922871213"", ""4.220626058905016""]"
Beukelbaan,"[""51.082349051389734"", ""4.26856140848944""]"
Biezenstraat,"[""51.106920599999995"", ""4.265896799999999""]"
Bijenstraat,"[""51.0973936115099"", ""4.246049007834326""]"
Binnendijkstraat,"[""51.10580518533794"", ""4.20145149417481""]"
Bleekstraat,"[""51.0946084"", ""4.2395717""]"
Bolleshof,"[""51.06692674654995"", ""4.1896725754689985""]"
Boomstraat,"[""51.09899257880969"", ""4.233992084089143""]"
Bornemstraat,"[""51.06547795212453"", ""4.207273809529523""]"
Bornheimplein,"[""51.09390319972943"", ""4.242483896665716""]"
Boskant,"[""51.08096072892689"", ""4.222633237519227""]"
Boterbloemenlaan,"[""51.084040863307195"", ""4.212861878875426""]"
Bovenbroekweg,"[""51.11209067268339"", ""4.279501551904254""]"
Bovenstraat,"[""51.07804948185125"", ""4.1971466502919945""]"
Brandheide,"[""51.089835199999996"", ""4.2173936""]"
Branstsedreef,"[""51.0799644820586"", ""4.202791355917865""]"
Breevendreef,"[""51.09371969604276"", ""4.236143781539342""]"
Breevenstraat,"[""51.09476878689883"", ""4.238153055785807""]"
Bremlaan,"[""51.083726177445456"", ""4.218452751422727""]"
Briel,"[""51.0908637"", ""4.1902524""]"
Broekstraat,"[""51.100772073715255"", ""4.245093363641258""]"
Broekweg,"[""51.10433919484682"", ""4.255805611548969""]"
Buitenland,"[""51.1121278"", ""4.2208129""]"
Buitenlandpolderdijk,"[""51.11754697565185"", ""4.229321142728008""]"
Buizerdlaan,"[""51.07557426840139"", ""4.202932266801561""]"
Caeneghemhoevestraat,"[""51.10722825"", ""4.29175975""]"
Cesar Van Kerckhovenstraat,"[""51.0989911"", ""4.26824735""]"
Clementstraat,"[""51.09475282460187"", ""4.23508778837148""]"
Collegelaan,"[""51.091996699999996"", ""4.22382685""]"
Constant Marnefstraat,"[""51.092374950395275"", ""4.306444810394772""]"
Dageraadplaats,"[""51.09700169188745"", ""4.238350086619529""]"
De Kroonstraat,"[""51.09713177415613"", ""4.237094576549854""]"
Dennenlaan,"[""51.089487648548946"", ""4.219679450096804""]"
Desiré Van Hoomissenstraat,"[""51.09161885"", ""4.30573035""]"
Dijkstraat,"[""51.11621573439409"", ""4.208835980388668""]"
Distellaan,"[""51.08442132340623"", ""4.215380805636813""]"
Dokter De Putterplein,"[""FOUT, geen straat gevonden""]"
Dokter Walter Meesstraat,"[""51.10450145"", ""4.26835545""]"
Doregem,"[""51.086236400000004"", ""4.2498726""]"
Dreefstraat,"[""51.0614451"", ""4.19905025""]"
Driesstraat,"[""51.10023782859014"", ""4.237120193458331""]"
Droogveldstraat,"[""51.069410399999995"", ""4.1931404""]"
Duiventilstraat,"[""51.1079945"", ""4.296164""]"
Dulftstraat,"[""51.09431118294989"", ""4.2292711939474055""]"
Edmond Vleminckxstraat,"[""51.10558483102645"", ""4.269723469669546""]"
Eduard De Blockstraat,"[""51.10865501205844"", ""4.299563350160776""]"
Eggestraat,"[""51.089191909784766"", ""4.231241669510595""]"
Egied De Jonghestraat,"[""51.10292058209302"", ""4.302688378497719""]"
Eikendam,"[""51.115658034583845"", ""4.278000093478554""]"
Eikendreef,"[""51.09933204833601"", ""4.297142573656396""]"
Eikenlaan,"[""51.09116732366213"", ""4.220192503044356""]"
Eikerheide,"[""51.10173328616643"", ""4.292898834089587""]"
Eikerveld,"[""51.093793"", ""4.30478865""]"
Eikevlietbaan,"[""51.09825371765502"", ""4.304648769496276""]"
Eksterlaan,"[""51.076862691104964"", ""4.203064997966556""]"
Elisabethstraat,"[""51.0962187"", ""4.2427819499999995""]"
Frans De Laetstraat,"[""51.10106069234677"", ""4.305775988888326""]"
Frans Rottiersstraat,"[""51.10713842701576"", ""4.299803039812803""]"
Frans Van Haelenstraat,"[""51.10314750880472"", ""4.2651276111681815""]"
Galgenbergstraat,"[""51.08313552552257"", ""4.219820031865975""]"
Galgestraat,"[""51.06196731511335"", ""4.211292924822664""]"
Gasthuisstraat,"[""51.100697245907696"", ""4.2378283082232855""]"
Glimwormstraat,"[""51.09822538498913"", ""4.246554897955291""]"
Gordesplein,"[""51.093406632581896"", ""4.243667531050507""]"
Groenendijk,"[""51.1034936"", ""4.1901365""]"
Groenstraat,"[""51.09919489941881"", ""4.267595875782418""]"
Groot Schoordijk,"[""51.11228915956758"", ""4.242168706752813""]"
Grootheide,"[""51.0847277"", ""4.221675""]"
Guilhof,"[""51.09176639827407"", ""4.2322328657530655""]"
Halvemaanstraat,"[""51.06074146536344"", ""4.202559718959656""]"
Hendrik Muyshondtstraat,"[""51.10843844325171"", ""4.2951807794764685""]"
Het Zand,"[""51.107084269197074"", ""4.263953636038791""]"
Heuvelstraat,"[""51.08358102407308"", ""4.209322245121307""]"
Heystraat,"[""51.06326491291076"", ""4.203423049090959""]"
Hingenebroekpolderdijk,"[""51.11360330925065"", ""4.256784641192472""]"
Hingenesteenweg,"[""51.1011243"", ""4.24862003019052""]"
Holleweg,"[""51.09470801391134"", ""4.249718649241258""]"
Hommelstraat,"[""51.09954329481975"", ""4.247413199761354""]"
