Straat,Coordinaten
12DE Liniehof,"[""50.840117779980055"", ""4.835203714321672""]"
Aarschotsebaan,"[""50.84741101517511"", ""4.820640240334836""]"
Assenweg,"[""50.8427959"", ""4.8565174""]"
Bareelhuis,"[""50.840361562153966"", ""4.833888351569462""]"
Begijnenbosstraat,"[""50.87165235471996"", ""4.874033949063907""]"
Bergstraat,"[""50.85612453321089"", ""4.873473840946499""]"
Bevekomsestraat,"[""50.798775802335896"", ""4.816367952836248""]"
Bijvoordestraat,"[""50.84875469749407"", ""4.887598406195536""]"
Binkomsestraat,"[""50.85604623859391"", ""4.879932488200948""]"
Binnenhof,"[""50.84295106905871"", ""4.833797127895056""]"
Bloemenstraat,"[""50.85135835820383"", ""4.82262564416916""]"
Bosduifweg,"[""50.8452832"", ""4.8349937""]"
Boskouterstraat,"[""50.86698676427679"", ""4.869193153717222""]"
Bost,"[""50.849359335432"", ""4.811966388718301""]"
Boststraat,"[""50.84567725"", ""4.81987755""]"
Breisemsestraat,"[""50.83375229049617"", ""4.8720049483187085""]"
Broekstraat,"[""50.82060680100695"", ""4.817137307450431""]"
Brugstraat,"[""50.83757105882413"", ""4.831838952481347""]"
Camerveld,"[""50.8345015"", ""4.83252025""]"
Capuyenberg,"[""50.8408400660428"", ""4.831044878518128""]"
Chankelaarstraat,"[""50.867581013575894"", ""4.86787658165921""]"
Dalemstraat,"[""50.82393102543886"", ""4.816144893319249""]"
Domstraat,"[""50.80577324922259"", ""4.843726142016561""]"
Doornstraat,"[""50.79944426327861"", ""4.825030307793879""]"
Dorpsstraat,"[""50.839316600000004"", ""4.83096025""]"
Dreefstraat,"[""50.829503990579404"", ""4.829880674072044""]"
Driesstraat,"[""50.86798803535864"", ""4.8584970147876225""]"
Droge Vijvers,"[""50.842150156081296"", ""4.849483643253098""]"
Drogenhof,"[""50.838914047120234"", ""4.829167712974771""]"
Eksterstraat,"[""50.8440972"", ""4.8280102""]"
Elzestraat,"[""50.83912694705632"", ""4.832439677269044""]"
Eyckeveld,"[""50.8424756"", ""4.8374071""]"
Geestelijkenhoek,"[""50.806839497743255"", ""4.831675161661018""]"
Gr. Konijnestraat,"[""FOUT, geen straat gevonden""]"
Groenstraat,"[""50.83796319121943"", ""4.858625012240038""]"
Haarbeekweg,"[""50.86732226176423"", ""4.863392642116585""]"
Hazenbosstraat,"[""50.866700478918574"", ""4.873522955671969""]"
Heidestraat,"[""50.847906320752884"", ""4.8235824711212""]"
Heilige Geesthofstraat,"[""50.861468300515604"", ""4.865152847052977""]"
Hertbosstraat,"[""50.860547439808634"", ""4.84464995800289""]"
Hertbosweg,"[""50.860547439808634"", ""4.84464995800289""]"
Hertenstraat,"[""50.81801985"", ""4.849351""]"
Heulingenstraat,"[""50.82894153098852"", ""4.866936979951006""]"
Heurebeekstraat,"[""50.86881582384402"", ""4.871689459689487""]"
Hoegaardsestraat,"[""50.833000301050156"", ""4.847493303684377""]"
Hoeksken,"[""50.8149416"", ""4.8430354""]"
Honsemsestraat,"[""50.8259504"", ""4.838845""]"
Jordaanstraat,"[""50.80020594242375"", ""4.823097344567435""]"
Kapelstraat,"[""50.8458783"", ""4.8537892""]"
Kasteelstraat,"[""50.83511814835566"", ""4.866415050397707""]"
Katspoelstraat,"[""50.82847031623536"", ""4.803517678966094""]"
Keizerstraat,"[""50.8352718444315"", ""4.817638827881177""]"
Kerkeveld,"[""50.821750449999996"", ""4.81232245""]"
