Straat,Coordinaten
't Serclaeslei,"[""51.3251148910536"", ""4.529762130769531""]"
4 St.-Job-in-'t-Goor,"[""FOUT, geen straat gevonden""]"
Acacialei,"[""51.26957376812172"", ""4.462000157987922""]"
Aerdenlei,"[""51.29333649868088"", ""4.494833772464936""]"
Alfredlei,"[""51.288311687115794"", ""4.453976132381182""]"
Annadreef,"[""51.293100842739335"", ""4.447500241403444""]"
Antoinettalei,"[""51.28730089591477"", ""4.449586850093176""]"
Antwerpenlei,"[""51.330228125400936"", ""4.5185368219352515""]"
Armand Reusensplein,"[""51.290161488577596"", ""4.494050289229309""]"
Augustijnslei,"[""51.297525750000005"", ""4.48847115""]"
Azalealaan,"[""51.28542847445818"", ""4.491163294337727""]"
Baillet-Latourlei,"[""51.276291423009326"", ""4.466306316749841""]"
Beekstraat,"[""51.2758722"", ""4.4557351""]"
Beemdenstraat,"[""51.293363783683056"", ""4.510018548616394""]"
Bergsebaan,"[""51.32210379275942"", ""4.54464646728813""]"
Bergstraat,"[""51.3056333"", ""4.48641735""]"
Berrélei,"[""51.324396"", ""4.5228327""]"
Bethaniëlei,"[""51.3130132"", ""4.5130593""]"
Beukenbosdreef,"[""FOUT, geen straat gevonden""]"
Beukendreef,"[""51.27760253038221"", ""4.483972849360087""]"
Bevrijdingslei,"[""51.32262538840891"", ""4.5333116294439595""]"
Bierwertslei,"[""51.327467994342605"", ""4.519945925528934""]"
Bijsterveld,"[""51.32903729313716"", ""4.505026091998407""]"
Binnenhof,"[""51.287491363993524"", ""4.4575797616293915""]"
Bisschoppenhoflei,"[""51.28358057281679"", ""4.453713506067345""]"
Bloemaard,"[""51.32062058905871"", ""4.4980816597421205""]"
Bloemenlei,"[""51.290868450000005"", ""4.5013612""]"
Bondgenotenlei,"[""51.3319012480139"", ""4.503380065347959""]"
Bosaard,"[""51.30262533616571"", ""4.5112710583167575""]"
Bosaardplein,"[""FOUT, geen straat gevonden""]"
Boskapellei,"[""51.2952336"", ""4.4420036""]"
Bossaersstraat,"[""51.3210343"", ""4.52443995""]"
Bosuildreef,"[""51.34212201448646"", ""4.521456513205426""]"
Braam,"[""51.29139622317295"", ""4.512905119305365""]"
Brechtsebaan,"[""51.32745745"", ""4.53462135""]"
Bredabaan,"[""51.31090115157265"", ""4.510789395038309""]"
Bredestraat,"[""51.30784025"", ""4.47269105""]"
Broomansakker,"[""51.28845145"", ""4.4894155""]"
Carolinalei,"[""51.293383733883495"", ""4.444466919682722""]"
Castel del Vinolei,"[""51.2972831611236"", ""4.460499138140074""]"
Charleslei,"[""51.29134345023718"", ""4.474998900474101""]"
