Straat,Coordinaten
A. Daenslaan,"[""51.3497955"", ""4.6730254""]"
A. Desmedtlaan,"[""51.3516641"", ""4.6801797""]"
Abdijlaan,"[""51.3037752"", ""4.6314829""]"
Achille Couvreurweg,"[""51.3470315"", ""4.6388073""]"
Achterkloosterstraat,"[""51.3639215"", ""4.6925417""]"
Achteromstraat,"[""51.3258156"", ""4.5746844""]"
Akkerweg,"[""51.3489759"", ""4.6324317""]"
Albatrosdreef,"[""51.3196682"", ""4.56708""]"
Albertdreef,"[""FOUT, straat in foute gemeente gevonden""]"
Alfons De Clerckstraat,"[""51.2963808"", ""4.5713624""]"
Ambachtslaan,"[""51.3539773"", ""4.6340487""]"
Andrélaan,"[""51.3169739"", ""4.584509""]"
Anjerslaan,"[""51.306164"", ""4.5752223""]"
Appelvinklaan,"[""51.2888502"", ""4.5587903""]"
Arthur Winterslaan,"[""51.3018944"", ""4.5648894""]"
Astridlaan,"[""51.2986224"", ""4.580698""]"
Baan op Sas 2,"[""51.2946337"", ""4.5872152""]"
Baan op Sas 3,"[""51.3082001"", ""4.5778281""]"
Bachlaan,"[""51.3271418"", ""4.5748632""]"
Banmolenplein,"[""51.3481489"", ""4.631972""]"
Bareellaan,"[""51.3093474"", ""4.5783613""]"
Begonialaan,"[""51.3014772"", ""4.5866391""]"
Bergsebaan,"[""51.3001213"", ""4.5782741""]"
Berkenlaan,"[""51.3036189"", ""4.5581417""]"
Bethaniënlei,"[""51.2909306"", ""4.5887756""]"
Bethovenstraat,"[""51.3519788"", ""4.6347157""]"
Beukenlei,"[""51.3073635"", ""4.5612453""]"
Bevrijdingsstraat,"[""51.3496937"", ""4.6997149""]"
Biest,"[""51.3503697"", ""4.6393392""]"
Biezendreef,"[""51.301623"", ""4.6218607""]"
Binnenkruierweg,"[""51.3458101"", ""4.6369633""]"
Bloemenstraat,"[""51.3350056"", ""4.6834867""]"
Boogschutterlaan,"[""51.2940826"", ""4.5821144""]"
Borghthoevestraat,"[""51.3529574"", ""4.6367234""]"
Bosbesdreef,"[""51.3206554"", ""4.5734313""]"
Bosduiflaan,"[""51.307533"", ""4.5614869""]"
Boslaan,"[""51.2901352"", ""4.5651126""]"
Bosschaertlaan,"[""51.2913402"", ""4.5662184""]"
Bosstraat,"[""51.3383071"", ""4.6684316""]"
Boswegel,"[""51.2899949"", ""4.5775103""]"
Boudewijnstraat,"[""51.3340615"", ""4.6489321""]"
Braakstraat,"[""51.2973694"", ""4.5740257""]"
Braambeslaan,"[""51.3175142"", ""4.5776803""]"
Brahmslaan,"[""51.3272373"", ""4.5760762""]"
Brasschaatbaan,"[""51.3299731"", ""4.5461124""]"
Brechtsebaan,"[""51.3050137"", ""4.5696502""]"
Bremstraat,"[""51.3368579"", ""4.6640288""]"
Bristerstraat,"[""51.3528455"", ""4.6450698""]"
Broeckhovenstraat,"[""51.3522594"", ""4.6529532""]"
Brugstraat,"[""51.2988006"", ""4.5726006""]"
Buizerdlaan,"[""51.3073122"", ""4.570374""]"
Bunderlaan,"[""51.29058"", ""4.5757458""]"
Burg.Alfons Lambrechtslaan,"[""51.2931717"", ""4.574854""]"
Cambeenbos laan A,"[""51.3094603"", ""4.5701192""]"
Cambeenbos laan B,"[""51.3106014"", ""4.5705681""]"
Cambeenbos laan C,"[""51.3106223"", ""4.5723696""]"
Cambeenbos laan D,"[""51.3110417"", ""4.5738104""]"
Cambeenbos laan E,"[""51.3101227"", ""4.5764718""]"
Cambeenbos laan F,"[""51.3119528"", ""4.5747493""]"
Cambeenbos laan G,"[""51.3114495"", ""4.5686069""]"
Cambeenbos laan H,"[""51.3100684"", ""4.5710497""]"
Cambeenbos laan I,"[""51.3084502"", ""4.5742738""]"
Cambeenlei,"[""51.3044069"", ""4.5695751""]"
Campinaweg,"[""51.3039023"", ""4.5714241""]"
Canadalaan,"[""51.3020297"", ""4.5663214""]"
Chopinlaan,"[""51.3277334"", ""4.5727345""]"
Condordreef,"[""51.3245394"", ""4.576841""]"
D'Hoef,"[""51.341727"", ""4.677523820643449""]"
Dalialaan,"[""51.2998338"", ""4.5863913""]"
Damhof,"[""51.3531647"", ""4.6460847""]"
De Beemden,"[""51.3169135"", ""4.5581917""]"
De Biezen,"[""51.3160326"", ""4.5580686""]"
De Eekhoorn,"[""51.326585"", ""4.5908339""]"
De Gauw,"[""51.2887377"", ""4.5544697""]"
De Moerkens,"[""51.2881666"", ""4.5645178""]"
De Renlaan,"[""51.3004188"", ""4.5738917""]"
De Ring,"[""FOUT, straat in foute gemeente gevonden""]"
De Vraagstraat,"[""51.2962438"", ""4.5948887""]"
Dekheidelaan,"[""51.3002224"", ""4.5895865""]"
Den Eenen Boomstraat,"[""51.3413512"", ""4.6085881""]"
Dennenbosdreef,"[""51.320038"", ""4.5721133""]"
Dennenlaan,"[""51.2993428"", ""4.5844299""]"
Dijkstraat,"[""51.3444739"", ""4.6757928""]"
Doelstraat,"[""51.3387014"", ""4.6752485""]"
Donkerbosdreef,"[""51.3072836"", ""4.5804078""]"
Dopheidelaan,"[""51.3041741"", ""4.5800104""]"
Dorpsstraat,"[""51.3468875"", ""4.6793572""]"
Dr. De Brabanderelaan,"[""51.3475016"", ""4.6885498""]"
