Straat,Coordinaten
't Hasselt,"[""51.1422494"", ""5.6483577""]"
't Hasseltkiezel,"[""51.14286725"", ""5.6452645""]"
Aan 't Kapelleke,"[""FOUT, geen straat gevonden""]"
Abroxweg,"[""51.15883426964217"", ""5.602611422533836""]"
Anjerstraat,"[""51.13569135"", ""5.6051345999999995""]"
Augustijnenstraat,"[""51.1426307044167"", ""5.597380786191271""]"
Bankenstraat,"[""51.16910217104055"", ""5.622924579175733""]"
Barrierstraat,"[""51.139314822705586"", ""5.570191609815104""]"
Beeckerveld,"[""51.15612543777941"", ""5.595816400144579""]"
Beekstraat,"[""51.12611064621618"", ""5.6592425733020315""]"
Beemdstraat,"[""51.139513961034936"", ""5.5788855897246235""]"
Beerselerdijk,"[""51.14423816009826"", ""5.656538575763452""]"
Bergstraat,"[""51.112730021987296"", ""5.661653385836706""]"
Berkenbroekstraat,"[""51.15015042300226"", ""5.70237591720139""]"
Berkenlaan,"[""51.12326172865244"", ""5.586762550918389""]"
Beukenhofstraat,"[""51.13468028117228"", ""5.567798916777718""]"
Beukenlaan,"[""51.123958900000005"", ""5.587513250000001""]"
Bijenstraat,"[""51.14804538817378"", ""5.593797698048063""]"
Binnenveld,"[""FOUT, geen straat gevonden""]"
Bleekstraat,"[""51.135879057509605"", ""5.579534659199471""]"
Bloemenstraat,"[""51.145374816554664"", ""5.595482781794177""]"
Bocholterkiezel,"[""51.1574428"", ""5.5945206""]"
Bocholterstraat,"[""51.1455059"", ""5.599358""]"
Bolderweg,"[""51.11743593938638"", ""5.648900666574929""]"
Bonenstraat,"[""51.14189791214705"", ""5.661824684047436""]"
Boneputstraat,"[""51.1356697"", ""5.5869842""]"
Boneputterveld,"[""51.1365196186387"", ""5.5911361093657375""]"
Boogschuttersstraat,"[""51.1409075"", ""5.5900896""]"
Boolenstraat,"[""51.133850949999996"", ""5.59427215""]"
Bosdijkstraat,"[""FOUT, geen straat gevonden""]"
Bosstraat,"[""51.1341135218785"", ""5.668736113020583""]"
Braekenweg,"[""51.16075321259433"", ""5.621438964608842""]"
Breeërweg,"[""FOUT, straat in foute gemeente gevonden""]"
Bremstraat,"[""51.14527152603108"", ""5.589957389232133""]"
Broekstraat,"[""51.15015861729216"", ""5.621735535689033""]"
Bruglaan,"[""51.14038863499359"", ""5.616159682663096""]"
Brugstraat,"[""51.1398277"", ""5.6146908""]"
Buysmolen,"[""51.14666885"", ""5.599198149999999""]"
Campsstraat,"[""51.16105586088021"", ""5.6298229867768805""]"
Carloweg,"[""51.125699723655714"", ""5.642245072358938""]"
Caubergstraat,"[""51.11309061283318"", ""5.650157992921011""]"
Cobbenberg,"[""51.13713037948642"", ""5.5884732208790195""]"
Cobbestraat,"[""51.13914440759394"", ""5.592866386104192""]"
Coenenstraat,"[""51.132432300000005"", ""5.6165206""]"
Conenstraat,"[""51.140816539995505"", ""5.592439032686482""]"
Cosijnstraat,"[""51.13958309909903"", ""5.594755390388545""]"
De Houborn,"[""51.136072067838185"", ""5.6013381212318905""]"
Dekenijstraat,"[""FOUT, geen straat gevonden""]"
Dekkersstraat,"[""51.15374204400558"", ""5.604664603606705""]"
Dennenhofstraat,"[""51.14364120158301"", ""5.6077650605188""]"
Diamantstraat,"[""51.15169622686252"", ""5.598412651230934""]"
Dijkstraat,"[""51.13576557657604"", ""5.561326353924398""]"
Dingensstraat,"[""51.12657661139676"", ""5.61522290855902""]"
Dirixstraat,"[""51.15532953468872"", ""5.606319309443841""]"
Dorpstraat,"[""51.127635999999995"", ""5.661918050000001""]"
Dreelweg,"[""51.121861979693755"", ""5.642453972214732""]"
Driehoevenstraat,"[""51.14769846570399"", ""5.60300480429644""]"
Duikerstraat,"[""51.16401866368682"", ""5.592450921950312""]"
Duppelerstraat,"[""51.14961596409401"", ""5.632019499303174""]"
Durperstraat,"[""51.1543303193091"", ""5.618477436776522""]"
Dwarsstraat,"[""51.112574467175925"", ""5.578829299230289""]"
Eetseveldstraat,"[""51.1215045"", ""5.5918877""]"
Eigengoedstraat,"[""51.11938155829931"", ""5.640105425619301""]"
Ellikommerstraat,"[""51.138344487532834"", ""5.560392473175502""]"
Elsputtersstraat,"[""51.152948732120244"", ""5.634400596050861""]"
