Straat,Coordinaten
Abelenlaan,"[""51.2609565719564"", ""3.0232012528035233""]"
Acacialaan,"[""51.2612660207006"", ""3.0227031315202053""]"
Albertlaan,"[""51.27448141246947"", ""3.0321641098""]"
Albrecht Rodenbachlaan,"[""51.27275888304825"", ""3.037530248939525""]"
Alfons Blommelaan,"[""51.2700429"", ""3.03215945""]"
Alphonse Franskinlaan,"[""51.26551911559572"", ""3.02845824208038""]"
Astridplein,"[""51.300084350000006"", ""3.083430605004448""]"
August Beernaertstraat,"[""51.2716900766922"", ""3.034729333780894""]"
August Pauwelslaan,"[""51.26559229864703"", ""3.0297999453422206""]"
August Vermeylenlaan,"[""51.27274782181526"", ""3.0442126540177865""]"
Baron van Caloenlaan,"[""51.27184954525808"", ""3.0372553177768817""]"
Batterijstraat,"[""51.25096406860425"", ""3.001686708957909""]"
Beethovenlaan,"[""51.2706897"", ""3.03241635""]"
Berkenlaan,"[""51.258381295630215"", ""3.024171776680143""]"
Beukenlaan,"[""51.25896685"", ""3.02569725""]"
Bilderdijklaan,"[""51.275497736532984"", ""3.0361969061129606""]"
Blankenbergsesteenweg,"[""51.310006482694305"", ""3.1074263323866282""]"
Blauwe Baliedreef,"[""51.267242677880915"", ""3.0358504143930234""]"
Blauwe Hoevelaan,"[""51.2665785"", ""3.0326091""]"
Blauwelaan,"[""51.258745198798515"", ""3.0041870095441525""]"
Bloemenlaan,"[""51.3008168"", ""3.08282245""]"
Boogstraat,"[""51.26160600488378"", ""3.0035668584824458""]"
Bosduivenlaan,"[""51.26698055942491"", ""3.0250811895457654""]"
Braamburgstraat,"[""51.241724794128466"", ""3.0217818393324407""]"
Bredeweg,"[""51.264058823785774"", ""3.0371795247134186""]"
Bremstraat,"[""51.252834220895274"", ""3.000797582002094""]"
Bretoenselaan,"[""51.277826915100576"", ""3.0370421073634124""]"
Brugse Baan,"[""51.2324228"", ""3.0597994""]"
Brugsesteenweg,"[""51.295556019058374"", ""3.084773736471285""]"
Bruinvisstraat,"[""51.29810995"", ""3.08814475""]"
Camiel Piessenstraat,"[""51.25567746253877"", ""2.9960440790996405""]"
Camôeslaan,"[""51.273052417841114"", ""3.0293658554789835""]"
Carlierlaan,"[""51.27443684162507"", ""3.03591274370726""]"
Cellinilaan,"[""51.272975604949316"", ""3.0310834603048735""]"
