Straat,Coordinaten
A. Decoussemaekerstraat,"[""51.0953792"", ""2.5964374""]"
A. Dumontlaan,"[""51.0992388"", ""2.587396""]"
Achterveld,"[""51.0721794"", ""2.5910169""]"
Ackethof,"[""51.0765189"", ""2.6017338""]"
Adinkerkelaan,"[""51.0939788"", ""2.5915557""]"
Alberic Florizoonelaan,"[""51.0762543"", ""2.5998484""]"
Ambachtstraat,"[""51.0965541"", ""2.5937682""]"
Ankerweg,"[""51.1025581"", ""2.589746""]"
Artiestenpad,"[""51.086468"", ""2.6042801""]"
Astridlaan,"[""51.1038598"", ""2.5980778""]"
August Vermeylenlaan,"[""51.0968111"", ""2.5769269""]"
Barkenlaan,"[""51.1030916"", ""2.5942513""]"
Bellewerf,"[""51.0760866"", ""2.6060799""]"
Blauwe Distelweg,"[""51.0948381"", ""2.6010989""]"
Blauwe Weg,"[""51.0982597"", ""2.5860333""]"
Blondéweg,"[""51.0977827"", ""2.5885537""]"
Bonzellaan,"[""51.1018588"", ""2.5904855""]"
Bortierlaan,"[""51.0987711"", ""2.5835303""]"
Bosduiflaan,"[""51.0930085"", ""2.5868915""]"
Bosheide,"[""51.069926"", ""2.5856683""]"
Bosstraat,"[""51.0958081"", ""2.6084579""]"
Brouwersstraat,"[""51.0969389"", ""2.5976668""]"
Buizeleedstraat,"[""51.066729"", ""2.628028""]"
Burgweg,"[""51.0735669"", ""2.621952""]"
Cabourweg,"[""51.0604269"", ""2.567062""]"
Caeyzelestraat,"[""51.0695312"", ""2.5787191""]"
Canadezenplein,"[""51.105213649999996"", ""2.5984212120833483""]"
Cappoenstraat,"[""51.0615594"", ""2.6129545""]"
Clos Normandstraat,"[""51.1036557"", ""2.5947317""]"
Cosynmolen,"[""51.0767436"", ""2.607421""]"
De Mikke,"[""51.0745282"", ""2.5983219""]"
De Pannelaan,"[""51.0829231"", ""2.6029248""]"
De Rampe,"[""FOUT, geen straat gevonden""]"
Dijk,"[""51.0720086"", ""2.6028548""]"
Doktersweg,"[""51.0970664"", ""2.5882392""]"
Donnylaan,"[""51.0979882"", ""2.5871517""]"
Doornstraat,"[""51.0707046"", ""2.5957175""]"
Dorpsstraat,"[""51.0751345"", ""2.602656""]"
Dr. A. Depagelaan,"[""51.1044401"", ""2.5945455""]"
Driedistelweg,"[""51.0937707"", ""2.6106563""]"
Duinakkerweg,"[""51.0932956"", ""2.6074314""]"
Duinenstraat,"[""51.094151"", ""2.5915742""]"
Duinhoekstraat,"[""51.0759062"", ""2.5557987""]"
Duinkerkekeiweg,"[""51.0731185"", ""2.5877328""]"
Duinkerkelaan,"[""51.0987788"", ""2.583446""]"
Duinrooslaan,"[""51.0907367"", ""2.5772766""]"
Dwarsstraat,"[""51.0709473"", ""2.5880772""]"
Dynastielaan,"[""51.0972682"", ""2.5789128""]"
E. D'Arripelaan,"[""51.0980646"", ""2.5854477""]"
E. Vileynplein,"[""51.0963211"", ""2.596703142047817""]"
Egelantierlaan,"[""51.0950543"", ""2.5750529""]"
Eggaardstraat,"[""51.076836"", ""2.5997155""]"
Eksterpad,"[""51.0943602"", ""2.5981917""]"
Elisa Belpairelaan,"[""51.0968898"", ""2.5728728""]"
Elzendreef,"[""51.0982348"", ""2.5845671""]"
Emile Verhaerenlaan,"[""51.0952735"", ""2.5699469""]"
Emmaweg,"[""51.0733586"", ""2.6029525""]"
Esdoornlaan,"[""51.0922052"", ""2.5789926""]"
Fazantenlaan,"[""51.0922249"", ""2.5864145""]"
Florent Braemlaan,"[""51.074754"", ""2.598372""]"
Fr. Beerlantlaan,"[""51.1032035"", ""2.5970407""]"
Garzebekeveldstraat,"[""51.0717596"", ""2.5945049""]"
Gebroeders Roosemontlaan,"[""51.1001114"", ""2.5963704""]"
Geitenweg,"[""51.1010935"", ""2.5852374""]"
Golfstraat,"[""51.1057748"", ""2.5966193""]"
Grensarbeidersstraat,"[""51.0716248"", ""2.5889285""]"
Groene-Biezenlaan,"[""51.0938063"", ""2.5716755""]"
