Straat,Coordinaten
Achterstraat,"[""50.85789413690219"", ""3.3484132847203876""]"
Albertlaan,"[""50.86002980000001"", ""3.3556391""]"
Albertpad,"[""50.8604765904832"", ""3.3546117328605987""]"
Amerlinckweg,"[""50.864043173958486"", ""3.3735366802299027""]"
Andrieslaan,"[""50.8232614"", ""3.36996225""]"
Astridlaan,"[""50.85922354308281"", ""3.353225446839607""]"
Astridpad,"[""50.859585614678124"", ""3.3526131905073653""]"
Azalealaan,"[""50.85825505"", ""3.3522853500000003""]"
Baljuwstraat,"[""50.857240860665335"", ""3.3803625607423617""]"
Beekstraat,"[""50.85816142069977"", ""3.3650422391588153""]"
Berglaan,"[""50.82202335"", ""3.37108175""]"
Beverenstraat,"[""50.85851875955981"", ""3.348948076295281""]"
Biesbeke,"[""50.85461145"", ""3.3506405999999997""]"
Bilkenstraat,"[""50.861787586739126"", ""3.389626437195243""]"
Blauwvoetstraat,"[""50.85693715694772"", ""3.3480911102446265""]"
Bloemistenstraat,"[""50.85579575"", ""3.3691136666391306""]"
Boelarestraat,"[""50.858726173815406"", ""3.365859095532969""]"
Boerderijstraat,"[""50.8245448"", ""3.3665164""]"
Bontestierstraat,"[""50.85591772682177"", ""3.3703959113577673""]"
Boshoek,"[""50.864205528071224"", ""3.371623938393836""]"
Bottenhoek,"[""50.82550881376889"", ""3.366926787520293""]"
Bouckaertstraat,"[""50.8259963"", ""3.3822835""]"
Boudewijnlaan,"[""50.85997764785549"", ""3.352804285641323""]"
Braamakkerstraat,"[""50.84980821279847"", ""3.353802086885384""]"
Braamheuvelstraat,"[""50.84527073008907"", ""3.3764566553898643""]"
Brandemolenweg,"[""50.833171786920715"", ""3.3732051968238315""]"
Brandsmisstraat,"[""50.827897227852915"", ""3.361659964809272""]"
Breestraat,"[""50.8455945"", ""3.3814629""]"
Broelstraat,"[""50.85843425"", ""3.36609595""]"
Burg. Hector Isebaertstraat,"[""50.85074267072839"", ""3.3396740871946706""]"
Camiel Vereeckelaan,"[""50.82275727818154"", ""3.3746697573699485""]"
Claire Vanhonnackerstraat,"[""FOUT, geen straat gevonden""]"
Comm. Edm. Ameyestraat,"[""50.85325784185365"", ""3.353784728805688""]"
Contrabasstraat,"[""50.8520493"", ""3.3310133""]"
Dammeke,"[""50.851671008845656"", ""3.3557684357764592""]"
De Cassinastraat,"[""50.850144363373296"", ""3.3456496078746296""]"
De Spijker,"[""50.851596718983615"", ""3.366730893868348""]"
De Taeyelaan,"[""50.8507054"", ""3.366164""]"
Desselgemknokstraat,"[""50.86458934231508"", ""3.3709987092405798""]"
Desselgemse steenweg,"[""50.8593611"", ""3.3771318""]"
Desselgemstraat,"[""50.86492432269437"", ""3.369145742429498""]"
Diependaele,"[""50.85437998227519"", ""3.3685681748562124""]"
Diesveldstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Disstraat,"[""50.85599141626356"", ""3.368257420913313""]"
Dosseweg,"[""FOUT, geen straat gevonden""]"
Driesknoklaan,"[""50.86040199006982"", ""3.3651358687141455""]"
Droogtestraat,"[""50.85422378432902"", ""3.3478689422742316""]"
Elf Novemberlaan,"[""50.8477873169781"", ""3.378916511790642""]"
Elfde Julilaan,"[""50.84830425"", ""3.3591467""]"
Engelstraat,"[""50.84899968524772"", ""3.357948590626595""]"
Europalaan,"[""50.849934749222555"", ""3.339548277916964""]"
Evangelieboomstraat,"[""50.863868558898744"", ""3.3835655065357386""]"
Fabiolalaan,"[""50.86099678574871"", ""3.355640657270152""]"
Fabiolapad,"[""50.860862394103194"", ""3.3542285029723837""]"
Fabrieksstraat,"[""50.838955152405106"", ""3.3820950472914992""]"
Fazantstraat,"[""50.860963850000005"", ""3.36611905""]"
Gaaistraat,"[""50.83481914739847"", ""3.3711020670734637""]"
Gaversstraat,"[""50.84773858142353"", ""3.3421777357027""]"
Geeststraat,"[""50.860272222940885"", ""3.3846369384927697""]"
Generaal Deprezstraat,"[""50.848288100000005"", ""3.3557791999999997""]"
Groeningestraat,"[""50.855464487203804"", ""3.3477250694301444""]"
Groenstraat,"[""50.82724054411601"", ""3.376726314107302""]"
Guido Gezellelaan,"[""50.857158632467176"", ""3.3576951026649215""]"
Harelbekestraat,"[""50.85236078805468"", ""3.3526207304310223""]"
Harpstraat,"[""50.85336527535186"", ""3.333707188959315""]"
Hazewindstraat,"[""50.85421228869245"", ""3.3640063225635646""]"
Heestertse steenweg,"[""50.81544697888268"", ""3.3793484508529854""]"
Heestertstraat,"[""50.817111642338865"", ""3.3870135550528033""]"
Hendrik Consciencelaan,"[""50.85759918701521"", ""3.3564703977571955""]"
Hermina Ackestraat,"[""FOUT, geen straat gevonden""]"
Heulselaan,"[""50.8485269751392"", ""3.3436913880201806""]"
Heuvelstraat,"[""50.82419155840184"", ""3.3674203784645003""]"
Hoekstraat,"[""50.848188699999994"", ""3.3909264500000003""]"
Hoogstraat,"[""50.85303971012056"", ""3.348308567702536""]"
Houtekietstraat,"[""50.81779682857437"", ""3.371900122328765""]"
Kaderstraat,"[""FOUT, geen straat gevonden""]"
Kapel ter Rustestraat,"[""50.85095193502368"", ""3.3526107410895136""]"
Kapelstraat,"[""50.816158"", ""3.3751184""]"
Kapittelstraat,"[""50.819936500000004"", ""3.38085275""]"
