Straat,Coordinaten
't Schepenwegeltje,"[""50.97708429594948"", ""3.4708576827516473""]"
Aaltersesteenweg,"[""50.990456288277024"", ""3.5074857731001057""]"
Aarseleweg,"[""51.00604004210421"", ""3.458702810249207""]"
Achiel Berthstraat,"[""51.0789233292201"", ""3.5732729128057956""]"
Achiel Cassimanstraat,"[""51.016696280546604"", ""3.5811070918887244""]"
Achiel Van Eechautestraat,"[""50.9789793400181"", ""3.5330573911669583""]"
Achterstraat,"[""50.98401368240821"", ""3.5591774902441777""]"
Achtmeersstraat,"[""50.96910142602481"", ""3.551146601773872""]"
Adolf Lootensstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Adolf de Brabanderpad,"[""51.03218537623302"", ""3.5560198482511414""]"
Albert Saveryslaan,"[""50.98891045899724"", ""3.572202738542497""]"
Albijn Van Den Abeelestraat,"[""51.01751271136028"", ""3.5809733273630053""]"
Alfons Mervilliestraat,"[""51.00577997055174"", ""3.5268295156612126""]"
Alfons Van Zandyckestraat,"[""51.01574900369905"", ""3.539233120310742""]"
Alsemweg,"[""51.07012801412467"", ""3.604776045469999""]"
Amakers,"[""51.01007344413208"", ""3.5829339497029915""]"
Amakersstraat,"[""51.01028315462825"", ""3.58608164468327""]"
Antoon Van Paryspad,"[""50.978241241753075"", ""3.525102705121631""]"
Ardense Jagersstraat-Gottem,"[""50.96262367196819"", ""3.4651227029655733""]"
Astene Dreef,"[""50.97906776846777"", ""3.559360097492759""]"
Astene-Lindenstraat,"[""50.982766369467186"", ""3.588426189930759""]"
Astenemolenstraat,"[""50.98706111141796"", ""3.572046824678852""]"
August Pienstraat,"[""50.9926559"", ""3.5012730088769226""]"
Azalealaan,"[""50.97098815"", ""3.5325789""]"
Baarlekouterweg,"[""51.05034298701718"", ""3.604230327233365""]"
Baarlestraat,"[""51.05138550678957"", ""3.600203214739564""]"
Baarsstraat,"[""50.98763950765883"", ""3.5636491345463086""]"
Bachtekerkstraat,"[""50.999687449999996"", ""3.54909665""]"
Bachtekouter,"[""51.012225476665336"", ""3.552822040030848""]"
Bagattestraat,"[""51.00907349262762"", ""3.5761653212506883""]"
Basiel De Craenestraat,"[""51.00941671649225"", ""3.581683088842825""]"
Basketstraat,"[""50.96905605"", ""3.52619385""]"
Beekkant,"[""51.02059251240032"", ""3.47801085465502""]"
Beekmeersstraat,"[""50.97399722188313"", ""3.456975827946864""]"
Beekstraat,"[""50.98151140221924"", ""3.5798988360488595""]"
Beekweg,"[""51.03450932516769"", ""3.5487371344259864""]"
Beentjesstraat,"[""51.04052442728948"", ""3.5162364953722145""]"
Begijnhoflaan,"[""51.07666361688514"", ""3.5367130582379036""]"
Begijnhofstraat,"[""50.98289310860288"", ""3.580644408941069""]"
Begonialaan,"[""50.969674052245836"", ""3.533769778014113""]"
Bekaertswegel,"[""50.9974482004272"", ""3.501924781645282""]"
Bekstraat,"[""51.06365861008923"", ""3.5790255418381807""]"
Berg,"[""51.02212375"", ""3.5292652""]"
Berkenlaan,"[""51.03658093555426"", ""3.5443036413440963""]"
Berten De Kimpestraat,"[""50.98094387142881"", ""3.535072003112157""]"
Biebuyckstraat,"[""51.0321141730038"", ""3.557406902748173""]"
Biesbulckstraat,"[""50.99116563645853"", ""3.5220431968854466""]"
Biezen,"[""50.98893284483511"", ""3.602788400807162""]"
Biezestraat,"[""51.075536667128105"", ""3.5915119904319086""]"
