Straat,Coordinaten
A. De Brabanterstraat,"[""50.88121840374967"", ""4.076637189542084""]"
A. De Cockstraat,"[""50.88294776411237"", ""4.08069644186364""]"
A. Rodenbachstraat,"[""50.8948371333409"", ""4.070186547267223""]"
Abeelstraat,"[""50.89410055031546"", ""4.042941994201873""]"
Acacialaan,"[""50.891471260072734"", ""4.059072525190815""]"
Anjelierenlaan,"[""50.88871909203813"", ""4.064673087248014""]"
Arendsveld,"[""50.89772835"", ""4.0701199500000005""]"
Aststraat,"[""50.87383765"", ""4.0431915""]"
Azalealaan,"[""50.89237039472182"", ""4.059860047677425""]"
B. de Saedeleerstraat,"[""50.87454104241795"", ""4.073769018511588""]"
Bakergemsmolenstraatje,"[""50.87251748288284"", ""4.0570971249166545""]"
Bakergemveldbaan,"[""50.872123986812014"", ""4.056038079616619""]"
Beekstraat,"[""50.90041671291954"", ""4.041950229373372""]"
Beerweg,"[""50.90029706761729"", ""4.05737089706403""]"
Bergstraat,"[""50.8796941"", ""4.07781055""]"
Berkenlaan,"[""50.89794276164586"", ""4.071317278660376""]"
Beukel,"[""50.88989128314952"", ""4.043815685541586""]"
Beukenlaan,"[""50.89503411929903"", ""4.055889404809628""]"
Biestbaan,"[""50.874202385551534"", ""4.0409693289444""]"
Bloemendaal,"[""50.890122440770284"", ""4.064713837684513""]"
Bloemlandstraat,"[""50.889229511295376"", ""4.069116333435916""]"
Bontebeek,"[""FOUT, geen straat gevonden""]"
Booglaan,"[""50.89424566268797"", ""4.055534240537015""]"
Boomgaardstraat,"[""50.8844933"", ""4.0786392""]"
Bordeleenstraat,"[""50.8982313"", ""4.0688143""]"
Boriaustraat,"[""50.877069576784514"", ""4.0689189681308005""]"
Bosstraat,"[""50.896618777055416"", ""4.070797540094457""]"
Bouchtstraat,"[""50.883525169321565"", ""4.079672781537396""]"
Braamlandstraat,"[""50.8783656"", ""4.051243749866934""]"
Brandweerstraat,"[""50.881625144502145"", ""4.077382200897085""]"
Broekstraat,"[""50.90221409437005"", ""4.045085350425587""]"
Burg. Benedikt 'T Kintlaan,"[""50.89324900136519"", ""4.04901481250908""]"
Burg. De Dierlaan,"[""50.89342575"", ""4.053533""]"
Burg. Rollierstraat,"[""50.88616653772034"", ""4.073614132742517""]"
Burg. Romain Eemanlaan,"[""FOUT, geen straat gevonden""]"
Collegestraat,"[""50.88124343740174"", ""4.072538878154171""]"
Coupurestraat,"[""50.885373698754826"", ""4.0731702620977055""]"
De Nayerstraat,"[""50.89145132348082"", ""4.0804465685118085""]"
Deggerbaan,"[""50.87189270611266"", ""4.0336661266638965""]"
Denderweg,"[""50.882546502960665"", ""4.0829885661161205""]"
Dennenstraat,"[""50.87193849089254"", ""4.049271158947524""]"
Dorp,"[""50.88335959358447"", ""4.081737920989889""]"
Dr. Cochezstraat,"[""50.88236081075442"", ""4.077301901792628""]"
Draaiweg,"[""50.87859125"", ""4.0752412499999995""]"
Dreef,"[""50.88983822779348"", ""4.065834328960827""]"
Drieselken,"[""50.894074665651054"", ""4.0471652471916295""]"
Dwarsstraat,"[""50.88649221648431"", ""4.077478410078046""]"
Eendenstraat,"[""50.89775094676912"", ""4.0554370457183975""]"
Eenestraat,"[""50.8709143377021"", ""4.048600113008636""]"
Eikenlaan,"[""50.89287210580117"", ""4.058241250581413""]"
Elf Dagwand,"[""50.89652833784638"", ""4.056697077278346""]"
Elzenlaan,"[""50.89567469665417"", ""4.056745183215784""]"
Esdoorn,"[""50.88984364079305"", ""4.05819876141754""]"
Esselkensbaan,"[""FOUT, geen straat gevonden""]"
F. van de Ponseelelaan,"[""50.88970029891139"", ""4.071609768938388""]"
Fabriekstraat,"[""50.891457742844146"", ""4.081805307453455""]"
Fazantenlaan,"[""50.87325317957378"", ""4.070445308273849""]"
Fonteinstraat,"[""50.8721222"", ""4.0628592""]"
Geallieerdenstraat,"[""50.88409836714478"", ""4.079920515523455""]"
Groebel,"[""50.87733664056064"", ""4.0507549371419325""]"
Groeneweg,"[""50.9038375"", ""4.05049292534386""]"
Grooten Moortelhoek,"[""50.90019791782113"", ""4.040786154722747""]"
Guido Gezellestraat,"[""50.88833385253739"", ""4.076686146257644""]"
Haagbeuk,"[""50.891336268885965"", ""4.0556017660735675""]"
Hageveldstraat,"[""50.87330766492705"", ""4.074691147506872""]"
