Straat,Coordinaten
Acacialaan,"[""51.055395980481315"", ""3.777087935976246""]"
Admiraaldreef,"[""51.0608242"", ""3.7745698""]"
Admiraalhof,"[""51.06008215"", ""3.7736652""]"
Admiraalstraat,"[""51.054113"", ""3.7710472""]"
Adrien De Grootestraat,"[""51.05928268214192"", ""3.8004057821419233""]"
Aelmeersstraat,"[""51.0326733411849"", ""3.7941497853107164""]"
Assery,"[""FOUT, geen straat gevonden""]"
Axminsterhof,"[""51.030954103675036"", ""3.8064338062720626""]"
Baleliewegel,"[""51.06246307497053"", ""3.823667206365603""]"
Bastenakkerstraat,"[""50.99733089159633"", ""3.830144461918052""]"
Beerweg,"[""50.99707724874216"", ""3.8276405202380395""]"
Belgiëlaan,"[""51.0546480053903"", ""3.766178793123598""]"
Berenbosdreef,"[""51.02431375241354"", ""3.8139125356680212""]"
Bergenkruislaan,"[""51.06431014936543"", ""3.795398435547773""]"
Bergenmeersstraat,"[""51.05322879709591"", ""3.7994319856874488""]"
Berkendreef,"[""51.02081258570273"", ""3.804672900119374""]"
Berkendries,"[""51.032301700091445"", ""3.826636169426656""]"
Berlebrugstraat,"[""51.04609189999999"", ""3.8212512""]"
Beukendreef,"[""51.05718777534715"", ""3.794448502742115""]"
Bijlokestraat,"[""51.0553595"", ""3.76289255""]"
Bijlokeweg,"[""51.058023011574925"", ""3.768691118439418""]"
Blauwesteenstraat,"[""FOUT, geen straat gevonden""]"
Bochtenstraat,"[""51.06685688362288"", ""3.8316763394738826""]"
Bommelsrede,"[""51.00074460209033"", ""3.8304066051591823""]"
Bommelsstraat,"[""FOUT, geen straat gevonden""]"
Bonsgrachtstraat,"[""51.0681925"", ""3.8226088""]"
Borrestraat,"[""51.065560912123196"", ""3.7971841335091807""]"
Bosakker,"[""51.03276205429579"", ""3.8196400339279335""]"
Bosheidestraat,"[""51.01757493552919"", ""3.820503842365149""]"
Boswegel,"[""51.03634714606213"", ""3.804416646647162""]"
Brandstraat,"[""51.06619649701563"", ""3.8502849206657386""]"
Bredenakkerstraat,"[""51.0559544750625"", ""3.7665019115524663""]"
Bremwegel,"[""51.03501532076928"", ""3.8037116095583676""]"
Broekstraat,"[""51.01930565249996"", ""3.825179695648233""]"
Brugdreef,"[""51.0275335014395"", ""3.798377515331787""]"
Brugwegel,"[""51.037362200000004"", ""3.79766005""]"
Burgemeester J.Cardonstraat,"[""51.058230037247306"", ""3.79836740573594""]"
Burgemeester Libbrechthof,"[""51.05755873699115"", ""3.7998310497370347""]"
Burgemeester Libbrechtstraat,"[""51.05980985818075"", ""3.7991660979833513""]"
Burgemeester Meirsonstraat,"[""51.05360904276263"", ""3.7626183444403174""]"
Burgemeester Williamehof,"[""51.051513400000005"", ""3.76405105""]"
Burgstraat,"[""51.0727128"", ""3.8363112""]"
Charles Lebonstraat,"[""51.00624023645857"", ""3.80468280798368""]"
Cleemputtehof,"[""FOUT, geen straat gevonden""]"
D'Haenestraat,"[""51.00480234041523"", ""3.8214082262861284""]"
Damstraat,"[""51.0619846"", ""3.8180643""]"
Damvalleistraat,"[""51.0591017"", ""3.8192806""]"
Denderhof,"[""51.053408756398355"", ""3.7665510817228625""]"
Dendermondesteenweg,"[""51.051989158153745"", ""3.760438666444574""]"
Donkerstraat,"[""51.014863950000006"", ""3.8053585500000002""]"
Doolaegepark,"[""51.0415088"", ""3.7991926""]"
Dorekenswegel,"[""51.0606167"", ""3.8038172""]"
Dorpslaan,"[""51.027317019360574"", ""3.8027542981735016""]"
Draaiboomstraat,"[""51.0670799"", ""3.8400839""]"
Dries,"[""51.03453084975004"", ""3.8201532448810034""]"
Drieswegel,"[""51.03545291304285"", ""3.8214468782901685""]"
Eenbeekstraat,"[""51.0563891"", ""3.7907894""]"
Eikenlaan,"[""51.06241529704336"", ""3.793609969289476""]"
Ellebogten,"[""51.0407146"", ""3.7995313""]"
Europalaan,"[""51.05491807764794"", ""3.7692747685771115""]"
Evenakker,"[""51.03297845"", ""3.816622285669025""]"
Eyloschlaan,"[""51.067174908979275"", ""3.8018769577537266""]"
Frans Heynderycxrede,"[""51.056900139933155"", ""3.784730948593566""]"
Galgenberglaan,"[""51.05210251944854"", ""3.7630451710419517""]"
Gaverstraat,"[""51.04342940763421"", ""3.8209048409577124""]"
Gentwegel,"[""51.06396245912063"", ""3.7902117511415074""]"
Goudenhandwegel,"[""51.06490856948671"", ""3.830882951398849""]"
Goudmijnstraat,"[""51.050985749999995"", ""3.7861098""]"
Graaf Wichmanstraat,"[""51.05826532279039"", ""3.8018524857577507""]"
Grimbeerthof,"[""51.06480909457768"", ""3.8026172273931182""]"
Groenstraat,"[""51.0711048"", ""3.8314165""]"
Grote Reukens,"[""51.03878699206453"", ""3.8164599309855385""]"
Haagstraat,"[""51.01124101002358"", ""3.815108320320258""]"
Haenhoutstraat,"[""51.06982132685592"", ""3.8275558291224305""]"
Hanekamlos,"[""51.04712421036989"", ""3.7975793725238316""]"
Hauwstraat,"[""51.047830994772404"", ""3.8167045809697493""]"
Heibosstraat,"[""51.06580170100926"", ""3.795519480429642""]"
Heidestraat,"[""51.03114521046848"", ""3.8037660108721676""]"
Hellegatstraat,"[""51.05273891360391"", ""3.7865606425047207""]"
Helstwegel,"[""51.04178907545267"", ""3.81771179838317""]"
Herenakker,"[""51.03270859104117"", ""3.815629377954078""]"
Herlegemhof,"[""51.05386997156828"", ""3.761361159656369""]"
Herlegemstraat,"[""51.05279400324685"", ""3.7579949991971087""]"
Hermelijnestraat,"[""51.0634801"", ""3.8017955""]"
Hersindehof,"[""51.0645375"", ""3.80067405""]"
Heusdendorp,"[""51.02886595"", ""3.8005943500000003""]"
Hoekskenstraat,"[""FOUT, geen straat gevonden""]"
Hoenderstraat,"[""51.075492407777325"", ""3.823440849352134""]"
Hoenderwegel,"[""FOUT, geen straat gevonden""]"
Hoge Kouter,"[""51.06006776448005"", ""3.8049019991115673""]"
Hoge Steenakker,"[""51.032898265164945"", ""3.8006462962188587""]"
Hoogstraat,"[""51.06924400497256"", ""3.8490941329594377""]"
Hooistraat,"[""51.03984265918391"", ""3.800837389420158""]"
Hooiwegel,"[""51.039669815511196"", ""3.804587963749272""]"
Hoorlingstraat,"[""51.036666143677394"", ""3.800511871553395""]"
Houtstraat,"[""51.06865439144675"", ""3.8014863431531607""]"
Hovelingen,"[""51.034464049597176"", ""3.8019916409012677""]"
Hovenakker,"[""51.039385319993535"", ""3.8071519421980655""]"
Hullendriesstraat,"[""51.01349361280321"", ""3.807343696660906""]"
Ijskelderlos,"[""51.07905375359692"", ""3.8306910404201817""]"
Isabella Haeckstraat,"[""51.06107705869334"", ""3.8183233888900863""]"
Izegrimhof,"[""51.0656084"", ""3.8006063""]"
Jagerstraat,"[""51.067580284641146"", ""3.828339115195675""]"
Kalvarieweg,"[""51.019204036350324"", ""3.80176416901114""]"
Kalverbosdreef,"[""51.01361936724279"", ""3.79576269587731""]"
Kalverbosstraat,"[""51.01352709782469"", ""3.800351862780452""]"
Kalverboswegel,"[""51.01400135707583"", ""3.799540014318904""]"
Kantekleerhof,"[""51.0658546"", ""3.80259245""]"
Kapellestraat,"[""51.06816477165179"", ""3.820164270367601""]"
Kasteeldreef,"[""51.0595857"", ""3.7947689000000002""]"
Kasteelstraat,"[""51.052907815534134"", ""3.760271623713612""]"
Kerkham,"[""51.054710664728205"", ""3.7989316312213837""]"
Kerkhofwegel,"[""FOUT, geen straat gevonden""]"
Kerkkouterrede,"[""51.057135857609346"", ""3.7876803879907883""]"
Kerkstraat,"[""51.06004194047775"", ""3.7963739655564743""]"
Kerkwegel,"[""51.03143665"", ""3.8064942999999998""]"
Kievitlaan,"[""51.056514300179735"", ""3.762875363913051""]"
Klaverakker,"[""51.038474656606034"", ""3.7998051818571663""]"
Kleempendorp,"[""51.030618277854686"", ""3.8029842879008444""]"
Kleine Driesstraat,"[""51.03591272656562"", ""3.822830892446646""]"
Kleingentstraat,"[""51.06377247279681"", ""3.8045647036469954""]"
Koedreef,"[""51.05613494227327"", ""3.803882303312525""]"
Koreinrede,"[""51.04068932692668"", ""3.8087924289867834""]"
Kouterlaan,"[""51.0271674335864"", ""3.798805737103662""]"
Kouterstraat,"[""51.0602273"", ""3.7979297""]"
Krekelstraat,"[""51.030423899722656"", ""3.7999538123338317""]"
Kromrede,"[""51.060397782682855"", ""3.7874920194561836""]"
Kruisdreef,"[""51.01937911839823"", ""3.797637889450595""]"
Kruisstraat,"[""51.02245641599954"", ""3.8028503044307045""]"
Kruiswegel,"[""51.0299578104302"", ""3.8032904709941464""]"
Kwadenplasstraat,"[""51.06458049458676"", ""3.79016262346867""]"
Laarnebaan,"[""51.03351445831176"", ""3.8091105408330526""]"
Lagen Heirweg,"[""51.044803080027286"", ""3.8225713563355646""]"
Ledebeekhof,"[""51.05566206983487"", ""3.772287751226419""]"
Ledebeekstraat,"[""51.0556182"", ""3.77333035""]"
Leegrede,"[""51.03516801836862"", ""3.8219488638337964""]"
Leenstraat,"[""51.02994494357377"", ""3.8113499076450763""]"
Leeuweriklaan,"[""51.0578229"", ""3.7846182""]"
Letterwegel,"[""51.02685649380265"", ""3.8004923509603943""]"
Lijsterbesdreef,"[""51.0611021"", ""3.7714696""]"
Lindenlaan,"[""51.061200265302006"", ""3.794701549421765""]"
Lodries,"[""51.03181006736708"", ""3.81517940925001""]"
