Straat,Coordinaten
Acaciahof,"[""50.97851174097501"", ""5.0632727856652835""]"
Acacialaan,"[""50.99041763744244"", ""5.08281332261825""]"
Acaciastraat,"[""50.97723937689959"", ""5.0644593053242195""]"
Allerheiligenberg,"[""50.98390035"", ""5.0499694""]"
Ambachtenlaan,"[""51.011395899330765"", ""5.015592219904001""]"
Anjerstraat,"[""50.97569720431254"", ""5.0526373927456625""]"
Antwerpsestraat,"[""50.99266145"", ""5.0537942000000005""]"
Arthur Van Ooststraat,"[""50.979827016794815"", ""5.053922009366132""]"
Asdonkstraat,"[""51.01549111058552"", ""5.036954544063157""]"
Asterstraat,"[""50.97390554296857"", ""5.048058446014535""]"
Azalealaan,"[""50.994483951526504"", ""5.073812664318751""]"
Baanhuisstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Badstraat,"[""50.979996930531456"", ""5.065713273570235""]"
Barenbergseweg,"[""50.991168823827024"", ""5.081833314605858""]"
Bastionstraat,"[""50.98094325"", ""5.03973055""]"
Beemdenweg,"[""51.00456267074146"", ""5.011257442008859""]"
Beemptstraat,"[""50.95591107014713"", ""5.033736891884038""]"
Begijnenstraat,"[""50.9876036"", ""5.05715305""]"
Begoniastraat,"[""50.97815770395176"", ""5.05070030480861""]"
Bergbosstraat,"[""51.04075641278621"", ""5.1076183232826144""]"
Bergstraat,"[""51.02674170561209"", ""5.119884045163673""]"
Bergveld,"[""50.97311110665858"", ""5.058415878423924""]"
Beringenbaan,"[""51.0244685"", ""5.14785845""]"
Berkenhof,"[""50.98952269881938"", ""5.04851098666102""]"
Berkstraat,"[""51.00396732870727"", ""5.0876908785065735""]"
Beukenlaan,"[""50.9762667"", ""5.0618232""]"
Beukenplein,"[""50.977125088393414"", ""5.062424783085547""]"
Beverpoortstraat,"[""50.9796061"", ""5.05950045""]"
Bevrijdingsstraat,"[""50.9790931"", ""5.0562867""]"
Blaasberg,"[""50.99764738827674"", ""5.022888333135715""]"
Blakenbergstraat,"[""50.95568176649797"", ""5.052750849519255""]"
Blanklaerstraat,"[""51.009463511494694"", ""5.115920946824916""]"
Bloemenlaan,"[""50.9786233"", ""5.0517079""]"
Bloempotgang,"[""50.98632791538277"", ""5.0527935239800135""]"
Bogaardenstraat,"[""50.988876867726866"", ""5.0583990009934485""]"
Boonhof,"[""51.0023394"", ""5.0102079""]"
Bosmansstraat,"[""51.0104546"", ""5.0179352""]"
Bosstraat,"[""50.996770025544166"", ""5.01792606058889""]"
Bosterestraat,"[""50.971580235648275"", ""5.037362039175738""]"
Botermarkt,"[""50.9832569728565"", ""5.052236117035089""]"
Boudewijnvest,"[""50.98965519562949"", ""5.0500291543579365""]"
Boven Molenstede,"[""50.994889317566944"", ""5.023562466396885""]"
Bredastraat,"[""50.971453289030734"", ""5.040413366372554""]"
Bredestraat,"[""50.97547181262886"", ""5.021556497302409""]"
Bremstraat,"[""50.97436902268203"", ""5.05168290063371""]"
Broekstraat,"[""50.99584929765104"", ""5.031601632762292""]"
Bronweg,"[""50.9964407"", ""5.0214444""]"
Brouwerijstraat,"[""50.985688233623556"", ""5.050327683178772""]"
Bruidstraat,"[""50.98655405907114"", ""5.056909229980785""]"
Burchtstraat,"[""51.00258176029743"", ""5.079084562311253""]"
Cabaretstraat,"[""50.984299082035"", ""5.051298172029508""]"
Calenberg,"[""50.99426835531801"", ""5.021150146392902""]"
Cauwberg,"[""51.00505444901845"", ""5.04268850110277""]"
Citadel,"[""50.9830195"", ""5.0446378473121625""]"
Citadellaan,"[""50.9950303"", ""5.0398185""]"
Cleynaertsstraat,"[""50.984813353058186"", ""5.050436823676009""]"
