Straat,Coordinaten
Anderlechtstraat,"[""50.79581345910032"", ""4.297349762787594""]"
Beersellaan,"[""50.78301948743079"", ""4.321145910077012""]"
Bemptstraat,"[""50.79248231549356"", ""4.30780794896934""]"
Beukenstraat,"[""50.782819009056276"", ""4.317743670828023""]"
Boomgaardstraat,"[""50.79692647219504"", ""4.3126982159681155""]"
Bosstraat,"[""50.781440453866246"", ""4.318779291660882""]"
Broekweg,"[""50.79183445878767"", ""4.306991658667077""]"
Brouwerijstraat,"[""50.78767469506186"", ""4.318308570424673""]"
De Bruyckerweg,"[""50.8018256"", ""4.3007632000000005""]"
Dorent,"[""50.79553210412965"", ""4.300909071977231""]"
Drie Fonteinenstraat,"[""50.80612365"", ""4.3015156999999995""]"
Drie Koningenstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Eggergat,"[""50.780176949892876"", ""4.324154807828667""]"
Elst,"[""50.783527104817715"", ""4.320237777714399""]"
Emile Pathéstraat,"[""50.79980195661187"", ""4.304265945451826""]"
Fleurbeekstraat,"[""50.79340348205433"", ""4.317306840515341""]"
Frankveld,"[""50.780753944487316"", ""4.319828071991184""]"
Golden Hopestraat,"[""50.797672557934156"", ""4.292465325138677""]"
Groot-Bijgaardenstraat,"[""50.79729762520854"", ""4.291708660037243""]"
Grote Baan,"[""50.7931307767722"", ""4.3069216614573245""]"
Humaniteitslaan,"[""50.806521849999996"", ""4.3029123""]"
Ijzerstraat,"[""50.78242312018771"", ""4.321904553374209""]"
Jozef Rodtsstraat,"[""50.790712719719906"", ""4.317763003861572""]"
Karreveldstraat,"[""50.79242227197166"", ""4.315411330631576""]"
Kasteelstraat,"[""50.7825571060056"", ""4.316557548652163""]"
Kerkstraat,"[""50.78730202371805"", ""4.317342866065727""]"
Korte Linkebeekstraat,"[""50.780217019713476"", ""4.3250491709102885""]"
Krekelendries,"[""50.79373424781435"", ""4.315064882218286""]"
Kuikenstraat,"[""50.79391600701015"", ""4.3140303362770425""]"
Langestraat,"[""50.793396613434076"", ""4.316399664142099""]"
Marie Collartstraat,"[""50.782111156098054"", ""4.317993342487767""]"
Nieuwe Stallenstraat,"[""FOUT, geen straat gevonden""]"
Nieuwstraat,"[""50.78265939663386"", ""4.313690455056868""]"
Oude Molenstraat,"[""50.79011417973486"", ""4.318695966698293""]"
Paul Gilsonlaan,"[""50.7955633914837"", ""4.307882366611579""]"
Steenweg op Alsemberg,"[""FOUT, geen straat gevonden""]"
Steenweg op Drogenbos,"[""50.785559053249564"", ""4.319543630125377""]"
Steenweg op Ruisbroek,"[""50.79789521264369"", ""4.309342052598971""]"
Sterstraat,"[""50.79053913663851"", ""4.317337921142244""]"
Verlengde Stallestraat,"[""50.79506314664309"", ""4.315706659008579""]"
Verwelkomingsstraat,"[""FOUT, geen straat gevonden""]"
Vrijheidstraat,"[""50.79619481095008"", ""4.313393281922203""]"
W.A. Mozartlaan,"[""50.810582739976866"", ""4.304340210472295""]"
Weidenstraat,"[""50.79551650566456"", ""4.3139524971815515""]"
Zennebeemd,"[""50.79252075316414"", ""4.313149393952301""]"
s'Herenstraat,"[""50.78772642206195"", ""4.315553340932492""]"
