Straat,Coordinaten
't Kattegat,"[""51.1606768"", ""4.4521905""]"
Aartselaarstraat,"[""51.1559634"", ""4.4182653""]"
Acht Eeuwenlaan,"[""51.1543374"", ""4.4344202""]"
Adolf Queteletlaan,"[""51.1580115"", ""4.421117""]"
Adriaan Willaertstraat,"[""51.1639779"", ""4.4191168""]"
Adrien de Gerlachestraat,"[""51.1673261"", ""4.4407217""]"
Andreas Vesaliuslaan,"[""51.1602047"", ""4.4223554""]"
Archimedeslaan,"[""51.1514122"", ""4.4403298""]"
Arendsnestlaan,"[""51.1516757"", ""4.4367971""]"
Armand Preud'hommeplein,"[""51.1694146"", ""4.4286696""]"
August Coolslaan,"[""51.1518233"", ""4.4430229""]"
Baron de Celleslaan,"[""51.1557604"", ""4.4347857""]"
Beekstraat,"[""51.1693826"", ""4.4393512""]"
Bernard van Orleyplein,"[""51.1589593"", ""4.4236437""]"
Biezenwei,"[""51.1487613"", ""4.4534984""]"
Boerenlegerstraat,"[""51.1527439"", ""4.4414715""]"
Boniverlei,"[""51.15614"", ""4.455909""]"
Bosmanstraat,"[""51.1569719"", ""4.4235315""]"
Bostulpenpad,"[""51.1594748"", ""4.4347559""]"
Buizegemhof,"[""51.1503451"", ""4.4602664""]"
Buizegemlei,"[""51.1497577"", ""4.4501168""]"
Buizegempad,"[""51.15255"", ""4.452381""]"
Cronckenroystraat,"[""51.1652796"", ""4.4252771""]"
De Pelgrim,"[""51.1553341"", ""4.4363817""]"
De Wieken,"[""51.161301"", ""4.4457521""]"
De Winne-Bogaertstraat,"[""51.1718275"", ""4.4344688""]"
De geheime weg,"[""51.1583924"", ""4.4456733""]"
Den Eeckhofstraat,"[""51.1599756"", ""4.4292644""]"
Den Leeuwenbergstraat,"[""51.1624653"", ""4.4259354""]"
Doelveldstraat,"[""51.156783"", ""4.4457287""]"
Dokter Frans Bernaertsstraat,"[""51.1564579"", ""4.449188""]"
Dokter Frans Hemeryckxlaan,"[""51.1511448"", ""4.4524072""]"
Donk,"[""51.1654708"", ""4.4362662""]"
Doornstraat,"[""51.1530663"", ""4.4027287""]"
Drie Eikenstraat,"[""51.1557016"", ""4.4142274""]"
Dwaallichtjespad,"[""51.1615367"", ""4.4408321""]"
Elsbos,"[""51.1499871"", ""4.4520406""]"
Elsenborghlaan,"[""51.1644398"", ""4.4234067""]"
Elsveldekensweg,"[""51.1517947"", ""4.4010497""]"
Ernest Jouretlaan,"[""51.1486877"", ""4.458553""]"
Ernest Staesstraat,"[""51.1685588"", ""4.4393896""]"
Eugenio Pacellilaan,"[""51.1627909"", ""4.4177842""]"
Eugène baron Traeylaan,"[""51.1550868"", ""4.4264597""]"
Eysegemblok,"[""51.1568097"", ""4.4215356""]"
Familie Vercammenstraat,"[""51.1702775"", ""4.4358882""]"
Ferdinand Verbiestlaan,"[""51.1672185"", ""4.4206111""]"
Finckenpad,"[""51.149808"", ""4.4457435""]"
Firmin Deprezlaan,"[""51.1529353"", ""4.4234255""]"
Florent Geversstraat,"[""51.1547965"", ""4.4477625""]"
Fort V-straat,"[""51.1718062"", ""4.4334422""]"
Frans Kusterslaan,"[""51.1545962"", ""4.4232772""]"
Garden Citylaan,"[""51.1703313"", ""4.4284853""]"
Gebroeders van Raemdoncklaan,"[""51.1536743"", ""4.4243649""]"
Geitepad,"[""51.1604915"", ""4.412557""]"
Gemeenteplein,"[""51.1545929"", ""4.4457201""]"
Gerard de Cremerstraat,"[""51.1657149"", ""4.4414483""]"
Gerard van Laethemlaan,"[""51.154757"", ""4.4354573""]"
Graaf de Fienneslaan,"[""51.1602476"", ""4.4320505""]"
Graaf de Granvellelaan,"[""51.1613816"", ""4.431268""]"
Grijpegemplein,"[""51.1619553"", ""4.4502296""]"
Grote Dries,"[""51.1481472"", ""4.4512778""]"
Hagedoornlei,"[""51.1526619"", ""4.4509421""]"
Hazelbos,"[""51.1531992"", ""4.4268377""]"
Hazelbospad,"[""51.153342"", ""4.4274031""]"
Hazeschransstraat,"[""51.1652358"", ""4.4247646""]"
Heihoefseweg,"[""51.1532843"", ""4.4311492""]"
Heldenstraat,"[""51.1538786"", ""4.4470316""]"
Hendrik Kennisstraat,"[""51.1628066"", ""4.4181128""]"
Henri Dunantstraat,"[""51.1621514"", ""4.4481962""]"
Herdenkingsplein,"[""51.170777"", ""4.4351721""]"
Herfstlei,"[""51.1545349"", ""4.4524377""]"
Hofgracht,"[""51.1490902"", ""4.457451""]"
Hogerhagenpad,"[""51.1493179"", ""4.4386724""]"
Hovestraat,"[""51.1560953"", ""4.4565915""]"
Hubert Willemsstraat,"[""FOUT, geen straat gevonden""]"
Ida Mortelmansstraat,"[""51.1720586"", ""4.4349034""]"
Ingenieur David Hansenstraat,"[""51.1511527"", ""4.4381399""]"
Ingenieur Haesaertslaan,"[""51.1669642"", ""4.4260595""]"
Jachtlaan,"[""51.1656949"", ""4.4167634""]"
Jacob de Roorestraat,"[""51.1707166"", ""4.4331182""]"
Jan Ockegemstraat,"[""51.1634923"", ""4.4219969""]"
Jan Verbertlei,"[""51.1527236"", ""4.4576761""]"
Jan de Bodtlaan,"[""51.1572671"", ""4.4323569""]"
Jan de Sadelerlaan,"[""51.161384"", ""4.4210327""]"
Jan van Mirlostraat,"[""51.1616058"", ""4.4207321""]"
Jean Notéstraat,"[""51.1479046"", ""4.4473661""]"
Joe Englishlaan,"[""51.1561626"", ""4.426394""]"
Jonkersaard,"[""51.1466157"", ""4.4541943""]"
Jozef Jespersstraat,"[""51.1671389"", ""4.4224026""]"
Jozef de Veusterstraat,"[""51.156878"", ""4.4224856""]"
Justus Lipsiusstraat,"[""51.167316"", ""4.4424615""]"
Kapelaan Smitslaan,"[""51.1500139"", ""4.4449086""]"
Karel Mirystraat,"[""51.1589383"", ""4.4509123""]"
Karel van de Poelestraat,"[""51.1621101"", ""4.4212236""]"
Kasteeldreef,"[""FOUT, geen straat gevonden""]"
Kasteelweg,"[""51.1594483"", ""4.441058""]"
Kattenbroek,"[""51.1486294"", ""4.4349913""]"
Keltenheuvel,"[""51.1526848"", ""4.4552739""]"
Kerkplein,"[""51.1674857"", ""4.4272256""]"
Kievitspad,"[""51.1518198"", ""4.4211253""]"
Kladdenbergstraat,"[""51.1562464"", ""4.4391607""]"
Klaverenaard,"[""51.1485562"", ""4.4553687""]"
Koning Albertlei,"[""51.1560904"", ""4.4560495""]"
Kontichstraat,"[""51.1529936"", ""4.4463758""]"
Kruisbeemd,"[""51.147033"", ""4.4517332""]"
Laatvliegerpad,"[""51.1647361"", ""4.4327078""]"
Lange Beemd,"[""51.164903"", ""4.4376704""]"
Laureysstraat,"[""51.160408"", ""4.4462672""]"
Leeuwerikenlei,"[""51.1510546"", ""4.4474809""]"
Lentelei,"[""51.1525664"", ""4.4498794""]"
Leo Baekelandstraat,"[""51.1645367"", ""4.4221527""]"
Leonardo da Vincilaan,"[""51.1532183"", ""4.4401294""]"
Leopold III-lei,"[""51.1544092"", ""4.4563302""]"
Leroylaan,"[""51.1680932"", ""4.426227""]"
Lode de Boningestraat,"[""51.1530774"", ""4.4255612""]"
Losweg,"[""51.1560001"", ""4.4199964""]"
Lourdeslaan,"[""51.1559065"", ""4.4513878""]"
Loze Gaanweg,"[""51.1560113"", ""4.4456348""]"
