Straat,Coordinaten
Aaigembergstraat,"[""50.87842793439032"", ""3.9341914571759036""]"
Aaigemdorp,"[""50.88955117633237"", ""3.9367442675198103""]"
Aaigemdries,"[""50.891221090625635"", ""3.9473938999404194""]"
Achterstraat,"[""50.91529001801436"", ""3.9600053432992963""]"
Akkerstraat,"[""50.9138638640342"", ""3.915783721085796""]"
Albertstraat,"[""50.906936680910256"", ""3.9283488329846175""]"
Allemansbos,"[""50.943990853264715"", ""3.9888296055310097""]"
Appelsakker,"[""50.90991335"", ""3.9740983500000002""]"
Ashage,"[""50.89535705230896"", ""3.926290515544821""]"
Azaleastraat,"[""50.94086325"", ""3.9586130500000003""]"
Baardegemstraat,"[""50.90121316628883"", ""3.9302602486760163""]"
Bambruggedorp,"[""50.92027353716969"", ""3.9296237166119568""]"
Bavokouter,"[""50.92420875521713"", ""3.96038558764271""]"
Beekkantstraat,"[""50.9189333084142"", ""3.9586957477795215""]"
Beekstraat,"[""50.91823048425137"", ""3.9491821145612858""]"
Bergstraat,"[""50.92390944675879"", ""3.9708268305139063""]"
Berkenweg,"[""50.90924978252939"", ""3.91953563495929""]"
Biekenshof,"[""FOUT, geen straat gevonden""]"
Biezenstraat,"[""50.90866093774591"", ""3.9181592498025366""]"
Biezeputstraat,"[""50.912873724352636"", ""3.9627105561059164""]"
Binnenstraat,"[""50.945314322363316"", ""3.947446163687053""]"
Binnenweg,"[""50.92454318632802"", ""3.9631397107885618""]"
Blauwbos,"[""50.91138495"", ""3.9618655532016884""]"
Bloemenstraat,"[""50.94681008161821"", ""3.9487579718421624""]"
Blokmanstraat,"[""50.919147556686816"", ""3.9580112145172603""]"
Bocht,"[""50.91966395"", ""3.97029495""]"
Boskouterstraat,"[""50.94597218423853"", ""3.972110223449784""]"
Boskouterstraatje,"[""50.94549026572933"", ""3.974367766720551""]"
Bossestraat,"[""50.94642002040585"", ""3.976725562957942""]"
Bosstraat,"[""50.925468175770675"", ""3.9628150800210244""]"
Botermelkstraat,"[""50.938860272793896"", ""3.9823330847887153""]"
Bovenweg,"[""50.94135167482744"", ""3.9570790807155363""]"
Broekkouter,"[""50.92077051935974"", ""3.933495826572393""]"
Broekstraat,"[""50.91309379499545"", ""3.960494498681571""]"
Broekveldstraat,"[""50.90911154089893"", ""3.9684062527776294""]"
Burstdorp,"[""50.91393439274693"", ""3.9202592445916893""]"
Cauwenbergstraat,"[""50.92002083673914"", ""3.9671090131493405""]"
D'Hoeve,"[""50.88546195694301"", ""3.9361686788639023""]"
Daalbroek,"[""50.919639265528325"", ""3.982680447073855""]"
Daalstraat,"[""50.919236713510735"", ""3.9738965664540054""]"
Delestraat,"[""50.879721841291975"", ""3.934113194238351""]"
Diepestraat,"[""50.91393915666841"", ""3.970242920843319""]"
Dikkelindestraat,"[""50.898323283510514"", ""3.9353591031058173""]"
Dokkestraat,"[""50.936769890710174"", ""3.9524139800560043""]"
Dokter Germaan De Vosstraat,"[""50.94540836978093"", ""3.9738838468394637""]"
Doorsteekstraat,"[""50.912769350000005"", ""3.95966175""]"
Dorenhof,"[""50.90673119208908"", ""3.924047356243832""]"
Dorent,"[""50.90943027772747"", ""3.922768222380854""]"
Dorpsstraat,"[""50.9339740860189"", ""3.977111681616486""]"
Dreef,"[""50.92096342974285"", ""3.9703765504461237""]"
Driepikkel,"[""50.88133759307855"", ""3.938221521785955""]"
Dries,"[""50.91308637115049"", ""3.936996543540614""]"
Duinaartweg,"[""50.9327312824733"", ""3.9797261180569685""]"
Duivelshoek,"[""50.909198051131185"", ""3.9653401612364454""]"
Edestraat,"[""50.9124689"", ""3.98201395""]"
Ediksveldestraat,"[""50.92259290021226"", ""3.9821325615339673""]"
Eegdeken,"[""50.94110534219243"", ""3.995652923262126""]"
Eekhout,"[""50.879434822341715"", ""3.93043012271905""]"
Eenhoornweg,"[""50.94507860924641"", ""3.967420473126489""]"
Eetsvelde,"[""50.90663442548156"", ""3.9426107155670964""]"
Egemstraat,"[""50.930800424426685"", ""3.939043656787433""]"
Eksterberg,"[""50.941412738098286"", ""3.955354582044945""]"
Engelsmolen,"[""50.88891675"", ""3.9501758639259172""]"
Eremietstraat,"[""50.904011225465986"", ""3.9230025720867703""]"
Erondegemdorp,"[""50.94052119666023"", ""3.955640813812592""]"
Erondegemkouterweg,"[""50.939831049999995"", ""3.9686096500000003""]"
Erpedorp,"[""50.933645283289955"", ""3.9757018331224137""]"
Evenbroekveld,"[""50.927503276698914"", ""3.9674115741863862""]"
Everdal,"[""50.92514778058865"", ""3.938516976015601""]"
Fierensveld,"[""50.91303242251319"", ""3.9131171872589143""]"
Frankrot,"[""50.88824434800544"", ""3.9418021858036765""]"
Ganzendries,"[""50.944084168779305"", ""3.9507465714201966""]"
Gentsesteenweg,"[""50.94245973129102"", ""3.993525705302515""]"
Gentsestraat,"[""50.91355243121113"", ""3.9201975767680866""]"
Glazentorenweg,"[""50.91928624793757"", ""3.966530895576759""]"
Gootstraat,"[""50.904542267047304"", ""3.973975569255384""]"
Gotegemstraat,"[""50.90249247281713"", ""3.963375074487514""]"
Gotegemveld,"[""50.903666846753374"", ""3.967481787540365""]"
Griet,"[""50.889734600353584"", ""3.934760816117032""]"
Grobbestraat,"[""50.90513709854255"", ""3.926083838104437""]"
Groendal,"[""50.92211558438478"", ""3.9778096079317407""]"
Groeneweg,"[""50.92323542167771"", ""3.979017439479212""]"
Groenstraat,"[""50.953091022293755"", ""3.9839274854085303""]"
Grote Gentweg,"[""50.94033677760971"", ""3.975018147329893""]"
Grote Zadelweg,"[""50.93483941887417"", ""3.980124350598983""]"
Hagenstraat,"[""50.918764254798155"", ""3.9686970591601143""]"
Halfbunder,"[""50.94704942207844"", ""3.960798931674644""]"
Halleweg,"[""50.89172167662071"", ""3.9448789873481096""]"
Hammersweg,"[""50.938678697338574"", ""3.9713775621151366""]"
Haverstraat,"[""50.90552426729564"", ""3.926542649810028""]"
Hazelbeek,"[""50.905196573285664"", ""3.9530900546984378""]"
Heerbaan,"[""50.91541819544431"", ""3.9111513932036335""]"
Hemelvelddreef,"[""50.94631516116593"", ""3.950772143615041""]"
Hersinkstraat,"[""50.94967540399239"", ""4.004406216366247""]"
Het Leen,"[""50.94563355370624"", ""3.9987937367223254""]"
Hoefijzerstraat,"[""50.905268899999996"", ""3.9244519""]"
Hoeksken,"[""50.95157247129623"", ""3.982038525815659""]"
Hoekstraat,"[""50.943370679229666"", ""3.942440328272152""]"
Hofkensweg,"[""50.92324341218206"", ""3.9592024106253234""]"
Hofveldweg,"[""50.884803303946235"", ""3.9330324482627264""]"
Hollandstraat,"[""50.92102456390795"", ""3.9531021284562673""]"
Hollestraat,"[""50.89032486054794"", ""3.943462384418885""]"
Honegemmeersweg,"[""50.94997358261231"", ""4.00268273845201""]"
Honegemstraat,"[""50.947258399999996"", ""3.99944045""]"
Hoogkouterweg,"[""50.9270268"", ""3.9777248000000003""]"
Hoogstraat,"[""50.95576250581281"", ""3.9787967037235967""]"
Hoolstraat,"[""50.91164064527694"", ""3.9422313310207304""]"
Impestraat,"[""50.94866711328118"", ""3.9478255730590326""]"
Industrieweg,"[""50.929282799999996"", ""3.96150945""]"
Jagerspad,"[""50.905920032900816"", ""3.925667719253672""]"
Jeruzalemstraat,"[""50.9143262054801"", ""3.976398424893642""]"
Joseph Cardijnstraat,"[""50.93470412971365"", ""3.9542312377011997""]"
Jozef De Somerlaan,"[""50.93993621644804"", ""3.971634033830572""]"
Kammelandstraat,"[""50.9403405"", ""3.9728860499999996""]"
Kantstraat,"[""50.9465534"", ""3.99855785""]"
Kapelhofstraat,"[""50.93991897348196"", ""3.9547215627606103""]"
Kapelleveldstraat,"[""50.915911212119134"", ""3.969996669130831""]"
Kapittelstraat,"[""50.90619998293933"", ""3.9781313629864727""]"
Katstraat,"[""50.92139956340525"", ""3.9301142372036093""]"
Kattelinnestraat,"[""50.943855732295084"", ""3.99441596332171""]"
Katteweg,"[""50.93494385515287"", ""3.9792439312140138""]"
Keerstraat,"[""50.93049254270488"", ""3.9558349551225294""]"
Keizersveld,"[""50.9297642"", ""3.9688642""]"
Kerkhofstraat,"[""50.91606061200981"", ""3.9720141782375133""]"
Kerkstraat,"[""50.91585293048565"", ""3.917815009697496""]"
Kerkveldstraat,"[""50.92087810219992"", ""3.9716310444993237""]"
Kleine Gentweg,"[""FOUT, geen straat gevonden""]"
Kleine Kruiskouter,"[""50.91032834356641"", ""3.970896661049872""]"
Kleine Ommegangweg,"[""50.93238772604312"", ""3.9774063400347686""]"
Kleine Steenstraat,"[""50.921832263265465"", ""3.9698777282213613""]"
Kleine Steenweg,"[""50.9461974098013"", ""3.9864782483828933""]"
Kloosterstraat,"[""50.92480058965336"", ""3.977600462032904""]"
Koebrugstraat,"[""50.935702890103734"", ""3.9773318976589285""]"
Koekhamerstraatje,"[""50.93118205"", ""3.97738185""]"
Kokelaar,"[""50.94491445"", ""3.94147965""]"
Koningsdries,"[""50.93943038250733"", ""3.940521362831895""]"
Korte Nieuwstraat,"[""50.942457050449015"", ""3.9579537979917663""]"
Kortemunt,"[""50.89888728139334"", ""3.9415999117296163""]"
Kortestraat,"[""50.9170302"", ""3.96154855""]"
Korteveldstraat,"[""50.910465911728195"", ""3.923591140237065""]"
Kosterweg,"[""50.88705205676459"", ""3.9376190018812993""]"
Kouterbosstraat,"[""50.94408571454643"", ""3.9715716834444073""]"
Koutergatstraat,"[""50.919478023151406"", ""3.954299611593595""]"
Kouterstraat,"[""50.939676229179796"", ""3.959137166896125""]"
Kraaineststraat,"[""50.93342016709434"", ""3.970684976488138""]"
Krevelhoek,"[""50.9513008474246"", ""3.9755797051611155""]"
Krielhoek,"[""50.909791999560625"", ""3.9188807436079944""]"
Kromgrachtstraat,"[""50.95083396460266"", ""3.9728881723927""]"
Kruiskensstraat,"[""50.93804962598476"", ""3.9660699927406213""]"
Kruiskouterstraat,"[""50.91764988469403"", ""3.9653852711860225""]"
Kruisstraat,"[""50.91971689598147"", ""3.9683749197139777""]"
Kuilstraat,"[""50.94551444031719"", ""3.9463579219520115""]"
Kwakkel,"[""50.89717490013997"", ""3.92729928444867""]"
Kwalestraat,"[""50.915005868316456"", ""3.932929759260866""]"
Lammersweg,"[""50.883673489049734"", ""3.9238883201025527""]"
Landries,"[""50.89598048219627"", ""3.9594466956306498""]"
Landsheerstraat,"[""50.92027237983923"", ""3.9275114916400797""]"
Lange Nieuwstraat,"[""50.9429455016729"", ""3.9590810188685754""]"
Lange Ommegangstraat,"[""50.92988485"", ""3.98072135""]"
Langemunt,"[""50.89504803300359"", ""3.9416158287729317""]"
Langestraat,"[""50.91738242000858"", ""3.9600875446872394""]"
Langeveldstraat,"[""50.91034260095974"", ""3.925511068554668""]"
Laputstraat,"[""50.929668250000006"", ""3.95394805""]"
Ledeweg,"[""50.94713958793828"", ""3.9636600880168125""]"
Leedsesteenweg,"[""50.94385580862418"", ""3.9910217564954675""]"
Leirekensweg,"[""50.94763624348405"", ""3.9598346788102785""]"
Leliestraat,"[""50.9406826"", ""3.9589605""]"
Leverstraat,"[""50.89609687998043"", ""3.9357016246107617""]"
Lindekouter,"[""50.91984756370043"", ""3.9448623347724454""]"
Lindestraat,"[""50.946123754060025"", ""3.9448399259502835""]"
Loofstraat,"[""50.91105961768536"", ""3.9758170153862142""]"
Loskadestraat,"[""50.92899763974554"", ""3.9630574147243376""]"
Lusstraat,"[""50.904788873567554"", ""3.9234343566235323""]"
Magerstraat,"[""50.92256669796631"", ""3.9620170379764876""]"
Martelaarsweg,"[""50.947270899988666"", ""3.9613913073608478""]"
Meiboomweg,"[""50.94788587283317"", ""4.000639303516741""]"
Meiweg,"[""50.93553278963675"", ""3.932071174982433""]"
