Straat,Coordinaten
Achterstehoevestraat,"[""51.4246845"", ""4.4105546""]"
Achterstraat,"[""51.4304799"", ""4.4612781""]"
Akkerstraat,"[""51.4280656"", ""4.4634024""]"
Albert Yssackersstraat,"[""51.4600119"", ""4.45823""]"
Alfons Tirelirenstraat,"[""51.4604048"", ""4.4612854""]"
Alfons Van Ginderenstraat,"[""51.4578214"", ""4.4562778""]"
Amberboomlaan,"[""51.4550195"", ""4.4482759""]"
Antwerpsesteenweg,"[""51.4299894"", ""4.4840425""]"
Baertshoek,"[""51.426227"", ""4.459223""]"
Beekstraat,"[""51.4250995"", ""4.4667878""]"
Begonialaan,"[""51.4320295"", ""4.4489429""]"
Beliestraat,"[""51.4620016"", ""4.467881""]"
Bergenvenstraat,"[""51.4451228"", ""4.448321""]"
Bergsebaan,"[""51.4486277"", ""4.3980645""]"
Berkenlaan,"[""51.4633642"", ""4.5272762""]"
Beukendreef,"[""51.4555175"", ""4.4420655""]"
Beyleboske,"[""51.4377474"", ""4.4673887""]"
Beylestraat,"[""51.4285426"", ""4.4688488""]"
Blakveld,"[""51.4383715"", ""4.4971334""]"
Bloemenlaan,"[""51.4352861"", ""4.4419941""]"
Bontstraat,"[""51.4455618"", ""4.4537768""]"
Boomkleverpad,"[""51.4584672"", ""4.5277231""]"
Bosbessenlaan,"[""51.4316205"", ""4.4294143""]"
Bosdreef,"[""51.4632866"", ""4.5268371""]"
Boterpotlaan,"[""51.4315181"", ""4.4303923""]"
Braambeslaan,"[""FOUT, geen straat gevonden""]"
Bredestraat,"[""51.4468079"", ""4.4924356""]"
Bremakker,"[""51.4515535"", ""4.4707644""]"
Bremlaan,"[""51.4615497"", ""4.5222497""]"
Buntweg,"[""51.4271742"", ""4.4384906""]"
Burgem. Dierckxsensstraat,"[""FOUT, geen straat gevonden""]"
Burgemeester Kenisstraat,"[""51.4653828"", ""4.4657308""]"
Cardijnstraat,"[""51.4266813"", ""4.4649532""]"
Collegelaan,"[""51.4323398"", ""4.4326734""]"
Corsicalaan,"[""51.4598473"", ""4.5199068""]"
Dahlialaan,"[""51.4346252"", ""4.4457108""]"
Dassenlaan,"[""51.4711076"", ""4.5393129""]"
De Vijvers,"[""51.4198839"", ""4.4651164""]"
De Vondert,"[""51.4272846"", ""4.4715682""]"
Deckerslaan,"[""51.4658344"", ""4.5036005""]"
Deken Verbiststraat,"[""51.4593115"", ""4.4592095""]"
Deken Verstraelenstraat,"[""51.459308"", ""4.4626657""]"
Den Berg,"[""51.4478902"", ""4.413806""]"
Den Uil,"[""51.4679441"", ""4.5043483""]"
Dennenlaan,"[""51.4592638"", ""4.4470781""]"
Destenlaan,"[""51.4470709"", ""4.4099875""]"
Distelpad,"[""51.4350473"", ""4.4446385""]"
Dondersteen,"[""51.4777823"", ""4.5101058""]"
Donkweg,"[""51.4508117"", ""4.4565599""]"
Doornboom,"[""51.4633806"", ""4.4744787""]"
Dorenpad,"[""51.442864"", ""4.472428""]"
Douglaslaan,"[""51.4620682"", ""4.5295387""]"
Dreef,"[""51.4677768"", ""4.472467""]"
Dreveneind,"[""51.4687661"", ""4.5046042""]"
Duinzandlaan,"[""51.4363325"", ""4.426308""]"
Duiventorenstraat,"[""51.4495898"", ""4.5063501""]"
Eekhoornlaan,"[""51.4331755"", ""4.4396551""]"
Eikenblok,"[""51.4270413"", ""4.4604093""]"
Eikendreef,"[""51.4281972"", ""4.4385189""]"
Eksterlaan,"[""51.4306921"", ""4.4371769""]"
Elf-Novemberstraat,"[""51.4270046"", ""4.4663381""]"
Elshoutlaan,"[""51.4321365"", ""4.4348836""]"
Elzendreef,"[""51.454577"", ""4.4390883""]"
Epicealaan,"[""51.4566734"", ""4.4483206""]"
Ericalaan,"[""51.4300838"", ""4.4502868""]"
Essen-Oldenburgstraat,"[""51.4693407"", ""4.4521182""]"
Essendonk,"[""51.4697808"", ""4.4755141""]"
Essendonkbos,"[""51.4722229"", ""4.477668""]"
Essendonkse Akker,"[""51.4687484"", ""4.4757918""]"
Etting,"[""51.4506627"", ""4.4515378""]"
Fazantendreef,"[""51.4362883"", ""4.4481221""]"
Ferdy Naulaertsstraat,"[""51.4600289"", ""4.4549227""]"
Frans Luyckxstraat,"[""51.4582965"", ""4.4542448""]"
Frans Noldusplein,"[""51.4624876"", ""4.4536146""]"
Gageltjes,"[""51.4226378"", ""4.4804294""]"
Gerard Meeusenstraat,"[""FOUT, geen straat gevonden""]"
Greefstraat,"[""51.4222382"", ""4.475743""]"
Grensstraat,"[""51.4698304"", ""4.4574547""]"
Groenlaan,"[""51.4259202"", ""4.4555243""]"
Guido Gezellelaan,"[""51.4685401"", ""4.4640621""]"
Handelsstraat,"[""51.4626799"", ""4.45117""]"
Hanneken Tas,"[""51.4360882"", ""4.4887482""]"
Hazenpad,"[""51.4367908"", ""4.4417384""]"
Heiblok,"[""51.4765715"", ""4.5011044""]"
Heidelaan,"[""51.4364476"", ""4.4485375""]"
Heikantlaan,"[""51.4572233"", ""4.4512707""]"
Heikantstraat,"[""51.4542024"", ""4.4436667""]"
Heikantvenstraat,"[""51.4529804"", ""4.4509223""]"
Hellebloklaan,"[""51.4247235"", ""4.4549559""]"
Hemelrijk,"[""51.4602196"", ""4.449027""]"
Hemelrijklaan,"[""51.464801"", ""4.4521881""]"
Hemelrijkweg,"[""51.4674562"", ""4.4571485""]"
Hendrik Consciencelaan,"[""51.4565753"", ""4.4410903""]"
Herdersbaan,"[""51.4362801"", ""4.4577241""]"
Heuvelplein,"[""51.465252"", ""4.4715641""]"
Hey-endlaan,"[""51.4265811"", ""4.4581282""]"
Hofstraat,"[""51.4650466"", ""4.4684736""]"
Hollands Diepstraat,"[""FOUT, geen straat gevonden""]"
Hollandseweg,"[""FOUT, geen straat gevonden""]"
Holleweg,"[""51.430283"", ""4.4868844""]"
Hondsberg,"[""51.468723049999994"", ""4.458969467183227""]"
Horendonk,"[""51.4694171"", ""4.5026984""]"
Hornick,"[""51.4652238"", ""4.5353848""]"
Hortensialaan,"[""51.4305642"", ""4.4434059""]"
Hradistkostraat,"[""FOUT, geen straat gevonden""]"
Huybergsebaan,"[""51.4237771"", ""4.452428""]"
Ijkensbeemd,"[""51.4558031"", ""4.4801228""]"
Jachthoornlaan,"[""51.4326301"", ""4.43493""]"
Jagerspad,"[""51.4347559"", ""4.4418253""]"
Jeneverbeslaan,"[""51.4334978"", ""4.4422599""]"
Jozef van Ruysseveltstraat,"[""51.4568705"", ""4.454408""]"
Jules Van Agtmaelstraat,"[""51.4256249"", ""4.4566028""]"
Kalmthoutsesteenweg,"[""51.4315704"", ""4.4613185""]"
Kammenstraat,"[""51.4668928"", ""4.4563874""]"
Kapelstraat,"[""51.4631081"", ""4.4733682""]"
Karamelstraat,"[""51.4691348"", ""4.4693775""]"
Kasteelbeemd,"[""51.4423298"", ""4.4853895""]"
Kerkeneind,"[""51.4706563"", ""4.464333""]"
Kerkhofweg,"[""51.4601018"", ""4.4551177""]"
Kerkstraat,"[""51.4607521"", ""4.4521978""]"
Kievitstraat,"[""51.4549263"", ""4.531651""]"
Klapboomlaan,"[""51.4594292"", ""4.5282852""]"
Klaprooslaan,"[""51.429209"", ""4.4396673""]"
Kleine Horendonk,"[""51.460569899999996"", ""4.528953566394234""]"
Kleine Veldweg,"[""51.4599715"", ""4.4529381""]"
Kleiputtenlaan,"[""51.4247411"", ""4.4569694""]"
Kloosterstraat,"[""51.4652167"", ""4.4607918""]"
Koekoekstraat,"[""51.4577749"", ""4.5199138""]"
Korte Leemstraat,"[""51.4504075"", ""4.4450351""]"
Kortestraat,"[""51.4280479"", ""4.4576328""]"
Koveklaan,"[""51.4527752"", ""4.4429103""]"
Kraaienberg,"[""51.4644879"", ""4.5038597""]"
Krinkelsbos,"[""51.4553619"", ""4.4460756""]"
Kuiperstraat,"[""FOUT, geen straat gevonden""]"
Laaglandstraat,"[""51.4515061"", ""4.4478675""]"
Lage Weg,"[""51.4382214"", ""4.4420478""]"
Larikslaan,"[""51.4644014"", ""4.5265007""]"
Lazaret,"[""51.4663056"", ""4.4557098""]"
Leegtestraat,"[""51.473422"", ""4.5292774""]"
Leemputten,"[""51.4264238"", ""4.4478036""]"
Leemstraat,"[""51.4518489"", ""4.4462835""]"
Lekkernijstraat,"[""51.4694235"", ""4.4694535""]"
Lijsterdreef,"[""51.43002"", ""4.4480003""]"
Lonkaplein,"[""51.4698259"", ""4.4691924""]"
Magerbeek,"[""51.4575669"", ""4.4556851""]"
Magnoliaplein,"[""51.455314"", ""4.4480069""]"
Marc Baetensstraat,"[""51.459343"", ""4.4554173""]"
Marterlaan,"[""51.4719118"", ""4.5380189""]"
Martha Bataillestraat,"[""51.4573647"", ""4.4595479""]"
Maststraat,"[""51.4537384"", ""4.440633""]"
Meeuwenven,"[""51.4479376"", ""4.445257""]"
Melkerijstraat,"[""51.4651069"", ""4.4770627""]"
Mereldreef,"[""51.429915"", ""4.4458118""]"
Mertensdreef,"[""51.4268223"", ""4.4964678""]"
Mezendreef,"[""51.4395982"", ""4.4482539""]"
Middenstraat,"[""51.4224767"", ""4.4645352""]"
Moerkantsebaan,"[""51.4420974"", ""4.4028076""]"
Molenakkersstraat,"[""51.4633448"", ""4.4600828""]"
Molenheide,"[""51.4641582"", ""4.460623""]"
Molenstraat,"[""51.4643603"", ""4.4620174""]"
Nachtegalendreef,"[""51.4340833"", ""4.4474412""]"
Nieuw Hoef,"[""51.458215"", ""4.4494426""]"
Nieuwe Heikant,"[""51.449165"", ""4.4559402""]"
Nieuwmoersesteenweg,"[""51.4509856"", ""4.49142""]"
Nieuwstraat,"[""51.4680296"", ""4.4681236""]"
Nollekensstraat,"[""51.4704674"", ""4.469069""]"
Nolsebaan,"[""51.4502463"", ""4.4405712""]"
Noordeneind,"[""51.4497063"", ""4.4251608""]"
Olympialaan,"[""51.4610877"", ""4.4683837""]"
Oude Baan,"[""51.4525862"", ""4.4663023""]"
Oudstrijdersstraat,"[""51.4541695"", ""4.4530631""]"
Over d'Aa,"[""51.4688649"", ""4.5014346""]"
Papenmoerstraat,"[""51.4400249"", ""4.4185902""]"
Pastoor Schoetersstraat,"[""51.4251585"", ""4.468519""]"
Pater Godtslaan,"[""51.4415422"", ""4.4381172""]"
Patrijzenlaan,"[""51.439182"", ""4.4480711""]"
Paviljoenweg,"[""51.4513602"", ""4.4508568""]"
Peepolderlaan,"[""51.446155149999996"", ""4.503415130202405""]"
Platanenlaan,"[""51.4308363"", ""4.4455848""]"
Populierenlaan,"[""51.4406937"", ""4.4488513""]"
Postbaan,"[""51.4478081"", ""4.4958754""]"
Raaiberg,"[""51.4797677"", ""4.5240742""]"
Reeënlaan,"[""51.4718287"", ""4.5356107""]"
Rietstraat,"[""51.4706271"", ""4.4714053""]"
Rijkmakerlaan,"[""51.4481351"", ""4.5029556""]"
Ringelshoeve,"[""51.4587167"", ""4.484766""]"
Ringweg,"[""51.4610526"", ""4.4752155""]"
Rinkvenstraat,"[""51.4536081"", ""4.4522945""]"
Rodenbachlaan,"[""51.4666599"", ""4.4623056""]"
Rooiendamlaan,"[""51.4266244"", ""4.4569674""]"
Roosbroek,"[""51.4487574"", ""4.4813196""]"
Rose Grononpad,"[""51.4371449"", ""4.4728594""]"
Rouwmoer,"[""51.4406508"", ""4.4328831""]"
Schaapsbaan,"[""51.4373169"", ""4.4625921""]"
Scham,"[""51.4663794"", ""4.5238809""]"
Schamse Dijk,"[""51.4625073"", ""4.5132701""]"
Schanker,"[""51.4603343"", ""4.4813692""]"
Schelpheuvelstraat,"[""51.4485699"", ""4.450316""]"
Schepen Veraartstraat,"[""51.4651843"", ""4.4518473""]"
Schomveld,"[""51.4498005"", ""4.4514674""]"
Schoolstraat,"[""51.4277815"", ""4.4711284""]"
Schriek,"[""51.4512198"", ""4.4914647""]"
Schuurblok,"[""51.4683686"", ""4.4571852""]"
Sijzenlaan,"[""51.455605752851895"", ""4.5119803254969915""]"
Silvesterlaan,"[""51.45949306249577"", ""4.518474084746678""]"
Sint Jansplein,"[""51.4283025"", ""4.468570451499437""]"
Sint-Antoniusplein,"[""51.46172329566657"", ""4.454608492769997""]"
Sint-Antoniusstraat,"[""51.4632443"", ""4.4546227""]"
Sint-Jansstraat,"[""51.4268747547277"", ""4.470413477165563""]"
Smeyerspad,"[""51.46979020524256"", ""4.47191361477466""]"
Smoutebos,"[""51.45614909379964"", ""4.4501662799265285""]"
Sparrenlaan,"[""51.46395485"", ""4.52467895""]"
Spechtendreef,"[""51.43861925"", ""4.44688705""]"
Spijker,"[""51.4618773"", ""4.4742423""]"
Spillebeekweg,"[""51.44839607195249"", ""4.4105940104691745""]"
Spoorwegstraat,"[""51.4624818"", ""4.4517371""]"
Spurrieveld,"[""51.43419631699169"", ""4.491409756246537""]"
Statievelden,"[""51.4626799"", ""4.45117""]"
Stationsstraat,"[""51.466471810884194"", ""4.4651049311109094""]"
Steenovenstraat,"[""51.428697998596206"", ""4.446337042912846""]"
Steenpaal,"[""51.475041799945245"", ""4.485812181876911""]"
Struisven,"[""51.4259051414098"", ""4.453491483223503""]"
Suzannalaan,"[""51.43339844272386"", ""4.436660747286876""]"
Tichelrei,"[""51.4236631"", ""4.4601258999999995""]"
Vaartkant,"[""FOUT, geen straat gevonden""]"
Vaartstraat,"[""51.46931987381645"", ""4.501398648091734""]"
Valkstraat,"[""51.45913203367513"", ""4.524849066511012""]"
Varenlaan,"[""51.43026142329884"", ""4.435629402011465""]"
Veldweg,"[""51.45802994377733"", ""4.452991919028515""]"
Velodreef,"[""51.443578200000005"", ""4.4432810499999995""]"
