Straat,Coordinaten
't Klien schoolkeswegel,"[""FOUT, geen straat gevonden""]"
Aalbroekstraat,"[""50.9378971"", ""3.6605587""]"
Acaciastraat,"[""50.9370628"", ""3.6337805""]"
Akkerlos,"[""50.9536486"", ""3.6809362""]"
Albert Moreelsstraat,"[""50.9350548"", ""3.6393541""]"
André de Rouckstraat,"[""50.9214772"", ""3.6860411""]"
Arboretumstraat,"[""50.935134"", ""3.6324687""]"
Baaigemstraat,"[""50.9322557"", ""3.7300948""]"
Bareelstraat,"[""50.9086543"", ""3.6995958""]"
Beekstraat,"[""50.9163003"", ""3.6895549""]"
Berggatstraat,"[""50.9412837"", ""3.6611695""]"
Bernstraat,"[""50.9370689"", ""3.6392967""]"
Biesstraat,"[""50.9127112"", ""3.650276""]"
Biestjeslos,"[""50.9436693"", ""3.6786152""]"
Blokstraat,"[""50.9123998"", ""3.7339669""]"
Boechoutestraat,"[""50.9087092"", ""3.7338001""]"
Boentweg,"[""50.930722"", ""3.6707754""]"
Boomstraat,"[""50.9203365"", ""3.722276""]"
Borgwalstraat,"[""50.9510753"", ""3.685275""]"
Borrestraat,"[""50.9380461"", ""3.6600059""]"
Bossemstraat,"[""50.9315279"", ""3.701875""]"
Bosstraat,"[""50.9309907"", ""3.7384424""]"
Brandweerstraat,"[""50.9307961"", ""3.6545246""]"
Broeckstraat,"[""50.9316206"", ""3.6579989""]"
Bronnenweelde,"[""50.9206784"", ""3.6858217""]"
Bukkestraat,"[""50.9454033"", ""3.6910444""]"
Burchtweg,"[""50.9296586"", ""3.6544728""]"
Burgemeester P. Ceuterickstraat,"[""50.9105978"", ""3.6493999""]"
Carlos Dierickxplein,"[""50.9153729"", ""3.6506321""]"
De Wieleman,"[""50.9188102"", ""3.6810421""]"
Diepestraat,"[""50.9179046"", ""3.6839725""]"
Donkstraat,"[""50.9227118"", ""3.6527453""]"
Dorpstraat,"[""50.9427985"", ""3.6638642""]"
Driesstraat,"[""50.9140044"", ""3.6497096""]"
Duffelstraat,"[""50.9457522"", ""3.6690322""]"
Eeckhoutstraat,"[""50.9304966"", ""3.6713887""]"
Egmontpark,"[""FOUT, geen straat gevonden""]"
Eikstraat,"[""50.9143911"", ""3.6890935""]"
Ellevestraat,"[""50.9230142"", ""3.723503""]"
Evenakkerstraat,"[""50.9407701"", ""3.7046638""]"
Fonteinstraat,"[""50.9437711"", ""3.6641637""]"
Galgenstraat,"[""50.9240509"", ""3.628486""]"
Ganzendam,"[""50.9498474"", ""3.6915586""]"
Gemeentehuisstraat,"[""50.9187718"", ""3.6908805""]"
Gentsebaan,"[""50.9320291"", ""3.6285504""]"
Gentweg,"[""50.9318606"", ""3.6843922""]"
Graaf L. de Lichterveldestraat,"[""FOUT, geen straat gevonden""]"
Grenadierslaan,"[""50.9514188"", ""3.6613269""]"
Grintweg,"[""50.9317711"", ""3.7224749""]"
Groenstraat,"[""50.9460273"", ""3.6958546""]"
Grotenbroekstraat,"[""50.9348469"", ""3.658671""]"
Haagstraat,"[""50.9109403"", ""3.6571111""]"
Halsberg,"[""50.9220608"", ""3.6701531""]"
Heedstraat,"[""50.9307448"", ""3.6353511""]"
Heilige Donatusstraat,"[""50.9159616"", ""3.71874""]"
Heulestraat,"[""50.9114945"", ""3.641276""]"
Hofkouterstraat,"[""50.9222543"", ""3.6846308""]"
Hofvijverstraat,"[""50.9445861"", ""3.658403""]"
Hoogstraat,"[""50.9187205"", ""3.6833649""]"
Hukkelgemstraat,"[""50.9252884"", ""3.6857884""]"
Hullestraat,"[""50.937245"", ""3.6933084""]"
Hulstraat,"[""50.912553"", ""3.6523454""]"
Hundelgemsesteenweg,"[""50.9293598"", ""3.7325789""]"
IJzerenweg,"[""50.9204327"", ""3.6434705""]"
Jolleveld,"[""50.9169636"", ""3.6531043""]"
Kapellestraat,"[""50.9232787"", ""3.641131""]"
Kasteeldreef,"[""50.9283389"", ""3.659725""]"
Kasteelstraat,"[""50.921644"", ""3.69737""]"
Kerkhofstraat,"[""50.9122496"", ""3.6554147""]"
Kerkstraat,"[""50.9178687"", ""3.6904968""]"
Kerkwegel,"[""50.9124763"", ""3.6507067""]"
Kerselarestraat,"[""50.9291835"", ""3.671587""]"
Ketsestraat,"[""50.917031"", ""3.7227653""]"
Klaverveld,"[""50.9283583"", ""3.6685407""]"
Kleinhulle,"[""50.9344456"", ""3.702995""]"
Kleinveld,"[""50.9205689"", ""3.6476202""]"
Klikhoutestraat,"[""50.9137261"", ""3.6943966""]"
Klonkeveldstraat,"[""50.9297902"", ""3.6444064""]"
Kloosterstraat,"[""50.9285309"", ""3.6615219""]"
Koedreef,"[""50.9485942"", ""3.6906283""]"
Korenwind,"[""50.9234345"", ""3.6394921""]"
Kouterstraat,"[""50.9110833"", ""3.7260221""]"
Kriephoekstraat,"[""50.9525123"", ""3.6749214""]"
Krijgslaan,"[""50.9251893"", ""3.6707697""]"
Kruishoutemsesteenweg,"[""FOUT, geen straat gevonden""]"
Landdijk,"[""50.9183908"", ""3.6555391""]"
Leebeeklaan,"[""50.9320176"", ""3.6306884""]"
Leegstraat,"[""50.921655"", ""3.6477117""]"
Leenstraat,"[""50.9506314"", ""3.6859921""]"
Legen Heirweg,"[""50.9309894"", ""3.6481305""]"
Liefkenswegel,"[""50.9308772"", ""3.660636""]"
Lielareweg,"[""50.9325151"", ""3.6737961""]"
Lindeboomstraat,"[""50.9416252"", ""3.6735094""]"
Lindestraat,"[""50.9239195"", ""3.7212215""]"
Louis De Meesterstraat,"[""50.9457243"", ""3.6652849""]"
Luxemburgstraat,"[""50.9275395"", ""3.6327718""]"
Markt,"[""50.9283099"", ""3.6599518""]"
Meersbloemstraat,"[""50.9376712"", ""3.6585677""]"
Meersstraat,"[""50.9294286"", ""3.727874""]"
Middelwijk,"[""50.9283583"", ""3.6685407""]"
Molenstraat,"[""50.9284397"", ""3.6621702""]"
Munkbosstraat,"[""50.9120379"", ""3.7502571""]"
Muntekouter,"[""50.9351083"", ""3.719254""]"
Muziekweg,"[""50.9447833"", ""3.6653679""]"
Nieuwlandstraat,"[""50.9348256"", ""3.6369451""]"
Nieuwstraat,"[""50.9292589"", ""3.658812""]"
Nijverheidsstraat,"[""50.9216808"", ""3.678802""]"
Ommegangstraat,"[""50.9154954"", ""3.6530969""]"
Onderstraat,"[""50.9295686"", ""3.6634288""]"
Openveldstraat,"[""50.9259618"", ""3.6871592""]"
Opperweg,"[""50.9410607"", ""3.6647116""]"
Oude Pastorijstraat,"[""50.949526"", ""3.6822974""]"
Ouden Herreweg,"[""50.9207013"", ""3.6486367""]"
Oudstrijdersstraat,"[""50.9251537"", ""3.698764""]"
Palmstraat,"[""50.9471033"", ""3.6703429""]"
Parklaan,"[""50.9218294"", ""3.678985""]"
Peperstraat,"[""50.9512866"", ""3.6795291""]"
Perrikweg,"[""50.9471239"", ""3.698302""]"
Pontweg,"[""50.9324432"", ""3.6362891""]"
Populierenhof,"[""50.9308381"", ""3.6310434""]"
Populierenstraat,"[""50.9216191"", ""3.7192684""]"
Populierkensweg,"[""50.9413085"", ""3.689552""]"
Prinsenmolenstraat,"[""50.9342938"", ""3.7194984""]"
Prosper Heysestraat,"[""50.9307737"", ""3.6397447""]"
Provinciebaan,"[""50.9189664"", ""3.728491""]"
Raapakkerlos,"[""50.9344393"", ""3.7109963""]"
Raes Van Gaverstraat,"[""50.9271348"", ""3.6703313""]"
Rotsestraat,"[""50.9185075"", ""3.6775097""]"
Saksenboomstraat,"[""50.9116625"", ""3.7070885""]"
Scheldekant,"[""50.9147902"", ""3.6657623""]"
Scheldestraat,"[""50.9304457"", ""3.6595334""]"
Schokkaartstraat,"[""50.9424542"", ""3.6626054""]"
Schoolstraat,"[""50.918195"", ""3.6870985""]"
Sint Christianastraat,"[""50.9170414"", ""3.6828741""]"
Sint Janslaan,"[""50.9263502"", ""3.638558""]"
Sint Maartenslaan,"[""50.9278393"", ""3.6353743""]"
Sint Pietersstraat,"[""50.9442026"", ""3.6611787""]"
Sint Pieterswegel,"[""50.944978"", ""3.6619369""]"
Sint Rochuswegel,"[""50.9353663"", ""3.6601114""]"
Sint-Amandswijk,"[""50.9303094"", ""3.663987""]"
Sint-Martinusstraat,"[""50.9306941"", ""3.6372095""]"
Sint-Rochusstraat,"[""50.9338669"", ""3.6596937""]"
Slaapstraat,"[""50.9148552"", ""3.649079""]"
Slodelwiezeweg,"[""50.9454117"", ""3.7094604""]"
Sluis,"[""50.95403145"", ""3.65242776371792""]"
Spoorwegstraat,"[""50.9247453"", ""3.6412014""]"
Sportdreef,"[""50.9265196"", ""3.6584148""]"
Staatsbaan,"[""50.9144693"", ""3.7295285""]"
Stationsstraat,"[""50.9294559"", ""3.6453785""]"
Steenberglos,"[""50.916206"", ""3.6904327""]"
Steenland,"[""50.9468426"", ""3.6750146""]"
Steenweg,"[""50.9292169"", ""3.6469352""]"
Stokmeers,"[""50.9456142"", ""3.6634973""]"
Teirlinckhof,"[""50.9534374"", ""3.6846873""]"
Tempelstraat,"[""50.9218604"", ""3.6435519""]"
Ten Edestraat,"[""50.9423054"", ""3.6657029""]"
Ten Lampenhove,"[""50.9200962"", ""3.6809345""]"
Ten Stroom,"[""50.9507622"", ""3.6837016""]"
Toekomststraat,"[""50.9170131"", ""3.6999335""]"
Tragelstraat,"[""50.9165731"", ""3.6587593""]"
Trapstraat,"[""50.9341788"", ""3.6559437""]"
Trekweg,"[""50.9536014"", ""3.6704036""]"
Tumulus,"[""50.9435564"", ""3.6603474""]"
Veldstraat,"[""50.9162195"", ""3.6501243""]"
Vlienderweg,"[""50.9211055"", ""3.6409497""]"
Vluchtenboerstraat,"[""50.9307014"", ""3.6740586""]"
Voorsteegje,"[""50.9416325"", ""3.662888""]"
Vossenholstraat,"[""50.9145018"", ""3.6999747""]"
Vossestraat,"[""50.9312426"", ""3.6634482""]"
Wafelhoekstraat,"[""50.9163521"", ""3.726456""]"
Walhoek,"[""50.9205061"", ""3.6328402""]"
Wallebosstraat,"[""50.9191789"", ""3.6447656""]"
Wannegatstraat,"[""50.9391483"", ""3.7071864""]"
Warande,"[""50.927912"", ""3.6648385""]"
Warandemolen,"[""50.9256777"", ""3.6390896""]"
Wassenkerkhofstraat,"[""50.9443528"", ""3.6990994""]"
Weverij,"[""50.9276832"", ""3.6605595""]"
Wilgenstraat,"[""50.9298361"", ""3.7121437""]"
Wulvekeetlos,"[""50.9481738"", ""3.6786122""]"
ZONNESTRAAT,"[""50.9384425"", ""3.6372497""]"
