Straat,Coordinaten
Araanstraat,"[""50.9118617"", ""5.1276809""]"
Baanstok,"[""FOUT, geen straat gevonden""]"
Bergeneindestraat,"[""50.9056894"", ""5.1756504""]"
Bergenstraat,"[""50.8913568"", ""5.0902243""]"
Biesemstraat,"[""50.9072837"", ""5.1583403""]"
Borgloonstraat,"[""50.9066485"", ""5.1230135""]"
Boterweg,"[""50.9046596"", ""5.0930733""]"
Broekstraat,"[""50.8691867"", ""5.1187729""]"
Bronckaertsstraat,"[""50.8713963"", ""5.13719""]"
Brugskensweg,"[""50.8820991"", ""5.1089736""]"
Bruinenveldweg,"[""50.9013274"", ""5.1613554""]"
Dennenbosstraat,"[""50.8882386"", ""5.0765164""]"
Diepenpoelstraat,"[""50.9120615"", ""5.1591745""]"
Donkstraat,"[""50.8692235"", ""5.1212439""]"
Dorpsstraat,"[""50.8871389"", ""5.1188575""]"
Drinkteilstraat,"[""50.8941789"", ""5.1121456""]"
Dullaerstraat,"[""50.8895336"", ""5.182575""]"
Galgestraat,"[""50.8694961"", ""5.1391323""]"
Ganzenweg,"[""50.8948283"", ""5.1089149""]"
Getestraat,"[""50.8900048"", ""5.1223869""]"
Glabbeekseweydestraat,"[""FOUT, geen straat gevonden""]"
Glabbeekstraat,"[""50.8738734"", ""5.0881143""]"
Grootveldweg,"[""50.8904454"", ""5.1110983""]"
Grote Baan,"[""50.8821251"", ""5.1660829""]"
Grote Steenweg,"[""50.8990889"", ""5.1766576""]"
Halstraat,"[""50.8732196"", ""5.0862869""]"
Heffelstraat,"[""50.8843284"", ""5.1613439""]"
Heirbaan,"[""50.8968939"", ""5.1031325""]"
Hettelbergweg,"[""50.8964397"", ""5.1058173""]"
Hogenstraat,"[""50.8845632"", ""5.0935917""]"
Hulsbeekstraat,"[""50.9087145"", ""5.1053587""]"
Ijzerwegstraat,"[""50.8926654"", ""5.1115181""]"
Kapelstraat,"[""50.8885678"", ""5.1666904""]"
Kasteellaan,"[""50.8970573"", ""5.1156469""]"
Kattesteeg,"[""50.9032157"", ""5.1151547""]"
Kerselant,"[""FOUT, geen straat gevonden""]"
Ketelstraat,"[""50.8928331347471"", ""5.161269139590143""]"
Kinkenstraat,"[""50.877265123292524"", ""5.126551760445897""]"
Kolkstraat,"[""50.899154"", ""5.10343""]"
Kraaistraat,"[""50.889997360238816"", ""5.180174174831143""]"
Kwadestraat,"[""50.9069406"", ""5.115586""]"
Langveld,"[""50.908839178446385"", ""5.129440258417261""]"
Leeuwbeekstraat,"[""50.90516436872833"", ""5.147021801524875""]"
Lutzestraat,"[""50.87392660422499"", ""5.144390875985227""]"
Molenstraat,"[""50.89091738681891"", ""5.120006928134593""]"
Nieuwdorpstraat,"[""50.9040104"", ""5.0959311""]"
Oppenstraat,"[""50.88787714020344"", ""5.156902280021869""]"
Orsmaelstraat,"[""50.87094875"", ""5.1325593000000005""]"
Oudestraat,"[""50.891195653183644"", ""5.119397550335133""]"
Overbeekstraat,"[""50.885568400000004"", ""5.111386899999999""]"
Pastorijweg,"[""50.893987269849205"", ""5.163581336974173""]"
Persoonstraat,"[""50.89476112439753"", ""5.169714017789947""]"
Rhodestraat,"[""50.8880628"", ""5.0945896""]"
Romerstraat,"[""50.87787039419883"", ""5.149298236380026""]"
Schelfstraat,"[""50.88360827887675"", ""5.168358826972137""]"
Singel,"[""50.88935801174563"", ""5.115273852318262""]"
Smolderstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Spoorwegstraat,"[""50.893000659374565"", ""5.111678879165576""]"
Spreeuwsteeg,"[""FOUT, geen straat gevonden""]"
Steenstraat,"[""50.89284163071919"", ""5.113602705792492""]"
Stwg op Kortenaken,"[""50.89562011744523"", ""5.106666406335051""]"
Tappestraat,"[""50.884665713379206"", ""5.151471568183188""]"
Timmerstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Titerveldweg,"[""50.90700817973243"", ""5.161269563167778""]"
Tuinwijkstraat,"[""50.897656765585936"", ""5.111169432494882""]"
Verdaelstraat,"[""50.87901835097104"", ""5.129373054046658""]"
Vijverstraat,"[""50.871931823369756"", ""5.126420854599497""]"
Warande,"[""50.894768742038046"", ""5.1577378544351475""]"
Weg op Halen,"[""50.91424548549723"", ""5.125443496531094""]"
Wolfhaagweg,"[""50.8936777"", ""5.086662""]"
Zavelkuil,"[""50.88736104550859"", ""5.176663828852001""]"
