Straat,Coordinaten
Aardlaan,"[""50.95639544695176"", ""5.499922470163906""]"
Acacialaan,"[""50.9741219"", ""5.4838669499999995""]"
Academiestraat,"[""50.97823135"", ""5.531932149999999""]"
Achterstraat,"[""51.002801049769225"", ""5.507542069205361""]"
Adolf Greinerstraat,"[""51.01219083976474"", ""5.51216344276552""]"
Akkerstraat,"[""50.9478588"", ""5.4646045""]"
Albert Forgeurstraat,"[""51.0110632394644"", ""5.5156958566438545""]"
Albert Remansstraat,"[""50.9646106025404"", ""5.506130248349324""]"
Albrecht Rodenbachlaan,"[""50.95727565"", ""5.47963955""]"
Aldebiezenstraat,"[""50.92364945966727"", ""5.481456535608047""]"
Alfred Wautersstraat,"[""51.012570468775266"", ""5.517945426910424""]"
Alsemstraat,"[""51.001164934731236"", ""5.504763477058555""]"
André Dumontlaan,"[""50.98617610007098"", ""5.539345650180223""]"
Anijsstraat,"[""51.003223387194076"", ""5.5047047817550006""]"
Ankerstraat,"[""50.96527166225398"", ""5.454382871750287""]"
Annunciadenstraat,"[""50.973365603745975"", ""5.520714054396457""]"
Arbeidsstraat,"[""51.008407097248366"", ""5.508948853363038""]"
Armand Maclotlaan,"[""50.96000585712234"", ""5.514514021208405""]"
Asbergstraat,"[""50.95631148632906"", ""5.481576490530223""]"
Aspergerijstraat,"[""50.952441569125035"", ""5.418333558525625""]"
Atheneumstraat,"[""50.97675285"", ""5.5243642""]"
August Collonstraat,"[""51.01236117609376"", ""5.517516065027328""]"
Azalealaan,"[""51.006725021234814"", ""5.491045057132398""]"
Bandstraat,"[""50.96900833212061"", ""5.462903070123739""]"
Barenzaallaan,"[""50.98247023673516"", ""5.485867465239458""]"
Basculestraat,"[""50.98608909891186"", ""5.541660721888652""]"
Beemdenstraat,"[""50.95162014569962"", ""5.473179242230703""]"
Begoniastraat,"[""51.006482849846115"", ""5.494225874449343""]"
Bemdekensstraat,"[""50.98628178269765"", ""5.488599282389913""]"
Berenbroekstraat,"[""50.95076445809483"", ""5.419495517365701""]"
Bergbeemdstraat,"[""50.9893026"", ""5.5091806""]"
Berghausstraat,"[""51.0049821"", ""5.508180735766139""]"
Berglaan,"[""50.963274779466495"", ""5.501413896506479""]"
Berkenlaan,"[""50.97426288526041"", ""5.485610410734094""]"
Berm,"[""50.97040367807402"", ""5.4486856131742325""]"
Bethaniëstraat,"[""50.9429783"", ""5.5178607500000005""]"
Beukenveld,"[""50.97634857463757"", ""5.511398062215755""]"
Beverststraat,"[""50.92248965803445"", ""5.482985663046976""]"
Bevrijdingslaan,"[""50.99375743168847"", ""5.5159209782910645""]"
Biegrachtstraat,"[""50.97681580783976"", ""5.499264957456925""]"
Biezenstraat,"[""50.99929861120136"", ""5.524330300063963""]"
Bijenstraat,"[""50.97786569265055"", ""5.467034120534182""]"
Bijlkestraat,"[""50.92981485"", ""5.53174965""]"
Bilzerweg,"[""50.921856897930375"", ""5.52724045500684""]"
Binnendelweg,"[""50.98067267631765"", ""5.44758933882492""]"
Binnenlaan,"[""51.00026606645583"", ""5.526468796832128""]"
Bisleistraat,"[""50.99192680581304"", ""5.54702222633076""]"
Bleuskenstraat,"[""50.99044915693817"", ""5.497805929694911""]"
Bloemenstraat,"[""50.97578455"", ""5.4660203""]"
Blookbergstraat,"[""50.9692089028523"", ""5.495877870768487""]"
Blookstraat,"[""50.98541649708625"", ""5.524488983831406""]"
Bochtlaan,"[""50.9708949"", ""5.5010169""]"
Bodemstraat,"[""50.981038149999996"", ""5.54334495""]"
Boekrakelaan,"[""50.97460367153354"", ""5.427261249144902""]"
Boektveldstraat,"[""50.9454679"", ""5.5458991""]"
Boekweitstraat,"[""50.96007049727441"", ""5.478056617224962""]"
Boenerstraat,"[""50.92942162873021"", ""5.529660337350704""]"
Boeyenblook,"[""50.936244565290906"", ""5.519329045856834""]"
Boeyenstraat,"[""50.935714636664095"", ""5.520099923452199""]"
Bokrijklaan,"[""50.952627718237515"", ""5.40907163340712""]"
Bonderstraat,"[""50.975816"", ""5.5275926""]"
Boogstraat,"[""50.965486150000004"", ""5.4490402""]"
Boommeerstraat,"[""50.988945872994876"", ""5.538331792289749""]"
Boomweg,"[""50.94453666818833"", ""5.532817438486923""]"
Borggraafstraat,"[""50.95272189990206"", ""5.4049475992707725""]"
Bornstraat,"[""51.01264683520477"", ""5.48933775532787""]"
Bosbesstraat,"[""50.98137851733115"", ""5.520320805635856""]"
Bosblook,"[""50.95272764157574"", ""5.500420228136009""]"
Bosdel,"[""50.9462412"", ""5.4740911""]"
Bosduifstraat,"[""50.97436590693245"", ""5.5053798463623735""]"
Boshoekstraat,"[""50.93191655028638"", ""5.533190382836548""]"
Boslaan,"[""51.0033098"", ""5.5133015499999996""]"
Bosrandstraat,"[""51.002214789228155"", ""5.513397456262339""]"
Boterbloemstraat,"[""51.006355272256506"", ""5.493222270551863""]"
Boxbergstraat,"[""50.96968622402345"", ""5.451008275684009""]"
Braambesstraat,"[""50.98080311625453"", ""5.516451916729945""]"
Brakenstraat,"[""50.970352557465695"", ""5.535238191097377""]"
Brandweg,"[""50.92871373581474"", ""5.53155598161034""]"
Bremakkerstraat,"[""50.95883256103008"", ""5.494029989272638""]"
Bremstraat,"[""50.96744609612074"", ""5.44594196834211""]"
Brentjestraat,"[""50.98945094691956"", ""5.52958401039259""]"
Bresserstraat,"[""50.97152219812864"", ""5.5039923440425165""]"
Bretheistraat,"[""50.9710309"", ""5.5137558""]"
