Straat,Coordinaten
Abdijstraat,"[""51.152767596539654"", ""2.940027771372646""]"
Abelenlaan,"[""51.159603573271795"", ""2.960686073539787""]"
Acacialaan,"[""51.158897365658234"", ""2.962602357521478""]"
Acht Zalighedenstraat,"[""51.1521980424318"", ""2.9402740088384465""]"
Alfons Vanheestraat,"[""51.12051442285886"", ""2.9536938244350215""]"
Amazonepad,"[""51.1547167"", ""2.9464447""]"
Anjerlaan,"[""51.16151591241343"", ""2.970498000078793""]"
Antonius Verleyestraat,"[""51.151523455679175"", ""2.9531643020986316""]"
Assepoesterstraat,"[""51.177135794026896"", ""2.9367687310285717""]"
August Peelstraat,"[""51.15849045"", ""2.9768936999999998""]"
Baan op Zande,"[""51.13139653431343"", ""2.9125911763864902""]"
Bazelaar,"[""51.13647235"", ""2.87449135""]"
Beekstraat,"[""51.118607942494336"", ""2.9584960015879616""]"
Bergschuurstraat,"[""51.17131061847511"", ""2.933876255604751""]"
Berkenlaan,"[""51.15898879516846"", ""2.958313998090361""]"
Beukenlaan,"[""51.1576318943736"", ""2.9643988329421846""]"
Bloemensteeg,"[""51.1586932879726"", ""2.9582542032491466""]"
Boomgaardstraat,"[""51.15468810384656"", ""2.9770420688158272""]"
Bosdreef,"[""51.1554853744197"", ""2.9737311980740238""]"
Boterbloemstraat,"[""51.15839685445819"", ""2.980375186510543""]"
Brandenburgweg,"[""51.1336042"", ""2.9681416""]"
Brittenlaan,"[""51.156736951025565"", ""2.9600719193125404""]"
Brouwerijstraat,"[""51.15519640496897"", ""2.9760379640404344""]"
Brugse baan,"[""51.15776635"", ""2.9849285""]"
Bruidstraat,"[""51.157422452457624"", ""2.9686452800067498""]"
Burg.A.Ronselaan,"[""51.16192005"", ""2.978303311194127""]"
Callaertswalledreef,"[""51.15373142535614"", ""2.966200111974845""]"
Camiel Adriaensstraat,"[""51.15124235511247"", ""2.95518135824351""]"
Canadalaan,"[""51.15754058906534"", ""2.960534132435283""]"
Catryssevoetweg,"[""51.1566525754963"", ""2.9887087801080074""]"
Christinestraat,"[""51.13424295574565"", ""2.9845372165980284""]"
Claventweg,"[""51.1448521"", ""2.9449579""]"
Congolaan,"[""51.154526803716244"", ""2.96061499587049""]"
Delphin Depuydtstraat,"[""51.15282124520113"", ""2.953477043867518""]"
Dennenlaan,"[""51.15968701345373"", ""2.96170126849121""]"
Doornhoek,"[""51.16744471473819"", ""2.9799105800748436""]"
Dorpsstraat,"[""51.17586637884266"", ""2.9351520027964466""]"
Dr. E. Van Oyelaan,"[""51.162705200000005"", ""2.9773851000000002""]"
Dullaertweg,"[""51.15721244279648"", ""2.979014835214838""]"
Dwarsstraat,"[""51.17252923142701"", ""2.937380737832049""]"
Dwergenstraat,"[""51.17674222515976"", ""2.9338834877572526""]"
