Straat,Coordinaten
Attenrodestraat,"[""50.87802196069126"", ""4.924984185744253""]"
Baakstraat,"[""50.8491361599882"", ""4.989656032490356""]"
Baekveldstraat,"[""50.84651800637446"", ""4.950906803211226""]"
Bergeveldstraat,"[""50.881989461153175"", ""4.957343004163916""]"
Bergstraat,"[""50.879991906340415"", ""4.9682184525615565""]"
Berkendreef,"[""50.83872698153633"", ""4.945829113992025""]"
Binnenveld,"[""50.876317284703504"", ""4.926247306363124""]"
Boeslinter,"[""50.8492045"", ""4.9593002""]"
Broekjesweg,"[""50.86169126264615"", ""4.9569158070603585""]"
Broekstraat,"[""50.84590718841748"", ""4.935202704776814""]"
Bronstraat,"[""50.87331086402829"", ""4.9724000756478945""]"
Bunsbeekdorp,"[""50.8429308407007"", ""4.94562977953968""]"
Butschovestraat,"[""50.863418022069794"", ""4.920349674497482""]"
Craenenbroekstraat,"[""50.87136299850537"", ""4.950221465882874""]"
Doelaagstraat,"[""50.879460295694926"", ""4.914771531183765""]"
Doemstraat,"[""50.86026638225124"", ""4.920123361476843""]"
Dorpsstraat,"[""50.891507083338695"", ""4.974244630604514""]"
Dries,"[""50.873276149999995"", ""4.9437245999999995""]"
Driespad,"[""50.859155755340225"", ""4.927879965953229""]"
Grensstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Groenstraat,"[""50.89443578097196"", ""4.972941826144413""]"
Grotestraat,"[""50.8725824"", ""4.9564482000000005""]"
Halensestraat,"[""50.86097000008027"", ""4.933349497697508""]"
Heideblokstraat,"[""50.84857058108953"", ""4.953306888361055""]"
Heinkensbergstraat,"[""50.8641663429638"", ""4.9320341281031865""]"
Heirbaan,"[""50.86500181592334"", ""4.920457309889678""]"
Hoefstraat,"[""50.882204796377856"", ""4.91811689021939""]"
Hoeledensesteenweg,"[""50.8619872"", ""4.9778077""]"
Hoeledenstraat,"[""50.872410149108"", ""4.976381904562624""]"
Houtemsesteenweg,"[""50.836958997277605"", ""4.950169937100832""]"
Hulsbos,"[""50.86833635"", ""4.921898638265682""]"
Hulststraat,"[""50.88696138742035"", ""4.969843500079513""]"
Kaalveldstraat,"[""50.863759360843645"", ""4.9571282984939495""]"
Kapellenstraat,"[""50.883903965629585"", ""4.947493712734049""]"
Kapelstraat,"[""50.848250504109586"", ""4.95964135138051""]"
Kasseiweg,"[""50.86987840187538"", ""4.957893331108934""]"
Keibergstraat,"[""50.87948247583462"", ""4.935913011131938""]"
Kerkstraat,"[""50.88583665832836"", ""4.958852758192285""]"
Koningstraat,"[""FOUT, geen straat gevonden""]"
Kromstraat,"[""50.889697238655515"", ""4.939881484827513""]"
Kwadeplasstraat,"[""50.87862593383657"", ""4.9129513232086675""]"
Langstraat,"[""50.868493221967185"", ""4.912719924191293""]"
Langveldstraat,"[""50.84688702444081"", ""4.957500080908243""]"
Lentedreef,"[""50.887299148441194"", ""4.9588467589585745""]"
Lindestraat,"[""50.83465441747128"", ""4.940151520621753""]"
Meenselbeekstraat,"[""50.8625652316763"", ""4.9504053325609565""]"
Meenselsevoetweg,"[""50.87832919398753"", ""4.924304862087121""]"
Meidoornstraat,"[""50.87352033434055"", ""4.948145610619044""]"
Molenweg,"[""50.853485384704925"", ""4.954055806572068""]"
Moutsbornstraat,"[""50.83852558541862"", ""4.937959278937903""]"
Nieuwstraat,"[""50.87476870856757"", ""4.950730797985807""]"
Oosterbaerdstraat,"[""50.875578446708474"", ""4.909321220144032""]"
Oplintersesteenweg,"[""50.84693756570965"", ""4.96659301588854""]"
Oude Diestsestraat,"[""50.8516658929974"", ""4.956816522208506""]"
Oudebronstraat,"[""FOUT, geen straat gevonden""]"
Ovenweg,"[""FOUT, geen straat gevonden""]"
Pamelenstraat,"[""50.85755465862964"", ""4.9494163237155435""]"
Papenveld,"[""50.83975041809735"", ""4.9465821630276405""]"
Peerdsbosweg,"[""50.872255562848295"", ""4.913535816638202""]"
Pepinusfortstraat,"[""50.85652574064804"", ""4.957235778566209""]"
Rode,"[""50.8808089"", ""4.9416969""]"
Ruekenbosstraat,"[""50.85375567165629"", ""4.981248574370025""]"
Ruiterij,"[""50.86513098235818"", ""4.971593545462853""]"
Schaffelbergstraat,"[""50.853115922169216"", ""4.970927181092123""]"
Schoolstraat,"[""50.84593741348604"", ""4.954575024176041""]"
Sint Katarinastraat,"[""50.89344636110031"", ""4.961794308184302""]"
Sint-Quirinusstraat,"[""50.84201884623428"", ""4.945916808688539""]"
Smisveld,"[""50.871621813063356"", ""4.953548318138017""]"
Solveldweg,"[""50.85768505632714"", ""4.923271834593007""]"
Stationsstraat,"[""50.889463453176006"", ""4.94830260949194""]"
Steenbergestraat,"[""50.8657404655422"", ""4.93947062722015""]"
Streekstraat,"[""50.85889191031597"", ""4.932453919515802""]"
Tafelbosstraat,"[""50.88322349173897"", ""4.947951693312776""]"
Tiensesteenweg,"[""50.89839393202129"", ""4.971870456916111""]"
Torenstraat,"[""50.85591601203302"", ""4.92183418191096""]"
Tramstraat,"[""50.890001104303906"", ""4.937441551961913""]"
Uilekotstraat,"[""50.85458029289226"", ""4.919921428065871""]"
Uitweg,"[""50.879855400000004"", ""4.9234614""]"
Varenbergstraat,"[""50.88542651743925"", ""4.968210359358436""]"
Varentstraat,"[""50.86634809082344"", ""4.938819810233156""]"
Veldstraat,"[""50.84084051596155"", ""4.9620914246588335""]"
Vissenakensesteenweg,"[""50.84089811789752"", ""4.934871060487427""]"
Vlaasstraat,"[""50.84432090358258"", ""4.953026571698521""]"
Walmersumstraat,"[""50.842812204096084"", ""4.944012623093702""]"
Wolvendreef,"[""50.876974360966734"", ""4.949815077459094""]"
Zandstraat,"[""50.88020728324497"", ""4.95495195278993""]"
Zuurbemde,"[""50.872407"", ""4.9512199""]"
