Straat,Coordinaten
'tSas,"[""FOUT, geen straat gevonden""]"
'tVen,"[""51.1900491"", ""4.7007328""]"
'tVlot,"[""51.1862286"", ""4.7088996""]"
'tWithof,"[""51.192093"", ""4.701936""]"
Acacialaan,"[""51.1710063"", ""4.7134783""]"
Achterheide,"[""51.1666573"", ""4.7585091""]"
Albertkanaalstraat,"[""51.1793459"", ""4.7440563""]"
Antoon Van Dyckstraat,"[""51.1902767"", ""4.7435389""]"
Astridplein,"[""51.191009"", ""4.7387251""]"
Bannerlaan,"[""51.1650458"", ""4.7753862""]"
Beemdenstraat,"[""51.1872672"", ""4.7367208""]"
Berdenweg,"[""51.1699204"", ""4.7434762""]"
Berg en Dal,"[""51.167837"", ""4.7269738""]"
Bergen,"[""51.1671786"", ""4.7285974""]"
Bergstraat,"[""51.1931552"", ""4.7373891""]"
Berkendreef,"[""51.166082"", ""4.7401984""]"
Beukenlaan,"[""51.1942172"", ""4.7440825""]"
Bevrijdingsstraat,"[""51.1819232"", ""4.7447067""]"
Biezenhoek,"[""51.1900385"", ""4.7194528""]"
Binnenheide,"[""51.160003"", ""4.7226735""]"
Binnenweg,"[""51.1618539"", ""4.7493933""]"
Bistenberg,"[""51.1840282"", ""4.741911""]"
Blauwbessenweg,"[""51.2011942"", ""4.7363694""]"
Bloktstraat,"[""FOUT, geen straat gevonden""]"
Bosduifstraat,"[""51.1739289"", ""4.7804418""]"
Boshoven,"[""51.2044855"", ""4.7379333""]"
Bosschaert de Bouwellaan,"[""51.1712542"", ""4.7394692""]"
Bosweg,"[""51.2004206"", ""4.7323965""]"
Boudewijnstraat,"[""51.1895171"", ""4.7386401""]"
Bouwelheide,"[""51.1733682"", ""4.7085297""]"
Bouwelse steenweg,"[""51.1782118"", ""4.7444603""]"
Bouwelven,"[""51.16447345"", ""4.779423533168638""]"
Bovenpad,"[""51.192043"", ""4.7327303""]"
Braambessenweg,"[""51.2051155"", ""4.7317356""]"
Brandenberg,"[""51.1654738"", ""4.731604""]"
Brede Gang,"[""51.1912888"", ""4.740094""]"
Bremlaan,"[""51.1712408"", ""4.7146148""]"
Capuynestraat,"[""51.1646353"", ""4.7580778""]"
Cardijnlaan,"[""51.1697762"", ""4.7408821""]"
Cogelsdreef,"[""51.167763"", ""4.734352""]"
Dammersberg,"[""51.1683145"", ""4.7327858""]"
De Dellekens,"[""51.1669962"", ""4.7326017""]"
De Heide,"[""51.1668836"", ""4.7196814""]"
De Vriesstraat,"[""51.1933542"", ""4.7414374""]"
De Wip,"[""51.1710639"", ""4.7429021""]"
Del,"[""51.1878546"", ""4.7142933""]"
Dennenlaan,"[""51.1763356"", ""4.7445743""]"
Derde Sas,"[""51.1771508"", ""4.7103129""]"
Dijkstraat,"[""51.165746"", ""4.7552411""]"
Dobbelhoefweg,"[""51.1887369"", ""4.7240635""]"
Dorp,"[""51.1901268"", ""4.7385651""]"
Dries,"[""51.1616299"", ""4.75962""]"
Droomland,"[""51.166921"", ""4.7223041""]"
Echelpoel,"[""51.1638042"", ""4.7269665""]"
Eekhoornbrood,"[""51.2034119"", ""4.7257452""]"
Eekhoornweg,"[""51.1674911"", ""4.7135561""]"
Eekhoutstraat,"[""51.1931285"", ""4.7172209""]"
Eikenlei,"[""51.1889455"", ""4.7101217""]"
Eikenschrans,"[""51.206689"", ""4.7413393""]"
Eisterlee,"[""51.1908243"", ""4.7108299""]"
Eksterdreef,"[""51.1759442"", ""4.777746""]"
Elzenbos,"[""51.1937203"", ""4.7265135""]"
Essenweg,"[""51.1932749"", ""4.7330019""]"
Fabiolalaan,"[""51.1915219"", ""4.7139086""]"
Floris Primsstraat,"[""51.1960794"", ""4.7291149""]"
Frans Masereelstraat,"[""FOUT, geen straat gevonden""]"
G. Gezellelaan,"[""51.1685108"", ""4.7390465""]"
Gaspar Schetzstraat,"[""51.1912069"", ""4.7434314""]"
Gilliam,"[""51.1891468"", ""4.7376011""]"
Grensstraat,"[""51.2011712"", ""4.7536043""]"
Groenstraat,"[""51.1901081"", ""4.7420276""]"
Hanegoor,"[""51.1577803"", ""4.7453845""]"
Hanekam,"[""51.2041929"", ""4.7221577""]"
Hansbriel,"[""51.1647481"", ""4.7510934""]"
