Straat,Coordinaten
's Gravenkerselaar,"[""50.90040761637769"", ""3.981720114807888""]"
Achterstraat,"[""50.8998806"", ""3.9948415500000003""]"
Advocaat de Backerstraat,"[""50.874010332082435"", ""4.018803128504424""]"
Anderenbroek,"[""50.893401569423375"", ""4.023183833529613""]"
Ankerstraat,"[""50.867622039797205"", ""4.013135242123509""]"
Atomveldstraat,"[""50.87789274986992"", ""4.028785682691383""]"
Bakkerstraat,"[""50.89876165369661"", ""3.9902565046218155""]"
Baljuwsweg,"[""50.9006994"", ""4.00703845""]"
Bareelstraat,"[""50.86587086244168"", ""4.017176701994573""]"
Beekstraat,"[""50.88591901345134"", ""3.9937403883027858""]"
Beernaardstraat,"[""50.8936114737697"", ""3.9860060873404923""]"
Berenhoek,"[""50.872261919806306"", ""3.9560611796981666""]"
Bergstraat,"[""50.8811974"", ""3.9826259""]"
Binnenstraat,"[""50.902942"", ""4.025666""]"
Boekentstraat,"[""50.884214323059105"", ""3.9750932702094577""]"
Borrekent,"[""50.874358493204156"", ""3.998815697748557""]"
Bosstraat,"[""50.9080336"", ""3.9848776""]"
Brantegemstraat,"[""50.89424612477028"", ""3.975991152467649""]"
Bremtstraat,"[""50.915958127910116"", ""3.9832137899232496""]"
Bronweg,"[""FOUT, geen straat gevonden""]"
Bruulstraat,"[""50.90371860274032"", ""4.004399957121352""]"
Bunderstraat,"[""50.89311305"", ""4.0291504499999995""]"
Burchtweg,"[""50.90134164321828"", ""4.0042282546162165""]"
Burg. D'haeseleerstraat,"[""50.87816029586148"", ""3.9578844559170143""]"
Burg. Emile de Sadeleerstr.,"[""50.89665787050349"", ""3.999376064311501""]"
Charlotteweg,"[""50.90373718340549"", ""4.027812653278655""]"
Daal,"[""50.883363479894655"", ""4.011098610060718""]"
Deeskensveld,"[""50.89122104262861"", ""3.99094332694338""]"
Dekkersveld,"[""50.88033434989617"", ""3.9403599056068996""]"
Deyselstraat,"[""50.87147992130739"", ""4.00594460668366""]"
Diepeweg,"[""50.8979496"", ""4.0245019""]"
Donkerstraat,"[""50.899503456377005"", ""4.004958891994874""]"
Doornstraat,"[""50.9067585205756"", ""4.001965368966561""]"
Dorp,"[""50.87075923730712"", ""4.018703224774251""]"
Dreef,"[""50.9024954"", ""4.0106724""]"
Driehoekstraat,"[""50.88673695"", ""3.9809012""]"
Dries,"[""50.87547965771175"", ""3.9829061293983266""]"
Droeskouterstraat,"[""50.89836450400659"", ""4.004134094428187""]"
Dwarsstraat,"[""50.872601140003795"", ""4.003650138784297""]"
Edestraat,"[""50.9097282"", ""3.9803386""]"
Eigenstraat,"[""50.8795736086222"", ""4.019765012060351""]"
Eiland,"[""50.8947373"", ""4.015632149999999""]"
Ekentstraat,"[""50.8976506"", ""3.9858221""]"
Ferdinand Van Hoeymissenstr.,"[""50.888302950478"", ""3.995232064401354""]"
Fonteinstraat,"[""50.89626003269628"", ""4.0090923981775095""]"
Gotegemstraat,"[""50.889802876633716"", ""3.9565315439630147""]"
Groebbebaan,"[""50.90497508228912"", ""3.9924364306617464""]"
Groeneweg,"[""50.91212541513271"", ""3.9825481507483347""]"
Haagstraat,"[""50.91479465"", ""3.9817835""]"
Hallebaan,"[""50.87662717173976"", ""3.958574593193541""]"
Heldergemstraat,"[""50.880789589821916"", ""3.9548082190961296""]"
Herenthout,"[""50.9045777"", ""4.0193912""]"
Herenthoutdreef,"[""50.90564487250556"", ""4.018001547901425""]"
Herlinckhove,"[""50.8644452536828"", ""3.992401093907598""]"
Hoefstraat,"[""50.895838335876"", ""3.9639672859138537""]"
Hoekstraat,"[""50.887384618323786"", ""3.9970444453440166""]"
Hoenderbeekstraat,"[""FOUT, geen straat gevonden""]"
Hofstraat,"[""50.882621099999994"", ""3.9843189499999996""]"
Hogendries,"[""50.87424969656727"", ""3.9600699884284976""]"
Holbeekweg,"[""50.88354253401339"", ""3.9603311834443926""]"
Hollestraat,"[""50.89263033381008"", ""3.990591125270097""]"
Hoogkouterbaan,"[""50.90276313419662"", ""3.9811768654511464""]"
Hooglareweg,"[""50.90915664592094"", ""3.9873316031481183""]"
Hoogstraat,"[""50.89493753811522"", ""3.998295703463706""]"
