Straat,Coordinaten
's Heren Streek,"[""51.080654"", ""4.1779667""]"
't Hoog,"[""51.0503025"", ""4.1638752""]"
't Spinnewiel,"[""FOUT, geen straat gevonden""]"
2de Jagers te Paardstraat,"[""51.0951771"", ""4.1424258""]"
Aartstraat,"[""51.0991375"", ""4.1309174""]"
Abdijstraat,"[""51.0468943"", ""4.1707555""]"
Abtsbroeksken,"[""51.0507234"", ""4.1718054""]"
Acaciastraat,"[""51.0894104"", ""4.1506082""]"
Achille Van Sassenbroucklaan,"[""51.0969983"", ""4.1525015""]"
Achterthof,"[""51.0959359"", ""4.1374323""]"
Akkerstraat,"[""51.086194"", ""4.1306144""]"
Albert Van Heckelaan,"[""51.0843277"", ""4.1295395""]"
Albrecht Rodenbachlaan,"[""51.0888745"", ""4.1444687""]"
Amaat Jooslaan,"[""51.0892291"", ""4.1432613""]"
Ardoystraat,"[""51.0928236"", ""4.0927064""]"
Aubroeckstraat,"[""51.0567746"", ""4.1598854""]"
August Van De Veldestraat,"[""51.0966295"", ""4.1331509""]"
Baantje,"[""51.0973248"", ""4.1330894""]"
Baasrodeveerstraat,"[""51.0440462"", ""4.1661816""]"
Baljuwstraat,"[""51.0681621"", ""4.1543317""]"
Bareelstraat,"[""51.0962739"", ""4.129255""]"
Beekstraat,"[""51.083871"", ""4.1295386""]"
Begijnhofstraat,"[""51.0479616"", ""4.1706178""]"
Bernapiet,"[""51.0725795"", ""4.1796133""]"
Biezestraat,"[""51.1013238"", ""4.147225""]"
Binnenstraat,"[""51.076019"", ""4.1724433""]"
Bliekstraat,"[""51.0632344"", ""4.1458251""]"
Bloemenstraat,"[""51.0672871"", ""4.15332""]"
Blokmakershof,"[""51.0954272"", ""4.125222""]"
Boeykensstreek,"[""51.0718887"", ""4.1788058""]"
Bookmolenstraat,"[""51.0720164"", ""4.0903988""]"
Boonstraat,"[""51.0731122"", ""4.1430474""]"
Bootdijkstraat,"[""51.0806363"", ""4.1623322""]"
Boschmansstraatje,"[""51.0762283"", ""4.1022406""]"
Boserf,"[""51.0632307"", ""4.1506639""]"
Bosschaertstreek,"[""51.0717496"", ""4.1712371""]"
Bosstraat,"[""51.0486187"", ""4.1714183""]"
Boteraard,"[""51.07501"", ""4.1087713""]"
Bremstraat,"[""51.0984828"", ""4.1474517""]"
Broekstraat,"[""51.0884784"", ""4.1527693""]"
Brouwerij Van den Berghestraat,"[""51.0927147"", ""4.1229111""]"
Brugstraat,"[""51.0989689"", ""4.1283174""]"
Bunt,"[""51.1039397"", ""4.1631088""]"
Buntjesstraatjen,"[""FOUT, geen straat gevonden""]"
Buntstraat,"[""51.1003618"", ""4.1455981""]"
Buntweg,"[""51.0759705"", ""4.1743511""]"
Burgemeester Lemmensstraat,"[""51.0647899"", ""4.1545455""]"
Burgemeester Louis Baertstraat,"[""51.0982321"", ""4.1323133""]"
Calvarieberg,"[""51.1013706"", ""4.1417448""]"
Cayen,"[""51.0750016"", ""4.1692461""]"
Cesar De Golspark,"[""51.093577"", ""4.1559404""]"
Clement Rottiersstraat,"[""51.0947294"", ""4.1330924""]"
Damputstraat,"[""51.0935234"", ""4.1421952""]"
Damstraat,"[""51.0911537"", ""4.1360806""]"
De Braakstraat,"[""51.0457794"", ""4.1708599""]"
De Pannestraat,"[""51.0503183"", ""4.1659403""]"
De Ring,"[""51.097037"", ""4.1344247""]"
De Schoesitterplein,"[""51.0696904"", ""4.1540595""]"
De Warandestraat,"[""51.0506188"", ""4.1693398""]"
Dendermondse Steenweg,"[""51.0705536"", ""4.1203826""]"
Dennenstraat,"[""51.090204"", ""4.1501352""]"
Derde Grootbroek,"[""51.0686378"", ""4.1768617""]"
Dijkstraat,"[""51.0994513"", ""4.1410298""]"
Dokter H. Hyleboslaan,"[""51.0914417"", ""4.1561683""]"
Donkstraat,"[""51.066452"", ""4.1471954""]"
Doorn,"[""51.0934"", ""4.06653""]"
Dorp,"[""51.0628004"", ""4.1525063""]"
Drapstraat,"[""51.0981894"", ""4.1433798""]"
Driegoten,"[""51.0932828"", ""4.1701018""]"
Driegotenkouter,"[""51.0951952"", ""4.1538104""]"
Dubbelstreek,"[""51.0783705"", ""4.1836281""]"
Durmebrug,"[""51.0957855"", ""4.0907649""]"
Durmestraat,"[""51.0984595"", ""4.1299223""]"
Edouard Passtraat,"[""51.0638488"", ""4.1449757""]"
Ekelbeke,"[""51.0861803"", ""4.1018728""]"
Evangeliestraat,"[""51.0951525"", ""4.122861""]"
Filip De Pillecynlaan,"[""51.0902326"", ""4.1535507""]"
Ganzenberg,"[""51.0477189"", ""4.1670831""]"
Gasmeterstraat,"[""51.0921795"", ""4.1352471""]"
Geemhof,"[""51.0971609"", ""4.1261824""]"
Geemstraat,"[""51.0957072"", ""4.1262704""]"
Geeststraat,"[""51.0706777"", ""4.1543803""]"
Gezusters De Grevehof,"[""51.0965862"", ""4.1228872""]"
Gijven,"[""51.0739039"", ""4.1833132""]"
Groeneboomgaardstraat,"[""51.0981296"", ""4.146328""]"
Groenstraat,"[""51.0645441"", ""4.1528646""]"
Grootbroekstraat,"[""51.0670433"", ""4.1755399""]"
