Straat,Coordinaten
's Gravenhagestraat,"[""51.047976842268035"", ""4.707998975024505""]"
's Herenweg,"[""51.10960601188797"", ""4.744718146738126""]"
't Kapmes,"[""51.03856104561908"", ""4.759877881406719""]"
A. De Bruynstraat,"[""51.099885099999995"", ""4.72824785""]"
A.Vereeckestraat,"[""51.078200915616506"", ""4.725424976264504""]"
Abeelstraat,"[""51.051178978676774"", ""4.780157147923184""]"
Acaciastraat,"[""51.07397475476775"", ""4.721847312364469""]"
Achter de hoven,"[""51.10209689667021"", ""4.729414453107912""]"
Achterheidestraat,"[""51.05171467076052"", ""4.69814741417366""]"
Achterheideweg,"[""51.0336675709558"", ""4.706017442976594""]"
Adamstraat,"[""51.02939249122636"", ""4.746596919979446""]"
Advokatestraat,"[""51.10103014933581"", ""4.798852945753465""]"
Anjerstraat,"[""51.10444476633638"", ""4.722254773370756""]"
Arendshof,"[""51.10281718161829"", ""4.731547292255211""]"
August Heylenstraat,"[""51.101690369801226"", ""4.733216388537989""]"
August Prooststraat,"[""51.085996800000004"", ""4.7218105999999995""]"
Averegtenlaan,"[""51.080107739751696"", ""4.7240489885007175""]"
Baeske Broeckstraat,"[""51.0351784"", ""4.7698852""]"
Bareelweg,"[""51.03630894096154"", ""4.667320138945069""]"
Beemdekensstraat,"[""51.068495804969125"", ""4.699424845371032""]"
Beemweg,"[""51.0975177"", ""4.732390742310552""]"
Beerzelsesteenweg,"[""FOUT, straat in foute gemeente gevonden""]"
Begijnendijkse Voetweg,"[""51.03092546364856"", ""4.759407660054268""]"
Begoniastraat,"[""51.10558555"", ""4.7258904""]"
Belstraat,"[""51.10962204630922"", ""4.78803419500519""]"
Bergebeekstraat,"[""51.059578394860836"", ""4.739005445440564""]"
Bergop,"[""51.075420828832186"", ""4.729363341124207""]"
Bergskestraat,"[""51.08133401185118"", ""4.705850831677036""]"
Bergstraat,"[""51.075202861194114"", ""4.72682314501944""]"
Bergvelden,"[""51.07733854565882"", ""4.702851535883325""]"
Berkenstraat,"[""51.0766941770248"", ""4.717722902031587""]"
Berlaarbaan,"[""51.100722510099374"", ""4.717385639610962""]"
Bernum,"[""51.0987848"", ""4.7447637""]"
Bernumlaakweg,"[""51.08348538347735"", ""4.741082979305287""]"
Berthoutlaan,"[""51.08662315"", ""4.729683850000001""]"
Beukelweg,"[""51.045618451007435"", ""4.774509399105291""]"
Beukenlaan,"[""51.09645873348261"", ""4.710810890762614""]"
Bevelsesteenweg,"[""51.11250795781995"", ""4.702320451553569""]"
Biekorfstraat,"[""51.074028229492974"", ""4.703566219036305""]"
Bijenhof,"[""51.08242128863122"", ""4.726570567958863""]"
Binderslaan,"[""51.02965016169469"", ""4.756998605859158""]"
Binnenweg,"[""51.076312017533105"", ""4.725190079764114""]"
Bist,"[""51.040610799999996"", ""4.7662372""]"
Blindejennestraat,"[""51.03845562804567"", ""4.781544220975493""]"
Blokstraat,"[""51.05692936890311"", ""4.755623065515098""]"
Blokvioolstraat,"[""51.08151795"", ""4.7113609""]"
Boekeleslei,"[""51.05113153422759"", ""4.7657242016000545""]"
Boektestraat,"[""51.067894871471076"", ""4.728757084029682""]"
Boekweitweg,"[""51.03113337594783"", ""4.740327202354663""]"
Bogaardenstraat,"[""51.058431772428825"", ""4.686058466447065""]"
Bollostraat,"[""51.0380216"", ""4.7311186""]"
Bonte Wikke,"[""51.08509211758964"", ""4.722771826746188""]"
Booischotbaan,"[""51.044281924331166"", ""4.670778071598597""]"
Boomgaardstraat,"[""51.04670670971317"", ""4.757488608506664""]"
Boonmarkt,"[""51.087013413722154"", ""4.716837742005063""]"
Bosdijkweg,"[""51.11551796986174"", ""4.7669788335094685""]"
Bosduifweg,"[""51.02506792941702"", ""4.697739311917374""]"
Bossestraat,"[""51.071223786771846"", ""4.722193112007074""]"
Bosvelden,"[""51.07144649032868"", ""4.71956824485765""]"
Bosveldweg,"[""FOUT, geen straat gevonden""]"
Bosweg,"[""51.045243769261596"", ""4.716086100711867""]"
Boterstraat,"[""51.049500003787756"", ""4.754097620537426""]"
Boudewijnlaan,"[""51.073767114848245"", ""4.713212430773978""]"
Brandstraat,"[""51.05020326338122"", ""4.785007149540789""]"
Bredestraat,"[""51.041233002760656"", ""4.710970867570207""]"
Breeven,"[""51.1060825"", ""4.7922155""]"
Brekelingen,"[""51.07952508981516"", ""4.6984440997512795""]"
Bremweg,"[""51.016350665258486"", ""4.720457785221344""]"
Broekmansstraat,"[""51.037096481286845"", ""4.746662736410003""]"
Broekstraat,"[""51.0787237"", ""4.7540321""]"
Brouwerijstraat,"[""51.05241120360333"", ""4.777245054631825""]"
Bruggeneindse Heibaan,"[""51.08309430017296"", ""4.782028252334721""]"
Bruggeneindsestraat,"[""51.08508597786388"", ""4.774105768109595""]"
Bruulstraat,"[""51.09016363292017"", ""4.684084513810288""]"
Buntstraat,"[""51.085620253855886"", ""4.770100046272409""]"
Burgerheidestraat,"[""51.05234171511153"", ""4.70785551525""]"
Butsestraat,"[""51.04766385424003"", ""4.751724457456863""]"
C. Serneelsstraat,"[""51.09890967682556"", ""4.726832929316193""]"
Canadadreef,"[""51.0557886"", ""4.68470185""]"
Cardijnlaan,"[""51.0288776973367"", ""4.75873399801381""]"
Cederstraat,"[""51.080122397802"", ""4.721273870210277""]"
Colibrantstraat,"[""51.0704617162199"", ""4.727733987578528""]"
Collegestraat,"[""51.07234419979165"", ""4.701403137184717""]"
Cultuurplein,"[""51.076117503134995"", ""4.717868808653887""]"
Cuperuslei,"[""51.067515639736"", ""4.720202218286898""]"
Dalstraat,"[""51.11058140396579"", ""4.795136168540769""]"
De Del,"[""51.03778096652066"", ""4.751520352415907""]"
De Loecht,"[""51.10512695"", ""4.7916213""]"
De Vreze,"[""51.0638674471214"", ""4.760005010599058""]"
Dekbunderstraat,"[""51.1186006"", ""4.76472845""]"
Denis Verschuerenstraat,"[""51.10153939580985"", ""4.722092140778535""]"
Dennenlaan,"[""51.09442295"", ""4.70954525""]"
Diepenbroekstraatje,"[""51.06540679799654"", ""4.700086134162934""]"
Diepestraat,"[""51.068371324645405"", ""4.714485989656189""]"
Doelweg,"[""FOUT, geen straat gevonden""]"
Donatuspad,"[""51.08414516595158"", ""4.730309090445033""]"
Donatusstraat,"[""51.08069133235845"", ""4.727410304303475""]"
Donkenstraat,"[""51.014907596336094"", ""4.713848623124353""]"
Dophei,"[""51.034758168332594"", ""4.755286522867142""]"
Dorelarelei,"[""51.0869048"", ""4.7221969999999995""]"
Dorpsstraat,"[""51.051292676085815"", ""4.771018181792153""]"
Dr.J.Vermylenstraat,"[""51.02280772238136"", ""4.690589952026892""]"
Dreef,"[""51.03056189811888"", ""4.692033958555945""]"
Drenkstraat,"[""51.069080105446666"", ""4.747519073624333""]"
Drie Maagdekensstraat,"[""51.05384071977465"", ""4.744797435922985""]"
Driehoekstraat,"[""51.111393972845526"", ""4.70703570002514""]"
Drieshoevestraat,"[""51.0500050660474"", ""4.70748122513885""]"
Dulft,"[""51.102763374895225"", ""4.728469250593583""]"
Echelpoel,"[""51.09114415499543"", ""4.729178683280001""]"
Eendenlaan,"[""51.10847015918329"", ""4.801990308480296""]"
Eerselstraat,"[""51.06894588511893"", ""4.743754103610672""]"
Eglantierstraat,"[""51.07453565"", ""4.72321275""]"
Eikestraat,"[""51.0524106"", ""4.7109942""]"
Eindeke,"[""51.055095111757645"", ""4.793534629795486""]"
Elsschot,"[""51.0379614"", ""4.76597545""]"
Elzenstraat,"[""51.05051401143921"", ""4.776948302779002""]"
Engelbert Goossensstraat,"[""51.0136376040304"", ""4.7095724173962905""]"
Engelenweg,"[""51.103657111034714"", ""4.791982713278715""]"
Ericaweg,"[""51.10275455"", ""4.7907395""]"
Essestraat,"[""51.05168950283708"", ""4.71092202862839""]"
Eugeen Woutersstraat,"[""51.077044"", ""4.7269524""]"
Fabriekstraat,"[""51.09608301948539"", ""4.81430495551243""]"
Fazantweg,"[""51.02473845682586"", ""4.698582271355787""]"
Frans Coeckelbergsstraat,"[""51.074801313101425"", ""4.726647456499142""]"
Frekeslei,"[""51.05089588386575"", ""4.7679846666928""]"
Galgestraat,"[""51.0413043852403"", ""4.676519314270007""]"
Ganzenweg,"[""51.10903468974825"", ""4.803195743860053""]"
Gastveld,"[""51.0719124"", ""4.7304705""]"
Geelhandlaan,"[""51.06484126687781"", ""4.705946653915884""]"
Gerststraat,"[""51.08283299187047"", ""4.73438939005349""]"
Gestelsesteenweg,"[""51.12043832145234"", ""4.694280121055711""]"
Geuzenstraatje,"[""51.06272487579013"", ""4.703137159989778""]"
Gidsenlei,"[""51.03247819271869"", ""4.761040654401882""]"
Gildestraat,"[""51.10010151478595"", ""4.795079304808417""]"
Gillekenshagen,"[""51.125251676002605"", ""4.761275303657166""]"
Glazenstraat,"[""51.09107365338191"", ""4.781404793276144""]"
Godinstraat,"[""51.10049833969266"", ""4.814392707064282""]"
Gommerijnstraat,"[""51.0426047"", ""4.7236169""]"
Gommerslei,"[""51.05112572143463"", ""4.751261003459169""]"
Goorheide,"[""FOUT, straat in foute gemeente gevonden""]"
Goorlei,"[""51.041862588936105"", ""4.734680387900149""]"
Goormolen,"[""51.027953117815265"", ""4.7377385227993445""]"
