Straat,Coordinaten
's-Herenwegveld,"[""50.902568596913454"", ""4.681311113815047""]"
't Nonneke,"[""50.90212445"", ""4.6274109""]"
Aardeweg,"[""50.8948225291991"", ""4.633687745574677""]"
Aarschotseweg,"[""50.89795512010715"", ""4.691119384516913""]"
Acacialaan,"[""50.89661497004395"", ""4.68292077895566""]"
Akkerweg,"[""50.910018834790385"", ""4.672869405739919""]"
Albert Devuestraat,"[""50.902517797517945"", ""4.650338389138073""]"
Anjelierenlaan,"[""50.90597461668327"", ""4.623412184151752""]"
Arnoudt Rulenslaan,"[""50.88530995"", ""4.664418088886132""]"
Asseweg,"[""50.89969282846425"", ""4.62206268461452""]"
Bachterweg,"[""50.901186175427114"", ""4.618254035585905""]"
Baertlaan,"[""50.8862857220921"", ""4.655986618154736""]"
Beisemveld,"[""50.90330707811126"", ""4.6174931124246195""]"
Belsenakestraat,"[""50.91091695"", ""4.6742926""]"
Bergenstraat,"[""50.89890991640318"", ""4.681240933102288""]"
Bergstraat,"[""50.89602403101718"", ""4.624242790697574""]"
Bertemsebaan,"[""50.891837100000004"", ""4.623708""]"
Bertemweg,"[""FOUT, geen straat gevonden""]"
Betlehemweg,"[""50.90746445"", ""4.67985555""]"
Bieststraat,"[""50.889597867797264"", ""4.668397849552881""]"
Bijlokstraat,"[""50.9132481"", ""4.686309""]"
Binnenhof,"[""50.904085730597124"", ""4.618069854448727""]"
Binnenstraat,"[""50.9045170351894"", ""4.616363663798294""]"
Blakstraat,"[""50.92916152156021"", ""4.667246646999486""]"
Blauwe Stap,"[""50.9163581270494"", ""4.695378955784508""]"
Blokstraat,"[""50.90270319314233"", ""4.62712346778653""]"
Blokweg,"[""50.90741844215515"", ""4.675533134738455""]"
Bodemveldstraat,"[""50.89764089584915"", ""4.658107517577613""]"
Boerbemdstraatje,"[""50.922855429684674"", ""4.612928047090424""]"
Borneveldstraat,"[""50.911556270856366"", ""4.688017998101685""]"
Bornput,"[""50.893690899999996"", ""4.615084099128302""]"
Bosstraat,"[""50.92704091438399"", ""4.6522116309198305""]"
Bovenbergstraat,"[""50.89277434656925"", ""4.615355004335906""]"
Brampad,"[""50.9037678"", ""4.6751574""]"
Bremveldstraat,"[""50.90444610480243"", ""4.6646567736299245""]"
Broekstraat,"[""50.90996415"", ""4.6169095""]"
Broekveldstraat,"[""50.90968094792686"", ""4.674075439149853""]"
Brusselsesteenweg,"[""50.89565458209665"", ""4.610917001790463""]"
Bukenstraat,"[""50.942744342289636"", ""4.639703153693205""]"
Bunderweg,"[""50.93524217052921"", ""4.623170308151853""]"
Clarahof,"[""50.93615541889226"", ""4.62116909155788""]"
Coenraedt Keynslaan,"[""50.88528080768837"", ""4.662099294100788""]"
Dalenstraat,"[""50.89687983242494"", ""4.650632665576383""]"
De Croyplein,"[""50.88669272676397"", ""4.658724790208006""]"
De Wijngaard,"[""50.89578816513436"", ""4.683574456964715""]"
Dellestraat,"[""50.89797674361237"", ""4.675981771217449""]"
Den Blok,"[""50.91074495739791"", ""4.666771005949417""]"
Den Boomgaard,"[""50.90122365"", ""4.680460549999999""]"
Den Bremt,"[""50.9055576"", ""4.6655161""]"
Den Elst,"[""50.9209815"", ""4.6656725""]"
Diependaalweg,"[""50.88362917529976"", ""4.6637995010422175""]"
Dieriksgroebe,"[""50.8966025"", ""4.6460992""]"
Dorenstraat,"[""50.921735500000004"", ""4.6538804""]"
Dorpsplein,"[""50.90136952847459"", ""4.62357238201063""]"
Dorpsstraat,"[""50.898949325949246"", ""4.644446827645227""]"
Drieskensweg,"[""50.92309132945087"", ""4.642582509624654""]"
Drogenbosstraat,"[""50.9265013629304"", ""4.621001523671378""]"
Duigemhofstraat,"[""50.90532349083559"", ""4.656490889456705""]"
Duigemstraat,"[""50.903866177385645"", ""4.652591021328223""]"
Duivenstraat,"[""50.91705298358646"", ""4.617086684841308""]"
