Straat,Coordinaten
Acaciastraat,"[""50.9044128"", ""5.1977759""]"
Amandinaweg,"[""50.918147"", ""5.1908291""]"
Anneke Weemaesweg,"[""FOUT, geen straat gevonden""]"
Bammerveldweg,"[""50.9302224"", ""5.1613373""]"
Bampsstraat,"[""50.935883"", ""5.146227""]"
Beckersvaart,"[""50.9626043"", ""5.1814158""]"
Beerbosstraat,"[""50.9580922"", ""5.1711974""]"
Begijnen Beussenveldweg,"[""50.9132318"", ""5.1580665""]"
Berkenstraat,"[""50.9384881"", ""5.1359791""]"
Beukenstraat,"[""50.9055703"", ""5.1969585""]"
Bleke Lenastraat,"[""50.944222113347834"", ""5.158350856061692""]"
Bleukweg,"[""50.9202803"", ""5.1972091""]"
Blijkbaan,"[""50.941991"", ""5.1709421""]"
Boer Bavostraat,"[""50.94320273914046"", ""5.157019640436334""]"
Bommerbergweg,"[""50.9344137"", ""5.1562239""]"
Bommerstraat,"[""50.9288935"", ""5.1515671""]"
Bosstraat,"[""50.9413429"", ""5.2111443""]"
Broekstraat,"[""50.959244"", ""5.210947""]"
Catharina van Loon,"[""50.9329084"", ""5.1355682""]"
Daelemstraat,"[""50.9516538"", ""5.1645071""]"
Deken Van Herckstraat,"[""50.9436801"", ""5.1602366""]"
Dennenbosstraat,"[""50.8957562"", ""5.1919074""]"
Diepenpoelstraat,"[""50.9260619"", ""5.153945""]"
Diestsesteenweg,"[""50.9429642"", ""5.1517621""]"
Diestsestraat,"[""50.9407494"", ""5.164203""]"
Doelstraat,"[""50.9410973"", ""5.1746904""]"
Dokter Vanweddingenlaan,"[""50.9390842"", ""5.1671367""]"
Donderveldstraat,"[""50.955637"", ""5.2002197""]"
Dormaelswinningweg,"[""50.9154901"", ""5.1519295""]"
Dorpsstraat,"[""50.9377096"", ""5.1346344""]"
Dreefstraat,"[""50.9406458"", ""5.134134""]"
Driespoortweg,"[""50.9434143"", ""5.1673416""]"
Eggelstraat,"[""50.9226939"", ""5.1559391""]"
Eiken Venne,"[""50.9408939"", ""5.139515""]"
Eikenstraat,"[""50.9059064"", ""5.1989174""]"
Ekerstraat,"[""50.9592243"", ""5.2199327""]"
Endepoelstraat,"[""50.9257719"", ""5.1713132""]"
Ganzenhoek,"[""50.9371657"", ""5.1432414""]"
Gasterbosstraat,"[""50.9439377"", ""5.1961894""]"
Gebruiksweg,"[""50.917637"", ""5.1834969""]"
Georges Morrenstraat,"[""50.9346616"", ""5.1454882""]"
Groot-veldweg,"[""50.9117499"", ""5.181393""]"
Grote Baan,"[""50.9461443"", ""5.134964""]"
Grote Hoolstraat,"[""50.935097"", ""5.1607083""]"
Grote Kruisstraat,"[""50.9221071"", ""5.1905285""]"
Grotestraat,"[""50.9503369"", ""5.2082942""]"
Grotstraat,"[""50.9537941"", ""5.2148756""]"
Guldensporenlaan,"[""50.9409943"", ""5.1634989""]"
Gulkerveldstraat,"[""FOUT, geen straat gevonden""]"
Halbekerstraat,"[""50.9429921"", ""5.1517609""]"
Hasseltsesteenweg,"[""50.9429237"", ""5.1713841""]"
Hasseltsestraat,"[""50.942345"", ""5.1685156""]"
Hazenveldweg,"[""50.9251577"", ""5.1722972""]"
Heerlestraat,"[""50.9519991"", ""5.2019991""]"
Heidestraat,"[""50.9551067"", ""5.2186017""]"
Helenastraat,"[""50.9445871"", ""5.1598557""]"
Henri Knutsplein,"[""50.9439386"", ""5.1654729""]"
Herkenrodestraat,"[""50.9440062"", ""5.1636098""]"
Herkkantstraat,"[""50.9376569"", ""5.2022835""]"
Hertenplein,"[""FOUT, geen straat gevonden""]"
Hofstraat,"[""50.9402745"", ""5.1676964""]"
Hondsblokstraat,"[""50.9467448"", ""5.1753453""]"
Hoogbosstraat,"[""50.924084"", ""5.1847113""]"
Hoogstraat,"[""50.9585989"", ""5.1952116""]"
Houwijkerstraat,"[""50.9358928"", ""5.1711049""]"
Hurbroekstraat,"[""50.9330195"", ""5.1389423""]"
Industrieweg,"[""50.9451446"", ""5.1616436""]"
Jennifer Jenningsstraat,"[""50.94270971484365"", ""5.1590844189817595""]"
Jodestraat,"[""50.9196421"", ""5.1749428""]"
Kalkkuilstraat,"[""50.9366815"", ""5.1374496""]"
Kapelstraat,"[""50.9475243"", ""5.2076428""]"
Kasteelstraat,"[""50.9397996"", ""5.1315283""]"
Keernestraat,"[""50.9270041"", ""5.1556668""]"
Keibergstraat,"[""50.9285979"", ""5.1613557""]"
Kerkstraat,"[""50.9581826"", ""5.1818247""]"
Kiezelweg,"[""50.9551935"", ""5.1783957""]"
Klein-Grootveldweg,"[""50.91231"", ""5.1912695""]"
Kleine Hoolstraat,"[""50.9371593"", ""5.1663187""]"
Kleine Kruisstraat,"[""50.9251526"", ""5.1827084""]"
Kleine Venne,"[""50.940463"", ""5.1376769""]"
Kleinstraat,"[""50.9555626"", ""5.2152708""]"
Kloosterbosweg,"[""50.9156445"", ""5.1959511""]"
Koestraat,"[""50.911671"", ""5.2008""]"
Koningsvijversstraat,"[""FOUT, geen straat gevonden""]"
Korpse straat,"[""50.9155412"", ""5.1397087""]"
Kragenstraat,"[""50.9218056"", ""5.190385""]"
Kulkenhofstraat,"[""50.9394046"", ""5.1696922""]"
Kustraat,"[""50.9170924"", ""5.2125528""]"
Langdonkenstraat,"[""50.9560357"", ""5.1724585""]"
Lazerijstraat,"[""50.9431124"", ""5.1662188""]"
Leemkuilstraat,"[""50.956833"", ""5.1957977""]"
Lepelstraat,"[""50.9334105"", ""5.1350628""]"
Lijsterbesstraat,"[""50.9051009"", ""5.1987127""]"
Lindeboomstraat,"[""50.9040761"", ""5.1977062""]"
Lindestraat,"[""50.9485763"", ""5.2041335""]"
Malle Babbeweg,"[""50.94272649563931"", ""5.15979429607194""]"
Manestraat,"[""50.9528856"", ""5.1860274""]"
Mariekestraat,"[""50.94391038208938"", ""5.158184442790892""]"
Markt,"[""50.9407063"", ""5.1652894""]"
Meerhoutstraat,"[""50.9455376"", ""5.1346062""]"
Meester Mintenplein,"[""50.9443291"", ""5.1629843""]"
Mielenveldweg,"[""50.9280207"", ""5.1530395""]"
Minstraat,"[""50.9534095"", ""5.1981019""]"
Molenstraat,"[""50.9431637"", ""5.1717637""]"
Muggenhoek,"[""50.9546286"", ""5.1808738""]"
Nachtegaalstraat,"[""50.9543727"", ""5.2096709""]"
