Straat,Coordinaten
Aaigemsveldstraat,"[""50.874350250787046"", ""3.9142320319583455""]"
Acacialaan,"[""50.90431013535129"", ""3.8951987478317553""]"
Achterstraat,"[""50.872929091309054"", ""3.9170310635774874""]"
Arestraat,"[""50.87875028966248"", ""3.8818158076927816""]"
Armstraat,"[""50.85160860758279"", ""3.858408576419918""]"
Assestraat,"[""50.83824373656627"", ""3.8600446501218375""]"
Azaleastraat,"[""50.901617334965174"", ""3.895224098635056""]"
Bareelstraat,"[""50.891099781989254"", ""3.8570806009340797""]"
Beeklaan,"[""50.896713186118426"", ""3.875940337419329""]"
Begoniastraat,"[""50.900636085788065"", ""3.893192072928858""]"
Bekenholstraat,"[""50.841297268653264"", ""3.863143909302264""]"
Bergafstraat,"[""50.89359485310556"", ""3.8683546379930265""]"
Bergestraat,"[""50.8404485"", ""3.898623""]"
Beukenlaan,"[""50.900880232793284"", ""3.8671769529516737""]"
Beverstraat,"[""50.84618930494559"", ""3.9263975092316""]"
Bevrijdingstraat,"[""50.88501371649885"", ""3.8907296036422503""]"
Blauwstraat,"[""50.89014241908638"", ""3.9109925848911993""]"
Bloemenstraat,"[""50.8824587"", ""3.8800498""]"
Bocht,"[""50.89875568390539"", ""3.860305394723932""]"
Bokstraat,"[""50.8778348"", ""3.8815812""]"
Borsbekestraat,"[""50.90382612077063"", ""3.894403735886102""]"
Bosse,"[""50.82574861633273"", ""3.910986404837969""]"
Bosstraat,"[""50.863943558376846"", ""3.926939958178758""]"
Bovenhoekstraat,"[""50.89358678921397"", ""3.8467932116814576""]"
Bovenstraat,"[""50.89577248104402"", ""3.8606806482826603""]"
Brielstraat,"[""50.8848010190317"", ""3.856307488456805""]"
Bronstraat,"[""50.85911184032339"", ""3.890494180195309""]"
Brugstraat,"[""50.89248296624843"", ""3.856543387381164""]"
Brusselbaan,"[""50.82747342968889"", ""3.9171605835354""]"
Burchtlaan,"[""50.886880998604184"", ""3.8884829369713247""]"
Burgemeester Matthysstraat,"[""50.88575715865499"", ""3.8895519752192196""]"
Burgemeesters De Vuystplein,"[""FOUT, geen straat gevonden""]"
Callebautdreef,"[""50.90884765734252"", ""3.908723139717169""]"
Claraplein,"[""FOUT, geen straat gevonden""]"
Daalkouterlaan,"[""50.8989700867014"", ""3.8693722726363617""]"
De Tramzate,"[""50.89027324968664"", ""3.8892162118256848""]"
Dennenlaan,"[""50.899298257478215"", ""3.86610545667396""]"
Diepestraat,"[""50.89692354856672"", ""3.849893728843187""]"
Doornstraat,"[""50.86030921261133"", ""3.9034399623387657""]"
Dottestraat,"[""50.90196699827928"", ""3.8888638702484397""]"
Dreefstraat,"[""50.9056846224535"", ""3.8863483830446697""]"
Dries,"[""50.892344908845175"", ""3.8518229538439157""]"
Droogloods,"[""50.88800647190534"", ""3.8826336997091686""]"
Eikboslaan,"[""50.8860011"", ""3.8957713""]"
Eikestraat,"[""50.82952977944239"", ""3.9056256658979027""]"
Einde,"[""50.90257944061487"", ""3.8871939375320506""]"
Erpenstraat,"[""50.875020896689485"", ""3.903943263344036""]"
Erwetegemstraat,"[""50.84938335321552"", ""3.8604936077121286""]"
Evendael,"[""50.878535"", ""3.8947323""]"
Ganzestraat,"[""50.83381836883612"", ""3.8701727369612064""]"
