Straat,Coordinaten
Apostelblokweg,"[""50.929740274685535"", ""4.804282328528237""]"
Appelweg,"[""50.944071512548625"", ""4.811357577803924""]"
Asseltveld,"[""50.9202318"", ""4.7593942""]"
Attenhovendreef,"[""50.9145928"", ""4.7389402""]"
Beemdpad,"[""50.929574564737706"", ""4.801533049117611""]"
Bekaf,"[""50.93093814019702"", ""4.824815660101566""]"
Benedenstraat,"[""50.92805559949862"", ""4.783986552934617""]"
Bennenberg,"[""50.94874582424355"", ""4.8368007011707865""]"
Bergestraat,"[""50.935233085514454"", ""4.763867564560523""]"
Bergeveld,"[""50.92195469925609"", ""4.762327195164564""]"
Berkendreef,"[""50.9162619"", ""4.7617284""]"
Bessembindersstraat,"[""50.951193163438106"", ""4.813271277679294""]"
Biekedelle,"[""50.918607096748424"", ""4.758253658587012""]"
Biezestraat,"[""50.920891322219546"", ""4.8256553951862395""]"
Blauwmolenstraat,"[""50.93977461213707"", ""4.803718455483698""]"
Bosstraat,"[""50.92037070586585"", ""4.772812868435247""]"
Bovenveld,"[""50.90931952398806"", ""4.72454270242768""]"
Bredestraat,"[""50.90662368181768"", ""4.794596505843823""]"
Broekem,"[""50.916624620349786"", ""4.841748841291386""]"
Bruul,"[""50.938458749999995"", ""4.803381549999999""]"
Burgemeestersstraat,"[""50.920548746527714"", ""4.7563893495632605""]"
Chartreuzenberg,"[""50.91027334084886"", ""4.763536156259488""]"
Cleerbeek,"[""50.921325058994476"", ""4.841803553699339""]"
Daalputstraat,"[""50.922157879702034"", ""4.7285661466476""]"
Dalemstraat,"[""50.917505250000005"", ""4.79284895""]"
De Kluis,"[""50.95207602518903"", ""4.812949536625999""]"
De Vunt,"[""50.91242513167626"", ""4.7169971011332406""]"
Delleput,"[""50.91281200086549"", ""4.786831501233629""]"
Dellestraat,"[""50.908788799999996"", ""4.732483650000001""]"
Doelestraat,"[""50.923877283339515"", ""4.806232778069984""]"
Dorp,"[""50.95074144456139"", ""4.8350100624156385""]"
Dreef,"[""50.925294159896495"", ""4.806568768123055""]"
Driedennekespad,"[""50.90901816902994"", ""4.734421539575879""]"
Dries,"[""50.9164696"", ""4.7862754397323695""]"
Dunbergweg,"[""50.922061809388566"", ""4.779255817073052""]"
Dutselhoek,"[""50.9206695"", ""4.7800506""]"
Dutselstraat,"[""50.92566643120289"", ""4.807260345916082""]"
Elstweg,"[""50.906658514528566"", ""4.809154048442784""]"
Erembodegemstraat,"[""50.918734061647704"", ""4.74639962652414""]"
Galgenbergstraat,"[""50.91896256329724"", ""4.82999597475335""]"
Ganzepoel,"[""50.92025810071301"", ""4.793738253880806""]"
Gebr. Van Tiltstraat,"[""50.92096056422859"", ""4.756325543887864""]"
Geestmolenstraat,"[""50.9368413"", ""4.8117873499999995""]"
Gemperweg,"[""50.92211330339635"", ""4.827542147794144""]"
Geremtestraat,"[""50.91532951382113"", ""4.78753853604517""]"
Gildestraat,"[""50.92461373341517"", ""4.806261040950612""]"
Gobbelsrode,"[""50.90398545059538"", ""4.807060953813489""]"
Gravenstraat,"[""50.93069045223287"", ""4.813211743595886""]"
Grensstraat,"[""50.95347690312854"", ""4.803880274581167""]"
Groenstraat,"[""50.9419952876988"", ""4.840760338049571""]"
Grootveld,"[""50.95032694634298"", ""4.844378232289855""]"
Guldendelle,"[""50.92804508871812"", ""4.822862093716338""]"
Hazepad,"[""50.90919212083079"", ""4.744937281990565""]"
Heideweg,"[""50.91519616014224"", ""4.754973209790864""]"
Hellegat,"[""50.95522797009591"", ""4.802984109570961""]"
Herenbergstraat,"[""50.90967920710695"", ""4.727857117551859""]"
Hertstraat,"[""50.94098579014788"", ""4.80879200921366""]"
Hoekje,"[""50.94552669490229"", ""4.8297572035280245""]"
Hogebosstraat,"[""50.904452277284825"", ""4.798627841935346""]"
Hollestraat,"[""50.9188613"", ""4.7980395""]"
Honkelberg,"[""50.91118335"", ""4.7417599500000005""]"
Hooghuis,"[""50.945740435901506"", ""4.826232404981313""]"
Horebeekstraat,"[""50.90991955"", ""4.7900079""]"
Horststraat,"[""50.932265798806114"", ""4.82700288392706""]"
Houwaartsebaan,"[""50.9077502554465"", ""4.818175421093467""]"
Houwaartsgat,"[""50.940760394744515"", ""4.851130542305538""]"
Hulsbergweg,"[""50.90832391439367"", ""4.7248664531781746""]"
Hussestraatje,"[""50.91389269700799"", ""4.739643247725052""]"
Ijzersteenpad,"[""50.906791501006076"", ""4.72843321721261""]"
Jansbergstraat,"[""50.941576600000005"", ""4.84954155""]"
Jennekensstraat,"[""50.962638666195424"", ""4.837983475710485""]"
Kaeystraat,"[""50.91270573034201"", ""4.746019275236996""]"
Kapeldreef,"[""50.915258694927196"", ""4.756465071303724""]"
Kartuizersstraat,"[""50.919322847730975"", ""4.761057426460798""]"
Kastanjeweg,"[""50.916054525065405"", ""4.763116987841937""]"
Kerkebos,"[""50.94426058841745"", ""4.8294333437352""]"
Kerkplein,"[""50.93298726667203"", ""4.820863288415245""]"
Kerkstraatje,"[""50.92798059995958"", ""4.80474859074878""]"
Kerselarenweg,"[""50.91765948607266"", ""4.78092226142407""]"
Klein Langeveld,"[""50.909025863450374"", ""4.718380842542053""]"
Kluisstraat,"[""50.96081879130681"", ""4.822069760517584""]"
Konijntjesberg,"[""50.90923094371103"", ""4.74170754334453""]"
Koningsbroekpad,"[""50.92782332487148"", ""4.788889646288043""]"
Kortrijksebaan,"[""50.920253450000004"", ""4.75989735""]"
Kortstraat,"[""FOUT, geen straat gevonden""]"
Kouterstraat,"[""50.92702660968011"", ""4.808720911555""]"
Kraaikant,"[""50.95533955998897"", ""4.837785551861893""]"
Kratenberg,"[""50.954800191159876"", ""4.84007312986189""]"
Kriesberg,"[""50.95441592750859"", ""4.845016374666393""]"
Langaard,"[""50.95688180798636"", ""4.841200308062546""]"
Langekant,"[""50.91672237707253"", ""4.719453629815198""]"
Langestraat,"[""50.907534299999995"", ""4.8252635""]"
Langeveld,"[""50.91188140887924"", ""4.72335969584618""]"
Leempoelstraat,"[""50.91636686135335"", ""4.809094787729874""]"
Leming,"[""50.90717942601918"", ""4.7678625543504936""]"
Leuvensebaan,"[""50.910454300609906"", ""4.723616699697531""]"
Lindekensstraat,"[""50.91412092309874"", ""4.841203280626188""]"
Lindestraat,"[""50.92310119511665"", ""4.789022943732664""]"
Losting,"[""50.947327444221045"", ""4.831994533882986""]"
Lovenspad,"[""50.91596465"", ""4.78647415""]"
Lozenhoek,"[""50.92817745"", ""4.83950905""]"
Luttelkolen,"[""50.934776445331025"", ""4.842743147781052""]"
Matantjesstraat,"[""50.91838649970697"", ""4.82409459411256""]"
Meesberg,"[""50.91001478647573"", ""4.744168039990557""]"
Meesbergpad,"[""50.91034428781008"", ""4.7488476992651405""]"
Meidries,"[""50.90856"", ""4.7777399""]"
Mennenshoeve,"[""50.94766980931908"", ""4.8230674520675825""]"
Mereldreef,"[""50.91047472819134"", ""4.7346684323256""]"
Mergelstraatje,"[""50.903574254230044"", ""4.810238767336749""]"
Molenstraat,"[""50.931706341495854"", ""4.8221709457822195""]"
Mostingstraat,"[""50.95233145262095"", ""4.855800293218614""]"
Nijsstraat,"[""50.95184026547153"", ""4.851401992799937""]"
Nobelberg,"[""50.9202408"", ""4.75699685""]"
O.L.Vrouwstraat,"[""50.91817417938207"", ""4.764317728783769""]"
Oude Daalputstraat,"[""50.9154548"", ""4.739397950000001""]"
Oude Houwaartseweg,"[""50.90060573849734"", ""4.803319479903898""]"
Panoramastraat,"[""50.94885124626116"", ""4.830357891268412""]"
Pastoriedreef,"[""50.932973849536936"", ""4.819998456846184""]"
Peerse,"[""50.9207822903173"", ""4.838042130918303""]"
Plamootstraat,"[""50.95445707189642"", ""4.8397028341444726""]"
Pleinstraat,"[""50.912479561763284"", ""4.722549985943993""]"
