Straat,Coordinaten
's Boschstraat,"[""51.40700685"", ""4.77197475""]"
Achtelsestraat,"[""51.38971391561725"", ""4.767163880795067""]"
Achteraard,"[""51.41978576041616"", ""4.723128017754627""]"
Akkerloopstraat,"[""51.414534194531626"", ""4.75929901520523""]"
Alfred De Wildelaan,"[""51.40100539634086"", ""4.758489919745201""]"
Alfred Oststraat,"[""51.40193387792669"", ""4.75918605849491""]"
Ambachtstraat,"[""51.42855656075224"", ""4.758366582752838""]"
Amsterdamstraat,"[""51.48255403987043"", ""4.731945962688146""]"
Antoon de Lalaingstraat,"[""51.39996766905564"", ""4.7684182535832695""]"
Baarlepad,"[""51.40593106657029"", ""4.83836152819302""]"
Beekakker,"[""51.43144692545875"", ""4.743665281061023""]"
Beeksestraat,"[""51.4402742823393"", ""4.7489377512992""]"
Beemden,"[""51.42349841803968"", ""4.76523089886105""]"
Begijnhof,"[""51.4042795"", ""4.7625602""]"
Bergenstraat,"[""51.4354038"", ""4.7710319000000005""]"
Beukendreef,"[""51.40831916144133"", ""4.793747641272891""]"
Beulken,"[""51.449052776442734"", ""4.739233090158832""]"
Biesblok,"[""51.4053448313671"", ""4.766346658923207""]"
Bieshof,"[""51.4667243381237"", ""4.732176463607346""]"
Bijltje,"[""51.44243731322352"", ""4.734195433026639""]"
Blauwbossen,"[""51.44160275"", ""4.80657333150143""]"
Blauwen Draaiboom,"[""51.41291107785205"", ""4.717231083107967""]"
Blauwputten,"[""51.4417037373387"", ""4.687707531023373""]"
Borselhoeve,"[""51.42373764087661"", ""4.75891795564496""]"
Boskantweg,"[""51.47217484537585"", ""4.75783668125824""]"
Bosloopstraat,"[""51.39438984629487"", ""4.766589555663843""]"
Bosuil,"[""51.40879416546953"", ""4.790254674307852""]"
Boulevard,"[""51.395320894662326"", ""4.8143829852202265""]"
Bouwhoef,"[""51.39337594067111"", ""4.780267843512791""]"
Boxtelstraat,"[""51.40620002702942"", ""4.761067905616043""]"
Bredaseweg,"[""51.4425812"", ""4.78203975""]"
Brouwerijstraat,"[""51.403976094456205"", ""4.758310740305064""]"
Brusselstraat,"[""51.47601683711488"", ""4.723929497417517""]"
Buizelstraat,"[""51.3990114763884"", ""4.7610511665458635""]"
