Straat,Coordinaten
Abraham Hansstraat,"[""50.85307163004826"", ""3.702223424058469""]"
Auwerikstraat,"[""50.847072039960565"", ""3.690366395625261""]"
Beekstraat,"[""FOUT, geen straat gevonden""]"
Bessemeers,"[""FOUT, geen straat gevonden""]"
Beukenstraat,"[""50.801566968219376"", ""3.6927363494721734""]"
Biesestraat,"[""50.839267135878806"", ""3.7102934840563777""]"
Bogaardsveld,"[""50.81724594310004"", ""3.6800912517300652""]"
Bosstraat,"[""50.815276078012225"", ""3.7022595246707106""]"
Bovenstraat,"[""50.826889560282"", ""3.691219664264983""]"
Breemdries,"[""50.81737076862444"", ""3.703391917168317""]"
Broekestraat,"[""50.847492700000004"", ""3.70188135""]"
Buikberg,"[""50.8261667"", ""3.7040766""]"
Buikberglos,"[""50.825352702936364"", ""3.706517825497018""]"
Den Daele,"[""50.82391485229982"", ""3.6866152458743113""]"
Dorpsstraat,"[""50.83726359310696"", ""3.6867991407196974""]"
Fonteinstraat,"[""50.8549686999657"", ""3.686444241796755""]"
Foreest,"[""50.802034"", ""3.6909658""]"
Fronebroek,"[""50.83470392778646"", ""3.7026690182556803""]"
Frunte,"[""50.81573937265316"", ""3.683413463557512""]"
Gote,"[""50.83956395511496"", ""3.6959053297085944""]"
Groenstraat,"[""50.81917760461114"", ""3.7047378237465676""]"
Haaghoek,"[""50.8282656"", ""3.711589""]"
Heerweg,"[""50.825250461514194"", ""3.687096986640158""]"
Hessestraat,"[""50.8063650352737"", ""3.68125300239786""]"
Hoek,"[""50.834544888071534"", ""3.6792626443147523""]"
Hoogkouter,"[""50.827048808487575"", ""3.695079933297379""]"
Kauwenberg,"[""50.839820636676706"", ""3.6960341768421814""]"
Kempeland,"[""50.82500868476712"", ""3.694724077576227""]"
Kerkplein,"[""50.838018377584085"", ""3.687903064690808""]"
Ketse,"[""50.83674030521756"", ""3.692667978785742""]"
Kloosterstraat,"[""50.835358"", ""3.6989555999999997""]"
Koekoekstraat,"[""50.83271708870971"", ""3.690655296259586""]"
Koning Willemdreef,"[""50.8521675571471"", ""3.6937452046175707""]"
Korsele,"[""50.8519174"", ""3.6947398""]"
Kouterdreef,"[""50.814918198630245"", ""3.6989261936840094""]"
Kromstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Kruisstraat,"[""50.818663083494016"", ""3.702772940472573""]"
Kullaarsweg,"[""50.83358403956288"", ""3.688416025310408""]"
Langeveld,"[""50.8187126603359"", ""3.6945800526937758""]"
Leugenstraat,"[""50.84563416624579"", ""3.68929183269997""]"
Lovensveld,"[""50.820080921647104"", ""3.695613131652789""]"
Matersestraat,"[""50.83752714708262"", ""3.684692702026684""]"
Meersestraat,"[""50.846083192386395"", ""3.710406516256183""]"
Molenstraat,"[""50.82672728838108"", ""3.6868141772789094""]"
Muziekstraat,"[""50.82633272517304"", ""3.705897003238033""]"
Ommegangstraat,"[""50.83542687718487"", ""3.6976228077943496""]"
Parkstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Patrijsweg,"[""50.81687202688588"", ""3.70481431640642""]"
Pierkestraat,"[""50.84864263067181"", ""3.701834662724363""]"
Planterij,"[""50.82389571164478"", ""3.6840461581813857""]"
Rokegem,"[""50.84313620727092"", ""3.688560296583628""]"
Ruitersstraat,"[""50.820857140131835"", ""3.701195682906558""]"
Schamperij,"[""50.81803632715805"", ""3.681116090864105""]"
Schaperslos,"[""FOUT, geen straat gevonden""]"
Sint-Kornelisplein,"[""50.834290997822116"", ""3.698228496073967""]"
Smarre,"[""50.85945117065216"", ""3.6976974358203862""]"
Smisstraat,"[""50.81405783007983"", ""3.7021339404061258""]"
Steenberg,"[""50.8133905430153"", ""3.700394966417472""]"
Stene,"[""50.82536269512935"", ""3.685729448334781""]"
Tonnestraat,"[""50.84540343777207"", ""3.693186057491365""]"
Vrijsbeke,"[""50.8563193003275"", ""3.690905214870463""]"
Wafelstraat,"[""50.817448548047885"", ""3.691129357872602""]"
Wildstraat,"[""50.847282760774675"", ""3.7021718043907246""]"
