Straat,Coordinaten
't Dorp,"[""51.05510725118279"", ""5.38563994376254""]"
't Genaderen,"[""51.01440736775862"", ""5.4028476082458745""]"
't Hert,"[""51.05760445624034"", ""5.380028146656152""]"
Abelenstraat,"[""51.02550853198805"", ""5.47710276015215""]"
Acaciastraat,"[""51.018147919677595"", ""5.395070725787763""]"
Acht Septemberstraat,"[""51.05705385514038"", ""5.390272547289491""]"
Ahornstraat,"[""51.02042493720778"", ""5.400482182926559""]"
Albertstraat,"[""51.06150275"", ""5.414919899999999""]"
Alfons Leroystraat,"[""51.055165006067575"", ""5.388157075153399""]"
Ambachtstraat,"[""51.05489874656191"", ""5.397377283679624""]"
Anjelierenstraat,"[""51.02161547436396"", ""5.487171982016312""]"
Anjerstraat,"[""51.018946673776064"", ""5.483497245330894""]"
Appelaarstraat,"[""51.024580196405516"", ""5.466802913417628""]"
Armand Wittersstraat,"[""FOUT, geen straat gevonden""]"
Baarsstraat,"[""51.02527167434636"", ""5.5152537852055605""]"
Bakkersstraat,"[""51.0262113731048"", ""5.3996526198896415""]"
Beenhouwersstraat,"[""51.028701771408784"", ""5.395041164909995""]"
Begijnenplein,"[""51.0562792"", ""5.38268535""]"
Berbestraatje,"[""51.06858534352326"", ""5.417594889578616""]"
Bergbeemdenstraat,"[""51.03638138490589"", ""5.364087978370497""]"
Bergstraat,"[""51.025032339448394"", ""5.42130727223587""]"
Berkenstraat,"[""51.03014192968119"", ""5.4639228872681675""]"
Beukenstraat,"[""51.02167713546593"", ""5.390269123694649""]"
Beursplein,"[""51.025522196548245"", ""5.368613038255447""]"
Bevrijdingslaan,"[""51.03458506491147"", ""5.37527941078371""]"
Bijendries,"[""51.05503868410651"", ""5.3929592472986885""]"
Binnenvaartstraat,"[""51.03245906951122"", ""5.433769949626142""]"
Bleuksken,"[""51.03007241823548"", ""5.38324362979345""]"
Blookstraat,"[""51.048488749142265"", ""5.344900392852837""]"
Boekweitstraat,"[""51.061114034644646"", ""5.3812352194432975""]"
Bonderstraat,"[""51.02068931329338"", ""5.379233085503285""]"
Boogstraat,"[""51.03909195008555"", ""5.361813683186628""]"
Boomkensstraat,"[""51.022917449999994"", ""5.4669057500000005""]"
Bosduifstraat,"[""51.019297220251104"", ""5.465008621287127""]"
Bosstraat,"[""51.05710372444985"", ""5.383634760139734""]"
Boterbloemenstraat,"[""FOUT, geen straat gevonden""]"
Braambesstraat,"[""51.028224"", ""5.4810174""]"
Brelaarschansweg,"[""51.015170409625114"", ""5.385566913744332""]"
Brelaarstraat,"[""51.01774899055721"", ""5.392339137404535""]"
Bremstraat,"[""51.02063523703175"", ""5.396056363058392""]"
Breughelstraat,"[""51.03294675414521"", ""5.374021717812716""]"
Broekerveld,"[""51.06084101030646"", ""5.375570655606564""]"
Broekstraat,"[""51.061716213402484"", ""5.374394631639954""]"
Broekweg,"[""51.0253197"", ""5.40814445""]"
