Straat,Coordinaten
't Veldeke,"[""50.78121635727238"", ""4.632555076759975""]"
A. Goossensstraat,"[""50.78982593877072"", ""4.583148290257434""]"
A. Van Houthemweg,"[""50.787747516948436"", ""4.582556834054106""]"
Acacialaan,"[""50.78563678548529"", ""4.588543861306227""]"
Beekstraat,"[""50.8137416522171"", ""4.625799752552277""]"
Bergstraat,"[""50.75803145875765"", ""4.622584113115575""]"
Bertelsheide,"[""50.80820135791031"", ""4.612932691686667""]"
Biezenstraat,"[""50.81537203390814"", ""4.604846739188213""]"
Billandestraat,"[""50.7593595327589"", ""4.598582672115905""]"
Bloemenstraat,"[""50.75188732611033"", ""4.617589566985508""]"
Boesberg,"[""50.77047343608071"", ""4.631635118522213""]"
Borheidestraat,"[""50.75574727642674"", ""4.608216774046206""]"
Borrestraat,"[""50.75325293817863"", ""4.6086363720261305""]"
Bosstraat,"[""50.77895935606922"", ""4.62725396240871""]"
Bosweg,"[""50.76687702925128"", ""4.623380613524986""]"
Breembosstraat,"[""50.78124875143684"", ""4.589337700138612""]"
Burgemeesterstraat,"[""50.76706589476412"", ""4.63484712808988""]"
Cahystraat,"[""50.790572285333496"", ""4.5810759604378894""]"
Dennenlaan,"[""50.79067001116599"", ""4.586397907515071""]"
Dijlestraat,"[""50.77700903647955"", ""4.635555748917708""]"
Donkerstraat,"[""50.820911062512536"", ""4.618944148343215""]"
Dorpsstraat,"[""FOUT, geen straat gevonden""]"
Dreefstraat,"[""50.7907904"", ""4.5795275""]"
E. Gilisstraat,"[""50.79040983853432"", ""4.58288651182465""]"
Elsenstraat,"[""50.813765542704196"", ""4.633436802513551""]"
Elzasstraat,"[""50.7877433"", ""4.58320835""]"
Ernest Langelezstraat,"[""50.74568614811172"", ""4.601992512960761""]"
Eygenstraat,"[""50.819522767469714"", ""4.633239746899393""]"
Florivalstraat,"[""50.75247627019734"", ""4.616733067003584""]"
G. Steenbeekstraat,"[""50.78678935"", ""4.6287997999999995""]"
Ganspoel,"[""50.808677319035134"", ""4.575101737598841""]"
Ganzemanstraat,"[""50.81884643342767"", ""4.606140466541285""]"
Gemeenteplein,"[""50.7893818"", ""4.5834791""]"
Geroytstraat,"[""50.7840919"", ""4.5888734""]"
Groeneweg,"[""50.76028053021929"", ""4.625924764101329""]"
Grote Grubbe,"[""FOUT, geen straat gevonden""]"
Grote Keistraat,"[""50.79668669845138"", ""4.6253377098221""]"
Grote Puystraat,"[""50.82166852207022"", ""4.6234077001964105""]"
Hasselheidestraat,"[""50.745364009645215"", ""4.608348977211395""]"
Hoekstraat,"[""50.79505784223281"", ""4.632519753834499""]"
Hoevestraat,"[""50.761484968761636"", ""4.6068762127371174""]"
Hollestraat,"[""50.81208752032047"", ""4.58954995364336""]"
Holstheide,"[""50.7777429"", ""4.6059891""]"
Huldenbergstraat,"[""50.78769044583298"", ""4.634281646774002""]"
Ijsedal,"[""50.786690308857146"", ""4.5861304988670835""]"
J. Minetstraat,"[""50.792449387922694"", ""4.588332151855862""]"
J. Vranckxstraat,"[""50.826879417264934"", ""4.627249911502443""]"
J.Van der Vorstlaan,"[""50.80543575574278"", ""4.60327978567417""]"
Kaalheide,"[""50.7855168"", ""4.5684673""]"
Kaalheidehof,"[""50.78732943044949"", ""4.565878578026987""]"
