Straat,Coordinaten
A. Van Looplein,"[""51.061634999999995"", ""4.823442151745739""]"
Aarschotsebaan,"[""FOUT, straat in foute gemeente gevonden""]"
Amerveldstraat,"[""51.0570401"", ""4.8012394""]"
Anjerstraat,"[""51.0705001"", ""4.8001315""]"
Bedrijvenstraat,"[""51.083445"", ""4.8101309""]"
Beekstraat,"[""51.0557176"", ""4.838142""]"
Beemdenstraat,"[""51.0728891"", ""4.7867484""]"
Bertelsbroekstraat,"[""51.071584"", ""4.7905851""]"
Binnengoor,"[""51.0618318"", ""4.8594122""]"
Blokstraat,"[""51.069341"", ""4.8276049""]"
Booischotsestraat,"[""51.0518529"", ""4.8040709""]"
Booischotseweg,"[""51.0755238"", ""4.7889729""]"
Borgerhoutstraat,"[""51.0769481"", ""4.7933587""]"
Bosmansstraat,"[""51.0591724"", ""4.8284577""]"
Bospleinstraat,"[""51.0678274"", ""4.8206399""]"
Boterheidestraat,"[""51.0391363"", ""4.7980815""]"
Branddijk,"[""51.0617319"", ""4.8642726""]"
Bremstraat,"[""51.0654742"", ""4.8626293""]"
Broedersstraat,"[""51.0414167"", ""4.8073892""]"
Broekdreef,"[""51.0639505"", ""4.8198539""]"
Brouwerijstraat,"[""51.0773795"", ""4.7845961""]"
Bruggeneindse Heivelden,"[""51.0784141"", ""4.7834663""]"
Bruiersveld,"[""51.0391463"", ""4.8018188""]"
Bruulstraat,"[""51.070531"", ""4.799578""]"
Bundersstraat,"[""51.0616893"", ""4.8422571""]"
Ceulemansstraat,"[""51.0752755"", ""4.8111241""]"
Conservenstraat,"[""51.0598849"", ""4.8230712""]"
Corbeillestraat,"[""51.0625078"", ""4.8238""]"
De Briel,"[""51.0500635"", ""4.8023435""]"
De Schrans,"[""51.0434135"", ""4.8093703""]"
Dennendijk,"[""51.0634582"", ""4.8527842""]"
Donkenstraat,"[""51.0501364"", ""4.808747""]"
Doodsbroekstraat,"[""51.0763565"", ""4.7861636""]"
Door Van Dijckstraat,"[""51.0554537"", ""4.8331361""]"
Dreef,"[""51.0623802"", ""4.8378219""]"
Eikenbroekstraat,"[""51.0761288"", ""4.7785003""]"
Elsbroekstraat,"[""51.0377786"", ""4.8075127""]"
Elzenstraat,"[""51.0559972"", ""4.8296399""]"
Eussel,"[""51.041062"", ""4.7946719""]"
Geersbroekstraat,"[""51.066678"", ""4.8068654""]"
Goorstraat,"[""51.0588836"", ""4.8569039""]"
Groenstraat,"[""51.0569604"", ""4.8385758""]"
Grote Baan,"[""51.0777555"", ""4.7827799""]"
Grote Heibergstraat,"[""51.0695192"", ""4.8101543""]"
Grote Waterstraat,"[""51.0384375"", ""4.8076616""]"
Haepersstraat,"[""51.0582971"", ""4.8380275""]"
Halfmaanstraat,"[""51.0653645"", ""4.8571431""]"
Hanestraatje,"[""FOUT, straat in foute gemeente gevonden""]"
Haverdries,"[""51.061179"", ""4.8358911""]"
Heibaan,"[""51.0771326"", ""4.7956195""]"
Heibergstraat,"[""51.0712056"", ""4.813362""]"
Heide,"[""51.0651582"", ""4.8521247""]"
Heidedreef,"[""51.067015"", ""4.8552423""]"
Heidesterstraat,"[""FOUT, geen straat gevonden""]"
Heieindestraat,"[""51.0584657"", ""4.8436649""]"
Helm,"[""51.0628511"", ""4.8350856""]"
Hilleputten,"[""51.0757302"", ""4.8025951""]"
Hoekheidestraat,"[""51.0344202"", ""4.8040078""]"
Hoekske,"[""51.0363264"", ""4.7980622""]"
Hoekstraat,"[""51.0766656"", ""4.7899961""]"
Hoevestraat,"[""51.0627537"", ""4.8508292""]"
Hoogzand,"[""51.0606"", ""4.8359599""]"
Hooistraat,"[""51.0729204"", ""4.8027851""]"
Hooivelden,"[""51.058206"", ""4.8325253""]"
Houtvensesteenweg,"[""51.0401021"", ""4.8106214""]"
Hulshout-veld,"[""51.0709698"", ""4.7852963""]"
Ijzermaal,"[""51.0615857"", ""4.828722""]"
Industriepark,"[""51.0845631"", ""4.8100837""]"
J. Verlooyplein,"[""51.0419958"", ""4.80904""]"
Janssensstraat,"[""51.0797933"", ""4.7858511""]"
Jozef Michielsstraat,"[""51.057272"", ""4.8417803""]"
Kangieter,"[""51.0603421"", ""4.825456""]"
Kapelaniestraat,"[""51.0758395"", ""4.7934596""]"
Kapelstraat,"[""51.0671614"", ""4.7931464""]"
Katelijnestraat,"[""51.0675329"", ""4.816031""]"
Kerkeland,"[""51.0418559"", ""4.8039934""]"
Kerkstraat,"[""51.0765472"", ""4.7918071""]"
Kleine Bospleinstraat,"[""51.0693466"", ""4.8181402""]"
Kleine Katelijnestraat,"[""51.0680769"", ""4.810204""]"
Kleine Molenstraat,"[""51.0791666"", ""4.7788441""]"
Kleine Voorheide,"[""51.0717728"", ""4.8231136""]"
Kleine Waterstraat,"[""51.0398914"", ""4.808441""]"
Koekenbakkenstraatje,"[""51.0632354"", ""4.8402693""]"
Kortestraat,"[""51.039574"", ""4.8070445""]"
Kosterstraat,"[""51.0734717"", ""4.7915646""]"
Kouwbergstraat,"[""51.0546991"", ""4.8011324""]"
Kruisveststraat,"[""51.0332591"", ""4.7967759""]"
Laakstraat,"[""51.0734066"", ""4.7832757""]"
Laeremansstraat,"[""51.0687031"", ""4.821867""]"
Lage Venne,"[""51.0678699"", ""4.8228284""]"
Lagendijk,"[""51.0585764"", ""4.8491361""]"
Langestraat,"[""51.0378737"", ""4.8046788""]"
Leliestraat,"[""51.0732018"", ""4.8037205""]"
Lijsterstraat,"[""51.0428282"", ""4.8015648""]"
Lindestraat,"[""51.0732581"", ""4.8299723""]"
Linieweg,"[""51.0620997"", ""4.8028704""]"
Maaldonkstraat,"[""51.0708129"", ""4.8311216""]"
Magazijnenstraat,"[""51.0865599"", ""4.8109296""]"
Maneschijn,"[""51.0640405"", ""4.8576392""]"
Manestraat,"[""51.0648342"", ""4.8559736""]"
Maskensstraat,"[""51.0772115"", ""4.7887174""]"
Merelstraat,"[""51.0529229"", ""4.8083289""]"
Mgr. Raeymaekersstraat,"[""51.0610814"", ""4.83052""]"
Middendijk,"[""51.0645769"", ""4.8653445""]"
Mierheuvel,"[""51.0588316"", ""4.835885""]"
Moerbergstraat,"[""51.071751"", ""4.8253551""]"
Moerdijk,"[""51.0614235"", ""4.8566756""]"
Molenstraat,"[""51.0774819"", ""4.7863001""]"
Mussenstraat,"[""51.0409577"", ""4.8028053""]"
Netelaan,"[""51.0711235"", ""4.7810861""]"
Netestraat,"[""51.0619751"", ""4.8344858""]"
Nieuwstraat,"[""51.0623142"", ""4.837406""]"
Nijverheidsstraat,"[""51.0810109"", ""4.8130272""]"
Oud Pleintje,"[""51.0707341"", ""4.8117878""]"
Oude Baan,"[""51.0574035"", ""4.8035758""]"
Oude Heibaan,"[""51.0761186"", ""4.8153594""]"
Oude Kruisstraat,"[""51.0733234"", ""4.8202033""]"
Oude Provinciebaan,"[""51.0563076"", ""4.7979983""]"
Paalsteenstraat,"[""51.079001"", ""4.7886982""]"
Peerdekerkhofstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Plantsoenenstraat,"[""51.0578118"", ""4.82431""]"
Pleinstraat,"[""51.0690257"", ""4.8142419""]"
Probastraat,"[""51.0628611"", ""4.8243718""]"
Prof. Dr. Vital Celenplein,"[""51.0755009"", ""4.7882894""]"
Provinciebaan,"[""51.0571431"", ""4.8045189""]"
Ramselsesteenweg,"[""51.0531891"", ""4.8309305""]"
Reypenslaan,"[""51.0388823"", ""4.8042416""]"
Rietweg,"[""51.0416342"", ""4.7898428""]"
Rittenstraat,"[""51.0460877"", ""4.7974681""]"
Ronddeel,"[""51.0597829"", ""4.8474534""]"
Rozenstraat,"[""51.0800134"", ""4.792136""]"
Schietboompleinstraat,"[""51.0762523"", ""4.7943923""]"
Schoolstraat,"[""51.0421337"", ""4.8104367""]"
Senator Leysenwijk,"[""51.0432501"", ""4.8055562""]"
Seysheistraat,"[""51.0733749"", ""4.8083615""]"
Spaarpot,"[""51.0567908"", ""4.8491046""]"
Staakstraat,"[""51.0376088"", ""4.8016177""]"
Stationsstraat,"[""51.0601493"", ""4.834591""]"
Steenkensstraat,"[""51.0571973"", ""4.8175403""]"
Stekkestraat,"[""51.0502233"", ""4.7978784""]"
Strepestraat,"[""51.0705703"", ""4.7966244""]"
Strokapelstraat,"[""51.0401021"", ""4.8106214""]"
Tarwestraat,"[""FOUT, geen straat gevonden""]"
Ter Voort,"[""51.0626545"", ""4.8335047""]"
Tiendenstraat,"[""51.0719047"", ""4.8156529""]"
Tikken Haan,"[""51.0581233"", ""4.8514688""]"
Tolweg,"[""51.0684469"", ""4.7854471""]"
Torenerf,"[""51.0746906"", ""4.7871863""]"
Vaartdijkstraat,"[""51.0666975"", ""4.8040196""]"
Vaartstraat,"[""51.0795152"", ""4.8064743""]"
Valvekensstraat,"[""51.0411969"", ""4.8060404""]"
Van de Weyerlaan,"[""51.0388311"", ""4.8029148""]"
Veldstraat,"[""51.0557622"", ""4.831561""]"
Vennekensstraat,"[""51.0528149"", ""4.8056423""]"
Vinkenstraat,"[""51.0506403"", ""4.7942309""]"
Vloeikensstraat,"[""51.072192"", ""4.7978098""]"
Vosse Putten,"[""51.0775839"", ""4.8012036""]"
Vossendijkstraat,"[""FOUT, geen straat gevonden""]"
Vranckxstraat,"[""51.0742859"", ""4.8004405""]"
Wad,"[""51.0585122"", ""4.8604688""]"
Waterkrekel,"[""51.0387476"", ""4.8098024""]"
Windmolenstraat,"[""51.0805038"", ""4.7832377""]"
Wouwerstraat,"[""51.0525314"", ""4.8043095""]"
Zakstraat,"[""51.0720795"", ""4.8171888""]"
Zijperstraat,"[""51.0683721"", ""4.7821259""]"
Zuidgoordijkstraat,"[""51.07638"", ""4.8152996""]"
Zustersstraat,"[""51.0427513"", ""4.8052707""]"
