Straat,Coordinaten
A19,"[""FOUT, straat in foute gemeente gevonden""]"
ABC-straat,"[50.8494848, 2.88636395]"
Aalmoezeniersstraat,"[50.847986290240065, 2.891294137864942]"
Aardestraat,"[50.848782650000004, 2.87880505]"
Abdijmolenstraat,"[50.81587106584715, 2.871769544583497]"
Abdijstraat,"[50.8167664, 2.877013]"
Abelestraat,"[50.838439870724535, 2.8373559835221864]"
Acacialaan,"[50.85606067681097, 2.8962027338896648]"
Adriaansensweg,"[50.86332637293951, 2.8505548093411828]"
Ambachtenstraat,"[50.85124848989362, 2.894244709340375]"
Anjelierenlaan,"[50.8483585, 2.8694323500000003]"
Appèlstraat,"[50.848930550000006, 2.8801510500000003]"
Aquapad,"[50.854860949045104, 2.9049436132473403]"
Aquastraat,"[50.854128432783014, 2.904647718649589]"
Armentierseweg,"[50.80613469088101, 2.890301210884789]"
Arsenaalstraat,"[50.847182527434626, 2.884207368293427]"
Astridpark,"[50.85277375, 2.884881983069298]"
Augustijnenstraat,"[50.850044, 2.8584374]"
Aurorastraat,"[50.85427554611707, 2.906986018157623]"
Azalealaan,"[50.845463469339094, 2.8722787532207157]"
Bardoncstraat,"[50.85326817399773, 2.9045779505418627]"
Bargiestraat,"[50.89064217901459, 2.873124949311973]"
Barmstraat,"[50.89669919528291, 2.862129169966025]"
Bartierstraat,"[50.81756752256311, 2.8793929910338973]"
Basculestraat,"[50.85529800577883, 2.8934956400055905]"
Beeldenplein,"[50.8560553, 2.88619895]"
Begijnenbosstraat,"[50.853405563154695, 2.9318051766918436]"
Begijnenstraat,"[50.849478399999995, 2.8719106500000002]"
Belijnstraat,"[50.84289801093935, 2.8658505659415816]"
Bellepoortpad,"[50.84761928979612, 2.882234308940355]"
Bellestraat,"[50.83796110044688, 2.8068923478030765]"
Belletstraat,"[50.85419910647255, 2.8714269527639518]"
Bellewaardebeekpad,"[50.86067007070761, 2.904057879375752]"
Bellewaardestraat,"[50.84627225, 2.9440300500000003]"
Beluikstraat,"[50.850911329928046, 2.879667802778607]"
Berkenwijk,"[50.82222205, 2.8303184000000003]"
Bernikkewallepad,"[50.81170944447151, 2.9178363957689126]"
Bernikkewallestraat,"[50.814743930059954, 2.903060383448202]"
Beukenhorstweg,"[50.839996569697156, 2.958026103203607]"
Beukenlaan,"[50.857364844283936, 2.8961351112363616]"
Beurzestraat,"[50.845694050000006, 2.890479]"
Bierboomstraat,"[50.8071622, 2.93801705]"
Bijlanderpad,"[50.811633028660744, 2.927530813005234]"
Bikschotestraat,"[""FOUT, straat in foute gemeente gevonden""]"
Binnenweg,"[50.8973984508367, 2.840103834680066]"
Bisdomstraat,"[50.84124525, 2.8631731499999997]"
Blauweleliestraat,"[50.85388809555663, 2.8846411849942393]"
Blauwepoortstraat,"[50.83102600836244, 2.9120623069745415]"
Blauwhofdreef,"[""FOUT, geen straat gevonden""]"
Blekeriestraat,"[50.85098915187329, 2.8929430297382095]"
Blindeliedenstraat,"[50.847189753850586, 2.886702282766199]"
Bloemendale,"[50.89621206236129, 2.8512806328223568]"
Bloemenstraat,"[50.85170440566619, 2.8929492023207812]"
Blomfieldpad,"[""FOUT, geen straat gevonden""]"
Blérotstraat,"[50.80698981369694, 2.860658392359582]"
Boezingepoortstraat,"[50.85274706939292, 2.883416665738513]"
Boezingestraat,"[50.88731321357557, 2.826999889270827]"
Bollemeersstraat,"[50.885159699999996, 2.8140513]"
Bollingstraat,"[50.85192048190101, 2.89063181210242]"
Bolwerkstraat,"[50.84665958725309, 2.898978660346737]"
Boomgaardstraat,"[50.85017798571511, 2.8847284608177324]"
Boterstraat,"[50.85014995251002, 2.882314050489058]"
Boudewijnlaan,"[50.853421714971496, 2.8614226731777688]"
Bourgondiëpad,"[50.88379431732886, 2.821609931151316]"
Bourgondiëstraat,"[50.883642706304336, 2.8208076783246168]"
Brakkestraat,"[50.85394532076726, 2.885621997307449]"
Breugheldreef,"[50.861150093536175, 2.870975607847447]"
Breydelhofstraat,"[50.868566986475656, 2.8454635924702836]"
Briekestraat,"[50.86692678659006, 2.8965960692678396]"
Brielenstraat,"[50.856757427496426, 2.828757403052165]"
Brouwerijweg,"[50.88087385, 2.8241899999999998]"
Brugseweg,"[50.8595804, 2.8967323]"
Brugstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Bukkersstraat,"[50.84515790115163, 2.8914449457294893]"
Burchtstraat,"[50.849847062259734, 2.885564676606202]"
Burggraafstraat,"[50.84737440206192, 2.889262518338528]"
Canadalaan,"[50.845177611147335, 2.9361790841431388]"
Capronstraat,"[50.85098080338886, 2.875594716944286]"
Capucienenstraat,"[50.8488314, 2.865624]"
Cartonstraat,"[50.853322124842535, 2.8888296363510944]"
Casselstraat,"[50.852354044433824, 2.8102154933324153]"
Cichoreistraat,"[50.80608938181458, 2.939994987180586]"
Citadelstraat,"[50.848566500000004, 2.89931295]"
Colaertplein,"[50.8482307662657, 2.878645599871772]"
Coomansstraat,"[50.85072245, 2.8846727999999997]"
Coombspad,"[50.847345551568566, 2.8827387168680145]"
Crescendostraat,"[50.84359855466187, 2.872432991152655]"
D'Hondtstraat,"[50.85010483797417, 2.8875536774333694]"
Dambrestraat,"[""FOUT, geen straat gevonden""]"
De Bolaan,"[50.8882995, 2.81212105]"
De Brouwerstraat,"[50.85292460661977, 2.884287464389623]"
De Busscherestraat,"[50.8520033, 2.8672373999999996]"
De Clerckstraat,"[50.85280253269509, 2.86786363284392]"
De Montstraat,"[50.8477225, 2.88401055]"
Dehaernestraat,"[50.848318557779464, 2.885462633238897]"
Dehemlaan,"[50.8601073, 2.8913774]"
Dehempad,"[""FOUT, geen straat gevonden""]"
Dekemelelaan,"[50.895714450575696, 2.8618276763951487]"
Delaerestraat,"[50.85294171434988, 2.885463178441963]"
Depatinstraat,"[50.81780531318128, 2.8748789320811716]"
Diamantstraat,"[50.85421505647739, 2.893573590988257]"
Dikkebusseweg,"[50.81811078357487, 2.824370607774768]"
Dikkebusvijverdreef,"[50.824046077278496, 2.848246622201903]"
Dikkebusvijverpad,"[50.82983935203445, 2.8513706820153004]"
Diksmuidestraat,"[50.85215993628544, 2.8866946319402462]"
Diksmuidseweg,"[50.893089928849385, 2.860332766682794]"
Doorgangstraat,"[50.84919410300169, 2.8792946150675323]"
Driegoenstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Driekoningenpad,"[""FOUT, geen straat gevonden""]"
Driemolenstraat,"[50.85259402671468, 2.9066671137317672]"
Drietorenweg,"[50.86927383361896, 2.843099887455907]"
Duivenstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Dunantlaan,"[50.85396285500573, 2.8595976113278363]"
Eekhofstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Eigenheerdstraat,"[50.850541083962014, 2.8782401276506455]"
Eikenlaan,"[50.857942559889906, 2.896437419611745]"
Eiland,"[50.84688493292152, 2.8811618136398347]"
Elverdingestraat,"[50.852036254883245, 2.881136910588244]"
Elzendammestraat,"[50.88546931284683, 2.784719936607744]"
Elzenwallestraat,"[50.81632121729357, 2.8663136791110206]"
Esplanade,"[50.84786395356107, 2.8806557513881286]"
Europalaan,"[50.831858883247016, 2.876728287028204]"
