Straat,Coordinaten
Acaciaplein,"[""50.92352074415486"", ""3.2578512328431066""]"
Albrecht Rodenbachstraat,"[""50.92479883858928"", ""3.2575866849986594""]"
Anemonenstraat,"[""50.926924195701005"", ""3.250771603823802""]"
Anzegemse route,"[""50.90806775"", ""3.2626672""]"
Bakkersstraat,"[""50.91076942931393"", ""3.2486964267614864""]"
Beelshoek,"[""50.91938588814745"", ""3.290265898815054""]"
Beenhouwersstraat,"[""50.91332477873935"", ""3.2503069729671417""]"
Beneluxstraat,"[""50.9096972379036"", ""3.2644078418153923""]"
Berkenstraat,"[""50.927317057697344"", ""3.2448886712011773""]"
Beukendreef,"[""50.92077056875756"", ""3.2463027201517196""]"
Bilkstraat,"[""50.94079608607034"", ""3.2368376454180066""]"
Boerderijstraat,"[""50.90681575"", ""3.25721155""]"
Bollewerpstraat,"[""50.9224669"", ""3.26237525""]"
Bosviooltjesstraat,"[""50.92793409468358"", ""3.2470142395135673""]"
Boterbloemstraat,"[""50.92575445"", ""3.2488091""]"
Bouwke,"[""50.9305706"", ""3.261114""]"
Bremstraat,"[""50.92640135"", ""3.2513323""]"
Brigandsstraat,"[""50.9117307889318"", ""3.2596324389381226""]"
Broekhoek,"[""50.91527742572667"", ""3.2580279541128205""]"
Brouwershof,"[""50.92045126840502"", ""3.2596260011080447""]"
Bruggestraat,"[""50.946900930404816"", ""3.247518291527137""]"
Bruinbeekstraat,"[""50.924232671320475"", ""3.243616573101669""]"
Camiel Verhammestraat,"[""50.928101277619206"", ""3.2450073214324675""]"
De Hoogte,"[""50.93657739496645"", ""3.247204658284999""]"
De Montblancplein,"[""50.923824100000004"", ""3.2506081026881044""]"
De Ring,"[""50.9227134"", ""3.2634220000000003""]"
Deefakkerstraat,"[""50.93757087819258"", ""3.2639886439349928""]"
Doelstraat,"[""50.92537665714137"", ""3.248918348642521""]"
Dokter Lauwersstraat,"[""50.92349238343156"", ""3.2430825477584646""]"
Doornroosjestraat,"[""50.92789888106333"", ""3.2482440276239775""]"
Dossestraat,"[""50.9338049193"", ""3.2585442664230966""]"
Dovenetelstraat,"[""50.92721719411992"", ""3.2468286298984377""]"
Duikerstraat,"[""50.9041148"", ""3.2571888""]"
Edelweissstraat,"[""50.9262678"", ""3.25056915""]"
Elfjulisingel,"[""50.922457921064"", ""3.240871977557653""]"
Elsstraat,"[""50.902215789304755"", ""3.268307265155863""]"
Europastraat,"[""50.911669435831946"", ""3.264363488003511""]"
Fortstraat,"[""50.91522280459931"", ""3.2800885022132764""]"
Gentstraat,"[""50.9119973"", ""3.2674201""]"
Gistelstraat,"[""50.92454462221743"", ""3.23793970793903""]"
Goudbloemstraat,"[""50.927912030180664"", ""3.249751866804086""]"
Gravinnestraat,"[""50.92047695502187"", ""3.254399555759732""]"
Groenstraat,"[""50.92925834423545"", ""3.2483947929913306""]"
Grote Roeselarestraat,"[""50.945989674635854"", ""3.238399578803518""]"
Guido Gezellestraat,"[""50.92191712915506"", ""3.2548590325297755""]"
Haaipanderstraat,"[""50.93759016301798"", ""3.2323324579337274""]"
Handelsstraat,"[""50.91519192753944"", ""3.257677661218509""]"
Hazelaarstraat,"[""50.925429407155214"", ""3.24210675028939""]"
Heidebloemstraat,"[""50.92643004999999"", ""3.2523766""]"
Heirweg-Noord,"[""50.93825523108116"", ""3.2521488603979973""]"
Heirweg-Zuid,"[""50.908611080962295"", ""3.2565775236246965""]"
Hemelrijkstraat,"[""50.90234208056701"", ""3.252732186411116""]"
Hendrik Consciencestraat,"[""50.910322893578844"", ""3.2618562547188""]"
Hilaire Depraeterestraat,"[""50.92785996024383"", ""3.241997180094775""]"
Hinnebilkstraat,"[""50.922739777945544"", ""3.2586890993044286""]"
Hof van Commerce,"[""50.9099994"", ""3.2589522""]"
Hoppestraat,"[""50.92092550930166"", ""3.260317584424156""]"
Hoveniersstraat,"[""50.907405693528354"", ""3.2578714576471834""]"
Hugo Verrieststraat,"[""50.92227056107998"", ""3.2515095944150336""]"
Hüllhorststraat,"[""50.91248357313461"", ""3.248646762189101""]"
Industrielaan,"[""50.93233743001911"", ""3.2481647540390184""]"
Ingelmunsterbosstraat,"[""50.92766276882384"", ""3.2429945143605883""]"
Izegemstraat,"[""50.9145882"", ""3.252272""]"
Jacob van Arteveldestraat,"[""50.9226243"", ""3.243561938986013""]"
Jacob van Maerlantstraat,"[""50.92601790512904"", ""3.2557125465286116""]"
Jan Breydelstraat,"[""50.92291125"", ""3.261727972781065""]"
John F. Kennedystraat,"[""50.91107075"", ""3.2672773""]"
Jules Vermandelestraat,"[""50.92798222504418"", ""3.2429729487140087""]"
Kanaalstraat,"[""50.9126690642995"", ""3.2638307281352654""]"
Kardinaal Cardijnstraat,"[""50.922636862831204"", ""3.2475504750887474""]"
Keirselaarstraat,"[""50.906637112516314"", ""3.274567411067962""]"
Ketenstraat,"[""50.912880648980895"", ""3.2524176140860894""]"
Klaprozenstraat,"[""50.9276804747248"", ""3.2493047387607916""]"
Klaverstraat,"[""50.906540730155385"", ""3.2586025503669984""]"
Kleine Weg,"[""50.93020604003565"", ""3.257938019380697""]"
Klompenmakersstraat,"[""50.910716730894286"", ""3.2493457585994503""]"
Kloosterhof,"[""50.92450547287336"", ""3.247233370348276""]"
Koetsstraat,"[""50.908134075016505"", ""3.2583822949424333""]"
Koning Boudewijnstraat,"[""50.9222810360346"", ""3.2502922499617144""]"
Korenbloemstraat,"[""50.9260863496308"", ""3.2492999279434978""]"
Kortrijkstraat,"[""50.90426464705009"", ""3.2627814411770752""]"
Kouterstraat,"[""50.92169534309851"", ""3.283483788045727""]"
Krekelstraat,"[""50.92227411690255"", ""3.2808045854471235""]"
Kruisstraat,"[""50.93503416473197"", ""3.2533830382930016""]"
Kweekstraat,"[""50.903052558229454"", ""3.281484843982135""]"
Lammekensknokstraat,"[""50.94343507997419"", ""3.2618797554358876""]"
