Straat,Coordinaten
't Zand,"[""51.00435889627514"", ""4.364668248907714""]"
A.Brouwerstraat,"[""51.00367045"", ""4.3629739999999995""]"
A.Preud'Hommelaan,"[""51.010885239046104"", ""4.337757169982169""]"
Acacialaan,"[""51.0074528"", ""4.3612188""]"
Albrecht Rodenbachlaan,"[""51.01506350278698"", ""4.368249149926197""]"
Alemstraat,"[""51.02490619172485"", ""4.374258308908856""]"
Armenbos,"[""50.990070409192946"", ""4.351748616733664""]"
Azalealaan,"[""51.01537636640708"", ""4.3500774535661""]"
Baanveldstraat,"[""51.0115809162231"", ""4.368872240188739""]"
Begonialaan,"[""51.016565601389374"", ""4.348697247486089""]"
Berkenstraat,"[""51.0137540334714"", ""4.340252828118413""]"
Bessemstraat,"[""51.02636202919366"", ""4.327721373679946""]"
Birrebeekstraat,"[""50.997087942520636"", ""4.354872267753733""]"
Boneveldstraat,"[""51.01548369964773"", ""4.352664451379955""]"
Bormstraat,"[""51.015247"", ""4.3365781000000005""]"
Bosbeekstraat,"[""50.99905621559561"", ""4.356373920422442""]"
Bosstraat,"[""50.97100707166175"", ""4.356842188593901""]"
Brandhofstraat,"[""50.99450967457496"", ""4.370081556173206""]"
Bredestraat,"[""51.00778742195686"", ""4.3834044609154486""]"
Brigandsstraat,"[""FOUT, geen straat gevonden""]"
Broekstraat,"[""51.016746505114234"", ""4.336382247940331""]"
Brugstraat,"[""51.010341685733124"", ""4.333504762246959""]"
D.Teniersstraat,"[""51.001287337938074"", ""4.364181056924948""]"
De Houtzagerij,"[""51.012708003732044"", ""4.363442063194923""]"
Diepestraat,"[""FOUT, geen straat gevonden""]"
Dom Verhaegenstraat,"[""FOUT, geen straat gevonden""]"
Donkereham,"[""50.997402489981944"", ""4.3653664675250425""]"
Dorpstraat,"[""51.01467483964369"", ""4.333716815432982""]"
Dreefstraat,"[""51.01424776349474"", ""4.34113030761478""]"
E.Hullebroecklaan,"[""FOUT, geen straat gevonden""]"
Echelputstraat,"[""51.0116681"", ""4.3731257""]"
Ernest Claesstraat,"[""51.01255835052188"", ""4.369351405054931""]"
Espenbosweg,"[""51.007731459312474"", ""4.347654956231188""]"
Evert Larockstraat,"[""51.012853895752855"", ""4.3674416386968""]"
Fazantenlaan,"[""51.00182006439219"", ""4.3584789050078525""]"
Ferdinand Van Guchtstraat,"[""51.01468807804081"", ""4.33912401601071""]"
Gemeenteplein,"[""51.01447382356103"", ""4.335637073069678""]"
Grasmussenstraat,"[""51.0032612"", ""4.3605143""]"
Grote Kouterweg,"[""51.01090546119823"", ""4.337229675149475""]"
Grotstraat,"[""51.01279217297896"", ""4.334651632218811""]"
