Straat,Coordinaten
Abeeldreef,"[""51.30960375"", ""4.424249700000001""]"
Acaciadreef,"[""51.30861917934913"", ""4.428774121918223""]"
Akkerstraat,"[""51.31030938033142"", ""4.422525859863479""]"
Albert-Louisastraat,"[""51.35562375"", ""4.395821249999999""]"
Albertdreef,"[""51.3103157"", ""4.4165663""]"
Antwerpsesteenweg,"[""51.306305391124404"", ""4.4339302874841175""]"
Asterlaan,"[""51.33212202382357"", ""4.437448313014104""]"
Azalealaan,"[""51.32771345"", ""4.428164103385672""]"
Bakkersdreef,"[""51.35258790885875"", ""4.485580494426965""]"
Bareellaan,"[""51.35953242068807"", ""4.452763891478058""]"
Baron Paul Kronackerdreef,"[""51.33088166741394"", ""4.437822346442735""]"
Bauwinlaan,"[""51.3088317984362"", ""4.453865682095769""]"
Bergstraat,"[""51.31513077793621"", ""4.421144597404832""]"
Berkenlaan,"[""51.31953237924149"", ""4.431048020182347""]"
Berkensweg,"[""51.3136803"", ""4.4293488""]"
Bernard De Vadderlaan,"[""51.315573288714326"", ""4.451990819399116""]"
Bessemstraat,"[""51.32899655"", ""4.41518605""]"
Beukendreef,"[""51.30519664536672"", ""4.424731670289406""]"
Bevrijdingslei,"[""51.3127021827506"", ""4.4276426492598775""]"
Biartlei,"[""51.313308906171734"", ""4.4186166100607265""]"
Binnenweg,"[""51.30822076219749"", ""4.418039410281778""]"
Bloemenlaan,"[""51.29987647661468"", ""4.4291815776391665""]"
Bloemenlei,"[""51.32229659238777"", ""4.427062703650386""]"
Bonapartelaan,"[""51.32123412210752"", ""4.4108046912297265""]"
Bondgenotenlaan,"[""51.35329025"", ""4.4033244""]"
Bosdreef,"[""51.32204796610846"", ""4.455590274034233""]"
Bosduiflaan,"[""FOUT, geen straat gevonden""]"
Bosruiterlei,"[""51.34551748225005"", ""4.477454082218718""]"
Bosschaertdreef,"[""51.323938921264244"", ""4.4399781141952825""]"
Boterbloemlaan,"[""51.360128571441635"", ""4.425355337212657""]"
Braambeslei,"[""51.35476513429843"", ""4.455313464064729""]"
Brasschaatselei,"[""51.345823550000006"", ""4.4698476""]"
Bremlaan,"[""51.3551505"", ""4.449118800000001""]"
Bruggeske,"[""51.31435146174437"", ""4.427538788877208""]"
Buizerdlei,"[""51.338106373648266"", ""4.4730950464479005""]"
Bunderbeeklaan,"[""51.3099170578486"", ""4.440097646109862""]"
Campanulalaan,"[""51.31566985"", ""4.44625205""]"
Canadezenlaan,"[""51.3620218651708"", ""4.435362095870649""]"
Castelijmlaan,"[""51.3142934889849"", ""4.450897329982941""]"
Cederlaan,"[""51.35623535"", ""4.4451161""]"
Christiaan Pallemansstraat,"[""51.3193407465902"", ""4.435355083464157""]"
Citroenvlinderlaan,"[""51.30147881641551"", ""4.43030110472741""]"
Claessensdreef,"[""51.311227450000004"", ""4.459352""]"
Corsicalaan,"[""51.35720497078973"", ""4.453986808761531""]"
Dahlialaan,"[""51.33129896110373"", ""4.428811455654876""]"
De Pretlaan,"[""51.3477514536561"", ""4.450949823217098""]"
Dennenburgdreef,"[""FOUT, geen straat gevonden""]"
Dennenlaan,"[""51.31982837052021"", ""4.432915437850901""]"
Derdedreef,"[""51.346388850000004"", ""4.44559625""]"
Distelvlinderlaan,"[""FOUT, geen straat gevonden""]"
Doornenlaan,"[""51.3589506"", ""4.44625205""]"
Dorpsplein,"[""51.3138217"", ""4.428504792502672""]"
Dorpsstraat,"[""50.8908359"", ""4.9634154""]"
Dorsvlegellaan,"[""51.35224989664413"", ""4.4112161596456225""]"
Douglaslaan,"[""51.35488968957904"", ""4.452174495527769""]"
Driehoevenseweg,"[""51.35832785827853"", ""4.4026395643617295""]"
Duinendreef,"[""51.34919566358314"", ""4.46527377041891""]"
Edward Keurvelslaan,"[""51.3285807"", ""4.44744835""]"
Eenzaamheidsstraat,"[""51.3526126"", ""4.4008799""]"
Eggenlaan,"[""51.349925547124705"", ""4.401722703342023""]"
Eigenheem,"[""51.3038552980106"", ""4.426895460389314""]"
Eikendreef,"[""51.31087560091271"", ""4.4268990962663315""]"
Eikvarenlaan,"[""51.30488844718993"", ""4.430070083992886""]"
Eksterlaan,"[""51.34477215"", ""4.453401550000001""]"
Elzenstraat,"[""51.307979614564644"", ""4.421444357251891""]"
Energielaan,"[""51.35561541085028"", ""4.503531931424523""]"
Engelselei,"[""51.31700378488114"", ""4.429830804237763""]"
Epicealaan,"[""51.3198424"", ""4.432146299999999""]"
Ertbrandstraat,"[""51.347644700000004"", ""4.39983315""]"
Esdoornlaan,"[""51.34782045"", ""4.433798400000001""]"
Essenhoutstraat,"[""51.310970504178314"", ""4.4219252141848395""]"
