Straat,Coordinaten
Alfred De Taeyestraat,"[""51.21663314025928"", ""3.615525571773631""]"
Antwerpse Heirweg,"[""51.175437584921035"", ""3.6549750689381932""]"
Aveschoot,"[""51.194318956083855"", ""3.6305002540837155""]"
Azaleastraat,"[""FOUT, geen straat gevonden""]"
Bandam,"[""FOUT, straat in foute gemeente gevonden""]"
Bardelare,"[""51.18390836295952"", ""3.635645582697192""]"
Beekstraat,"[""51.2116937"", ""3.6244635""]"
Beeling,"[""FOUT, geen straat gevonden""]"
Bentillestraat,"[""51.24587277844653"", ""3.6020972154806845""]"
Berkenlaan,"[""51.1822443758381"", ""3.6330222854060503""]"
Beukenlaan,"[""51.18358418801692"", ""3.627918744533705""]"
Bisschopslag,"[""51.17968351118925"", ""3.6360966979443927""]"
Bloemstraat,"[""51.190803471429696"", ""3.6314678182642086""]"
Bommelsdreef,"[""51.20587093668187"", ""3.6622576502613624""]"
Boslucht,"[""51.18534772051914"", ""3.62819160772137""]"
Boterstraat,"[""51.1902994886298"", ""3.6306980411627277""]"
Draailingpad,"[""51.22861183810539"", ""3.6131190710534304""]"
Duivelsstraatje,"[""51.242308274091435"", ""3.6108249445957057""]"
Eeklostraat,"[""51.18644199902598"", ""3.6292943895116037""]"
Eikenlaan,"[""51.182396047857615"", ""3.6299580662544177""]"
Eindeken,"[""51.2168563113246"", ""3.5987577592900775""]"
Galgestraat,"[""FOUT, straat in foute gemeente gevonden""]"
Gentstraat,"[""51.18596974085447"", ""3.6448556290425422""]"
Gentweg,"[""51.185927371206"", ""3.649381352186574""]"
Goochelaar,"[""51.2096415919715"", ""3.6543718733048904""]"
Gravenstraat,"[""51.246516580450624"", ""3.6078707395067426""]"
Gravin Mad. d'Alcantaralaan,"[""FOUT, geen straat gevonden""]"
Hauweelstraat,"[""51.19212941255313"", ""3.63033884634813""]"
Heerdreef,"[""51.179636870444035"", ""3.626387529604325""]"
Heidestraat,"[""51.17605769825994"", ""3.6608175316653697""]"
Heihoek,"[""51.18526664156875"", ""3.6358950202613665""]"
Heihoekse Kerkwegel,"[""51.19384785966973"", ""3.6321050880314454""]"
Heinestraat,"[""51.2295174"", ""3.6197324""]"
Hippoliet Van Peenestraat,"[""51.2155501"", ""3.6132357500000003""]"
Hoge Zandweg,"[""51.172755921958505"", ""3.615974505448647""]"
Jacobetswegel,"[""51.20806009949087"", ""3.651277975259222""]"
Kaprijkstraat,"[""FOUT, geen straat gevonden""]"
Kasteeldreef,"[""51.194086248631024"", ""3.626877231129476""]"
