Straat,Coordinaten
Acacialaan,"[""51.240308"", ""4.9760529""]"
Achterlee,"[""51.2146938"", ""4.8811356""]"
Akkerstraat,"[""51.2462156"", ""4.9696505""]"
Amberlaan,"[""51.2462267"", ""4.9756681""]"
Anjerlaan,"[""51.2274966"", ""4.906982""]"
Arkstraat,"[""51.2097029"", ""4.9387604""]"
Asberg,"[""51.2559443"", ""4.9604211""]"
Bakebos,"[""51.259879"", ""4.8849577""]"
Bakenstraat,"[""51.2085778"", ""4.9055253""]"
Balderij,"[""51.2584046"", ""4.9194076""]"
Barbarapad,"[""51.2192843"", ""4.9259783""]"
Bareelstraat,"[""51.2530477"", ""4.9034708""]"
Baron Van der Grachtlaan,"[""51.2456104"", ""4.9841235""]"
Begonialaan,"[""51.2277244"", ""4.9112669""]"
Bekenbaan,"[""51.2105229"", ""4.9069838""]"
Bendeakkers,"[""51.2588867"", ""4.9529923""]"
Bergakkers,"[""FOUT, geen straat gevonden""]"
Berkenlaan,"[""51.2390549"", ""4.9727825""]"
Berkenrijs,"[""51.2810763"", ""4.9803145""]"
Berthoutstraat,"[""51.2448836"", ""4.892259""]"
Beukendreef,"[""51.2507951"", ""4.9514032""]"
Bietstraat,"[""51.2481813"", ""4.9747055""]"
Biezenveld,"[""51.2507634"", ""4.960688""]"
Binnenpad,"[""51.2411641"", ""4.9685934""]"
Boekweitbaan,"[""51.2560388"", ""4.976482""]"
Boervenneweg,"[""51.2237524"", ""4.9067322""]"
Bos Dellen,"[""51.2450309"", ""5.0106396""]"
Bos en Bremdreef,"[""51.2600653"", ""5.0265555""]"
Bosakkers,"[""51.2353345"", ""4.9648647""]"
Boshof,"[""51.2250727"", ""4.950765""]"
Boskabouterpad,"[""FOUT, geen straat gevonden""]"
Boskant,"[""51.2180359"", ""4.91284""]"
Boslaan,"[""51.2378277"", ""4.9648254""]"
Bosloopstraat,"[""51.2749829"", ""4.9038612""]"
Bosroos,"[""51.2459674"", ""4.8857902""]"
Boterbloemlaan,"[""51.2280311"", ""4.905402""]"
Boterpottenpad,"[""51.2041419"", ""4.9172363""]"
Breemakkers,"[""51.2463084"", ""4.9001421""]"
Breestraatje,"[""51.2157545"", ""4.9307503""]"
Breevensedijk,"[""51.2271401"", ""4.97827""]"
Bremstraat,"[""51.2474261"", ""4.9860404""]"
Broekstraat,"[""51.2404644"", ""4.8978263""]"
Brouwerijstraat,"[""51.242376"", ""4.9044035""]"
Bungers,"[""51.2150193"", ""4.9476858""]"
Bushagen,"[""51.2508464"", ""5.0000974""]"
Busschoten,"[""51.2508168"", ""4.9397547""]"
Campfortstraat,"[""51.2455119"", ""4.9060835""]"
Caseryke,"[""51.2281505"", ""4.8878546""]"
Cawinkel,"[""51.2250181"", ""4.8777952""]"
Coolsweg,"[""51.2192457"", ""4.8915762""]"
Corneliuspad,"[""51.2202736"", ""4.9248925""]"
D'Akkeren,"[""51.2224456"", ""4.9182815""]"
Daslander,"[""51.2526974"", ""4.9276042""]"
De Bergen,"[""51.2258549"", ""4.9102659""]"
De Dalen,"[""51.2259269"", ""4.8932959""]"
