Straat,Coordinaten
't Meulke,"[""51.13577220720446"", ""5.8073643938722945""]"
22 Augustusstraat,"[""51.1762144"", ""5.7321731""]"
Aan de Maas,"[""51.15264345"", ""5.830883350000001""]"
Aan de Zaagmolen,"[""51.135062997348506"", ""5.802580753751548""]"
Agropolis Park,"[""51.14068307010648"", ""5.81917959421871""]"
Baekhoven,"[""51.128389823028"", ""5.801299471996255""]"
Basdonkstraat,"[""51.13773704250386"", ""5.707852401893495""]"
Batvendijk,"[""51.1348254"", ""5.7270877""]"
Beekbeemden,"[""FOUT, geen straat gevonden""]"
Beekstraat,"[""51.13039284159543"", ""5.807546789457155""]"
Bekerstraat,"[""51.129424189531235"", ""5.808778026094754""]"
Belestraat,"[""51.14620945"", ""5.716855""]"
Bellevuestraatje,"[""51.1257465821835"", ""5.793058812205437""]"
Berkenstraat,"[""51.17101084697799"", ""5.733818462078479""]"
Bettestraat,"[""51.1397922"", ""5.7398889""]"
Bijhoevenweg,"[""51.150248301779946"", ""5.798730496789943""]"
Binnenweg,"[""51.14798556356145"", ""5.7257012703289565""]"
Bisschop Ruttenstraat,"[""51.1322969"", ""5.808975950000001""]"
Bomerstraat,"[""51.1530548"", ""5.7403294""]"
Bongertestraat,"[""51.1267462903487"", ""5.797333908541554""]"
Borgstraat,"[""51.15067033187242"", ""5.823368087235995""]"
Bosstraatje,"[""51.146357309079285"", ""5.811413118460943""]"
Bosweg,"[""51.13832834823353"", ""5.793160150972296""]"
Bouwensstraat,"[""51.1694382"", ""5.7403841""]"
Brandstraat,"[""51.15407398603406"", ""5.7238824707781015""]"
Bredenreinstraat,"[""51.17024065"", ""5.747882499999999""]"
Breeërsteenweg,"[""51.1455904"", ""5.7335766""]"
Breivinstraat,"[""51.17961911944777"", ""5.719965522398429""]"
Brenjersstraat,"[""51.13659559315543"", ""5.736857503530193""]"
Broekstraat,"[""51.153580147082884"", ""5.70977797797493""]"
Bruldijk,"[""51.14946725"", ""5.8201278""]"
Colbersstraat,"[""51.18095681569397"", ""5.738312621700281""]"
Congostraat,"[""51.13765584496537"", ""5.793928031744361""]"
Daalstraat,"[""51.1342848485693"", ""5.809402339497376""]"
Dalerweg,"[""51.13248310920195"", ""5.815405365152621""]"
De Belder,"[""51.12413001003335"", ""5.794519467100563""]"
De Gaard,"[""51.150385935414164"", ""5.823817543388356""]"
Dekkerstraatje,"[""51.18306396341428"", ""5.728667314679396""]"
Dennebosstraat,"[""51.14507354969151"", ""5.778322278020254""]"
Diekerstraat,"[""51.14179315643365"", ""5.7108337173229655""]"
Dikke Linde,"[""51.120824403025"", ""5.794497812707689""]"
Dolenweg,"[""51.15056002528189"", ""5.778225192845516""]"
Donkerdijk,"[""51.16207635655961"", ""5.714833256366599""]"
Donkstraat,"[""51.12939625"", ""5.781461050000001""]"
Doorslagstraat,"[""51.161735969778675"", ""5.745227520408033""]"
Dorpsplein,"[""51.1450036"", ""5.7421446""]"
Dorpsstraat,"[""51.15128487386494"", ""5.823104316114616""]"
Draaiweg,"[""FOUT, geen straat gevonden""]"
Driessenstraat,"[""51.1451844"", ""5.7628113""]"
Drietak,"[""51.1430339"", ""5.7862620499999995""]"
Dwarsstraat,"[""51.135962214099344"", ""5.801616642337739""]"
Eikelenbosstraat,"[""51.181458805434836"", ""5.7035403240390075""]"
Enkestraat,"[""51.17288713083884"", ""5.724382694552891""]"
Esserstraat,"[""51.1500662"", ""5.7414411""]"
Eygenweg,"[""51.12655150091281"", ""5.766762929404855""]"
Fabrieksstraat,"[""51.15318016494632"", ""5.8127392726418075""]"
Fiejestraat,"[""51.17831138912838"", ""5.740766212672394""]"
Fosheistraat,"[""51.174569449620215"", ""5.723688940855561""]"
Geerenstraat,"[""51.16545649681836"", ""5.729826993194316""]"
Geistingen,"[""51.1328028"", ""5.8089472""]"
Goorterhuisjesstraat,"[""51.15068567261681"", ""5.743579132368597""]"
Goorterstraat,"[""51.1534356675581"", ""5.756229146627066""]"
