Straat,Coordinaten
't Oosthof,"[""51.09064702775046"", ""2.983421627853311""]"
Akkerrand,"[""51.0890227"", ""2.9679558768710015""]"
Alfred Weustenraadstraat,"[""51.09317212798871"", ""2.974939615360391""]"
Ambachtenstraat,"[""51.09304495"", ""2.96208225""]"
Arnekestraat,"[""51.094244450000005"", ""2.9763064999999997""]"
Asstraat,"[""51.08492015907401"", ""2.94044207909756""]"
Atlasstraat,"[""51.09255680061605"", ""2.967905035214789""]"
Bafferstraat,"[""51.065417850589725"", ""2.946723323085358""]"
Barnestraat,"[""51.09472408414344"", ""2.961733554103653""]"
Bavostraat,"[""51.093889525065585"", ""2.9745371018634916""]"
Belhuttebaan,"[""51.083045657959744"", ""2.9853316706507673""]"
Beloftestraat,"[""51.0881835"", ""2.94622495""]"
Bergmolenweg,"[""51.08062136127515"", ""3.001119581714008""]"
Bergstraat,"[""51.07239982464214"", ""3.0125121340443775""]"
Berkenlaan,"[""51.08892032535842"", ""2.9842642212405974""]"
Bezantenstraat,"[""51.095212105558105"", ""2.9752684728225933""]"
Binnenstraat,"[""51.08882102044159"", ""2.947814619653645""]"
Bisschophoekstraat,"[""51.10027579976207"", ""2.9686397798572655""]"
Blondekensveldweg,"[""51.10559965517814"", ""2.9942990879415774""]"
Boswachterslaan,"[""51.0885014"", ""2.9873207500000003""]"
Bovekerkestraat,"[""51.060192854008875"", ""2.9633793571329177""]"
Breewegel,"[""51.08792355005775"", ""2.9449018166819685""]"
Brouwerijstraat,"[""51.08891428131218"", ""2.9770407735292945""]"
Brugse Heirweg,"[""51.07725140357474"", ""2.9416162374459156""]"
Burgemeester Van Ackerestraat,"[""51.05600423078712"", ""2.9799021818525357""]"
Caneelstraat,"[""51.062552647075506"", ""2.9723094600960396""]"
Carrestraat,"[""51.0671516852694"", ""2.964344000224326""]"
Catstraat,"[""51.089244645090574"", ""2.9515641932070467""]"
Cattaertstraat,"[""51.07097779139392"", ""3.0048400011290677""]"
Ciderstraat,"[""51.094027330574114"", ""2.977413842646487""]"
Clevenstraat,"[""51.11552603912137"", ""2.9760773973835497""]"
Concertplein,"[""51.09043775"", ""2.9784873999999997""]"
Corduaweg,"[""51.109060152514516"", ""2.95947257175455""]"
De Wallaart,"[""51.087619001980386"", ""2.9775187691962652""]"
De Wissel,"[""51.091637312049926"", ""2.970768480125551""]"
Debruynehoek,"[""51.063943075657335"", ""2.952172563322259""]"
Donkerstraat,"[""51.10035620603898"", ""2.933575714549796""]"
Doolweg,"[""51.10926299971449"", ""2.974884357408522""]"
Dorpsstraat,"[""51.08974138852351"", ""2.9760704924827017""]"
Duinkerkedreef,"[""51.122101584807794"", ""2.9780104669149896""]"
Dweersstraat,"[""51.11913522223366"", ""2.916406321626467""]"
Edmond Vereenooghestraat,"[""51.0894849"", ""2.9406582""]"
Eernegemstraat,"[""51.11495058085229"", ""2.991684464457174""]"
Eikendreef,"[""51.087426"", ""2.9836193""]"
Fortstraat,"[""51.08992881725135"", ""2.97011403615026""]"
Fransmansplein,"[""51.09109465"", ""2.9788742605337735""]"
Galgestraat,"[""51.0899631"", ""2.9839418""]"
Geuzenstraat,"[""51.093434796402434"", ""2.996366636274958""]"
Gistelstraat,"[""51.122586850000005"", ""2.9700306""]"
Halvemaanstraat,"[""51.088318991042065"", ""2.940799128095719""]"
Hertog Van Arenbergdreef,"[""51.09112025388012"", ""2.982587816203756""]"
Hinten Mokkerstraat,"[""51.088886033931765"", ""2.940203890362583""]"
Hoogkwartier,"[""51.0849294"", ""2.96809015""]"
Houtlandstraat,"[""51.08295450513452"", ""2.9824190450746504""]"
Houtzagerijstraat,"[""51.087245793479255"", ""2.945004848724974""]"
Hovaerestraat,"[""51.1116556"", ""2.9448906""]"
Ichtegemstraat,"[""51.090965062741425"", ""2.993182418605687""]"
Ijskelderdreef,"[""51.12520725"", ""2.97516795""]"
Jokweg,"[""51.12678728118996"", ""2.9823233825773405""]"
Kapellestraat,"[""51.11777857643102"", ""2.9089689981910696""]"
Karel de Ghelderelaan,"[""51.09171696671615"", ""2.9759404810549515""]"
Kastanjewegel,"[""51.102754574437476"", ""2.961171437317332""]"
Kerkstraat,"[""51.0900876"", ""2.98063585""]"
Keyzersmote,"[""51.08696904577505"", ""2.9659369441981935""]"
Kleine Asstraat,"[""51.08429426599109"", ""2.9424566787949256""]"
Kleine Catstraat,"[""51.08573764570925"", ""2.9459612564769557""]"
Kleine Potelstwegel,"[""51.10155556306932"", ""2.9615054191984775""]"
Kleine Stationsstraat,"[""51.09125846875055"", ""2.974182179164286""]"
Kleiputstraat,"[""51.08892528094334"", ""2.9907814269125743""]"
Konijnenstraat,"[""51.05387235"", ""2.96192965""]"
Korkentapstraat,"[""51.1061376"", ""2.92078325""]"
Kortemarkstraat,"[""51.07382271514325"", ""2.98926471682507""]"
Krakkestraat,"[""51.0836967"", ""2.943702""]"
Kutsersplein,"[""51.08983855"", ""2.9760317499999998""]"
Lange-Maxdreef,"[""51.1205732"", ""2.9793891""]"
Langebrugwegel,"[""51.098023221908555"", ""2.939136910166588""]"
Langewegel,"[""51.08803174134699"", ""2.9417929552408095""]"
Lavendee,"[""51.09768684030294"", ""2.9397055149961613""]"
Leegtestraat,"[""51.083249728875465"", ""2.9367352490894163""]"
Lekedijk,"[""51.106174599999996"", ""2.9207525000000003""]"
Lekestraat,"[""51.087015760146265"", ""2.93982290068862""]"
Leugenboomstraat,"[""51.11626879622525"", ""2.9899936056254184""]"
Lindelaan,"[""51.0881441"", ""2.9865757""]"
Litterveldstraat,"[""51.0781003358031"", ""2.958787712662779""]"
Malodreef,"[""51.12303861272846"", ""2.9777721797537557""]"
Meunyckenplein,"[""51.090134530750575"", ""2.9792429955174993""]"
Middelstraat,"[""51.05957610055769"", ""2.966347900760906""]"
Moerdijkbeek Oost,"[""FOUT, geen straat gevonden""]"
Moerdijkbeek West,"[""51.11469465892444"", ""2.95666515853121""]"
Moerestraat,"[""51.09793590940767"", ""2.9795444367184127""]"
Moerewegel,"[""51.09750525839621"", ""2.9747585123467832""]"
Moervijverweg,"[""51.05565639288329"", ""2.9922842948540676""]"
Molenhoek,"[""51.04702443908802"", ""2.9590670672925143""]"
Molenplein,"[""51.088949167497724"", ""2.9757399006849026""]"
Molenwegel,"[""51.045906614221096"", ""2.961416644608894""]"
Moscou,"[""51.0637257231595"", ""2.9587258481737706""]"
Nieuwenhovedreef,"[""51.08920001500026"", ""2.979448994299395""]"
Nieuwenhoveplein,"[""51.0833187"", ""2.9830251""]"
Nieuwstraat,"[""51.088840247899164"", ""2.971792459806707""]"
Nijverheidsstraat,"[""51.09533255"", ""2.96625425""]"
Noordomstraat,"[""51.090969763321844"", ""2.976117827121581""]"
Noordstraat,"[""51.05979372119327"", ""2.9578355357474893""]"
Ommegangstraat,"[""51.08484180000001"", ""2.94263165""]"
Oostmeetstraat,"[""51.10037569296073"", ""2.945374024160394""]"
Oostveldweg,"[""51.10193636031185"", ""2.990573667424864""]"
Ossewegel,"[""51.087157773698685"", ""2.9410850738140497""]"
Oudstrijdersstraat,"[""51.05415463367288"", ""2.9640139806549755""]"
Paddewalle,"[""51.088836549999996"", ""2.9694191500000002""]"
Pastoor Vancouterstraat,"[""51.0957047"", ""2.9756798""]"
Pereboomstraat,"[""51.12125568336582"", ""2.9267648094842476""]"
Piers de Raveschootstraat,"[""51.09513845"", ""2.9764707""]"
Pieter Lansensstraat,"[""51.09075302409056"", ""2.981311244077399""]"
Populiereweg,"[""51.05776646518665"", ""2.9731333313611876""]"
Populierewegel,"[""51.057708545619604"", ""2.976260880095945""]"
Portweg,"[""51.066094531332936"", ""2.9960275137811467""]"
Potelstwegel,"[""51.100404496316706"", ""2.9620002079012244""]"
Pottebezemstraat,"[""51.08564981517759"", ""2.943510367720116""]"
Prinses van Izegemdreef,"[""51.09121411772764"", ""2.9823563106371784""]"
Provinciebaan,"[""51.06745815"", ""2.9436714999999998""]"
Puydsarmoede,"[""51.11026105933026"", ""2.9844892138415573""]"
Ravegheersweg,"[""51.10261177470221"", ""2.9663582486762756""]"
Ringlaan,"[""51.0897589"", ""2.9687803""]"
Robrecht de Friesstraat,"[""51.09451905159756"", ""2.9751986652998887""]"
Rode-Kruisstraat,"[""51.09365180387786"", ""2.9754993490330675""]"
Rozenlaan,"[""51.089475532069244"", ""2.9441429882292276""]"
Rozenstraat,"[""51.05710173716323"", ""2.9740151068031517""]"
Ruifeldreef,"[""51.11723861788994"", ""2.9638436126435224""]"
Scharynckweg,"[""51.1010829"", ""2.93002895""]"
Schoolstraat,"[""51.086394874896875"", ""2.9429798541031404""]"
Schouttetenstraat,"[""51.1265874"", ""2.9168753499999998""]"
Sint Andriesstraat,"[""51.119656"", ""2.9233853""]"
Sint Maartensplein,"[""51.09005995465895"", ""2.978218058358788""]"
Sint-Amandsstraat,"[""51.09568848611048"", ""2.9737221985115507""]"
Sint-Ceciliapad,"[""51.09046645"", ""2.98448575""]"
Sint-Jorisplein,"[""51.090042402338746"", ""2.9746595222352408""]"
Sint-Jorisstraat,"[""51.089748355248375"", ""2.9751203998161393""]"
Sint-Omaarsstraat,"[""51.09502041136088"", ""2.974049299911953""]"
Speersweg,"[""51.128978493241384"", ""2.9263991187579355""]"
St.-Bertinusstraat,"[""51.09344417774203"", ""2.9765402221303816""]"
St.-Sebastiaansplein,"[""51.09121825182438"", ""2.980153456285123""]"
Stalpaertstraat,"[""51.09124762034611"", ""2.967539084456355""]"
Stationsstraat,"[""51.0902269"", ""2.9745075""]"
Steenovenstraat,"[""51.072194381484486"", ""2.98279501551632""]"
Steenstraat,"[""51.06885935638195"", ""3.0119540737453527""]"
Stenenbrugstraat,"[""51.11556614953135"", ""2.9681570122819663""]"
Sterrestraat,"[""51.08734399375041"", ""2.9665148832490433""]"
Sterrewegel,"[""51.08890343379248"", ""2.967137853447556""]"
Stokerijdreef,"[""51.12465774816106"", ""2.97608200826998""]"
Swal,"[""51.08704526055558"", ""2.9945961516533224""]"
Swytswal,"[""51.0906"", ""2.98912""]"
Ter Heide,"[""51.08733735"", ""2.97167265""]"
Torneelstraat,"[""51.06625439236623"", ""2.987680669039541""]"
Tramstraat,"[""51.090598305828685"", ""2.9721447066602074""]"
