Straat,Coordinaten
't Zandkasteeltje,"[""51.1013601"", ""2.6198517""]"
11 Novemberstraat,"[""51.1197972"", ""2.6803304""]"
A. Boudrystraat,"[""51.1160187"", ""2.6790943""]"
A. Degreeflaan,"[""51.1278287"", ""2.6566435""]"
A. Vanhouttelaan,"[""51.1097528"", ""2.6090582""]"
A. Verbouwelaan,"[""51.11099545"", ""2.6298803376010045""]"
Abdijstraat,"[""51.1081898"", ""2.644836""]"
Acht-Septemberstraat,"[""51.1144873"", ""2.6830029""]"
Admiraal Ronarc'h-pad,"[""51.1165255"", ""2.6834723""]"
Albert Bliecklaan,"[""51.1156015"", ""2.6299856""]"
Albert Duboisstraat,"[""51.1194168"", ""2.6409289""]"
Albert Fastenaekelslaan,"[""51.1132345"", ""2.6396625""]"
Albert I Laan,"[""51.1427233"", ""2.7035724""]"
Albert Nazylaan,"[""51.1058657"", ""2.6092825""]"
Albertinestraat,"[""51.1120562"", ""2.6397486""]"
Alfred Courtensstraat,"[""51.1140805"", ""2.6841404""]"
Alfred Devoslaan,"[""51.134494"", ""2.6792675""]"
Alice Nahonsquare,"[""51.1250445"", ""2.6962378""]"
Allaertshuizenstraat,"[""51.1000968"", ""2.7400652""]"
Ammanswallestraat,"[""51.1132521"", ""2.6796772""]"
André Geryllaan,"[""51.1200551"", ""2.69494""]"
Anemonenlaan,"[""51.1147589"", ""2.6346404""]"
Anjelierenlaan,"[""51.1137102"", ""2.6327182""]"
Annastraat,"[""51.1328261"", ""2.6735696""]"
Annaweg,"[""51.1110348"", ""2.6230511""]"
Artanpad,"[""51.1122958"", ""2.6390102""]"
Artanstraat,"[""51.1211089"", ""2.6893399""]"
Arthur Frèrelaan,"[""51.1204128"", ""2.6457467""]"
Arthurlaan,"[""51.123432"", ""2.6726389""]"
Astridlaan,"[""51.1328918"", ""2.6747927""]"
Astridplein,"[""51.1321933"", ""2.6716819""]"
Avondschemeringspad,"[""51.1160535"", ""2.632452""]"
Azaleaweg,"[""51.1289733"", ""2.6800659""]"
Bad-Schallerbachplein,"[""51.11993985"", ""2.638855086054664""]"
Barkenstraat,"[""51.1332786"", ""2.6754732""]"
Baron Empainlaan,"[""51.1258406"", ""2.6620992""]"
Bauwenslaan,"[""51.1187444"", ""2.6388176""]"
Begonialaan,"[""51.1126566"", ""2.6317202""]"
Bekentenissenweg,"[""51.114832"", ""2.6418723""]"
Berglaan,"[""51.0988265"", ""2.6223676""]"
Bert Bijnensstraat,"[""51.1083406"", ""2.6543515""]"
Berthastraat,"[""51.1105924"", ""2.6221441""]"
Bettystraat,"[""51.1227466"", ""2.6472078""]"
Bichottestraat,"[""51.1131116"", ""2.6381108""]"
Biedenkopflaan,"[""51.1320526"", ""2.6743858""]"
Bitterzoetlaan,"[""51.126882"", ""2.6830654""]"
Blanchelaan,"[""51.1226628"", ""2.6723126""]"
Blauwe-Reigerstraat,"[""51.1220976"", ""2.6898041""]"
Blighbankhelling,"[""51.1356512"", ""2.6813487""]"
Bloemenstraat,"[""51.1091611"", ""2.6557049""]"
Booitshoekestraat,"[""51.0954669"", ""2.7326023""]"
Borléestraat,"[""51.1124437"", ""2.6412329""]"
Bosquetiastraat,"[""51.1166961"", ""2.6363298""]"
Bosstraat,"[""51.1182125"", ""2.6425618""]"
Boulognestraat,"[""51.1179687"", ""2.6351669""]"
Bovalstraat,"[""51.1148164"", ""2.6299745""]"
Bremraapweg,"[""51.1163413"", ""2.627197""]"
Brialmontlaan,"[""51.1106838"", ""2.6262464""]"
Broersbankhelling,"[""51.1351038"", ""2.6799852""]"
Bronstraat,"[""51.1175476"", ""2.6394735""]"
Bruggestraat,"[""51.12909688071906"", ""2.674908997248712""]"
Bugeaudlaan,"[""51.111572583489114"", ""2.623284257311615""]"
