Straat,Coordinaten
's Herenlei,"[""51.13300804327877"", ""4.4520646533324335""]"
Abelenlaan,"[""51.14245463658543"", ""4.448185335217144""]"
Abraham Hanslaan,"[""51.12587586552576"", ""4.476613569964844""]"
Achterstraat,"[""51.108915757011594"", ""4.472771135801043""]"
Albertlei,"[""51.1364787"", ""4.43566175""]"
Albrecht Rodenbachlaan,"[""51.12439064674638"", ""4.474310293727384""]"
Alfsberg,"[""51.12614602687868"", ""4.4689870690981115""]"
Altenastraat,"[""51.1378512"", ""4.4508706""]"
Antwerpsesteenweg,"[""51.14500542875397"", ""4.460057186640205""]"
Asterlaan,"[""51.1180785"", ""4.4503268""]"
Astweg,"[""51.12561710130156"", ""4.416202663256681""]"
Azalealaan,"[""51.120305949999995"", ""4.4463126""]"
Baanvelden,"[""51.1120775"", ""4.4524022500000004""]"
Babbelkroonstraat,"[""51.117549999999994"", ""4.471357""]"
Bautersemstraat,"[""51.1383462"", ""4.45681725""]"
Beekboshoek,"[""51.104982744869815"", ""4.470866442724674""]"
Beeklaan,"[""51.13602393778534"", ""4.471604609284402""]"
Beekse Velden,"[""51.114307350000004"", ""4.4535516""]"
Beemdenlaan,"[""51.13597100489709"", ""4.452110011010602""]"
Bergstraat,"[""51.12919071478398"", ""4.447554814056956""]"
Beukendreef,"[""51.14029394964459"", ""4.458338539016134""]"
Biesaard,"[""51.1421632643473"", ""4.4519150723076235""]"
Binnenbeemd,"[""51.13643201879645"", ""4.455998449645135""]"
Blauwesteenstraat,"[""51.12330268616301"", ""4.455852091068617""]"
Bochtstraat,"[""51.13885380552957"", ""4.447921497457665""]"
Boniverlei,"[""51.14570323453657"", ""4.446739132491761""]"
Boomgaard,"[""51.13327648976179"", ""4.451613347587019""]"
Boskapelweg,"[""51.1218311"", ""4.4771782""]"
Bosstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Bosveldlaan,"[""51.134815681451244"", ""4.4721094133144605""]"
Broekbosstraat,"[""51.12925035"", ""4.4718304""]"
Brouwersstraat,"[""51.131902276291406"", ""4.447776021104797""]"
Brugmanstraat,"[""51.1256202"", ""4.46441265""]"
Cornelis Marckxlaan,"[""51.11530705"", ""4.4488781""]"
Cornelis Verhulstlaan,"[""51.13087802162632"", ""4.443383641166359""]"
De Villermontstraat,"[""51.1395897"", ""4.446423""]"
Deken Jozef Van Herckstraat,"[""51.12220030259706"", ""4.467023051572721""]"
Dennenlaan,"[""51.1412868313796"", ""4.4689817039304245""]"
Doelveld,"[""51.13122660294761"", ""4.449823902189594""]"
Doopput,"[""51.133733171851325"", ""4.454328790537995""]"
Doornstraat,"[""51.14395729003792"", ""4.408563521466861""]"
Dorre Eikstraat,"[""51.12924596974241"", ""4.475245241122748""]"
Drabstraat,"[""51.130646045405456"", ""4.439121266404658""]"
Dries,"[""51.13553077290354"", ""4.470576979802027""]"
Duffelsesteenweg,"[""51.1205751"", ""4.4694591""]"
Duffelshoek,"[""51.12498220099934"", ""4.479435530012138""]"
Duivenstraat,"[""51.1360351"", ""4.4487533""]"
Edegemsesteenweg,"[""51.1361505"", ""4.4472712""]"
Edgard Tinellaan,"[""51.13891460448888"", ""4.444047533248663""]"
Eekhoven,"[""51.12781226587841"", ""4.446066177767041""]"
Eertbrugge,"[""51.11566846073719"", ""4.45146353005789""]"
Eikenstraat,"[""51.1435737"", ""4.4615683""]"
Elisabethstraat,"[""51.13583528338893"", ""4.439000828156317""]"
Elsbos,"[""51.124813950000004"", ""4.41944725""]"
Elshagelaan,"[""51.132844340043484"", ""4.4736064784816945""]"
Ferdinand Maesstraat,"[""51.100242640116356"", ""4.464669296567092""]"
Gallo-Romeinenlaan,"[""51.13361855902166"", ""4.47288399621295""]"
Ganzenbollaan,"[""51.13670576557909"", ""4.474040453701152""]"
Gasthuisstraat,"[""51.10154325512488"", ""4.463263872837739""]"
Gemeenteplein,"[""51.13529015"", ""4.4448288""]"
Graaf de Ribeaucourtplein,"[""51.13520294650194"", ""4.4741848767829495""]"
Groene Wandeling,"[""51.124506870312295"", ""4.477266290205104""]"
Groene Weg,"[""51.122636"", ""4.46768755""]"
Groenenhoek,"[""51.108842373703375"", ""4.462881622123908""]"
Groeningenlei,"[""51.1405672"", ""4.4377376""]"
Groot Veld,"[""51.11319157927802"", ""4.4545741877139085""]"
Grote Steenweg,"[""51.10336805"", ""4.45105295""]"
Haakstuk,"[""51.124812399999996"", ""4.4698409""]"
Heiveldekens,"[""51.1245731"", ""4.4573221""]"
Helenaveldstraat,"[""51.143058249478436"", ""4.448455033630756""]"
Hendrik Van Rietlaan,"[""51.10181285"", ""4.454922249999999""]"
Herman De Nayerstraat,"[""51.10270195"", ""4.4505642000000005""]"
Hessepoellei,"[""51.1053961750525"", ""4.457037368169085""]"
Hoeve-ter-Bekelaan,"[""51.111461805911624"", ""4.451839444410753""]"
Hof van Spruytlaan,"[""51.1353044"", ""4.4613032""]"
Hofstraat,"[""51.1345144"", ""4.4525672""]"
Hoge Akker,"[""51.1295044"", ""4.4746354""]"
Holle Eikaard,"[""51.13719162535093"", ""4.453154166147243""]"
Holle Weg,"[""51.12694200979627"", ""4.472747038060183""]"
Hondstraat,"[""51.114952961856815"", ""4.4495391150444235""]"
Hoogbunderlaan,"[""51.13424599007539"", ""4.451879032736684""]"
Hoogmolenlaan,"[""51.14249815"", ""4.4510409""]"
Ijzermaalberg,"[""51.12672378817309"", ""4.470021789171059""]"
Infanterielaan,"[""51.131454182581706"", ""4.476027327674246""]"
Irislaan,"[""51.1182109"", ""4.4472095""]"
Jan Baptist Francisstraat,"[""51.101412862700585"", ""4.4515921913561725""]"
Jan Baptist Van Der Auweralaan,"[""51.1014727"", ""4.45400595""]"
Jan-Baptist Reykerslaan,"[""51.11662151026739"", ""4.4463750167245815""]"
Jeroen en Peter Conventlaan,"[""51.117371292048176"", ""4.446928345981798""]"
Joannes Van Putplein,"[""51.10224397887862"", ""4.455486932539941""]"
Jonkersaard,"[""51.1466395016845"", ""4.454382177901338""]"
Jordaensstraat,"[""51.13508765"", ""4.440226""]"
Joris Olyslaegerslaan,"[""51.125681194499606"", ""4.4463586548581375""]"
Josephine Charlottestraat,"[""51.13512277026525"", ""4.438489106023637""]"
Josse Clymansstraat,"[""51.124057093594"", ""4.4658557839852815""]"
Kapelstraat,"[""51.12912984003251"", ""4.474781204756443""]"
Kartuizersweg,"[""51.124688326786305"", ""4.421699573598251""]"
Kattenbroek,"[""51.14926685512874"", ""4.427389361038804""]"
Kauwlei,"[""51.12915475"", ""4.474877149999999""]"
Kazernelaan,"[""51.1324605"", ""4.4746737""]"
Keizerenberg,"[""51.09650748249409"", ""4.460686447348832""]"
Keizershoek,"[""51.1235811"", ""4.410801""]"
Keltenveld,"[""51.126997700000004"", ""4.4676516500000005""]"
Kerkeland,"[""51.1272853"", ""4.47068185""]"
Kerkelei,"[""51.104572015938444"", ""4.453143928909962""]"
Kerkevelden,"[""51.108224908417064"", ""4.453836722711786""]"
Kerkhoflei,"[""FOUT, geen straat gevonden""]"
Kiezelweg,"[""51.099812434674995"", ""4.44203751622887""]"
Kleine Meylstraat,"[""51.13814706183511"", ""4.458866532288155""]"
Klokkestraat,"[""51.11544363461627"", ""4.485702887997586""]"
Kongostraat,"[""51.13214445"", ""4.4404904499999995""]"
Konijnenveld,"[""51.1370395"", ""4.45473325""]"
Koningin Astridlaan,"[""51.1347897"", ""4.456393""]"
Koningin Fabiolalaan,"[""51.13551375"", ""4.4366657""]"
Kontichhof,"[""51.14149946843623"", ""4.414961120828385""]"
Kosterijstraat,"[""51.13561651827842"", ""4.4537795419632795""]"
Kriekelaarstraat,"[""51.11227622933215"", ""4.468043216885614""]"
Kruisbeemd,"[""51.145998573852424"", ""4.4520597761948935""]"
Kruisschanslei,"[""51.1304679"", ""4.44648""]"
Kruisstraat,"[""51.1332979"", ""4.4435762""]"
Langbosweg,"[""51.121373062846885"", ""4.4731654916822094""]"
Leiaard,"[""51.130744921907144"", ""4.441359919499759""]"
Leopoldstraat,"[""51.13471358742107"", ""4.437785354396756""]"
Liersebaan,"[""51.12871839760311"", ""4.479172114088322""]"
Lijsterbolstraat,"[""51.1282099"", ""4.447809""]"
Lints Veld,"[""51.13212354570418"", ""4.474359518810331""]"
Lintsesteenweg,"[""51.1272240082613"", ""4.480090550238153""]"
Losweg,"[""51.137807240981"", ""4.443420948438779""]"
Maalderijstraat,"[""51.09904104729214"", ""4.4533942245455""]"
Magdalenastraat,"[""51.13414262170506"", ""4.4472314243469935""]"
Mechelsesteenweg,"[""FOUT, straat in foute gemeente gevonden""]"
Metsersaard,"[""51.12962261768921"", ""4.441310920678602""]"
Meylweg,"[""51.13703645821833"", ""4.468431160713212""]"
Michel Geysemansstraat,"[""51.10746270372986"", ""4.44962595091003""]"
Mina Telghuislaan,"[""51.14033514957484"", ""4.451947255623438""]"
Molenstraat,"[""51.1360218"", ""4.4428044""]"
Montfortstraat,"[""51.12494279318946"", ""4.47559649188831""]"
Moorstraat,"[""51.11916576703218"", ""4.432567958267386""]"
Mortelstuk,"[""FOUT, geen straat gevonden""]"
Mouterij,"[""51.10561116247339"", ""4.44766227107053""]"
Nachtegaalstraat,"[""51.13214855"", ""4.4528009""]"
Nakkersgoed,"[""51.14307401244085"", ""4.449253433426874""]"
Neerveld,"[""51.122291"", ""4.4553664""]"
Nerenaard,"[""51.11078829434365"", ""4.437762945904577""]"
Nieuwstraat,"[""51.13642469278029"", ""4.443073464660232""]"
Nonnenbos,"[""51.09812030989976"", ""4.439828709768998""]"
Noordstraat,"[""51.1368825"", ""4.44508115""]"
Oever,"[""51.12280941213258"", ""4.405641871103071""]"
Ooststatiestraat,"[""51.13519700127008"", ""4.460420945469582""]"
Oude Baan,"[""51.10984346900744"", ""4.452417808989436""]"
Oude Lei,"[""51.1102373"", ""4.4369350999999995""]"
Oude Waarloossteenweg,"[""51.099394001851984"", ""4.463908494180996""]"
Pastoor De Laetstraat,"[""51.13296781087172"", ""4.454567785738258""]"
Pastoriestraat,"[""51.10738458609546"", ""4.455573913249499""]"
Pauwhoevestraat,"[""51.11682191640852"", ""4.461652576673717""]"
Peter Benoitlaan,"[""51.13855332806602"", ""4.443753582179358""]"
Phil Bosmansplein,"[""51.12771255"", ""4.472616977547205""]"
Philip Romboutslaan,"[""51.12592357394431"", ""4.477534070259187""]"
Pierstraat,"[""51.1203705"", ""4.4071708""]"
Pieter Potlaan,"[""51.141456033182536"", ""4.445087841478825""]"
Pluyseghemstraat,"[""51.138157707129636"", ""4.446951105272198""]"
Prins Boudewijnlaan,"[""51.14338943427931"", ""4.437123855812118""]"
Prins Filiplaan,"[""51.134293"", ""4.43846175""]"
Pronkenbergstraat,"[""51.1266308"", ""4.4641413""]"
Prosper De Vochtlaan,"[""51.10267635"", ""4.4560302499999995""]"
Rauwaard,"[""51.11510797609206"", ""4.453764680889005""]"
Reepkenslei,"[""51.125673"", ""4.4492055""]"
Reetsestraat,"[""51.11698214753262"", ""4.427657605746087""]"
Reipelveld,"[""51.11390551612112"", ""4.454372494689021""]"
Rijkerooistraat,"[""51.114196763492046"", ""4.440518536329333""]"
Romeinse Put,"[""51.146619900000005"", ""4.4588125212201835""]"
Rompelei,"[""51.1278851"", ""4.43126995""]"
Roosken,"[""51.1256711"", ""4.46989135""]"
Rozengaard,"[""51.127539790534314"", ""4.479339679076009""]"
Rubensstraat,"[""51.1305192"", ""4.4384609""]"
Salviastraat,"[""51.10816556859038"", ""4.4547754929851475""]"
Satenrozen,"[""51.1258158"", ""4.4213165403839""]"
Scheibeek,"[""FOUT, straat in foute gemeente gevonden""]"
Scheihagenstraat,"[""51.12472826850483"", ""4.4677470539019195""]"
Schoolstraat,"[""51.136386808636175"", ""4.444387682701614""]"
Schuttershofstraat,"[""51.136829410451796"", ""4.445998250091344""]"
Schuurveld,"[""51.112078600000004"", ""4.453862""]"
Singel,"[""51.124496705552616"", ""4.457262194409948""]"
Sint-Jansplein,"[""51.133859349999994"", ""4.447131199999999""]"
Sint-Martinusplein,"[""51.13449576423381"", ""4.444526035987553""]"
Sint-Martinusstraat,"[""51.13407606845157"", ""4.444438616766245""]"
Sleutelstraat,"[""51.133320188651986"", ""4.447153556169062""]"
Spoorwegstraat,"[""51.1359094766823"", ""4.440700452926155""]"
Staf Van Elzenlaan,"[""51.12836849986978"", ""4.446256990227597""]"
Stationsplein,"[""51.13381133667926"", ""4.475650649931893""]"
Steenakker,"[""51.1355771"", ""4.47331405""]"
Steentjeslaan,"[""51.1426364"", ""4.4500999""]"
Strepestraat,"[""51.12248839864927"", ""4.469479759405361""]"
Tanghoflaan,"[""51.1095284165467"", ""4.4353333208933154""]"
Ter Sneeuw,"[""51.125118855838174"", ""4.447609147711241""]"
Transvaalstraat,"[""51.13741825029731"", ""4.4421853384152055""]"
Tulpenlaan,"[""51.1212397"", ""4.4457632""]"
Twee Bunder,"[""51.126541700000004"", ""4.459524050000001""]"
Valveken,"[""51.107595418357846"", ""4.439412914628512""]"
Van Dyckstraat,"[""51.13482527111873"", ""4.442752228141566""]"
Varenbroekstraat,"[""51.107945205589"", ""4.4307587209313075""]"
Varkensmarkt,"[""51.13403746784911"", ""4.447292181002877""]"
Veelstraat,"[""51.11133962032676"", ""4.465025739839346""]"
Vekenveld,"[""51.1268467"", ""4.4726608""]"
Veldkant,"[""51.1422429"", ""4.440897303110363""]"
Verbrande Hoevestraat,"[""51.14434734433686"", ""4.460928799671333""]"
Vijverlaan,"[""51.1227257"", ""4.4714779""]"
Vitsenveld,"[""51.12175844108271"", ""4.470147618193298""]"
Vlierenpaal,"[""51.12428330127362"", ""4.470652123102223""]"
Volderij,"[""51.132752154904125"", ""4.448561867561663""]"
Vredestraat,"[""51.14233095"", ""4.4577187""]"
Vrijsel,"[""51.13679291825238"", ""4.437722632046279""]"
Waarloosveld,"[""51.100570696234776"", ""4.443580668982734""]"
Wierookstuk,"[""51.125892171206445"", ""4.475693861341094""]"
Wild Veld,"[""51.11132591638234"", ""4.454352622548516""]"
Wildemansstraat,"[""51.11126852840409"", ""4.454390705568224""]"
Wilgstuk,"[""51.1266404"", ""4.47125825""]"
Wipstraat,"[""51.140599"", ""4.455578""]"
Wisselbeemd,"[""51.13653952244441"", ""4.455477844723206""]"
Witte-Stedeweg,"[""51.12282562182356"", ""4.4746273305475""]"
Witvrouwenveldstraat,"[""51.13179174317364"", ""4.444520910428543""]"
Zilverbergstraat,"[""51.1159957"", ""4.45040695""]"
Zwarthoutstraat,"[""51.105854044602424"", ""4.472234033287619""]"
