Straat,Coordinaten
's Gravenwal,"[""51.0278403352915"", ""3.039118173178089""]"
't Gaainest,"[""51.012957109573016"", ""2.967719761099835""]"
10de-Linie-Regimentstraat,"[""51.02674604607649"", ""3.042666178221633""]"
20ste-Liniestraat,"[""51.01968565419609"", ""2.9631326591413956""]"
Aarsdamstraat,"[""51.0162652702089"", ""3.0148392549739436""]"
Afspanning,"[""51.0280583"", ""2.9978313500000002""]"
Amersveldestraat,"[""51.01276905907547"", ""2.971457288930865""]"
Astweg,"[""51.031721080325774"", ""3.0291748936836504""]"
Azalealaan,"[""51.02701803576288"", ""3.0060842010778024""]"
Barisdamstraat,"[""51.019823220067565"", ""2.984122548565592""]"
Beekstraat,"[""51.02849569912346"", ""3.0021037754037847""]"
Belgiekstraat,"[""51.05605951339297"", ""3.0363358662727027""]"
Berkenlaan,"[""51.02747471961073"", ""3.0070802931184617""]"
Bescheewegestraat,"[""51.04763219525052"", ""3.0230217240951203""]"
Beukenlaan,"[""51.0276764867508"", ""3.008078205402399""]"
Bietenweg,"[""51.031036549999996"", ""3.02940095""]"
Bovekerkemolenstraat,"[""51.0391235642177"", ""2.9583229232738395""]"
Bovekerkesteenweg,"[""51.04445276922551"", ""2.9749582908678867""]"
Bovekerkestraat,"[""FOUT, straat in foute gemeente gevonden""]"
Brouckstraat,"[""51.01249604593844"", ""2.986870291546253""]"
Brouwersplein,"[""51.02891395"", ""3.04356145""]"
Burgemeester Van Ackerestraat,"[""FOUT, geen straat gevonden""]"
Calfoortstraat,"[""51.03183966352081"", ""2.9504681084620374""]"
Conservenstraat,"[""51.024261000632265"", ""3.040224775705554""]"
De Groten Hof,"[""FOUT, geen straat gevonden""]"
Den Triangel,"[""51.02421552412999"", ""3.047825360532533""]"
Desiré Mergaertstraat,"[""51.03299387064144"", ""3.0381642794576322""]"
Doornstraat,"[""51.04623633702483"", ""3.0442755634872567""]"
Edewallestraat,"[""51.02778397019792"", ""3.0036548455402095""]"
Eikenlaan,"[""51.02663898971442"", ""3.0100332006333694""]"
Elflijnenlaan,"[""51.025975391069316"", ""3.007467250090268""]"
Ellestraat,"[""FOUT, straat in foute gemeente gevonden""]"
Esenstraat,"[""51.018327866355015"", ""2.9582970401768462""]"
Fabrieksweg,"[""51.02242755"", ""3.0373098499999998""]"
Firmin Deprezstraat,"[""51.032064399999996"", ""3.03628695""]"
Galgestraat,"[""51.00492269005834"", ""3.0363066854667293""]"
Gentstraat,"[""51.00688656951006"", ""2.9955951627296242""]"
Gitsstraat,"[""51.021756998017366"", ""3.0678271752027575""]"
Gouden-Hoofdstraat,"[""51.018654637623634"", ""2.999676829565137""]"
Groenestraat,"[""51.0111613"", ""3.00721155""]"
Groenteweg,"[""51.0243983"", ""3.0391485""]"
Handzaamse Nieuwstraat,"[""51.029457241129386"", ""2.9999770392329204""]"
Handzameplein,"[""51.02588338134618"", ""3.0033401585097455""]"
Handzamestraat,"[""51.0283024055175"", ""3.0235209406620207""]"
Hazewindstraat,"[""51.000460703610436"", ""2.998539971331795""]"
Hemelstraat,"[""51.03544139566556"", ""2.9850352339425985""]"
Hermitagestraat,"[""51.0346703"", ""3.0470362""]"
Hillebosstraat,"[""51.006862246069836"", ""3.024386007871285""]"
Hogestraat,"[""51.04741469945808"", ""3.0031387793347415""]"
