Straat,Coordinaten
Baaistraat,"[""50.88616595"", ""5.0419441""]"
Bauwelstraat,"[""50.89236619047984"", ""5.036639176653024""]"
Beekstraat,"[""50.883749249999994"", ""4.995819450000001""]"
Blijstraat,"[""50.915120020652736"", ""5.015741184538821""]"
Borgelke,"[""50.91037235995936"", ""5.011415146653031""]"
Borgveld,"[""50.913326850000004"", ""5.0500453""]"
Bosstraat,"[""50.87561584748068"", ""5.012741438997353""]"
Boterbergstraat,"[""50.91695695156045"", ""4.994911433760353""]"
Braamstraat,"[""50.85297232035831"", ""4.995281030691808""]"
Bredestraat,"[""FOUT, straat in foute gemeente gevonden""]"
Commendries,"[""50.89778943482672"", ""5.031869287843169""]"
Diestsestraat,"[""50.91534565"", ""5.06360435""]"
Doddelbergstraat,"[""50.892944871199354"", ""4.976358089034881""]"
Donk,"[""50.89405155"", ""5.02706835""]"
Donkelstraat,"[""50.8914523"", ""5.0369213""]"
Dorp,"[""50.9094011"", ""5.0601683""]"
Dorpsplein,"[""50.9095546"", ""5.0577509""]"
Dorpsstraat,"[""50.8775499"", ""5.04566135""]"
Driesstraat,"[""50.86572386389056"", ""5.003779922997454""]"
Eindestraat,"[""50.91577776118506"", ""4.979420385800999""]"
Gelbergenstraat,"[""50.87716323677781"", ""5.021618838974568""]"
Gelemanstraat,"[""50.9093744"", ""5.0826719""]"
Gravenbos,"[""50.92550125486972"", ""5.010554921914579""]"
Groenstraat,"[""50.899731031480655"", ""5.02812905501711""]"
Groothuisstraat,"[""50.86804732800309"", ""5.044512244516935""]"
Grootveldstraat,"[""50.86625325"", ""4.988100599999999""]"
Grote Vreunte,"[""50.91323722792786"", ""5.01034568597728""]"
Halensebaan,"[""50.91842785"", ""4.98614065""]"
Hanenstraat,"[""50.89424062505589"", ""5.02260363244561""]"
Heerbaan,"[""50.89373445654415"", ""5.01499503517138""]"
Heerstraat,"[""50.89607103360109"", ""5.0543268354959885""]"
Heidebosstraat,"[""50.903196916505415"", ""5.08874639217628""]"
Heidebosweg,"[""50.86750845374074"", ""5.026989899983834""]"
Heidestraat,"[""50.9053226"", ""5.0757766""]"
Helstraat,"[""50.85167415"", ""5.0014571""]"
Hemelrijkstraat,"[""50.90490055"", ""5.01941145""]"
Herrebeekstraat,"[""50.859694969751246"", ""5.00306713459819""]"
Hoefstraat,"[""50.878614263781714"", ""4.986049862663177""]"
Hoekstraat,"[""50.90773623247739"", ""5.057623912579682""]"
Hoeledensebaan,"[""50.88427813228471"", ""5.016590617776293""]"
Hollestraat,"[""50.8995292"", ""5.02672715""]"
Hoogemeyer,"[""50.897086670985665"", ""4.9943185942004655""]"
Ingeveld,"[""50.9070442"", ""5.00471555""]"
Kapelstraat,"[""50.864721538051285"", ""5.0401703214977""]"
Kazemelkstraat,"[""50.894487166519745"", ""5.01633489156567""]"
Kerkeweg,"[""50.88635285681635"", ""4.994733448381144""]"
Kerkplein,"[""50.86935994161823"", ""4.9846814776275385""]"
Kerkstraat,"[""50.89509337270915"", ""5.012096912979308""]"
Kersbeek-Dorp,"[""50.88914607988484"", ""4.994330087881776""]"
Kiezelstraat,"[""50.86052257522171"", ""5.050794461630352""]"
Klein Kempenseweg,"[""50.922398560340625"", ""4.99006695789885""]"
Kleinveld,"[""50.907641954424776"", ""5.069512529435676""]"
Klipgaardestraat,"[""50.9182119"", ""4.9862901""]"
Kluisdelweg,"[""50.88328515829657"", ""5.059486336747256""]"
Koningsstraat,"[""50.89225679888855"", ""5.045775567894042""]"
Krawatenstraat,"[""50.9111915"", ""5.0513716""]"
Langstraat,"[""FOUT, geen straat gevonden""]"
Langstreepstraat,"[""50.897454964519156"", ""4.974330045246847""]"
Lapstraat,"[""50.9149898"", ""5.0334917""]"
Leedsevroente,"[""50.904656140433836"", ""5.015658995171471""]"
Leidriesstraat,"[""50.86231479105328"", ""5.031253353145076""]"
Liefkensrode,"[""50.92269935"", ""5.04458625""]"
Lindestraat,"[""50.91947102995795"", ""5.075490577093469""]"
Loyaertsweg,"[""50.890179244120596"", ""5.0162042178145185""]"
Merelnest,"[""50.8868736"", ""5.0503396""]"
Meyenberg,"[""50.9027692985423"", ""5.009488768751249""]"
