Straat,Coordinaten
Abdijdreef,"[""50.886102050000005"", ""4.545726800000001""]"
Acaciastraat,"[""50.91023298131782"", ""4.601467029212718""]"
Achterenbergstraat,"[""50.877810197388236"", ""4.5406760537308335""]"
Alfons Dewitstraat,"[""50.883741799999996"", ""4.58856235""]"
Annonciadenstraat,"[""50.876007036298844"", ""4.568483545928672""]"
Arthur De Coninckstraat,"[""50.88533029201542"", ""4.5216375687793""]"
Balkenstraat,"[""50.92823192382941"", ""4.589634090938734""]"
Ballingstraat,"[""50.87636521860787"", ""4.579442793529895""]"
Bankstraat,"[""50.88013542905097"", ""4.558828017196958""]"
Banmolenstraat,"[""50.89957090300485"", ""4.545386974878351""]"
Bareeldreef,"[""50.888486900000004"", ""4.5424957""]"
Beekstraat,"[""50.8838359"", ""4.5401952""]"
Bergstraat,"[""50.88681275989776"", ""4.6009062663682""]"
Berkenstraat,"[""50.90869681118894"", ""4.605985296410079""]"
Blockmansstraat,"[""50.88904300191312"", ""4.540913145764033""]"
Blokstraat,"[""50.87762499632877"", ""4.571425894174689""]"
Boeyendaalstraat,"[""50.8739962"", ""4.5731897""]"
Boogstok,"[""50.89278036251271"", ""4.538946858023018""]"
Bosstraat,"[""50.8836624969257"", ""4.535362589141017""]"
Broekhoven,"[""50.882594049999994"", ""4.5312681""]"
Broekstraat,"[""50.88862907929112"", ""4.588057949461768""]"
Brouwerijstraat,"[""50.88628371462623"", ""4.542807521643408""]"
Bruulstraat,"[""50.90740095031374"", ""4.585577361038137""]"
Burg. Van Kelfstraat,"[""50.885235573467526"", ""4.589840993297898""]"
Camiel Schuermanslaan,"[""50.88209587215701"", ""4.541313952766529""]"
Campanilehof,"[""50.8932548"", ""4.54278815""]"
Colombastraat,"[""50.88239585750697"", ""4.546618452818125""]"
Constant Cludtsstraat,"[""50.883007941323854"", ""4.58926627155033""]"
Craenenplein,"[""50.886976"", ""4.5388445""]"
Curegemstraat,"[""50.902890640888074"", ""4.5534617183060675""]"
Dalemstraat,"[""50.882190713123414"", ""4.578799855348079""]"
De Costerstraat,"[""50.873861842066425"", ""4.570627768461634""]"
De Helftwinning,"[""50.8804633"", ""4.532636050000001""]"
De Inger,"[""50.89848145641702"", ""4.552170483501932""]"
Dekenijstraat,"[""50.902798490764205"", ""4.5591314821561895""]"
Dennenlaan,"[""50.90911055"", ""4.60192525""]"
Derde Schoof,"[""50.85684315"", ""4.5542266""]"
Diepeweg,"[""50.86025241953895"", ""4.565109521518788""]"
Diestbrugstraat,"[""50.90017956025178"", ""4.595182079459787""]"
Doelstraat,"[""50.86169294511569"", ""4.561948508025553""]"
Donkerstraat,"[""50.91021731262915"", ""4.604090920516029""]"
Dorenbaan,"[""50.9048425"", ""4.55742085""]"
Dorpelstraat,"[""50.87151560776723"", ""4.5442553492391795""]"
Dorpsplein,"[""50.90394225828048"", ""4.5574008065763385""]"
Dorpsstraat,"[""50.88953680106863"", ""4.602784740552643""]"
Dr. V. De Walsplein,"[""50.88609202998698"", ""4.538866210613054""]"
Dreef,"[""50.90054567848652"", ""4.553134615443119""]"
Driesstraat,"[""50.87795085665646"", ""4.549753381059345""]"
Driewilgenstraat,"[""FOUT, geen straat gevonden""]"
Edegemstraat,"[""50.8914092612147"", ""4.540578327021742""]"
Eekhoornstraat,"[""50.880377023647554"", ""4.537732536103724""]"
Eikenstraat,"[""50.90753337129871"", ""4.601165675550358""]"
Elisabethlaan,"[""50.887327601975585"", ""4.531596495476381""]"
Elzenbroek,"[""50.88083385340693"", ""4.536497121751379""]"
Elzenstraat,"[""50.90958309308294"", ""4.606463285003857""]"
Engelbert Moensstraat,"[""50.879871900120385"", ""4.5917615556497475""]"
Engelenstraat,"[""50.89178543373479"", ""4.538742472827468""]"
Engerstraat,"[""50.8927499"", ""4.5410778""]"
Erpsestraat,"[""50.8908099282556"", ""4.533994626524011""]"
Europastraat,"[""50.8770485"", ""4.574899200000001""]"
Everbergstraat,"[""50.8975461908609"", ""4.553589223322228""]"
Everslaan,"[""50.86962464961555"", ""4.534849494364664""]"
Fazantenlaan,"[""50.87154420041491"", ""4.529034647562732""]"
Florenbeemd,"[""50.88226965"", ""4.54234495""]"
Frans Maeshof,"[""FOUT, geen straat gevonden""]"
Frans Mombaersstraat,"[""50.89404269418704"", ""4.5393894179204946""]"
Galgenstraat,"[""50.873662433228944"", ""4.543572215510502""]"
Galgenveldstraat,"[""50.90713696724608"", ""4.585625043802112""]"
Gansheidestraat,"[""50.882333"", ""4.5965375""]"
Gemeentebroek,"[""50.88055921871098"", ""4.535624705872441""]"
Gemeentehuisstraat,"[""50.877543283309656"", ""4.569769089393617""]"
Gemeenteplein,"[""50.87738719242955"", ""4.569445768069408""]"
Goedestraat,"[""50.88837890753982"", ""4.59799117693772""]"
Grensstraat,"[""50.857014731119556"", ""4.556536627963875""]"
Grevenbos,"[""50.882014"", ""4.610816937347914""]"
Grintstraat,"[""50.86957344487566"", ""4.605661033698864""]"
Groenstraat,"[""50.88060697833219"", ""4.552339307244877""]"
Grote Hoeve,"[""50.88298608303034"", ""4.528492012707928""]"
Guldendellestraat,"[""50.89035605"", ""4.5287576000000005""]"
Haaggatstraat,"[""50.90585185"", ""4.572799""]"
Handbooghof,"[""50.9040360954914"", ""4.568947320747385""]"
Hazenstraat,"[""50.873260661470056"", ""4.531516357654768""]"
Hazewinkel,"[""50.87605634821015"", ""4.537312743995607""]"
Heerbaan,"[""50.87156814939605"", ""4.599408783724714""]"
Hertog Jan II laan,"[""50.89101464785531"", ""4.545496760642093""]"
Heuve,"[""50.897743433885736"", ""4.5480182390475274""]"
Heuvelhof,"[""50.87527025042779"", ""4.537875615225596""]"
Heuvelstraat,"[""50.875990773007906"", ""4.539098634922296""]"
Hoekstraat,"[""50.86131221119556"", ""4.564176163780436""]"
Hof van Graven,"[""50.87726940055855"", ""4.578653402338944""]"
Hof van Kersbeek,"[""50.877358099999995"", ""4.5522992""]"
Hof van Montenaken,"[""50.873353334116175"", ""4.528962217764279""]"
Hof van Parcé,"[""50.892594566963524"", ""4.545765802711056""]"
Hof van Rotselaar,"[""50.87508455946559"", ""4.569958967065443""]"
Hof van Sint-Elisabet,"[""FOUT, geen straat gevonden""]"
Hof van Terbank,"[""50.886225849719956"", ""4.59634956777191""]"
Hofstraat,"[""50.8875822"", ""4.5354428""]"
Hollestraat,"[""50.875171375776674"", ""4.577620789461834""]"
Hoogveldstraat,"[""50.88028442101714"", ""4.529791591123216""]"
Houbenstraat,"[""50.888869893129346"", ""4.534318297599165""]"
Hulstbergstraat,"[""50.87791475"", ""4.59077385""]"
Iepenstraat,"[""50.90841467108582"", ""4.60510662198759""]"
Jacobshof,"[""50.883832"", ""4.5906429499999994""]"
Jan-Baptist Vinkstraat,"[""50.885158040155666"", ""4.53076270435971""]"
