Straat,Coordinaten
Acaciasstraat,"[""50.84976535766561"", ""4.463804255667764""]"
Albert Bechetlaan,"[""50.82479498344651"", ""4.485328741143565""]"
Alfons Lenaertsstraat,"[""50.8606956"", ""4.47210175""]"
Amédé Brackestraat,"[""50.860999223546315"", ""4.454108847446058""]"
Anemonenlaan,"[""50.85437879905106"", ""4.463471808203632""]"
Annecylaan,"[""50.8605862"", ""4.4551901""]"
Appelbomenoord,"[""50.8542731"", ""4.479094""]"
Armand Fortonlaan,"[""50.860851"", ""4.4608856""]"
Arthur Blaivielaan,"[""50.8379016"", ""4.4763453""]"
Arthur Dezangrélaan,"[""50.8618261"", ""4.4664441""]"
Asterslaan,"[""50.8584813"", ""4.4612613""]"
Aucubaslaan,"[""50.8360619"", ""4.4784887""]"
Baron Albert d'Huartlaan,"[""50.8217067"", ""4.4780191""]"
Begijnhofstraat,"[""50.8618326"", ""4.4541672""]"
Begoniaslaan,"[""50.8589368"", ""4.4630213""]"
Berkenlaan,"[""50.8343704"", ""4.4669955""]"
Blauwe Bosbessenlaan,"[""50.8225843"", ""4.4854037""]"
Bloemengaarde,"[""50.8402926"", ""4.4699276""]"
Bloemenlaan,"[""50.8408443"", ""4.470279""]"
Bloemweidelaan,"[""50.8484698"", ""4.4697766""]"
Bommaertlaan,"[""50.8436191"", ""4.4709375""]"
Boomgaardoord,"[""50.8554922"", ""4.4793231""]"
Boomgaardstraat,"[""50.8545795"", ""4.4783637""]"
Bos van Oppemweg,"[""50.8331591"", ""4.4818571""]"
Bosdalgaarde,"[""50.8287335"", ""4.4792972""]"
Bosdallaan,"[""50.8286832"", ""4.4784214""]"
Bosduivenlaan,"[""50.8318087"", ""4.4761434""]"
Bosstraat,"[""50.8591705"", ""4.4600993""]"
Bouvier-Washerstraat,"[""50.8489256"", ""4.4682472""]"
Bremgaarde,"[""50.8507361"", ""4.461408""]"
Capucienenlaan,"[""50.8543938"", ""4.4622126""]"
Crocussenlaan,"[""50.8346488"", ""4.4800672""]"
Cyclamenlaan,"[""50.8521728"", ""4.4608401""]"
Dageraadlaan,"[""50.8209023"", ""4.4798161""]"
Dahliasgaarde,"[""50.850761"", ""4.4654063""]"
Damhertenlaan,"[""50.83253"", ""4.4775674""]"
Denayerstraat,"[""50.8644679"", ""4.453966""]"
Dennenlaan,"[""50.8237618"", ""4.4849859""]"
Dennenoord,"[""50.8389727"", ""4.4730927""]"
Dominicanessenlaan,"[""50.8275878"", ""4.4756831""]"
Edmond Coppensoord,"[""FOUT, geen straat gevonden""]"
Eekhoorntjeslaan,"[""50.8305672"", ""4.4789525""]"
Egelshof,"[""50.8549025"", ""4.4662575""]"
Emiel Bricoutlaan,"[""50.8625404"", ""4.4597849""]"
Esdoornenhof,"[""50.8442636"", ""4.4694839""]"
Esselveldstraat,"[""50.8582022"", ""4.4715571""]"
Essenlaan,"[""50.8338385"", ""4.4681138""]"
Eyckenveldstraat,"[""50.8513447"", ""4.4693418""]"
Fazantenlaan,"[""50.8340756"", ""4.4795897""]"
Ferdinand Kinnenstraat,"[""50.8436232"", ""4.4703434""]"
Frans Cloetensstraat,"[""50.8542954"", ""4.4666406""]"
Frans Vander Elststraat,"[""FOUT, geen straat gevonden""]"
Geluksdreef,"[""50.8441773"", ""4.4643727""]"
Glycienenlaan,"[""50.8543691"", ""4.4633433""]"
Gouvernementsweg,"[""50.8347937"", ""4.4662897""]"
Grasmussenlaan,"[""50.8571111"", ""4.4669947""]"
Grensstraat,"[""50.851558"", ""4.4620867""]"
Groenstraat,"[""50.8494361"", ""4.4663653""]"
Grote Prijzenlaan,"[""50.8354946"", ""4.4657901""]"
Haagdoornenlaan,"[""50.8614935"", ""4.4590925""]"
Hazelnotenlarenweg,"[""50.8385909"", ""4.4712363""]"
Hebronlaan,"[""50.8563217"", ""4.4651899""]"
Heidekruiddreef,"[""50.8240265"", ""4.481084""]"
Heidekruidlaan,"[""50.8308922"", ""4.471682""]"
Heilige Dominicuslaan,"[""50.8328578"", ""4.4724031""]"
Henri Vaesgaarde,"[""FOUT, geen straat gevonden""]"
Hertenlaan,"[""50.8341332"", ""4.4736828""]"
Hertogenstraat,"[""FOUT, geen straat gevonden""]"
Hindenlaan,"[""50.8334634"", ""4.4788962""]"
Hippocrateslaan,"[""FOUT, geen straat gevonden""]"
Honnekinberg,"[""50.8531504"", ""4.4615977""]"
Hoogvorstweg,"[""50.8253328"", ""4.4891589""]"
Hortensiaslaan,"[""50.8353399"", ""4.478346""]"
Jagerslaan,"[""50.8237503"", ""4.481582""]"
Jef. Thumasstraat,"[""50.8648835"", ""4.4544461""]"
Jozef Van Hovestraat,"[""50.8633462"", ""4.4555193""]"
Jules Adantstraat,"[""50.8542216"", ""4.467302""]"
Kammeveld,"[""50.8600723"", ""4.4577301""]"
Kapellelaan,"[""50.8532216"", ""4.4643265""]"
Kapelleplaats,"[""50.8620402"", ""4.4570547""]"
Karel Van Lorreinenlaan,"[""FOUT, geen straat gevonden""]"
Karel Verhaegenlaan,"[""50.8643713"", ""4.457338""]"
Kastanjeslaan,"[""50.8219567"", ""4.4774642""]"
Kasteelweg,"[""50.8619822"", ""4.4682786""]"
Kerkeveldlaan,"[""50.8598717"", ""4.4634996""]"
Kerkhoflaan,"[""50.8581393"", ""4.4771649""]"
Kievitenlaan,"[""50.8543078"", ""4.4696032""]"
Klaprozenlaan,"[""50.8600694"", ""4.4610272""]"
Klein Normandië,"[""50.8599642"", ""4.4623791""]"
