Straat,Coordinaten
't Barontje,"[""50.89842129598024"", ""3.5288987764192554""]"
't Leeghoek,"[""50.895606083374794"", ""3.5509905956306596""]"
Aaishovedriesstraat,"[""50.911999908413854"", ""3.5352376331071396""]"
Akkerstraat,"[""50.91233301201307"", ""3.559249760899743""]"
Alfred Amelotstraat,"[""50.9083955"", ""3.65253195""]"
Anzegemsesteenweg,"[""50.895132029443424"", ""3.525220240064817""]"
Appelhoekstraat,"[""50.915178014446326"", ""3.5614074069547508""]"
Autosnelweg E17,"[""FOUT, geen straat gevonden""]"
Baillistraat,"[""50.87982639867683"", ""3.479643001442683""]"
Bankstraat,"[""50.913045031644636"", ""3.5274034576306907""]"
Beelkestraat,"[""50.88415840491895"", ""3.47913649987955""]"
Beerstraat,"[""50.89066136426562"", ""3.503898347911148""]"
Beertegemstraat,"[""50.91285489574864"", ""3.6053935099473273""]"
Bekemolen,"[""FOUT, straat in foute gemeente gevonden""]"
Bekestraat,"[""50.89933048074142"", ""3.617109783484207""]"
Bellegemstraat,"[""50.92331845986879"", ""3.535262416768968""]"
Berkenhof,"[""50.90559932245213"", ""3.64877422135799""]"
Beukendreef,"[""50.922814498833496"", ""3.5665490589824924""]"
Beverhoekstraat,"[""50.91023605"", ""3.5223976500000003""]"
Biestlandweg,"[""50.90396129252935"", ""3.4991098172144914""]"
Binnenweg,"[""50.890081792560686"", ""3.5756333679411783""]"
Blekerijstraat,"[""50.90312577745256"", ""3.528018441838386""]"
Boekweitstraat,"[""50.91674861472608"", ""3.5530812048691063""]"
Boeregemstraat,"[""50.93581514192679"", ""3.5913515541898167""]"
Boeregemveld,"[""50.917320854438884"", ""3.5922516579582853""]"
Borreweg,"[""50.900248185412636"", ""3.5089519437684684""]"
Bosstraat,"[""50.92148427471417"", ""3.5274346260103533""]"
Bosuilstraat,"[""50.92176456889313"", ""3.564616242079299""]"
Boterhoek,"[""50.89902748995018"", ""3.6632294300776653""]"
Boviestraat,"[""50.898237431774575"", ""3.5619540893503734""]"
Brakkerij,"[""50.934921257124856"", ""3.5302640395100338""]"
Brandstraat,"[""50.9433801938639"", ""3.5221462394880336""]"
Bredestraat,"[""50.89421577185388"", ""3.4875149948845348""]"
Breeakkerstraat,"[""50.89690448575821"", ""3.511428847398693""]"
Broekstraat,"[""50.899231922948"", ""3.6448152001568284""]"
Bronweg,"[""FOUT, geen straat gevonden""]"
Brouwerijstraat,"[""50.910014803343344"", ""3.5271592870729607""]"
Brugstraat,"[""50.907245581456955"", ""3.526341832185435""]"
Bulkenstraat,"[""50.9102343818711"", ""3.639968873154029""]"
Bunderstraat,"[""50.93412875"", ""3.5238315499999997""]"
Callantstraat,"[""50.89071532752037"", ""3.5212653112619625""]"
Churchillstraat (Winston)(KRU),"[""FOUT, geen straat gevonden""]"
Cieskensstraat,"[""50.88603713040076"", ""3.5563504525111056""]"
Cijnsweg,"[""50.92953488000888"", ""3.537246762674318""]"
Colijnstraat,"[""50.906924727764704"", ""3.5351885261407907""]"
Damstraat,"[""50.906913200000005"", ""3.6853723""]"
De Baerestraat (Dr.Cyriel)(KRU),"[""FOUT, geen straat gevonden""]"
De Gavers,"[""50.91950142050527"", ""3.5984545844071203""]"
